,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-11 09:57:43.000000,2024-04-11 09:57:43,328.0,29.0,161.0,54.0,195.0,3.0,2157.0,2024-04-04 17:10:54.000,2024.04.04,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-04-11 13:26:54.000000,2024-04-11 13:26:48,274.0,26.0,41.0,14.0,184.0,15.0,794.0,2023-06-29 18:48:34.000,2023.06.29,68.0,28.0,0,True,mkdocs/catalog,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-04-10 11:07:18.000000,2024-04-10 11:07:18,15846.0,303.0,2490.0,191.0,5662.0,4885.0,11320.0,2024-03-09 11:51:50.000,8.1.1,173.0,955.0,48,True,,849.0,pytest,conda-forge/pytest,['pytest'],95.0,119221258.0,1220408.0,1194926.0,https://pypi.org/project/pytest,2024-03-09 11:51:04.000,25482.0,118630789.0,https://anaconda.org/conda-forge/pytest,2024-03-09 13:59:25.744,24799689.0,1.0,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-04-10 02:00:11.000000,2024-04-09 16:23:11,14436.0,189.0,2944.0,320.0,5424.0,6161.0,9248.0,2023-12-17 13:05:02.000,23.3.2,138.0,777.0,47,True,,1116.0,pip,conda-forge/pip,,,338592508.0,190333.0,178898.0,https://pypi.org/project/pip,2024-02-03 09:53:09.000,11435.0,336353640.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,105226807.0,1.0,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-04-09 20:02:54.000000,2024-04-08 13:40:15,1843.0,65.0,2354.0,234.0,1708.0,2204.0,37298.0,2024-03-15 19:35:41.000,24.3.0,59.0,442.0,46,True,,380.0,black,conda-forge/black,,84441.0,35888368.0,496173.0,481266.0,https://pypi.org/project/black,2024-03-15 19:35:41.000,14907.0,35671771.0,https://anaconda.org/conda-forge/black,2024-03-18 18:08:22.525,9684605.0,1.0,,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-04-11 02:29:31.000000,2024-04-08 18:38:03,11790.0,107.0,2669.0,236.0,6895.0,7565.0,17483.0,2024-03-08 16:08:36.000,1.9.0,114.0,707.0,46,True,,2744.0,mypy,conda-forge/mypy,,,24625611.0,245157.0,234248.0,https://pypi.org/project/mypy,2024-03-08 16:08:36.000,10909.0,24542638.0,https://anaconda.org/conda-forge/mypy,2024-03-11 14:09:17.474,3816790.0,1.0,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-04-09 22:50:23.000000,2024-03-13 10:54:30,14566.0,171.0,1126.0,95.0,1549.0,1855.0,2301.0,2024-03-13 11:21:05.000,69.2.0,559.0,593.0,46,True,,619.0,setuptools,conda-forge/setuptools,,,376481243.0,531694.0,491196.0,https://pypi.org/project/setuptools,2024-03-13 11:20:54.000,40498.0,374253626.0,https://anaconda.org/conda-forge/setuptools,2024-03-13 15:44:29.594,104698031.0,1.0,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-04-11 10:25:10.000000,2024-04-08 17:36:03,6054.0,36.0,1354.0,234.0,680.0,1432.0,9895.0,2024-01-19 20:47:14.000,5.9.8,93.0,206.0,45,True,,306.0,psutil,conda-forge/psutil,,,100368900.0,484329.0,465985.0,https://pypi.org/project/psutil,2024-01-19 20:47:14.000,18344.0,99713250.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,29504253.0,1.0,,,,,,,,,,,,,,,,,,
10,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-04-03 03:14:19.000000,2024-04-03 03:14:14,8738.0,33.0,1842.0,359.0,1862.0,3930.0,24568.0,2024-02-05 01:04:03.000,2023.12.1,386.0,502.0,44,True,,246.0,pipenv,conda-forge/pipenv,,,10905501.0,134505.0,133242.0,https://pypi.org/project/pipenv,2024-02-05 01:04:03.000,1263.0,10902403.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,145629.0,1.0,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2024-04-11 10:14:09.000000,2024-04-09 23:10:26,20734.0,189.0,2065.0,151.0,5352.0,5724.0,6013.0,2023-09-13 23:13:23.000,7.2.6,198.0,816.0,44,True,,1205.0,sphinx,conda-forge/sphinx,['sphinx'],,12808977.0,434982.0,370270.0,https://pypi.org/project/sphinx,2023-09-13 23:13:23.000,64712.0,12619383.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8910919.0,1.0,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-04-06 01:31:04.265278,2024-02-10 18:11:50,1979.0,15.0,1398.0,209.0,543.0,578.0,27343.0,2024-02-10 19:02:52.000,4.66.2,136.0,115.0,43,True,,490.0,tqdm,conda-forge/tqdm,,12066.0,93127364.0,722981.0,692398.0,https://pypi.org/project/tqdm,2024-02-10 18:19:53.000,30583.0,92570813.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,25593120.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-04-06 01:31:04.265278,2.0,4437.0,,,,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-04-11 06:53:43.000000,2024-04-10 03:59:28,16796.0,118.0,1481.0,197.0,4188.0,8912.0,6068.0,2024-03-18 13:27:19.000,24.3.0,100.0,451.0,43,True,,723.0,conda,conda-forge/conda,,267.0,1223874.0,47595.0,46496.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1099.0,159555.0,https://anaconda.org/conda-forge/conda,2024-03-26 09:53:43.987,50022895.0,1.0,,,,,,,,,,,,,,,,,,
14,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-04-07 20:04:11.000000,2024-02-29 14:02:23,3877.0,7.0,1655.0,540.0,1085.0,1070.0,46896.0,2024-02-28 14:52:38.000,13.7.1,191.0,236.0,42,True,,252.0,rich,conda-forge/rich,,,51080018.0,195458.0,188901.0,https://pypi.org/project/rich,2024-02-28 14:51:14.000,6557.0,50936133.0,https://anaconda.org/conda-forge/rich,2024-02-28 20:06:23.063,6474848.0,1.0,,,,,,,,,,,,,,,,,,
15,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-04-09 04:10:32.000000,2024-04-09 04:10:31,3260.0,209.0,2198.0,188.0,2814.0,5063.0,29316.0,2024-03-02 15:26:38.000,1.8.2,169.0,551.0,42,True,,635.0,poetry,conda-forge/poetry,,15429106.0,34736207.0,398.0,,https://pypi.org/project/poetry,2024-03-02 15:26:38.000,398.0,34480809.0,https://anaconda.org/conda-forge/poetry,2024-03-03 16:09:33.641,1155224.0,2.0,,,,,,,,,,,,,,,,,,
16,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-04-11 13:20:52.000000,2024-04-11 08:51:45,6676.0,604.0,824.0,74.0,6461.0,3432.0,26024.0,2024-04-01 17:41:25.000,0.3.5,291.0,399.0,42,True,astral-sh/ruff,747.0,ruff,conda-forge/ruff,,318864.0,15060024.0,43061.0,40425.0,https://pypi.org/project/ruff,2024-04-01 17:35:30.000,2636.0,15002981.0,https://anaconda.org/conda-forge/ruff,2024-04-01 19:57:37.908,608369.0,1.0,,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-04-10 08:39:35.000000,2024-04-08 05:55:41,6180.0,184.0,3285.0,126.0,2843.0,2246.0,18111.0,2024-04-02 05:14:45.000,9.5.17,377.0,265.0,42,True,,39.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,4258317.0,47237.0,45910.0,https://pypi.org/project/mkdocs-material,2024-04-02 05:14:45.000,1327.0,4250611.0,https://anaconda.org/conda-forge/mkdocs-material,2024-04-02 11:07:56.222,362228.0,1.0,,,,,,-1.0,,,,,,,,,,,,
18,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-04-10 19:21:10.000000,2024-04-10 19:21:10,9197.0,96.0,1911.0,233.0,2358.0,4968.0,11240.0,2024-03-09 20:30:10.000,6.5.0,62.0,467.0,42,True,,286.0,pyinstaller,conda-forge/pyinstaller,,744879.0,2221858.0,57315.0,56864.0,https://pypi.org/project/pyinstaller,2024-03-09 20:27:42.000,451.0,2202181.0,https://anaconda.org/conda-forge/pyinstaller,2024-03-10 13:47:13.762,538682.0,1.0,,,,,,,,,,,,,,,,,,
19,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-04-08 22:51:21.076000,2024-04-08 20:05:45,14309.0,646.0,565.0,73.0,2430.0,1477.0,7244.0,2024-04-08 20:05:50.000,6.100.1,1165.0,329.0,42,True,,36.0,hypothesis,conda-forge/hypothesis,,,7003943.0,28533.0,26078.0,https://pypi.org/project/hypothesis,2024-04-08 20:05:50.000,2455.0,6822630.0,https://anaconda.org/conda-forge/hypothesis,2024-04-08 22:51:21.076,8521747.0,1.0,,,,,,,,,,,,,,,,,,
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-04-09 12:38:34.000000,2024-04-09 07:16:42,9108.0,61.0,1065.0,79.0,4135.0,4506.0,5096.0,2024-02-25 16:48:26.000,3.1.0,185.0,560.0,42,True,pylint-dev/pylint,896.0,pylint,conda-forge/pylint,,,22295867.0,439695.0,416152.0,https://pypi.org/project/pylint,2024-02-25 16:48:26.000,23543.0,22190142.0,https://anaconda.org/conda-forge/pylint,2024-02-25 19:42:33.200,4863372.0,1.0,,,,,,,,,,,,,,,,,,
21,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-04-09 16:51:00.000000,2024-04-09 16:51:00,772.0,14.0,995.0,170.0,1351.0,1291.0,4708.0,2024-02-22 01:45:30.000,20.25.1,215.0,267.0,42,True,,22.0,virtualenv,conda-forge/virtualenv,,,116504083.0,392055.0,373969.0,https://pypi.org/project/virtualenv,2024-02-22 01:45:30.000,18086.0,116352008.0,https://anaconda.org/conda-forge/virtualenv,2024-02-22 11:44:36.913,6387164.0,2.0,,,,,,,,,,,,,,,,,,
22,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-04-10 20:00:30.000000,2024-04-10 20:00:30,2060.0,20.0,2374.0,235.0,1262.0,1842.0,18200.0,2023-09-18 21:27:59.000,1.5.3,60.0,247.0,41,True,,138.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,3307417.0,64560.0,59631.0,https://pypi.org/project/mkdocs,2023-09-18 21:26:09.000,4929.0,3297839.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,325667.0,1.0,,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-04-10 15:20:08.000000,2024-04-10 15:20:08,2650.0,21.0,747.0,86.0,1174.0,1949.0,11960.0,2024-03-24 17:41:43.000,3.7.0,191.0,157.0,41,True,,27.0,pre-commit,conda-forge/pre-commit,,1196432.0,19398283.0,190648.0,183266.0,https://pypi.org/project/pre-commit,2024-03-24 17:37:45.000,7382.0,19275777.0,https://anaconda.org/conda-forge/pre-commit,2024-03-26 19:14:48.920,4286722.0,1.0,,,,,,,,,,,,,,,,,,
24,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2024-04-05 08:22:21.000000,2024-02-19 12:07:47,8412.0,8.0,502.0,113.0,594.0,1329.0,5648.0,2023-10-02 09:20:35.000,0.19.1,34.0,168.0,41,True,,57.0,jedi,conda-forge/jedi,,,39866885.0,424211.0,415645.0,https://pypi.org/project/jedi,2023-10-02 09:20:35.000,8566.0,39404124.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,21287033.0,1.0,,,,,,,,,,,,,,,,,,
