,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-01-24 13:55:12.000,2023-01-24 13:55:11,5871.0,28.0,1289.0,240.0,597.0,1372.0,9018.0,2022-11-07 18:47:02.742,5.9.4,88.0,191.0,44,True,239.0,psutil,conda-forge/psutil,,265392.0,249444.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,60067750.0,60296898.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,18561039.0,1.0,15948.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-01-25 09:29:42.000,2023-01-24 13:45:46,19887.0,144.0,1840.0,142.0,4799.0,5253.0,5152.0,2023-01-10 18:23:33.461,6.1.3,181.0,769.0,43,True,1148.0,sphinx,conda-forge/sphinx,['sphinx'],307429.0,247480.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,10046168.0,10135311.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,6864040.0,1.0,59949.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-01-25 20:43:22.000,2023-01-23 19:25:02,3648.0,79.0,1477.0,540.0,891.0,941.0,41756.0,2023-01-19 15:07:26.000,13.2.0,175.0,203.0,42,True,103.0,rich,conda-forge/rich,,51342.0,49223.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,17435285.0,17528673.0,https://anaconda.org/conda-forge/rich,2023-01-20 18:09:04.476,2801667.0,1.0,2119.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-01-25 23:26:12.000,2022-09-03 10:56:22,1928.0,,1170.0,206.0,499.0,560.0,23839.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,404032.0,381603.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,44954266.0,45165611.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,16682134.0,1.0,22429.0,,10533.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4066.0,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-01-26 13:46:14.000,2023-01-25 08:43:32,4904.0,297.0,2729.0,110.0,2160.0,1677.0,12529.0,2023-01-19 20:39:00.951,9.0.6,297.0,183.0,42,True,12.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],20994.0,20994.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,1694041.0,1698547.0,https://anaconda.org/conda-forge/mkdocs-material,2023-01-19 23:37:38.449,198280.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-01-25 00:08:43.000,2023-01-25 00:08:42,8648.0,117.0,1852.0,234.0,2100.0,4492.0,9971.0,2022-12-04 15:08:42.000,5.7.0,47.0,446.0,42,True,270.0,pyinstaller,conda-forge/pyinstaller,,35026.0,34838.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,834585.0,846195.0,https://anaconda.org/conda-forge/pyinstaller,2022-12-13 12:32:51.658,393905.0,1.0,188.0,,734728.0,,,,,,,,,,,,,,,,,,
16,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-01-21 20:40:21.000,2023-01-21 20:40:21,2355.0,47.0,261.0,33.0,298.0,1465.0,2601.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,42,True,25.0,flake8,conda-forge/flake8,,376735.0,334844.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,18860272.0,18929573.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,5474823.0,1.0,41891.0,,,,,,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-01-25 08:35:15.000,2023-01-18 17:34:13,13820.0,57.0,2070.0,479.0,616.0,3767.0,7716.0,2023-01-09 21:14:31.299,6.0.2,97.0,172.0,41,True,284.0,robotframework,conda-forge/robotframework,,7732.0,6684.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1456475.0,1458294.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,108846.0,1.0,1048.0,,539.0,,,,,,,,,,,,,,,,,,
18,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-01-26 13:13:22.000,2023-01-26 13:13:09,12654.0,149.0,544.0,67.0,2203.0,1307.0,6476.0,2023-01-24 10:50:56.932,6.65.0,1015.0,299.0,41,True,49.0,hypothesis,conda-forge/hypothesis,,17821.0,15849.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,3665155.0,3755720.0,https://anaconda.org/conda-forge/hypothesis,2023-01-24 14:47:38.891,7064083.0,1.0,1972.0,,,,,,,,,,,,,,,,,,,,
19,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-01-10 19:57:58.000,2023-01-10 19:57:58,8327.0,33.0,480.0,112.0,565.0,1288.0,5323.0,2022-11-21 22:34:01.796,0.18.2,32.0,157.0,41,True,48.0,jedi,conda-forge/jedi,,273763.0,265455.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,16107673.0,16291449.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,13783235.0,1.0,8308.0,,,,,,,,,,,,,,,,,,,,
