,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-08-30 22:30:27.970,2023-08-30 21:55:02,20393.0,272.0,1975.0,146.0,5017.0,1205.0,5468.0,5584.0,2023-08-30 22:10:05.000,7.2.5,197.0,784.0,45,True,,sphinx,conda-forge/sphinx,['sphinx'],388257.0,325640.0,https://pypi.org/project/sphinx,10942133.0,11150841.0,https://anaconda.org/conda-forge/sphinx,2023-08-30 22:30:27.970,8139639.0,1.0,2023-08-30 22:10:05.000,62617.0,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-08-31 13:11:13.000,2023-08-01 15:44:57,3833.0,53.0,1605.0,538.0,1020.0,172.0,1026.0,44523.0,2023-08-01 15:47:37.000,13.5.2,187.0,227.0,44,True,,rich,conda-forge/rich,,122496.0,117898.0,https://pypi.org/project/rich,31632985.0,31762331.0,https://anaconda.org/conda-forge/rich,2023-07-31 12:52:42.810,4785820.0,1.0,2023-08-01 15:46:49.000,4598.0,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-08-28 19:25:08.000,2023-08-10 10:52:15,1964.0,23.0,1231.0,212.0,524.0,353.0,577.0,25575.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,43,True,,tqdm,conda-forge/tqdm,,536220.0,536220.0,https://pypi.org/project/tqdm,69155969.0,69749221.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,22536702.0,1.0,,,11092.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4107.0,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-08-31 13:55:22.000,2023-08-31 10:33:12,16480.0,137.0,1401.0,196.0,3795.0,752.0,8519.0,5670.0,2023-08-21 22:53:54.000,23.7.3,100.0,439.0,43,True,,conda,conda-forge/conda,,43780.0,42685.0,https://pypi.org/project/conda,79892.0,1258430.0,https://anaconda.org/conda-forge/conda,2023-08-22 18:18:06.001,45963009.0,1.0,2017-04-22 23:43:59.218,1095.0,,,,,,,,,,,,,,,
14,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-08-31 13:59:55.000,2023-08-31 07:40:03,4824.0,1300.0,542.0,63.0,4290.0,444.0,2167.0,17278.0,2023-08-25 19:46:56.000,0.0.286,260.0,249.0,42,True,astral-sh/ruff,ruff,conda-forge/ruff,,15954.0,14861.0,https://pypi.org/project/ruff,4881849.0,4924135.0,https://anaconda.org/conda-forge/ruff,2023-08-26 06:46:55.483,320717.0,1.0,2023-08-25 19:33:31.000,1093.0,53210.0,,,,,,,,,,,,,,
15,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-08-31 08:04:51.000,2023-08-26 16:33:50,1951.0,86.0,2215.0,228.0,1176.0,111.0,1742.0,16990.0,2023-08-02 14:54:19.000,1.5.2,28.0,242.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],48579.0,48579.0,https://pypi.org/project/mkdocs,2297047.0,2307984.0,https://anaconda.org/conda-forge/mkdocs,2023-08-02 15:49:46.651,284369.0,1.0,,,,,,,,,,,,,,,,,
16,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-08-31 12:39:09.000,2023-08-31 12:39:09,11462.0,233.0,2520.0,234.0,6523.0,2240.0,7154.0,16186.0,,,53.0,668.0,42,False,,mypy,conda-forge/mypy,,202874.0,202874.0,https://pypi.org/project/mypy,17341225.0,17429508.0,https://anaconda.org/conda-forge/mypy,2023-08-16 20:06:43.683,3354768.0,1.0,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-08-31 12:30:01.000,2023-08-31 12:28:29,5522.0,214.0,2943.0,121.0,2494.0,19.0,1959.0,15042.0,2023-08-31 07:29:05.000,9.2.6,169.0,226.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],36138.0,36138.0,https://pypi.org/project/mkdocs-material,2864418.0,2872138.0,https://anaconda.org/conda-forge/mkdocs-material,2023-08-28 21:33:17.537,301112.0,1.0,,,,,,,,,,,,,,,,,
18,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-08-30 21:34:26.000,2023-08-30 21:34:26,8946.0,189.0,1910.0,234.0,2232.0,271.0,4721.0,10578.0,2023-08-29 22:21:06.000,5.13.2,56.0,458.0,42,True,,pyinstaller,conda-forge/pyinstaller,,47975.0,47637.0,https://pypi.org/project/pyinstaller,1554973.0,1576738.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-26 15:53:40.337,481735.0,1.0,2023-08-29 22:18:47.000,338.0,741006.0,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-08-28 18:15:54.000,2023-08-28 18:14:11,14142.0,55.0,2113.0,478.0,671.0,268.0,3908.0,8307.0,2023-07-28 19:29:00.000,6.1.1,72.0,186.0,42,True,,robotframework,conda-forge/robotframework,,8397.0,8397.0,https://pypi.org/project/robotframework,1735665.0,1740763.0,https://anaconda.org/conda-forge/robotframework,2023-07-28 20:32:29.432,147702.0,1.0,,,552.0,,,,,,,,,,,,,,
