,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-03-05 18:53:57.000000,2026-03-05 18:53:55,409.0,22.0,194.0,55.0,239.0,4.0,2698.0,2026-03-05 18:54:03.000,2026.03.05,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-03-05 19:24:24.000000,2025-11-06 18:40:58,419.0,,114.0,18.0,353.0,37.0,1697.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-03-11 21:55:40.000000,2026-03-11 21:55:40,13380.0,297.0,3111.0,231.0,9020.0,9212.0,20302.0,2025-12-15 05:02:33.000,1.19.1,133.0,843.0,3109.0,49,True,,mypy,conda-forge/mypy,394167.0,355070.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,115861046.0,115961154.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6907472.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-03-12 11:52:26.000000,2026-03-12 11:52:25,17199.0,111.0,3050.0,196.0,6892.0,5389.0,13761.0,2025-12-06 21:31:16.000,9.0.2,189.0,1094.0,1016.0,49,True,,pytest,conda-forge/pytest,1861504.0,1742271.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,469870225.0,470570327.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,45483094.0,1.0,['pytest'],28739.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-26 09:52:16.000000,2026-02-26 09:52:14,4412.0,109.0,2044.0,525.0,1412.0,1265.0,55739.0,2026-02-19 17:24:13.000,14.3.3,205.0,286.0,302.0,47,True,,rich,conda-forge/rich,544573.0,509253.0,https://pypi.org/project/rich,2026-02-19 17:23:13.000,35320.0,386760450.0,387028967.0,https://anaconda.org/conda-forge/rich,2026-02-20 07:37:20.190,18259197.0,1.0,,,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-03-12 09:39:19.000000,2026-03-11 23:10:48,6557.0,120.0,1463.0,224.0,856.0,1564.0,11108.0,2026-01-28 18:14:57.000,7.2.2,104.0,230.0,365.0,47,True,,psutil,conda-forge/psutil,795085.0,775463.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,287010999.0,287868423.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,58304882.0,1.0,,,,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-03-07 06:10:09.000000,2026-03-07 06:10:09,15811.0,164.0,3231.0,318.0,6071.0,6750.0,10242.0,2026-02-05 02:20:16.000,26.0.1,155.0,870.0,1035.0,47,True,,pip,conda-forge/pip,254379.0,248654.0,https://pypi.org/project/pip,2026-02-05 02:20:16.000,5725.0,622200964.0,625102976.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,203140858.0,1.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-03-12 11:38:04.361000,2026-03-12 03:41:17,2167.0,62.0,2733.0,230.0,2173.0,2489.0,41430.0,2026-03-12 03:36:01.000,26.3.1,72.0,510.0,324.0,46,True,,black,conda-forge/black,727143.0,669733.0,https://pypi.org/project/black,2026-03-12 03:36:01.000,57410.0,109585874.0,109853350.0,https://anaconda.org/conda-forge/black,2026-03-12 11:38:04.361,18072222.0,1.0,,143566.0,,,,,,,,,,,,,,,,,,
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-03-09 16:49:40.576000,2026-03-09 12:30:18,16597.0,92.0,1369.0,94.0,1992.0,2213.0,2814.0,2026-03-09 12:47:20.000,82.0.1,631.0,639.0,630.0,46,True,,setuptools,conda-forge/setuptools,873792.0,841803.0,https://pypi.org/project/setuptools,2026-03-09 12:47:15.000,31989.0,1306060944.0,1308729446.0,https://anaconda.org/conda-forge/setuptools,2026-03-09 16:49:40.576,186795180.0,1.0,,,,,,,,,,,,,,,,,,,,
11,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-03-07 01:48:23.534183,2026-02-03 16:58:32,2036.0,17.0,1436.0,208.0,610.0,594.0,31027.0,2026-02-03 18:07:15.000,4.67.3,144.0,130.0,584.0,44,True,,tqdm,conda-forge/tqdm,1236275.0,1185830.0,https://pypi.org/project/tqdm,2026-02-03 17:35:50.000,50445.0,346721022.0,347397613.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,46668046.0,1.0,,20248.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-03-07 01:48:23.534183,3.0,5928.0,,,,,,,,,,,,,
12,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-03-09 12:54:43.000000,2026-03-09 04:02:26,9295.0,20.0,1874.0,354.0,2078.0,4183.0,25108.0,2025-12-17 01:55:45.000,2026.0.3,407.0,536.0,154.0,44,True,,pipenv,conda-forge/pipenv,174488.0,174234.0,https://pypi.org/project/pipenv,2025-12-17 01:55:45.000,254.0,23953344.0,23957900.0,https://anaconda.org/conda-forge/pipenv,2025-12-17 03:59:49.753,318984.0,1.0,,,,,,,,,,,,,,,,,,,,
13,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-03-08 17:11:54.000000,2026-03-08 17:11:53,9940.0,56.0,2011.0,222.0,2675.0,5330.0,12916.0,2026-02-14 18:07:36.000,6.19.0,79.0,489.0,286.0,44,True,,pyinstaller,conda-forge/pyinstaller,88674.0,86986.0,https://pypi.org/project/pyinstaller,2026-02-14 18:05:22.000,1688.0,6901033.0,6932893.0,https://anaconda.org/conda-forge/pyinstaller,2026-02-18 18:21:27.703,1664091.0,1.0,,753025.0,,,,,,,,,,,,,,,,,,
14,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-03-10 21:11:27.000000,2026-03-10 06:48:04,9967.0,76.0,1218.0,74.0,4969.0,4904.0,5658.0,2026-02-20 09:07:31.000,4.0.5,211.0,633.0,1019.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,500762.0,488466.0,https://pypi.org/project/pylint,2026-02-20 09:07:31.000,12296.0,56249546.0,56358984.0,https://anaconda.org/conda-forge/pylint,2026-02-20 20:25:17.290,7550600.0,1.0,,604.0,,,,,,,,,,,,,,,,,,
15,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-03-04 14:33:43.144000,2026-03-03 22:08:19,15353.0,46.0,2531.0,473.0,852.0,4528.0,11469.0,2026-03-03 16:50:54.000,7.4.2,152.0,224.0,282.0,43,True,,robotframework,conda-forge/robotframework,15046.0,13934.0,https://pypi.org/project/robotframework,2026-03-03 16:28:51.000,1112.0,4784226.0,4788562.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,259960.0,1.0,,579.0,,,,,,,,,,,,,,,,,,
16,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2026-03-09 21:25:36.000000,2026-03-09 21:25:36,17231.0,200.0,632.0,66.0,2929.0,1679.0,8488.0,2026-02-16 22:59:42.000,hypothesis-python-6.151.9,1488.0,364.0,60.0,43,True,,hypothesis,conda-forge/hypothesis,42633.0,38647.0,https://pypi.org/project/hypothesis,2026-02-16 22:59:20.000,3986.0,26144912.0,26390906.0,https://anaconda.org/conda-forge/hypothesis,2026-02-17 02:59:19.909,17219622.0,1.0,,,,,,,,1.0,,,,,,,,,,,,
17,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2026-03-08 22:44:48.000000,2025-12-31 15:07:44,22399.0,33.0,2394.0,167.0,6615.0,6178.0,7719.0,2025-12-31 15:09:25.000,9.1.0,241.0,907.0,1423.0,43,False,,sphinx,conda-forge/sphinx,514186.0,478129.0,https://pypi.org/project/sphinx,2025-12-31 15:09:25.000,36057.0,69661654.0,69859292.0,https://anaconda.org/conda-forge/sphinx,2026-01-01 12:53:05.325,13834678.0,1.0,['sphinx'],,,,,,,2.0,,,,,,,,,,,,
18,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2026-03-12 11:50:14.000000,2026-03-12 11:50:13,17690.0,134.0,2103.0,177.0,5302.0,9843.0,7335.0,2026-02-17 21:25:35.000,26.1.1,110.0,487.0,610.0,43,True,,conda,conda-forge/conda,51907.0,51824.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,6325.0,1012401.0,https://anaconda.org/conda-forge/conda,2026-02-27 11:37:35.679,70392677.0,1.0,,42981.0,,,,,,,,,,,,,,,,,,
19,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-03-12 09:02:46.000000,2026-03-12 08:57:36,4512.0,64.0,615.0,43.0,1112.0,1210.0,6913.0,2026-02-28 10:08:19.000,8.0.1,152.0,331.0,171.0,43,True,,isort,conda-forge/isort,601367.0,574769.0,https://pypi.org/project/isort,2026-02-28 10:08:19.000,26598.0,97625932.0,97756051.0,https://anaconda.org/conda-forge/isort,2026-02-28 11:36:11.788,8848145.0,2.0,,,,,,,,1.0,,,,,,,,,,,,
20,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2026-03-09 21:43:40.000000,2026-03-07 15:47:01,3720.0,50.0,2393.0,187.0,3321.0,5813.0,34358.0,2026-02-01 15:40:53.000,2.3.2,184.0,638.0,577.0,42,True,,poetry,conda-forge/poetry,898.0,,https://pypi.org/project/poetry,2026-02-01 15:40:53.000,898.0,73216652.0,73505773.0,https://anaconda.org/conda-forge/poetry,2026-03-07 19:17:52.885,7720913.0,2.0,,15595776.0,,,,,,,,,,,,,,,,,,
21,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-03-10 19:12:03.904000,2026-03-10 15:41:24,6734.0,38.0,4051.0,147.0,3332.0,2664.0,26259.0,2026-03-10 15:43:19.000,9.7.5,440.0,330.0,2.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,90697.0,81540.0,https://pypi.org/project/mkdocs-material,2026-03-10 15:43:19.000,9157.0,15795482.0,15808473.0,https://anaconda.org/conda-forge/mkdocs-material,2026-03-10 19:12:03.904,909389.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2026-03-01 23:13:13.000000,2025-12-22 21:55:46,2820.0,7.0,932.0,90.0,1312.0,2253.0,15154.0,2025-12-16 21:18:45.000,4.5.1,201.0,166.0,30.0,41,True,,pre-commit,conda-forge/pre-commit,295405.0,269443.0,https://pypi.org/project/pre-commit,2025-12-16 21:14:32.000,25962.0,106671919.0,106869764.0,https://anaconda.org/conda-forge/pre-commit,2025-12-17 02:34:24.697,9068317.0,1.0,,5174803.0,,,,,,,,,,,,,,,,,,
23,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-02-13 11:01:08.000000,2026-02-13 11:01:08,8510.0,8.0,523.0,108.0,624.0,1367.0,6119.0,2024-11-11 01:41:40.000,0.19.2,35.0,179.0,95.0,41,True,,jedi,conda-forge/jedi,593390.0,592237.0,https://pypi.org/project/jedi,2024-11-11 01:41:40.000,1153.0,102132416.0,102662421.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,36570391.0,1.0,,,,,,,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-03-10 09:07:59.537000,2026-03-09 19:23:04,1112.0,81.0,1084.0,162.0,1635.0,1415.0,5015.0,2026-03-09 17:24:46.000,21.2.0,255.0,304.0,1.0,41,True,,virtualenv,conda-forge/virtualenv,2097.0,,https://pypi.org/project/virtualenv,2026-03-09 17:24:35.000,2097.0,337636171.0,337942199.0,https://anaconda.org/conda-forge/virtualenv,2026-03-10 09:07:59.537,19891836.0,2.0,,39.0,,,,,,-4.0,,,,,,,,,,,,
25,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2026-03-11 12:51:03.196000,2026-03-11 00:26:21,1149.0,199.0,550.0,38.0,1801.0,1872.0,3903.0,2026-03-09 22:44:09.000,4.49.1,276.0,345.0,3.0,41,True,,tox,conda-forge/tox,12852.0,,https://pypi.org/project/tox,2026-03-09 22:44:09.000,12852.0,33271148.0,33295806.0,https://anaconda.org/conda-forge/tox,2026-03-11 12:51:03.196,1726098.0,1.0,['pytest'],,,,,,,,,,,,,,,,,,,
26,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-10-20 13:17:06.000000,2025-10-20 13:17:06,2118.0,,2588.0,226.0,1352.0,1999.0,21831.0,2024-08-30 12:24:05.000,1.6.1,62.0,262.0,144.0,40,True,,mkdocs,conda-forge/mkdocs,104048.0,96912.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,7136.0,15413216.0,15427208.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,797579.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
27,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,AGPL-3.0,2013-04-23 15:40:33.000,2026-03-12 14:46:10.000000,2026-03-12 13:05:42,14533.0,565.0,769.0,135.0,523.0,2596.0,14631.0,2026-03-12 10:03:39.000,4.0.5,376.0,206.0,187.0,40,True,,nuitka,conda-forge/nuitka,3870.0,3672.0,https://pypi.org/project/nuitka,2026-03-12 10:03:39.000,198.0,1136078.0,1175861.0,https://anaconda.org/conda-forge/nuitka,2026-03-11 01:52:22.434,2784829.0,1.0,,,,,,,,,,,,,,,,,,,,
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2026-03-12 15:14:37.000000,2026-03-12 12:20:57,3704.0,244.0,585.0,70.0,3450.0,1843.0,2151.0,2026-03-02 15:12:59.000,2.54.0,324.0,302.0,297.0,40,True,,sentry-sdk,conda-forge/sentry-sdk,1504.0,,https://pypi.org/project/sentry-sdk,2026-03-03 13:14:13.000,1504.0,104209460.0,104232203.0,https://anaconda.org/conda-forge/sentry-sdk,2026-03-04 11:20:10.495,1558310.0,1.0,,3836.0,,,,,,,,,,,,,,,,,,
29,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2026-03-09 20:22:34.000000,2026-03-02 21:10:49,1297.0,49.0,176.0,34.0,971.0,337.0,1621.0,2025-11-10 16:08:54.000,1.3.0,72.0,77.0,56.0,40,True,,pytest-asyncio,conda-forge/pytest-asyncio,197231.0,182661.0,https://pypi.org/project/pytest-asyncio,2025-11-10 16:07:45.000,14570.0,136746846.0,136789548.0,https://anaconda.org/conda-forge/pytest-asyncio,2025-11-10 17:56:23.183,2986558.0,1.0,['pytest'],1853.0,,,,,,,,,,,,,,,,,,
30,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2026-02-11 12:58:02.000000,2026-02-11 12:58:01,1007.0,2.0,1122.0,149.0,1165.0,1451.0,14363.0,2026-01-30 15:09:24.000,1.58.0,127.0,51.0,70.0,39,True,,playwright,,54844.0,51102.0,https://pypi.org/project/playwright,2026-01-30 15:09:24.000,3742.0,41840023.0,41840023.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
