,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-17 16:37:24.000,2022-02-19 17:48:44,116.0,22.0,101.0,46.0,76.0,2.0,1466.0,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-03-24 01:00:03.000,2022-03-24 01:00:02,14403.0,232.0,1983.0,194.0,4530.0,4148.0,8552.0,2022-03-17 21:15:39.000,7.1.1,153.0,777.0,760.0,48,True,pytest,conda-forge/pytest,['pytest'],549676.0,468247.0,https://pypi.org/project/pytest,2022-03-17 21:15:01.000,81429.0,39235611.0,39411435.0,https://anaconda.org/conda-forge/pytest,2022-03-18 14:57:34.106,11956081.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-03-23 12:22:28.000,2022-03-22 06:38:16,12797.0,174.0,2552.0,299.0,4782.0,5281.0,7841.0,2022-03-07 07:42:43.000,22.0.4,118.0,665.0,978.0,45,True,pip,conda-forge/pip,,87032.0,76495.0,https://pypi.org/project/pip,2022-03-07 07:42:43.000,10537.0,99271429.0,99759285.0,https://anaconda.org/conda-forge/pip,2022-03-07 10:47:21.063,33174273.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-03-24 14:17:38.000,2022-03-23 11:05:04,11898.0,450.0,834.0,81.0,1096.0,1520.0,1585.0,2022-03-16 16:51:02.000,60.10.0,480.0,487.0,498.0,45,True,setuptools,conda-forge/setuptools,,189855.0,153935.0,https://pypi.org/project/setuptools,2022-03-16 16:50:43.000,35920.0,179444826.0,179966130.0,https://anaconda.org/conda-forge/setuptools,2022-03-17 01:30:49.643,35448649.0,1.0,,117.0,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-03-24 10:29:20.000,2022-03-24 02:16:09,1293.0,98.0,1629.0,216.0,1056.0,1572.0,26609.0,2022-01-29 20:39:31.000,22.1.0,38.0,312.0,321.0,44,True,black,conda-forge/black,,139642.0,132728.0,https://pypi.org/project/black,2022-01-29 20:39:31.000,6914.0,13290286.0,13366350.0,https://anaconda.org/conda-forge/black,2022-01-31 13:41:24.552,3472045.0,1.0,,21086.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-03-18 15:02:56.000,2022-03-18 15:02:56,5761.0,29.0,1188.0,232.0,556.0,1327.0,8219.0,2021-12-29 21:26:19.000,5.9.0,84.0,176.0,210.0,44,True,psutil,conda-forge/psutil,,162574.0,147175.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,40850647.0,40998017.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,10463304.0,1.0,,,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-03-24 14:17:04.000,2022-03-24 14:17:03,18818.0,264.0,1626.0,132.0,4395.0,4946.0,4498.0,2022-01-16 15:20:56.000,4.4.0,162.0,713.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],249235.0,190410.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,5126582.0,5199599.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4892160.0,1.0,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-03-24 00:35:37.000,2022-03-23 23:35:33,7356.0,114.0,1727.0,367.0,1384.0,3133.0,22785.0,2022-03-23 23:33:27.000,2022.3.24,307.0,414.0,498.0,43,True,pipenv,conda-forge/pipenv,,26968.0,25729.0,https://pypi.org/project/pipenv,2022-03-23 23:35:27.000,1239.0,4446863.0,4448501.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,47517.0,1.0,,,,,,,,,,,,,,,,,,,
