,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-25 14:25:22.000,2021-02-18 16:33:46.000,61.0,2.0,1041.0,2021-02-18 16:33:55.000,2021.02.18,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-02-25 08:28:57.000,2021-02-25 08:28:57.000,1640.0,3779.0,7057.0,2021-01-25 14:52:06.000,6.2.2,145.0,699.0,conda-forge/pytest,['pytest'],pytest,626.0,13434.0,418443.0,287859.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,10531322.0,10652907.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,6687227.0,1.0,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-02-25 14:07:30.000,2021-02-25 13:09:04.000,2183.0,4583.0,6927.0,2021-01-30 12:54:11.000,21.0.1,102.0,589.0,conda-forge/pip,,pip,975.0,11431.0,62237.0,43571.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,46366862.0,46687275.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,17622769.0,1.0,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-02-24 18:13:20.000,2021-02-17 13:18:20.000,1423.0,4486.0,3804.0,2021-02-14 07:57:29.000,3.5.0,143.0,617.0,conda-forge/sphinx,['sphinx'],sphinx,752.0,17082.0,234192.0,129656.0,https://pypi.org/project/sphinx,2021-02-16 14:36:04.000,104536.0,1751700.0,1802878.0,https://anaconda.org/conda-forge/sphinx,2021-02-16 16:10:15.633,2763623.0,1.0,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-02-18 09:05:53.000,2021-02-04 14:18:14.000,1597.0,2858.0,21574.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,,pipenv,498.0,7035.0,19023.0,16749.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1243320.0,1245601.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,36509.0,1.0,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-02-25 14:29:41.000,2021-02-18 03:42:36.000,899.0,497.0,17545.0,2021-02-18 03:51:17.000,4.57.0,114.0,94.0,conda-forge/tqdm,,tqdm,273.0,1762.0,176590.0,150352.0,https://pypi.org/project/tqdm,2021-02-18 03:47:30.000,26238.0,7599672.0,7693137.0,https://anaconda.org/conda-forge/tqdm,2021-02-18 06:06:46.782,5227434.0,1.0,7355.0,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-02-24 00:23:50.000,2021-02-21 10:25:07.000,1091.0,1270.0,7093.0,2020-12-19 01:19:27.000,5.8.0,83.0,157.0,conda-forge/psutil,,psutil,169.0,5674.0,99705.0,75039.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,16139328.0,16239896.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5832980.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-31 23:41:41.000,2021-01-31 23:41:40.000,424.0,1195.0,4772.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,,jedi,19.0,8198.0,132050.0,116144.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,6568321.0,6647683.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4126865.0,1.0,,,,,,,,,,
10,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-02-24 07:40:55.000,2021-02-24 07:40:54.000,377.0,886.0,3714.0,2020-12-31 01:16:34.000,5.7.0,126.0,226.0,conda-forge/isort,,isort,31.0,3449.0,180691.0,156473.0,https://pypi.org/project/isort,2020-12-31 01:15:41.000,24218.0,5196951.0,5226194.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1608370.0,1.0,,,,,,,,,,
11,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-02-24 15:20:46.000,2021-02-24 15:20:46.000,1616.0,4518.0,10072.0,,,79.0,448.0,conda-forge/mypy,,mypy,1603.0,9392.0,34879.0,28795.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,2348266.0,2366495.0,https://anaconda.org/conda-forge/mypy,2021-02-19 18:45:03.122,710956.0,1.0,,,,,,,,,,
12,pylint,https://github.com/PyCQA/pylint,,It's not just a linter that annoys you!.,linters,35,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2021-02-25 10:13:34.000,2021-02-23 19:46:19.000,675.0,2577.0,3221.0,2021-02-23 20:15:22.000,2.7.1,94.0,361.0,conda-forge/pylint,,pylint,675.0,5106.0,218758.0,181024.0,https://pypi.org/project/pylint,2021-02-23 20:15:22.000,37734.0,3291742.0,3321059.0,https://anaconda.org/conda-forge/pylint,2021-02-17 09:43:29.814,1583152.0,1.0,,1.0,,,,,,,,
13,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-02-20 10:07:06.000,2021-02-16 15:59:24.000,350.0,982.0,2082.0,2021-02-16 08:44:01.000,3.22.0,114.0,234.0,conda-forge/tox,['pytest'],tox,143.0,1965.0,77679.0,41279.0,https://pypi.org/project/tox,2021-02-16 08:44:01.000,36400.0,1656387.0,1661859.0,https://anaconda.org/conda-forge/tox,2021-02-17 03:38:42.176,224389.0,1.0,,,,,,,,,,
14,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2021-02-25 13:59:23.000,2021-02-25 13:58:43.000,701.0,1200.0,1303.0,2021-02-01 15:39:41.000,53.0.0,419.0,413.0,conda-forge/setuptools,,setuptools,532.0,,149250.0,91320.0,https://pypi.org/project/setuptools,2021-02-01 15:39:30.000,57930.0,44403632.0,44751330.0,https://anaconda.org/conda-forge/setuptools,2021-01-08 05:42:17.824,19123285.0,1.0,105.0,,,,,,,,,
15,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,34,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-01-07 23:32:13.000,2021-01-07 23:32:08.000,183.0,,1090.0,2020-10-02 23:34:01.000,3.8.4,76.0,148.0,conda-forge/flake8,,flake8,7.0,1876.0,221858.0,150568.0,https://pypi.org/project/flake8,2020-10-02 23:34:01.000,71290.0,3890817.0,3927206.0,https://anaconda.org/conda-forge/flake8,2020-10-05 05:07:54.333,2037809.0,1.0,,,,,,,,,,
16,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,33,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2021-02-24 21:45:47.000,2021-02-24 11:56:56.000,1213.0,978.0,19694.0,2020-08-26 15:56:21.000,20.8b1,23.0,225.0,conda-forge/black,,black,389.0,898.0,53420.0,47192.0,https://pypi.org/project/black,2020-08-26 15:52:03.000,6228.0,2398756.0,2434117.0,https://anaconda.org/conda-forge/black,2020-09-07 11:42:46.809,1150723.0,2.0,11314.0,,,,,,,,,
17,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-02-23 23:33:06.000,2021-02-21 20:05:14.000,1668.0,1341.0,11650.0,2020-05-14 15:18:01.000,1.1.2,44.0,184.0,conda-forge/mkdocs,['mkdocs'],mkdocs,142.0,1497.0,16695.0,10753.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,193172.0,195218.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,118683.0,1.0,,,,,,,,,,
18,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,33,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2021-02-24 18:28:57.000,2021-02-21 17:57:17.000,1583.0,3285.0,5590.0,2020-09-01 18:21:46.000,3.2.2,53.0,133.0,conda-forge/robotframework,,robotframework,188.0,12776.0,4831.0,3423.0,https://pypi.org/project/robotframework,2021-02-16 19:59:51.000,1408.0,280116.0,281174.0,https://anaconda.org/conda-forge/robotframework,2020-09-03 11:47:40.885,38959.0,1.0,499.0,,,,,,,,,
19,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2021-02-25 05:59:34.292,2021-02-25 03:37:50.000,451.0,1009.0,4969.0,2021-02-25 03:38:13.000,hypothesis-python-6.3.2,803.0,243.0,conda-forge/hypothesis,,hypothesis,53.0,10533.0,10424.0,7808.0,https://pypi.org/project/hypothesis,2021-02-24 05:55:31.000,2616.0,580628.0,645412.0,https://anaconda.org/conda-forge/hypothesis,2021-02-25 05:59:34.292,3563123.0,1.0,,,,,,,,,,
