,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
10,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,35,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-12-30 14:19:34.000000,2021-12-30 11:49:55.000000,1915.0,4069.0,8095.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,762.0,722.0,pytest,conda-forge/pytest,,549826.0,419242.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,130584.0,30724062.0,30890912.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10845267.0,1.0,,['pytest'],,,,,,,,,,,,,,
11,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-12-30 11:23:47.000000,2021-12-21 23:56:51.000000,2436.0,5149.0,7635.0,2021-10-22 15:57:09.000000,21.3.1,113.0,649.0,911.0,pip,conda-forge/pip,,86824.0,68158.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000000,18666.0,77327112.0,77768168.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098000,28668678.0,1.0,,,,,,,,,,,,,,,,
12,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,35,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-12-29 17:17:32.000000,2021-12-24 08:31:25.000000,1833.0,3491.0,6561.0,2021-12-15 19:00:16.000000,4.1.3,81.0,153.0,221.0,robotframework,conda-forge/robotframework,13197.0,6150.0,4742.0,https://pypi.org/project/robotframework,2021-12-15 18:57:24.000000,1408.0,815973.0,817456.0,https://anaconda.org/conda-forge/robotframework,2021-12-15 22:28:24.922000,69489.0,1.0,,,,514.0,,,,,,,,,,,,
13,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,35,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-12-29 21:30:18.000000,2021-12-29 20:34:39.000000,804.0,1371.0,1509.0,2021-12-29 21:30:26.000000,60.2.0,467.0,473.0,550.0,setuptools,conda-forge/setuptools,,189489.0,131559.0,https://pypi.org/project/setuptools,2021-12-29 21:30:18.000000,57930.0,206864329.0,207339443.0,https://anaconda.org/conda-forge/setuptools,2021-12-29 17:26:40.348000,30882399.0,1.0,,,,113.0,,,,,,,,,,,,
14,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-12-30 07:12:53.000000,2021-12-25 03:28:43.000000,1537.0,1429.0,24107.0,2021-12-05 22:41:43.000000,21.12b0,37.0,289.0,350.0,black,conda-forge/black,,110690.0,104462.0,https://pypi.org/project/black,2021-12-05 22:42:08.000000,6228.0,9314391.0,9377120.0,https://anaconda.org/conda-forge/black,2021-12-13 14:19:25.118000,2672311.0,1.0,,,,19242.0,,,,,,,,,,,,
15,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,34,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-12-29 03:09:31.000000,2021-12-29 03:09:30.000000,1685.0,3005.0,22555.0,2021-11-23 15:27:39.000000,2021.11.23,303.0,396.0,583.0,pipenv,conda-forge/pipenv,,26221.0,23947.0,https://pypi.org/project/pipenv,2021-11-23 15:27:39.000000,2274.0,3810515.0,3812275.0,https://anaconda.org/conda-forge/pipenv,2021-11-24 15:21:31.977000,45764.0,1.0,,,,,,,,,,,,,,,,
16,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,34,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-12-30 11:09:39.000000,2021-12-30 11:04:44.000000,1930.0,1230.0,8357.0,2021-12-19 12:50:32.000000,8.1.3,233.0,140.0,20.0,mkdocs-material,conda-forge/mkdocs-material,3918.0,11835.0,10333.0,https://pypi.org/project/mkdocs-material,2021-12-19 12:50:32.000000,1502.0,693494.0,695967.0,https://anaconda.org/conda-forge/mkdocs-material,2021-12-20 14:30:57.230000,76669.0,1.0,,['mkdocs'],,,,,,,,,,,,,,
17,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2021-11-03 13:22:29.000000,2021-10-30 04:18:06.000000,253.0,340.0,3971.0,2021-10-24 07:01:21.000000,1.6.0,68.0,51.0,92.0,autopep8,conda-forge/autopep8,2730.0,111035.0,100851.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000000,10184.0,2376879.0,2385748.0,https://anaconda.org/conda-forge/autopep8,2021-10-26 17:07:50.178000,585419.0,1.0,,,,,,,,,,,,,,,,
18,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,34,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2021-12-28 16:34:35.000000,2021-12-21 17:09:57.000000,158.0,204.0,1159.0,2021-10-04 01:48:57.000000,3.0.0,43.0,74.0,106.0,pytest-cov,conda-forge/pytest-cov,868.0,152205.0,108811.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,43394.0,10123792.0,10186020.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,4293796.0,1.0,,['pytest'],,,,,,,,,,,,,,
19,sentry-sdk,https://github.com/getsentry/sentry-python,,The new Python SDK for Sentry.io.,logging,34,True,getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000000,2021-12-27 03:00:43.000000,2021-12-23 13:15:42.000000,256.0,427.0,1110.0,2021-12-13 14:18:31.000000,1.5.1,137.0,113.0,185.0,sentry-sdk,conda-forge/sentry-sdk,1325.0,17542.0,16556.0,https://pypi.org/project/sentry-sdk,2021-12-13 14:18:29.000000,986.0,11591625.0,11594976.0,https://anaconda.org/conda-forge/sentry-sdk,2021-12-13 17:53:01.825000,119647.0,1.0,,,,4509.0,,,,,,,,,,,,
