,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-05-01 07:51:10.000000,2026-05-01 07:51:08,423.0,22.0,197.0,55.0,248.0,4.0,2717.0,2026-05-01 07:51:12.000,2026.04.30,100.0,17.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-04-30 19:28:24.000000,2025-11-06 18:40:58,419.0,,119.0,18.0,367.0,37.0,1736.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,2.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-05-03 19:14:18.000000,2026-05-03 19:14:18,17320.0,169.0,3110.0,197.0,7004.0,5429.0,13831.0,2026-04-07 17:16:45.000,9.0.3,190.0,1107.0,986.0,50,True,,pytest,conda-forge/pytest,['pytest'],29479.0,703215390.0,1935990.0,1782004.0,https://pypi.org/project/pytest,2026-04-07 17:16:16.000,153986.0,702501602.0,https://anaconda.org/conda-forge/pytest,2026-04-10 13:05:52.057,47799536.0,1.0,,,,,,,,,,,,,,,,,,
5,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-05-07 15:58:24.000000,2026-05-07 05:56:47,15147.0,1158.0,2032.0,101.0,16311.0,6313.0,47421.0,2026-04-24 18:18:25.000,0.15.12,405.0,864.0,1670.0,48,True,astral-sh/ruff,ruff,conda-forge/ruff,,5404857.0,208426008.0,238765.0,182967.0,https://pypi.org/project/ruff,2026-04-24 18:17:07.000,55798.0,208032502.0,https://anaconda.org/conda-forge/ruff,2026-05-07 02:34:42.433,6657555.0,1.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-05-06 22:21:19.000000,2026-05-06 22:21:06,6709.0,231.0,1478.0,223.0,900.0,1583.0,11159.0,2026-01-28 18:14:57.000,7.2.2,104.0,232.0,373.0,48,True,,psutil,conda-forge/psutil,,,342834639.0,804883.0,785261.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,341960665.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,61178194.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-04-12 11:02:00.080000,2026-04-12 09:40:06,4458.0,63.0,2123.0,526.0,1455.0,1282.0,56284.0,2026-04-12 08:27:58.000,15.0.0,207.0,289.0,314.0,47,True,,rich,conda-forge/rich,,,572054705.0,571501.0,527733.0,https://pypi.org/project/rich,2026-04-12 08:24:02.000,43768.0,571771983.0,https://anaconda.org/conda-forge/rich,2026-04-12 11:02:00.080,19790583.0,1.0,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2026-05-07 16:08:14.000000,2026-05-07 13:26:59,13588.0,325.0,3183.0,234.0,9328.0,9293.0,20410.0,2026-05-06 19:20:30.000,2.0.0,137.0,847.0,3147.0,47,False,,mypy,conda-forge/mypy,,,154943180.0,428509.0,367405.0,https://pypi.org/project/mypy,2026-05-06 19:20:30.000,61104.0,154840275.0,https://anaconda.org/conda-forge/mypy,2026-04-21 20:44:20.463,7306321.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-05-04 19:52:45.967000,2026-05-04 19:11:13,15975.0,183.0,3266.0,316.0,6174.0,6783.0,10191.0,2026-05-04 19:02:18.000,26.1.1,157.0,878.0,1065.0,47,True,,pip,conda-forge/pip,,,605751853.0,256822.0,250827.0,https://pypi.org/project/pip,2026-05-04 19:02:18.000,5995.0,602768543.0,https://anaconda.org/conda-forge/pip,2026-05-04 19:52:45.967,214798388.0,1.0,,,,,,,,,,,,,,,,,,
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2026-04-13 09:04:58.000000,2026-04-13 09:04:56,16613.0,49.0,1373.0,95.0,2008.0,2216.0,2830.0,2026-03-09 12:47:20.000,82.0.1,631.0,640.0,636.0,47,True,,setuptools,conda-forge/setuptools,,,1337139380.0,884464.0,852475.0,https://pypi.org/project/setuptools,2026-03-09 12:47:15.000,31989.0,1334405962.0,https://anaconda.org/conda-forge/setuptools,2026-03-09 16:49:40.576,196806100.0,1.0,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-04-27 21:29:43.000000,2026-04-27 14:35:59,2204.0,75.0,2746.0,227.0,2231.0,2505.0,41491.0,2026-03-12 03:36:01.000,26.3.1,72.0,520.0,322.0,46,True,,black,conda-forge/black,,148018.0,119829258.0,734934.0,677205.0,https://pypi.org/project/black,2026-03-12 03:36:01.000,57729.0,119563221.0,https://anaconda.org/conda-forge/black,2026-03-12 11:38:04.361,18502172.0,1.0,,,,,,,,,,,,,,,,,,
12,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2026-05-02 10:44:55.000000,2026-05-02 10:44:53,9599.0,310.0,1880.0,353.0,2190.0,4356.0,25085.0,2026-04-28 11:48:55.000,2026.6.1,417.0,542.0,12.0,46,True,,pipenv,conda-forge/pipenv,,,23326384.0,174544.0,174287.0,https://pypi.org/project/pipenv,2026-04-28 11:48:55.000,257.0,23321770.0,https://anaconda.org/conda-forge/pipenv,2026-04-28 13:33:18.059,332272.0,1.0,,,,,,,,,,,,,,,,,,
13,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2026-05-05 07:04:38.852000,2026-05-05 01:32:57,1155.0,104.0,1088.0,161.0,1672.0,1423.0,5034.0,2026-05-05 01:34:38.000,21.3.1,261.0,307.0,,45,True,,virtualenv,conda-forge/virtualenv,,113.0,441825429.0,506702.0,504552.0,https://pypi.org/project/virtualenv,2026-05-05 01:34:28.000,2150.0,441514113.0,https://anaconda.org/conda-forge/virtualenv,2026-05-05 07:04:38.852,20858106.0,2.0,,,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2026-04-26 22:26:50.000000,2026-04-26 22:26:50,9983.0,74.0,2018.0,223.0,2693.0,5345.0,12976.0,2026-04-22 21:00:44.000,6.20.0,80.0,492.0,291.0,44,True,,pyinstaller,conda-forge/pyinstaller,,753556.0,9048364.0,90073.0,88082.0,https://pypi.org/project/pyinstaller,2026-04-22 20:58:32.000,1991.0,9015504.0,https://anaconda.org/conda-forge/pyinstaller,2026-04-23 11:10:51.959,1785820.0,1.0,,,,,,,,,,,,,,,,,,
15,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2026-05-01 23:38:51.000000,2026-05-01 23:24:54,8580.0,68.0,530.0,106.0,627.0,1394.0,6137.0,2026-05-01 23:38:43.000,0.20.0,36.0,178.0,73.0,44,True,,jedi,conda-forge/jedi,,,143767634.0,598169.0,596568.0,https://pypi.org/project/jedi,2026-05-01 23:38:43.000,1601.0,143234870.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,37826290.0,1.0,,,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2026-05-07 12:06:53.000000,2026-05-07 12:06:53,10015.0,86.0,1240.0,72.0,5034.0,4919.0,5676.0,2026-02-20 09:07:31.000,4.0.5,211.0,637.0,1024.0,44,True,pylint-dev/pylint,pylint,conda-forge/pylint,,743.0,47998753.0,503037.0,490741.0,https://pypi.org/project/pylint,2026-02-20 09:07:31.000,12296.0,47888148.0,https://anaconda.org/conda-forge/pylint,2026-02-20 20:25:17.290,7852209.0,1.0,,,,,,,,,,,,,,,,,,
17,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2026-05-04 09:11:07.139954,2026-02-03 16:58:32,2036.0,,1436.0,209.0,619.0,594.0,31138.0,2026-02-03 18:07:15.000,4.67.3,144.0,130.0,584.0,43,True,,tqdm,conda-forge/tqdm,,20677.0,454564602.0,1250073.0,1199628.0,https://pypi.org/project/tqdm,2026-02-03 17:35:50.000,50445.0,453874028.0,https://anaconda.org/conda-forge/tqdm,2026-02-03 21:18:13.686,49013288.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2026-05-04 09:11:07.139954,3.0,6329.0,,,,,,,,,,,,,
18,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2026-05-01 17:24:28.000000,2026-05-01 17:24:23,6750.0,43.0,4057.0,145.0,3337.0,2669.0,26673.0,2026-03-19 15:41:55.000,9.7.6,441.0,332.0,1.0,43,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,16284045.0,94674.0,85167.0,https://pypi.org/project/mkdocs-material,2026-03-19 15:41:55.000,9507.0,16270555.0,https://anaconda.org/conda-forge/mkdocs-material,2026-03-27 14:03:05.465,971325.0,1.0,,,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2026-05-07 07:42:08.000000,2026-05-07 07:28:04,15427.0,90.0,2531.0,471.0,859.0,4548.0,11614.0,2026-03-03 16:50:54.000,7.4.2,152.0,228.0,282.0,43,True,,robotframework,conda-forge/robotframework,,579.0,4755476.0,15112.0,14000.0,https://pypi.org/project/robotframework,2026-03-03 16:28:51.000,1112.0,4751126.0,https://anaconda.org/conda-forge/robotframework,2026-03-04 14:33:43.144,269482.0,1.0,,,,,,,,,,,,,,,,,,
20,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2026-05-07 07:59:03.000000,2026-05-07 07:59:02,17801.0,153.0,2155.0,178.0,5453.0,9928.0,7394.0,2026-04-10 19:43:53.000,26.3.2,112.0,491.0,641.0,43,True,,conda,conda-forge/conda,,46890.0,1018621.0,51943.0,51860.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,6889.0,https://anaconda.org/conda-forge/conda,2026-04-29 10:28:21.574,72808864.0,1.0,,,,,,,,,,,,,,,,,,
21,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2026-04-30 14:50:03.000000,2026-04-30 14:47:26,4603.0,153.0,629.0,43.0,1150.0,1253.0,6940.0,2026-02-28 10:08:19.000,8.0.1,154.0,337.0,105.0,43,True,,isort,conda-forge/isort,,,91424632.0,606502.0,578770.0,https://pypi.org/project/isort,2026-04-24 07:48:43.000,27732.0,91293651.0,https://anaconda.org/conda-forge/isort,2026-02-28 11:36:11.788,9168722.0,2.0,,,,,,,,,,,,,,,,,,
