,name,github_id,category,description,resource,homepage,contributor_count,github_url,license,created_at,updated_at,fork_count,open_issue_count,star_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,conda_forge
119,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,20.0,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2026-04-20 13:01:50.000,34.0,9.0,703.0,25,True,pytest-randomly,conda-forge/pytest-randomly,,13428.0,12486.0,https://pypi.org/project/pytest-randomly,2026-04-20 13:01:50.000,2026-04-20 13:01:50.000,4.1.0,37.0,942.0,8951131.0,8958221.0,https://anaconda.org/conda-forge/pytest-randomly,2025-04-22 14:58:02.951,404172.0,3.0,,,,,,,,,,,,,,,,
120,pylint-django,PyCQA/pylint-django,linters,A Pylint plugin to help Pylint understand the Django web framework.,,https://github.com/pylint-dev/pylint-django,73.0,,GPL-3.0,2020-11-12 20:29:41.561,2026-07-11 15:01:52.120,122.0,,622.0,25,True,pylint-django,conda-forge/pylint-django,['pylint'],32712.0,32528.0,https://pypi.org/project/pylint-django,2026-07-11 10:05:29.000,2026-07-11 10:05:29.000,2.8.0,59.0,184.0,2123507.0,2131823.0,https://anaconda.org/conda-forge/pylint-django,2026-07-11 15:01:52.120,565512.0,2.0,,,,,,,,,,,,,,,,
121,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,"Rebuild Sphinx documentation on changes, with hot reloading in the browser.",,https://github.com/sphinx-doc/sphinx-autobuild,37.0,,MIT,2020-12-16 17:57:14.331,2025-11-04 15:27:59.755,94.0,,602.0,25,True,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],35163.0,32881.0,https://pypi.org/project/sphinx-autobuild,2025-08-25 18:44:54.000,2025-08-25 18:44:54.000,2025.8.25,25.0,2282.0,5810073.0,5818434.0,https://anaconda.org/conda-forge/sphinx-autobuild,2025-11-04 15:27:59.755,560220.0,2.0,,,,,,,,,,,,,,,,
122,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,37.0,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2025-05-06 21:53:54.000,265.0,21.0,532.0,25,False,pep8-naming,conda-forge/pep8-naming,,60498.0,59662.0,https://pypi.org/project/pep8-naming,2025-05-05 20:43:11.000,2025-05-05 20:43:11.000,0.15.1,31.0,836.0,2614407.0,2623738.0,https://anaconda.org/conda-forge/pep8-naming,2025-05-06 21:46:36.863,671837.0,2.0,,,,,,,,,,,,,,,,
123,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,22.0,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2025-04-22 14:57:12.196,41.0,71.0,483.0,25,False,darglint,conda-forge/darglint,,23023.0,22733.0,https://pypi.org/project/darglint,2021-10-18 03:40:35.000,2021-10-18 03:40:35.000,1.8.1,49.0,290.0,560504.0,562251.0,https://anaconda.org/conda-forge/darglint,2025-04-22 14:57:12.196,127582.0,2.0,,,,,,,,,,,,,,,,
124,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,40.0,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2025-10-25 14:27:21.036,198.0,2.0,183.0,25,True,flake8-isort,conda-forge/flake8-isort,['flake8'],29290.0,28661.0,https://pypi.org/project/flake8-isort,2025-10-25 13:31:06.000,2025-10-25 13:31:06.000,7.0.0,45.0,629.0,2089625.0,2091103.0,https://anaconda.org/conda-forge/flake8-isort,2025-10-25 14:27:21.036,106418.0,2.0,,,,,,,,,,,,,,,,
125,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,33.0,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2025-04-22 14:56:27.787,39.0,11.0,178.0,25,False,flake8-quotes,conda-forge/flake8-quotes,['flake8'],24445.0,24011.0,https://pypi.org/project/flake8-quotes,2024-02-10 21:58:22.000,2024-02-10 21:58:22.000,3.4.0,42.0,434.0,911052.0,930060.0,https://anaconda.org/conda-forge/flake8-quotes,2025-04-22 14:56:27.787,1121473.0,2.0,,,,,,,,,,,,,,,,
126,gast,serge-sans-paille/gast,ast,Python AST that abstracts the underlying Python version.,,https://github.com/serge-sans-paille/gast,13.0,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2025-11-30 12:53:57.736,38.0,,146.0,25,True,gast,conda-forge/gast,,217415.0,216884.0,https://pypi.org/project/gast,2025-11-29 15:30:03.000,2025-11-29 15:30:03.000,0.7.0,24.0,531.0,18715077.0,18779138.0,https://anaconda.org/conda-forge/gast,2025-11-30 12:53:57.736,4548390.0,2.0,,,,,,,,,,,,,,,,
127,mimesis,lk-geimfari/mimesis,testing,Mimesis is a fast Python library for generating fake data in multiple languages.,,https://github.com/lk-geimfari/mimesis,130.0,https://github.com/lk-geimfari/mimesis,MIT,2016-09-09 21:41:22.000,2026-07-16 13:09:34.000,359.0,20.0,4830.0,24,True,mimesis,conda-forge/mimesis,,2431.0,2329.0,https://pypi.org/project/mimesis,2026-07-16 13:09:34.000,2026-07-16 13:09:34.000,21.0.0,64.0,102.0,,5428.0,https://anaconda.org/conda-forge/mimesis,2026-01-11 13:15:04.094,390873.0,3.0,,,,,,,,,,,,,,,,
128,pex,pantsbuild/pex,packaging,The PEX packaging toolchain.,,https://github.com/pex-tool/pex,127.0,,Apache-2.0,,2026-07-20 07:33:09.000,312.0,,4217.0,24,True,pex,,,65.0,,https://pypi.org/project/pex,2026-07-20 07:33:09.000,2026-07-20 07:33:09.000,2.98.2,485.0,65.0,6391383.0,6391383.0,,,,2.0,,,,,,,,,,,,,,,,
129,detect-secrets,Yelp/detect-secrets,security,An enterprise friendly way of detecting and preventing secrets in code.,,https://github.com/Yelp/detect-secrets,89.0,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000,2025-03-13 15:39:41.000,514.0,125.0,4193.0,24,False,detect-secrets,,,95.0,,https://pypi.org/project/detect-secrets,2024-05-06 17:46:16.000,2024-05-06 17:46:16.000,1.5.0,38.0,95.0,6723931.0,6723931.0,,,,3.0,,,,,,,,,,,,,,,,
130,pyupgrade,asottile/pyupgrade,refactoring,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,,https://github.com/asottile/pyupgrade,36.0,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000,2025-11-19 02:05:13.152,204.0,19.0,3956.0,24,True,pyupgrade,conda-forge/pyupgrade,,630.0,,https://pypi.org/project/pyupgrade,2025-11-19 00:39:46.000,2025-11-19 00:39:46.000,3.21.2,177.0,630.0,1664943.0,1678250.0,https://anaconda.org/conda-forge/pyupgrade,2025-11-19 02:05:13.152,984731.0,2.0,,,,,,,,,,,,,,,,
131,line_profiler,pyutils/line_profiler,profiling,Line-by-line profiling for Python.,,https://github.com/pyutils/line_profiler,55.0,https://github.com/pyutils/line_profiler,BSD-3-Clause,2019-12-10 22:26:33.000,2026-04-15 15:33:12.000,135.0,55.0,3233.0,24,True,line_profiler,conda-forge/line_profiler,,405.0,,https://pypi.org/project/line_profiler,2026-02-23 23:29:45.000,2026-02-23 23:29:45.000,5.0.2,35.0,405.0,2834269.0,2915230.0,https://anaconda.org/conda-forge/line_profiler,2026-02-24 23:29:30.445,5505415.0,3.0,,,,,,,,,,,,,,,,
132,pudb,inducer/pudb,debugging,Full-screen console debugger for Python.,,https://github.com/inducer/pudb,101.0,https://github.com/inducer/pudb,,2011-05-13 23:44:30.000,2025-12-07 00:08:08.048,237.0,164.0,3180.0,24,False,pudb,conda-forge/pudb,,8678.0,8542.0,https://pypi.org/project/pudb,2025-12-06 20:18:12.000,2025-12-06 20:18:12.000,2025.1.5,87.0,136.0,1501891.0,1512023.0,https://anaconda.org/conda-forge/pudb,2025-12-07 00:08:08.048,597797.0,2.0,,,,,,,,,,,,,,,,
133,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,27.0,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2025-05-20 18:12:25.759,106.0,39.0,2704.0,24,False,notifiers,conda-forge/notifiers,,1423.0,1386.0,https://pypi.org/project/notifiers,2025-05-17 15:58:56.000,2025-05-17 15:58:56.000,1.3.6,34.0,37.0,528935.0,529998.0,https://anaconda.org/conda-forge/notifiers,2025-05-20 18:12:25.759,71228.0,3.0,,,,,,,,,,,,,,,,
