,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
216,heartrate,alexmojaki/heartrate,profiling,Simple real time visualisation of the execution of a Python program.,,https://github.com/alexmojaki/heartrate,https://github.com/alexmojaki/heartrate,MIT,2019-04-24 17:02:28.000,2021-11-13 17:38:32.433,2021-11-13 14:58:04,27.0,,123.0,33.0,4.0,4.0,1601.0,2021-11-13 14:58:19.000,0.2.2,4.0,3.0,20,False,5.0,heartrate,conda-forge/heartrate,,52.0,49.0,https://pypi.org/project/heartrate,2021-11-13 14:58:19.000,3.0,1270.0,1368.0,https://anaconda.org/conda-forge/heartrate,2021-11-13 17:38:32.433,1973.0,3.0,,,,,,,,,,,,,,,,,,,,
217,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2023-02-01 09:42:48.000,2023-01-19 17:29:43,325.0,8.0,41.0,17.0,71.0,110.0,624.0,2023-01-19 17:39:06.662,1.4.5,67.0,19.0,20,True,31.0,pytest-testmon,conda-forge/pytest-testmon,['pytest'],,,https://pypi.org/project/pytest-testmon,2023-01-25 17:34:50.003,,121637.0,122264.0,https://anaconda.org/conda-forge/pytest-testmon,2019-08-03 00:17:17.063,37624.0,3.0,,,,,,,,,,,,,,,,,,,,
218,assertpy,ActivisionGameScience/assertpy,testing,Simple assertion library for unit testing in python with a fluent API.,,https://github.com/ActivisionGameScience/assertpy,https://github.com/ActivisionGameScience/assertpy,BSD-3-Clause,2017-11-21 01:38:07.332,2020-07-19 15:23:26.710,2019-10-30 17:50:10,279.0,,57.0,1.0,,,381.0,,,13.0,10.0,20,False,,assertpy,conda-forge/assertpy,,99.0,,https://pypi.org/project/assertpy,2020-07-19 14:39:02.000,99.0,596684.0,596978.0,https://anaconda.org/conda-forge/assertpy,2020-07-19 15:23:26.710,18581.0,3.0,,,,,,,,,,,,,,,,,,,,
219,python-manhole,ionelmc/python-manhole,debugging,Debugging manhole for python applications.,,https://github.com/ionelmc/python-manhole,https://github.com/ionelmc/python-manhole,BSD-2-Clause,2013-06-26 21:49:34.000,2022-12-17 09:19:57.000,2022-12-17 09:19:54,492.0,3.0,20.0,9.0,44.0,15.0,334.0,2021-12-15 14:34:12.182,0.0.1,23.0,11.0,20,True,6.0,manhole,conda-forge/manhole,,159.0,121.0,https://pypi.org/project/manhole,2021-04-08 20:14:54.000,38.0,27322.0,27887.0,https://anaconda.org/conda-forge/manhole,2022-11-02 02:11:21.465,10751.0,3.0,,,,,,,,,,,,,,,,,,,,
220,unimport,hakancelik96/unimport,refactoring,"A linter, formatter for finding and removing unused import statements.",,https://github.com/hakancelikdev/unimport,https://github.com/hakancelikdev/unimport,MIT,2019-09-08 09:49:24.000,2023-02-04 07:38:20.000,2023-02-04 07:21:24,468.0,7.0,19.0,4.0,171.0,90.0,184.0,2023-02-04 07:27:00.327,0.14.1,49.0,14.0,20,True,11.0,unimport,,,3.0,,https://pypi.org/project/unimport,2022-01-29 20:05:35.000,3.0,10825.0,10825.0,,,,3.0,,,,,,,,,,,,,,,,,,,hakancelikdev/unimport,
221,pandas-vet,deppen8/pandas-vet,linters,A plugin for Flake8 that checks pandas code.,,https://github.com/deppen8/pandas-vet,https://github.com/deppen8/pandas-vet,MIT,2019-02-25 05:19:51.000,2022-08-05 12:40:27.000,2022-02-09 02:49:51,186.0,,16.0,6.0,70.0,30.0,150.0,2022-02-09 03:17:52.000,0.2.3,7.0,12.0,20,True,22.0,pandas-vet,conda-forge/pandas-vet,['flake8'],171.0,158.0,https://pypi.org/project/pandas-vet,2022-02-09 02:48:57.000,13.0,58386.0,58689.0,https://anaconda.org/conda-forge/pandas-vet,2022-02-10 13:58:38.706,13976.0,3.0,,47.0,,,,,,,,,,,,,,,,,,
222,sphinx-markdown-builder,clayrisser/sphinx-markdown-builder,documentation,sphinx builder that outputs markdown files.,,https://github.com/clayrisser/sphinx-markdown-builder,https://github.com/clayrisser/sphinx-markdown-builder,MIT,2018-11-11 00:07:58.000,2023-01-23 14:44:55.000,2022-01-08 15:29:29,100.0,,39.0,6.0,25.0,17.0,146.0,2022-01-08 15:31:25.000,0.5.5,23.0,17.0,20,False,24.0,sphinx-markdown-builder,,['sphinx'],384.0,325.0,https://pypi.org/project/sphinx-markdown-builder,2022-01-08 15:31:25.000,59.0,31648.0,31648.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
223,dlint,dlint-py/dlint,security,Dlint is a tool for encouraging best coding practices and helping ensure Python code is secure.,,https://github.com/dlint-py/dlint,https://github.com/dlint-py/dlint,BSD-3-Clause,2020-01-08 15:53:36.000,2023-02-06 22:15:01.000,2023-02-06 22:14:36,231.0,7.0,14.0,2.0,15.0,20.0,132.0,2023-02-06 22:20:00.691,0.14.0,16.0,15.0,20,True,24.0,dlint,conda-forge/dlint,,50.0,,https://pypi.org/project/dlint,2022-08-09 19:17:19.574,50.0,203273.0,203387.0,https://anaconda.org/conda-forge/dlint,2022-08-10 17:05:19.047,1723.0,3.0,,,,,,,,,,,,,,,,,,,,
224,flake8-bandit,tylerwince/flake8-bandit,linters,Automated security testing using bandit and flake8.,,https://github.com/tylerwince/flake8-bandit,https://github.com/tylerwince/flake8-bandit,MIT,2017-10-28 23:19:09.000,2022-08-29 14:28:51.025,2022-08-29 13:45:55,70.0,,26.0,5.0,17.0,15.0,98.0,2022-08-29 14:28:51.025,4.1.1,13.0,12.0,20,True,11.0,flake8-bandit,,['flake8'],142.0,,https://pypi.org/project/flake8-bandit,2022-08-29 14:28:51.025,142.0,535542.0,535542.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
225,pip-run,jaraco/pip-run,dependency-managers,pip-run - dynamic dependency loader for Python.,,https://github.com/jaraco/pip-run,https://github.com/jaraco/pip-run,MIT,2016-01-25 01:59:13.000,2023-01-23 01:18:02.345,2023-01-23 01:03:28,695.0,98.0,13.0,6.0,16.0,52.0,81.0,2023-01-23 01:18:02.345,10.0.5,44.0,14.0,20,True,3.0,pip-run,,,3.0,,https://pypi.org/project/pip-run,2023-01-23 01:18:02.345,3.0,3676.0,3676.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
