,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
119,briefcase,beeware/briefcase,packaging,Tools to support converting a Python project into a standalone native application.,,https://github.com/beeware/briefcase,https://github.com/beeware/briefcase,BSD-3-Clause,2015-07-28 15:20:03.000,2023-07-20 01:04:16.000,2023-07-17 06:10:52,3173.0,376.0,271.0,42.0,665.0,105.0,516.0,1799.0,2023-07-10 06:51:43.000,0.3.15,25.0,121.0,28,True,,briefcase,,,,,https://pypi.org/project/briefcase,3944.0,3947.0,,,,2.0,155.0,,,,,,,,,,,,,,,,,,
120,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2023-07-10 11:06:19.000,2023-01-29 19:46:36,3335.0,,600.0,91.0,534.0,135.0,170.0,1714.0,2016-11-25 22:13:29.000,4.0.515,36.0,385.0,28,True,,diamond,,,178.0,144.0,https://pypi.org/project/diamond,7353.0,7353.0,,,,3.0,,2016-11-25 22:13:29.000,34.0,,,,,,,,,,,,,,,,
121,safety,pyupio/safety,security,Safety checks Python dependencies for known security vulnerabilities and suggests the proper remediations for..,,https://github.com/pyupio/safety,https://github.com/pyupio/safety,MIT,2016-10-19 13:22:56.000,2023-07-17 23:38:14.000,2023-05-29 16:30:35,590.0,6.0,131.0,32.0,305.0,62.0,117.0,1518.0,2022-12-08 19:10:01.428,2.3.5,55.0,41.0,28,True,,safety,conda-forge/safety,,413.0,24.0,https://pypi.org/project/safety,987043.0,997448.0,https://anaconda.org/conda-forge/safety,2023-06-16 16:15:06.955,71510.0,2.0,359034.0,2022-10-04 21:08:20.401,389.0,,,,,,,,,,,,,,,,
122,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2023-07-12 13:26:59.000,2023-07-11 10:58:21,1102.0,25.0,188.0,48.0,370.0,215.0,327.0,1203.0,,,48.0,90.0,28,True,,pytest-xdist,conda-forge/pytest-xdist,['pytest'],,,https://pypi.org/project/pytest-xdist,8631786.0,8690887.0,https://anaconda.org/conda-forge/pytest-xdist,2023-06-16 13:21:13.802,4964534.0,3.0,,,,,,,,,,,,,,,,,,-8.0,
123,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time multithreading, asyncio and gevent aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2023-07-19 08:46:00.000,2023-05-29 13:41:01,712.0,9.0,64.0,14.0,74.0,19.0,51.0,1182.0,2022-10-31 08:14:02.000,1.4.0,12.0,28.0,28,True,,yappi,conda-forge/yappi,,986.0,986.0,https://pypi.org/project/yappi,1631212.0,1633376.0,https://anaconda.org/conda-forge/yappi,2023-06-16 13:20:48.597,158011.0,3.0,,,,,,,,,,,,,,,,,,,
124,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2023-07-07 23:15:37.000,2022-07-14 18:31:38,706.0,,62.0,18.0,318.0,78.0,125.0,1134.0,2021-07-09 22:21:56.000,0.10.3,13.0,41.0,28,True,,pdbpp,conda-forge/pdbpp,,4943.0,4943.0,https://pypi.org/project/pdbpp,261005.0,262417.0,https://anaconda.org/conda-forge/pdbpp,2023-06-16 13:25:41.484,100303.0,2.0,,,,,,,,,,,,,,,,,,,
125,pytest-benchmark,ionelmc/pytest-benchmark,testing,py.test fixture for benchmarking code.,,https://github.com/ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2023-07-06 16:17:57.000,2023-04-27 00:15:19,1004.0,3.0,101.0,19.0,68.0,89.0,87.0,1101.0,,,5.0,39.0,28,True,,pytest-benchmark,conda-forge/pytest-benchmark,['pytest'],7212.0,7212.0,https://pypi.org/project/pytest-benchmark,695848.0,716358.0,https://anaconda.org/conda-forge/pytest-benchmark,2023-06-16 13:15:49.392,1804951.0,3.0,,,,,,,,,,,,,,,,,,,
126,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,,2010-12-24 02:55:56.000,2023-07-11 10:04:12.000,2023-05-31 18:40:16,630.0,8.0,104.0,25.0,154.0,17.0,65.0,714.0,2022-08-07 15:50:19.406,2.0.4,24.0,42.0,28,False,,pyhamcrest,conda-forge/pyhamcrest,,36436.0,34598.0,https://pypi.org/project/pyhamcrest,1311382.0,1316878.0,https://anaconda.org/conda-forge/pyhamcrest,2023-06-16 13:17:20.732,472680.0,3.0,,2021-12-12 20:12:38.000,1838.0,,,,,,,,,,,,,,,,
127,coveralls-python,TheKevJames/coveralls-python,testing,Show coverage stats online via coveralls.io.,,https://github.com/TheKevJames/coveralls-python,https://github.com/TheKevJames/coveralls-python,MIT,2013-02-06 20:48:39.000,2023-07-18 00:51:24.000,2023-05-03 14:19:26,474.0,1.0,183.0,8.0,225.0,15.0,146.0,520.0,2021-11-11 20:59:17.000,3.3.1,28.0,64.0,28,True,,coveralls,conda-forge/coveralls,['pytest'],31731.0,31731.0,https://pypi.org/project/coveralls,419932.0,432263.0,https://anaconda.org/conda-forge/coveralls,2023-06-16 13:24:40.028,961863.0,3.0,,,,,,,,,,,,,,,,,,,
128,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,,https://github.com/executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2023-06-16 13:21:20.882,2023-02-09 08:53:43,295.0,,59.0,19.0,60.0,20.0,53.0,475.0,2022-04-20 19:59:44.000,2021.03.14,4.0,24.0,28,True,,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],18709.0,18709.0,https://pypi.org/project/sphinx-autobuild,459967.0,462554.0,https://anaconda.org/conda-forge/sphinx-autobuild,2023-06-16 13:21:20.882,194062.0,2.0,,,,,,,,,,,,,,,,,,,
129,wasabi,ines/wasabi,logging,A lightweight console printing and formatting toolkit.,,https://github.com/explosion/wasabi,https://github.com/explosion/wasabi,MIT,2018-11-17 14:40:55.000,2023-06-07 10:00:19.970,2023-06-07 06:50:58,257.0,2.0,24.0,16.0,34.0,4.0,5.0,424.0,2023-06-07 07:37:46.000,1.1.2,39.0,13.0,28,True,explosion/wasabi,wasabi,conda-forge/wasabi,,30796.0,30796.0,https://pypi.org/project/wasabi,4063565.0,4084816.0,https://anaconda.org/conda-forge/wasabi,2023-06-07 10:00:19.970,1126327.0,3.0,,,,,,,,,,,,,,,,,,,
130,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,,2013-07-24 16:23:39.000,2023-07-07 18:37:45.000,2023-07-07 18:37:39,564.0,17.0,139.0,35.0,276.0,70.0,131.0,247.0,2022-10-08 14:08:14.000,1.5.0,15.0,76.0,28,False,,numpydoc,conda-forge/numpydoc,['sphinx'],39495.0,39495.0,https://pypi.org/project/numpydoc,389017.0,414145.0,https://anaconda.org/conda-forge/numpydoc,2023-06-16 13:20:56.387,1960055.0,2.0,,,,,,,,,,,,,,,,,,-6.0,
131,hacking,openstack/hacking,linters,OpenStack Hacking Style Checks. Mirror of code maintained at opendev.org.,,https://github.com/openstack/hacking,https://github.com/openstack/hacking,Apache-2.0,2013-03-26 21:09:28.000,2023-05-11 13:21:06.000,2023-04-25 14:50:41,1065.0,1.0,66.0,33.0,7.0,,,228.0,2023-04-27 15:17:02.669,6.0.1,40.0,186.0,28,True,,hacking,,['flake8'],4392.0,,https://pypi.org/project/hacking,72237.0,72237.0,,,,2.0,,2021-04-21 10:37:50.000,4392.0,,,,,,,,,,,,,,,,
132,gast,serge-sans-paille/gast,ast,Python AST that abstracts the underlying Python version.,,https://github.com/serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2023-07-03 07:21:35.215,2023-04-29 19:35:43,97.0,1.0,30.0,11.0,45.0,2.0,30.0,127.0,2023-04-29 19:44:01.995,0.5.4,21.0,10.0,28,True,,gast,conda-forge/gast,,127027.0,125087.0,https://pypi.org/project/gast,12748648.0,12815018.0,https://anaconda.org/conda-forge/gast,2023-07-03 07:21:35.215,2322963.0,3.0,,2021-11-13 21:39:31.000,1940.0,,,,,,,,,,,,,,,,
133,Bpytop,aristocratos/bpytop,profiling,Linux/OSX/FreeBSD resource monitor.,,https://github.com/aristocratos/bpytop,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2023-06-16 19:24:35.135,2022-03-06 14:20:17,408.0,,372.0,153.0,69.0,74.0,227.0,9446.0,,,8.0,35.0,27,False,,bpytop,conda-forge/bpytop,,132.0,132.0,https://pypi.org/project/bpytop,6173.0,6633.0,https://anaconda.org/conda-forge/bpytop,2023-06-16 19:24:35.135,13359.0,3.0,,,,,,,,,,,,,,,,,,,
