,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
180,pytkdocs,mkdocstrings/pytkdocs,documentation,Load Python objects documentation.,,https://github.com/mkdocstrings/pytkdocs,https://github.com/mkdocstrings/pytkdocs,ISC,2020-02-04 21:18:34.000,2023-06-16 19:23:18.580,2022-03-07 18:48:36,240.0,,33.0,3.0,45.0,80.0,48.0,2022-03-07 18:50:03.302,0.16.1,26.0,23.0,24,False,,21.0,pytkdocs,conda-forge/pytkdocs,,1372.0,1361.0,https://pypi.org/project/pytkdocs,2022-03-07 18:50:03.302,11.0,62018.0,64557.0,https://anaconda.org/conda-forge/pytkdocs,2023-06-16 19:23:18.580,99032.0,3.0,,,,,,,,,,,,,,,,,
181,vprof,nvdv/vprof,profiling,Visual profiler for Python.,,https://github.com/nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000,2022-07-15 07:43:03.000,2022-07-15 07:43:03,620.0,,170.0,71.0,32.0,57.0,3940.0,2018-06-24 14:16:36.000,0.37.6,24.0,17.0,23,False,,29.0,vprof,,,132.0,116.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000,16.0,3454.0,3454.0,,,,3.0,,,,,,,,,,,,,,,,,
182,shiv,linkedin/shiv,packaging,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",,https://github.com/linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2024-01-05 22:16:39.000,2023-09-07 16:41:57,207.0,,89.0,28.0,122.0,77.0,1665.0,2023-09-07 16:49:17.000,1.0.4,19.0,39.0,23,True,,43.0,shiv,,,,,https://pypi.org/project/shiv,,,20053.0,20065.0,,,,3.0,651.0,,,,,,,,,,,,,,,,
183,python-devtools,samuelcolvin/python-devtools,logging,Dev tools for python.,,https://github.com/samuelcolvin/python-devtools,https://github.com/samuelcolvin/python-devtools,MIT,2017-08-20 15:30:06.000,2024-01-01 22:11:45.000,2023-09-03 16:50:32,132.0,,46.0,11.0,98.0,39.0,911.0,2023-09-03 16:53:31.000,0.12.2,18.0,12.0,23,True,,13.0,python-devtools,conda-forge/python-devtools,,3268.0,3268.0,https://pypi.org/project/python-devtools,,,579.0,1208.0,https://anaconda.org/conda-forge/python-devtools,2023-09-06 00:26:02.432,20788.0,3.0,,,,,,,,,,,,,,,,,
184,pytest-watch,joeyespo/pytest-watch,testing,Local continuous test runner with pytest and watchdog.,,https://github.com/joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000,2023-09-28 21:11:23.665,2019-06-15 20:36:43,183.0,,54.0,12.0,49.0,44.0,718.0,,,1.0,16.0,23,False,,40.0,pytest-watch,conda-forge/pytest-watch,['pytest'],9233.0,9233.0,https://pypi.org/project/pytest-watch,,,310611.0,313021.0,https://anaconda.org/conda-forge/pytest-watch,2023-09-28 21:11:23.665,96433.0,3.0,,,,,,,,,,,,,,,,,
185,pytest-plugins,man-group/pytest-plugins,testing,A grab-bag of nifty pytest plugins.,,https://github.com/man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000,2023-08-30 11:53:48.000,2022-11-03 10:04:57,807.0,,77.0,23.0,116.0,58.0,540.0,2019-05-28 06:37:19.000,1.7.0,12.0,62.0,23,False,,56.0,pytest-virtualenv,conda-forge/pytest-shutil,,78.0,,https://pypi.org/project/pytest-virtualenv,2019-05-28 06:37:19.000,78.0,15583.0,16540.0,https://anaconda.org/conda-forge/pytest-shutil,2023-06-16 16:13:53.097,63213.0,3.0,,,,,,,,,,,,,,,,,
186,constructor,conda/constructor,packaging,tool for creating installers from conda packages.,,https://github.com/conda/constructor,https://github.com/conda/constructor,,2016-02-12 06:52:50.000,2024-01-25 10:39:54.000,2024-01-13 11:12:58,1147.0,11.0,158.0,33.0,416.0,305.0,431.0,2024-01-12 10:34:10.000,3.6.0,44.0,70.0,23,False,,29.0,,constructor,,17.0,17.0,,,,,107.0,https://anaconda.org/anaconda/constructor,2023-12-12 17:15:44.014,9733.0,3.0,276.0,,,,,,,,,,,,,,,,
187,pytest-docker,avast/pytest-docker,testing,Docker-based integration tests.,,https://github.com/avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2024-01-25 10:59:43.000,2024-01-25 10:51:34,76.0,3.0,67.0,9.0,59.0,35.0,371.0,2024-01-25 10:49:14.000,2.1.0,23.0,20.0,23,True,,22.0,pytest-docker,,['pytest'],60.0,,https://pypi.org/project/pytest-docker,2024-01-25 10:47:10.000,60.0,132227.0,132229.0,,,,3.0,132.0,,,,,,,,,,,,,,,,
188,pytest-lazy-fixture,tvorog/pytest-lazy-fixture,testing,It helps to use fixtures in pytest.mark.parametrize.,,https://github.com/TvoroG/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2023-10-02 21:31:31.000,2022-01-27 10:32:34,98.0,,24.0,8.0,23.0,22.0,357.0,2019-10-13 14:06:01.000,0.6.0,11.0,9.0,23,False,,18.0,pytest-lazy-fixture,conda-forge/pytest-lazy-fixture,['pytest'],2303.0,2303.0,https://pypi.org/project/pytest-lazy-fixture,,,419938.0,427009.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2023-06-16 13:24:44.425,572802.0,3.0,,,,,,,,,,,,,,,,,
189,baron,PyCQA/baron,refactoring,"IDE allow you to refactor code, Baron allows you to write refactoring code.",,https://github.com/PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-12-09 03:34:37.000,2021-12-09 03:33:22,1505.0,,52.0,15.0,100.0,30.0,284.0,2021-12-09 03:33:32.000,0.10.1,21.0,33.0,23,False,,46.0,baron,,,403.0,344.0,https://pypi.org/project/baron,2021-12-09 03:33:32.000,59.0,44810.0,44810.0,,,,3.0,,,,,,,,,,,,,,,,,
