,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
103,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,26,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2021-03-29 11:58:27.000,2021-03-28 14:17:18.000,65.0,69.0,320.0,2020-10-12 20:37:53.000,1.11.1,28.0,29.0,['sphinx'],conda-forge/sphinx-autodoc-typehints,sphinx-autodoc-typehints,44.0,172.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,69901.0,73665.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2020-10-12 21:34:27.077,154326.0,2.0,,,,,,,,,,
104,pep8-naming,https://github.com/PyCQA/pep8-naming,,Naming Convention checker for Python.,linters,26,False,PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2021-03-26 17:29:12.000,2021-01-05 19:26:21.000,49.0,62.0,288.0,2020-06-16 23:48:52.000,0.11.1,21.0,26.0,,conda-forge/pep8-naming,pep8-naming,13.0,210.0,9049.0,6021.0,https://pypi.org/project/pep8-naming,2020-06-16 23:48:52.000,3028.0,239602.0,242535.0,https://anaconda.org/conda-forge/pep8-naming,2020-07-01 03:49:33.929,181882.0,2.0,,,,,,,,,,
105,pytest-mypy,https://github.com/dbader/pytest-mypy,,Mypy static type checker plugin for Pytest.,testing,26,True,dbader/pytest-mypy,https://github.com/dbader/pytest-mypy,MIT,2016-09-29 14:39:23.000,2021-03-21 15:51:09.000,2021-03-21 15:48:31.000,31.0,34.0,186.0,2021-03-21 15:51:09.000,0.8.1,17.0,15.0,['pytest'],conda-forge/pytest-mypy,pytest-mypy,9.0,216.0,1248.0,982.0,https://pypi.org/project/pytest-mypy,2021-03-21 15:51:09.000,266.0,81796.0,82383.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,8224.0,3.0,,,,,,,,,,
106,pyenv,https://github.com/pyenv/pyenv,,Simple Python version management.,virtual-envs,25,True,pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2021-03-27 08:30:40.000,2021-03-26 16:11:17.000,1990.0,981.0,22913.0,2021-03-19 07:12:10.000,1.2.24.1,33.0,314.0,,,pyenv,267.0,2489.0,1.0,,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,2418.0,2418.0,,,,2.0,,,,,,,,,,
107,playwright-python,https://github.com/microsoft/playwright-python,,Python version of the Playwright testing and automation library.,testing,25,True,microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2021-03-31 20:51:55.000,2021-03-31 20:51:55.000,350.0,261.0,4331.0,2021-03-24 21:32:03.000,1.10.0,49.0,16.0,,,playwright,35.0,309.0,151.0,151.0,https://pypi.org/project/playwright,2021-03-10 21:12:55.000,0.0,12098.0,12098.0,,,,3.0,,,,,,,,,,
108,line_profiler,https://github.com/pyutils/line_profiler,,Line-by-line profiling for Python.,profiling,25,True,pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2021-03-30 13:59:36.000,2021-03-29 16:53:45.000,245.0,8.0,3491.0,2020-01-12 22:11:51.000,3.0.2,8.0,20.0,,conda-forge/line_profiler,line_profiler,23.0,142.0,692.0,,https://pypi.org/project/line_profiler,2017-12-20 02:30:37.000,692.0,119546.0,122332.0,https://anaconda.org/conda-forge/line_profiler,2021-03-18 12:06:33.698,164402.0,3.0,,,,,,,,,,
109,pex,https://github.com/pantsbuild/pex,,A library and tool for generating .pex (Python EXecutable) files.,packaging,25,True,pantsbuild/pex,https://github.com/pantsbuild/pex,Apache-2.0,2014-07-21 17:06:12.000,2021-04-01 12:03:14.000,2021-04-01 02:22:21.000,192.0,537.0,1834.0,2021-04-01 02:39:08.000,2.1.37,126.0,96.0,,,pex,134.0,,230.0,,https://pypi.org/project/pex,2021-04-01 02:38:50.000,230.0,41327.0,45864.0,,,,2.0,267691.0,-2.0,,,,,,,,
110,mamba,https://github.com/mamba-org/mamba,,The Fast Cross-Platform Package Manager.,dependency-managers,25,True,mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10.000,2021-04-01 13:05:05.000,2021-04-01 09:12:01.000,74.0,295.0,1386.0,,,64.0,42.0,,conda-forge/mamba,,103.0,1106.0,306.0,306.0,,,,,24988.0,https://anaconda.org/conda-forge/mamba,2021-04-01 11:47:04.736,624712.0,3.0,,,,,,,,,,
111,pybuilder,https://github.com/pybuilder/pybuilder,,Software build automation tool for Python.,build-tools,25,True,pybuilder/pybuilder,https://github.com/pybuilder/pybuilder,Apache-2.0,2012-07-23 11:38:06.000,2021-03-31 21:50:08.000,2020-10-18 16:56:10.000,234.0,389.0,1293.0,2020-10-06 16:13:40.000,0.12.10,548.0,35.0,,,pybuilder,87.0,1284.0,110.0,,https://pypi.org/project/pybuilder,2021-03-31 21:50:08.000,110.0,5951.0,5951.0,,,,3.0,,,,,,,,,,
112,vulture,https://github.com/jendrikseipp/vulture,,Find dead Python code.,refactoring,25,True,jendrikseipp/vulture,https://github.com/jendrikseipp/vulture,MIT,2016-08-11 15:39:58.647,2021-01-21 15:53:38.000,2021-01-21 15:53:37.000,66.0,131.0,1217.0,2021-01-16 17:51:40.000,2.3,42.0,27.0,,conda-forge/vulture,vulture,11.0,678.0,1229.0,869.0,https://pypi.org/project/vulture,2021-01-16 17:49:50.000,360.0,44066.0,44797.0,https://anaconda.org/conda-forge/vulture,2020-08-11 23:14:02.062,40987.0,2.0,,,,,,,,,,
