,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-03-04 14:21:48.000,2021-02-25 19:21:30.000,62.0,2.0,1064.0,2021-02-25 19:21:49.000,2021.02.25,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-03-04 10:56:21.000,2021-03-04 10:56:21.000,1640.0,3788.0,7075.0,2021-01-25 14:52:06.000,6.2.2,145.0,699.0,conda-forge/pytest,['pytest'],pytest,626.0,13444.0,420820.0,290236.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,10601011.0,10722116.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,6781917.0,1.0,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-03-04 13:07:07.000,2021-03-04 11:30:28.000,2195.0,4604.0,6937.0,2021-01-30 12:54:11.000,21.0.1,102.0,594.0,conda-forge/pip,,pip,944.0,11492.0,62700.0,44034.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,44265595.0,44584315.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,17848325.0,1.0,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-03-04 14:30:05.000,2021-03-04 13:04:55.000,1423.0,4497.0,3820.0,2021-02-14 07:57:29.000,3.5.0,143.0,618.0,conda-forge/sphinx,['sphinx'],sphinx,752.0,17119.0,234980.0,130444.0,https://pypi.org/project/sphinx,2021-02-16 14:36:04.000,104536.0,1773323.0,1824339.0,https://anaconda.org/conda-forge/sphinx,2021-02-16 16:10:15.633,2805886.0,1.0,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-02-18 09:05:53.000,2021-02-04 14:18:14.000,1601.0,2859.0,21595.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,,pipenv,506.0,7035.0,19186.0,16912.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1274943.0,1277102.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,36719.0,1.0,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-03-03 14:36:28.000,2021-02-25 16:59:35.000,911.0,500.0,17617.0,2021-02-25 17:07:06.000,4.58.0,115.0,94.0,conda-forge/tqdm,,tqdm,278.0,1772.0,178327.0,152089.0,https://pypi.org/project/tqdm,2021-02-25 17:05:48.000,26238.0,7745221.0,7838738.0,https://anaconda.org/conda-forge/tqdm,2021-02-25 18:56:25.827,5323741.0,1.0,7552.0,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-02-24 00:23:50.000,2021-02-21 10:25:07.000,1091.0,1270.0,7128.0,2020-12-19 01:19:27.000,5.8.0,83.0,157.0,conda-forge/psutil,,psutil,169.0,5674.0,100463.0,75797.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,15911134.0,16011309.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5910344.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-02-26 22:09:30.000,2021-02-26 22:09:22.000,424.0,1196.0,4777.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,,jedi,19.0,8201.0,133122.0,117216.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,7393153.0,7472345.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4197194.0,1.0,,,,,,,,,,
