,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,updated_github_id,cargo_id,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
90,nose2,https://github.com/nose-devs/nose2,,"The successor to nose, based on unittest2.",testing,27,True,nose-devs/nose2,https://github.com/nose-devs/nose2,BSD-3-Clause,2011-12-14 15:33:15.000,2021-01-03 17:10:37.000,2020-03-03 16:52:03.000,127.0,660.0,2020-02-02 00:58:56.000,0.9.2,25.0,69.0,conda-forge/nose2,,nose2,62.0,178.0,934.0,5338.0,3400.0,https://pypi.org/project/nose2,2020-02-02 00:58:56.000,1938.0,142400.0,143150.0,https://anaconda.org/conda-forge/nose2,2020-02-02 06:02:02.004,24021.0,2.0,,,,,,,,,,
91,Yappi,https://github.com/sumerc/yappi,,"Yet Another Python Profiler, but this time thread&coroutine&greenlet aware.",profiling,27,True,sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2020-12-23 06:06:36.000,2020-12-09 16:11:46.000,39.0,563.0,2020-11-27 15:28:40.000,1.3.2,17.0,21.0,conda-forge/yappi,,yappi,10.0,30.0,635.0,989.0,349.0,https://pypi.org/project/yappi,2020-11-27 15:28:40.000,640.0,63244.0,64615.0,https://anaconda.org/conda-forge/yappi,2020-11-28 16:22:51.992,58991.0,2.0,,,,,,,,,,
92,astor,https://github.com/berkerpeksag/astor,,Python AST read/write.,ast,27,True,berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2020-12-23 02:40:21.000,2020-01-08 07:29:19.000,78.0,546.0,2019-12-10 01:50:33.000,0.8.1,14.0,28.0,conda-forge/astor,,astor,35.0,67.0,258.0,3756.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,3756.0,1682147.0,1704878.0,https://anaconda.org/conda-forge/astor,2020-07-01 13:36:26.971,1022921.0,2.0,,,,,,,,,,
93,pylint-django,https://github.com/PyCQA/pylint-django,,Pylint plugin for improving code analysis for when using Django.,linters,27,True,PyCQA/pylint-django,https://github.com/PyCQA/pylint-django,GPL-2.0,2013-10-01 06:35:15.000,2021-01-14 15:28:53.000,2021-01-10 12:24:27.000,93.0,439.0,2021-01-10 12:27:12.000,2.4.2,48.0,55.0,conda-forge/pylint-django,['pylint'],pylint-django,20.0,144.0,529.0,13727.0,11481.0,https://pypi.org/project/pylint-django,2021-01-10 12:25:25.000,2246.0,234827.0,236154.0,https://anaconda.org/conda-forge/pylint-django,2021-01-12 09:07:20.984,69706.0,2.0,180.0,,,,,,,,,
94,python-coloredlogs,https://github.com/xolox/python-coloredlogs,,Colored terminal output for Python's logging module.,logging,27,True,xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2020-12-10 13:10:51.000,2020-12-10 13:09:55.000,35.0,394.0,2018-04-29 22:06:15.000,9.3.1,62.0,16.0,,,coloredlogs,20.0,49.0,271.0,8690.0,6594.0,https://pypi.org/project/coloredlogs,2020-12-10 13:10:51.000,2096.0,528975.0,528975.0,,,,3.0,,,,,,,,,,
95,ddt,https://github.com/datadriventests/ddt,,Data-Driven Tests for Python Unittest.,testing,27,True,datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2021-01-16 19:12:32.000,2021-01-16 19:12:31.000,93.0,380.0,2020-05-15 02:43:35.000,1.4.1,26.0,33.0,conda-forge/ddt,,ddt,16.0,29.0,208.0,5718.0,3234.0,https://pypi.org/project/ddt,2020-05-15 02:43:35.000,2484.0,112804.0,113949.0,https://anaconda.org/conda-forge/ddt,2020-05-15 03:17:11.932,52699.0,2.0,,,,,,,,,,
96,gast,https://github.com/serge-sans-paille/gast,,Python AST that abstracts the underlying Python version.,ast,27,True,serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2021-01-20 06:24:52.000,2020-11-26 20:24:53.000,20.0,96.0,2020-08-07 21:45:21.000,0.4.0,16.0,10.0,conda-forge/gast,,gast,4.0,20.0,80.0,49231.0,45843.0,https://pypi.org/project/gast,2020-08-07 21:45:21.000,3388.0,3653469.0,3683767.0,https://anaconda.org/conda-forge/gast,2020-08-07 22:36:47.303,969554.0,2.0,,,,,,,,,,
97,pyenv,https://github.com/pyenv/pyenv,,Simple Python version management.,virtual-envs,26,True,pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2021-01-16 12:45:03.000,2021-01-15 05:24:09.000,1917.0,22131.0,2021-01-10 03:54:20.000,1.2.22,30.0,301.0,,,pyenv,294.0,949.0,2356.0,1.0,,https://pypi.org/project/pyenv,2019-01-12 14:42:27.000,1.0,3751.0,3751.0,,,,2.0,,,,,,,,,,
98,pyright,https://github.com/microsoft/pyright,,Static type checker for Python.,linters,26,True,Microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2021-01-20 23:08:29.000,2021-01-20 23:08:27.000,259.0,6141.0,2021-01-19 18:44:24.000,1.1.103,186.0,49.0,,,,10.0,1191.0,2875.0,41.0,37.0,,,,,27177.0,,,,2.0,,,,,pyright,https://www.npmjs.com/package/pyright,2021-01-17 23:46:36.673,4.0,27177.0,
99,coala,https://github.com/coala/coala,,"coala provides a unified command-line interface for linting and fixing all your code, regardless of the programming..",linters,26,True,coala/coala,https://github.com/coala/coala,AGPL-3.0,2014-05-15 11:35:34.000,2021-01-08 15:51:12.000,2020-05-04 07:15:23.000,1343.0,3125.0,2017-05-30 10:07:57.000,0.11.1,730.0,473.0,,,coala-bears,850.0,2353.0,4469.0,82.0,10.0,https://pypi.org/project/coala-bears,2017-11-10 21:04:50.000,72.0,4711.0,4712.0,,,,2.0,135.0,,,,,,,,,
