,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-04-29 14:07:12.000,2021-04-22 18:00:23.000,76.0,2.0,1187.0,2021-04-22 17:23:07.000,2021.04.22,14.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-04-29 12:54:33.000,2021-04-29 06:06:16.000,1442.0,4573.0,3908.0,2021-04-11 11:27:38.000,3.5.4,148.0,636.0,['sphinx'],conda-forge/sphinx,sphinx,775.0,17424.0,243058.0,138522.0,https://pypi.org/project/sphinx,2021-04-29 06:04:12.000,104536.0,4320854.0,4376792.0,https://anaconda.org/conda-forge/sphinx,2021-04-11 13:57:22.448,3132541.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-04-23 02:02:56.000,2021-04-23 02:02:40.000,1601.0,2881.0,21807.0,2020-11-15 04:19:27.000,2020.11.15,297.0,381.0,,conda-forge/pipenv,pipenv,506.0,7050.0,20488.0,18214.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,3405520.0,3407667.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,38661.0,1.0,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-04-27 15:57:29.000,2021-04-23 12:48:09.000,925.0,507.0,18165.0,2021-04-06 01:40:26.000,4.60.0,117.0,98.0,,conda-forge/tqdm,tqdm,279.0,1823.0,193935.0,167697.0,https://pypi.org/project/tqdm,2021-04-06 01:23:21.000,26238.0,23379405.0,23483119.0,https://anaconda.org/conda-forge/tqdm,2021-04-06 03:39:45.818,6008288.0,1.0,7809.0,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-04-28 16:37:53.000,2021-04-28 16:37:52.000,1675.0,4581.0,10571.0,,,79.0,458.0,,conda-forge/mypy,mypy,1638.0,9473.0,38900.0,32816.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,6351849.0,6373156.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,873620.0,1.0,,,,,,,,,,
7,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-04-19 20:30:13.823,2021-04-15 15:16:26.000,1094.0,1284.0,7270.0,2020-12-19 01:19:27.000,5.8.0,83.0,159.0,,conda-forge/psutil,psutil,176.0,5680.0,107673.0,83007.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,22443217.0,22551581.0,https://anaconda.org/conda-forge/psutil,2021-04-19 20:30:13.823,6501860.0,1.0,,,,,,,,,,
8,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-04-29 14:02:43.000,2021-04-29 14:02:43.000,1669.0,3837.0,7263.0,2021-04-03 22:06:49.000,6.2.3,146.0,711.0,['pytest'],conda-forge/pytest,pytest,637.0,,440933.0,310349.0,https://pypi.org/project/pytest,2021-04-03 22:06:07.000,130584.0,27486256.0,27618191.0,https://anaconda.org/conda-forge/pytest,2021-04-05 18:12:40.275,7520349.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-04-29 07:52:28.000,2021-02-26 22:09:22.000,441.0,1207.0,4831.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,,conda-forge/jedi,jedi,23.0,8201.0,142996.0,127090.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,13501118.0,13588686.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4728722.0,1.0,,,,,,,,,,
10,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-04-26 19:02:35.000,2021-04-19 16:39:14.000,356.0,1047.0,2179.0,2021-02-16 08:44:01.000,3.22.0,114.0,239.0,['pytest'],conda-forge/tox,tox,136.0,1985.0,79886.0,43486.0,https://pypi.org/project/tox,2021-02-16 08:44:01.000,36400.0,4065196.0,4071386.0,https://anaconda.org/conda-forge/tox,2021-03-03 16:46:37.023,266183.0,1.0,,,,,,,,,,
