,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-16 19:18:46.000000,2021-12-16 19:18:46.000000,92.0,2.0,1386.0,2021-12-16 19:18:54.000000,2021.12.16,26.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-12-23 06:47:20.000000,2021-12-22 18:01:05.000000,1613.0,4870.0,4323.0,2021-12-19 08:38:40.000000,4.3.2,161.0,701.0,958.0,['sphinx'],conda-forge/sphinx,sphinx,18596.0,276992.0,172456.0,https://pypi.org/project/sphinx,2021-12-19 08:38:40.000000,104536.0,4342837.0,4413210.0,https://anaconda.org/conda-forge/sphinx,2021-12-19 10:43:41.256000,4503927.0,1.0,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-12-19 15:10:41.000000,2021-09-20 16:15:31.000000,1054.0,539.0,20691.0,2021-09-20 15:24:06.000000,4.62.3,125.0,107.0,327.0,,conda-forge/tqdm,tqdm,1889.0,260110.0,233872.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695000,26238.0,28774278.0,28912983.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,9143315.0,1.0,tqdm/tqdm,8092.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3952.0,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-12-21 14:25:22.000000,2021-12-14 22:54:58.000000,1163.0,1315.0,7959.0,2020-12-19 01:19:27.000000,5.8.0,83.0,173.0,199.0,,conda-forge/psutil,psutil,5730.0,150119.0,125453.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,33473544.0,33612082.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,9420645.0,1.0,,,,,,,,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-12-22 10:52:39.000000,2021-12-13 01:05:55.000000,460.0,1245.0,5039.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,,conda-forge/jedi,jedi,8259.0,184598.0,168692.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,17624857.0,17741928.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7258409.0,1.0,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-12-22 18:07:34.000000,2021-12-13 21:49:46.000000,1835.0,1513.0,13372.0,2021-10-12 21:59:03.000000,1.2.3,49.0,208.0,111.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1615.0,23009.0,17067.0,https://pypi.org/project/mkdocs,2021-12-15 14:53:23.599000,5942.0,741718.0,744073.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,160187.0,1.0,,,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-12-23 07:17:21.000000,2021-12-22 10:39:36.000000,2006.0,5099.0,12025.0,,,86.0,522.0,2033.0,,conda-forge/mypy,mypy,9963.0,59885.0,53801.0,https://pypi.org/project/mypy,2021-12-22 17:38:37.000000,6084.0,8482086.0,8513109.0,https://anaconda.org/conda-forge/mypy,2021-12-17 16:28:53.797000,1520137.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,35,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-12-23 11:24:51.000000,2021-12-23 09:07:22.000000,1896.0,4064.0,8062.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,760.0,711.0,['pytest'],conda-forge/pytest,pytest,,547708.0,417124.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,130584.0,32534090.0,32700348.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10806774.0,1.0,,,,,,,,,,,,,,,
