,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
191,PrettyErrors,onelivesleft/PrettyErrors,logging,Prettify Python exception output to make it legible.,,https://github.com/onelivesleft/PrettyErrors,https://github.com/onelivesleft/PrettyErrors,MIT,2018-11-15 16:02:27.000,2021-11-27 17:41:04.999,2021-11-24 14:32:14,130.0,,78.0,28.0,10.0,38.0,2579.0,2021-11-24 14:32:07.000,1.2.25,48.0,5.0,22,True,pretty_errors,conda-forge/pretty_errors,,4.0,45.0,,https://pypi.org/project/pretty_errors,2021-11-24 14:32:07.000,45.0,19196.0,19485.0,https://anaconda.org/conda-forge/pretty_errors,2021-11-27 17:41:04.999,6084.0,3.0,,,,,,,,,,,,,,,,,,,,
192,sixpack,sixpack/sixpack,testing,Sixpack is a language-agnostic a/b-testing framework.,,https://github.com/sixpack/sixpack,https://github.com/sixpack/sixpack,BSD-2-Clause,2012-11-15 00:01:06.000,2022-07-28 13:22:42.000,2020-08-26 00:32:16,828.0,,187.0,73.0,168.0,125.0,1732.0,2017-11-22 14:27:35.000,2.7.0,37.0,56.0,22,False,sixpack,,,88.0,14.0,10.0,https://pypi.org/project/sixpack,2017-11-22 14:27:35.000,4.0,85.0,85.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
193,Bowler,facebookincubator/Bowler,refactoring,Safe code refactoring for modern Python.,,https://github.com/facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000,2022-03-04 23:53:49.000,2022-03-04 21:23:22,185.0,,90.0,28.0,74.0,34.0,1418.0,2020-09-17 01:55:39.000,0.9.0,8.0,27.0,22,True,bowler,conda-forge/bowler,,46.0,7.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000,7.0,51630.0,51917.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246,12924.0,3.0,,,,,,,,,,,,,,,,,,,,
194,pyannotate,dropbox/pyannotate,refactoring,Auto-generate PEP-484 annotations.,,https://github.com/dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000,2022-07-03 08:24:17.000,2021-10-12 20:53:49,95.0,,56.0,27.0,63.0,33.0,1330.0,2019-09-16 15:37:03.000,1.2.0,9.0,17.0,22,True,pyannotate,,,26.0,92.0,74.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000,18.0,4520.0,4520.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
195,pycco,pycco-docs/pycco,documentation,Literate-style documentation generator.,,https://github.com/pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2022-01-21 18:17:35.000,2019-12-20 19:59:49,222.0,,143.0,15.0,65.0,28.0,792.0,2018-07-25 01:42:48.000,0.6.0,11.0,36.0,22,False,pycco,,,29.0,373.0,260.0,https://pypi.org/project/pycco,2018-07-25 01:42:48.000,113.0,1105.0,1105.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
196,snoop,alexmojaki/snoop,debugging,"A powerful set of Python debugging tools, based on PySnooper.",,https://github.com/alexmojaki/snoop,https://github.com/alexmojaki/snoop,MIT,2019-05-13 18:45:35.000,2022-07-20 10:35:30.000,2022-03-26 09:17:40,420.0,,27.0,16.0,13.0,23.0,791.0,2021-11-11 16:57:18.000,0.4.1,12.0,21.0,22,True,snoop,conda-forge/snoop,,18.0,12.0,,https://pypi.org/project/snoop,2021-11-11 16:57:18.000,12.0,46563.0,46666.0,https://anaconda.org/conda-forge/snoop,2021-11-11 19:47:40.294,1034.0,3.0,,,,,,,,,,,,,,,,,,,,
197,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/asottile/blacken-docs,https://github.com/asottile/blacken-docs,MIT,2018-06-03 02:48:01.000,2022-08-09 00:56:34.000,2022-08-09 00:56:33,266.0,19.0,28.0,7.0,129.0,48.0,415.0,2022-01-30 16:42:02.000,1.12.1,22.0,14.0,22,True,blacken-docs,conda-forge/blacken-docs,,4.0,17.0,,https://pypi.org/project/blacken-docs,2022-01-30 16:42:02.000,17.0,26501.0,27396.0,https://anaconda.org/conda-forge/blacken-docs,2022-01-30 18:29:51.381,22384.0,3.0,,,,,,,,,,,,,,,,,,,,
198,pytest-docker,avast/pytest-docker,testing,Docker-based integration tests.,,https://github.com/avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2022-08-04 21:37:15.000,2022-07-27 07:20:30,70.0,4.0,54.0,7.0,49.0,31.0,303.0,2022-07-27 07:23:00.603,1.0.0,19.0,16.0,22,True,pytest-docker,,['pytest'],15.0,33.0,,https://pypi.org/project/pytest-docker,2022-04-09 19:10:43.000,33.0,79728.0,79730.0,,,,3.0,87.0,,,,,,,,,,,,,,,,,,,
199,add-trailing-comma,asottile/add-trailing-comma,refactoring,A tool (and pre-commit hook) to automatically add trailing commas to calls and literals.,,https://github.com/asottile/add-trailing-comma,https://github.com/asottile/add-trailing-comma,MIT,2017-07-10 00:55:50.000,2022-08-09 00:58:10.000,2022-08-09 00:58:09,357.0,20.0,18.0,6.0,150.0,44.0,247.0,2022-04-17 13:58:01.000,2.2.3,34.0,9.0,22,True,add-trailing-comma,,,1.0,12.0,,https://pypi.org/project/add-trailing-comma,2022-04-17 13:58:01.000,12.0,21548.0,21548.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
200,mkdocs-with-pdf,orzih/mkdocs-with-pdf,documentation,Generate a single PDF file from MkDocs repository.,,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46.000,2022-08-05 12:17:23.000,2021-10-14 20:29:54,188.0,,43.0,7.0,41.0,40.0,168.0,2021-07-03 02:09:02.000,0.9.3,28.0,6.0,22,True,mkdocs-with-pdf,,['mkdocs'],52.0,161.0,161.0,https://pypi.org/project/mkdocs-with-pdf,2021-07-03 02:04:39.000,,15656.0,15656.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
