,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-01-22 18:46:53.000,2026-01-22 18:46:52,399.0,23.0,194.0,55.0,233.0,4.0,2685.0,2026-01-22 18:46:57.000,2026.01.22,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-01-22 18:38:15.000,2025-11-06 18:40:58,419.0,1.0,114.0,16.0,345.0,37.0,1667.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-01-26 21:19:49.000,2026-01-26 06:31:10,17135.0,208.0,3000.0,196.0,6791.0,5374.0,13516.0,2025-12-06 21:31:16.000,9.0.2,189.0,1082.0,980.0,50,True,,pytest,conda-forge/pytest,['pytest'],27886.0,415316309.0,1832992.0,1713759.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,414618603.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,43932716.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-01-29 13:10:33.000,2026-01-29 13:10:33,13216.0,247.0,3064.0,233.0,8784.0,9099.0,20165.0,2025-12-15 05:02:33.000,1.19.1,133.0,833.0,3109.0,49,True,,mypy,conda-forge/mypy,,,83892442.0,383557.0,344460.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,83793384.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6636935.0,1.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-01-25 00:58:49.951,2026-01-24 21:42:08,4388.0,93.0,2006.0,530.0,1347.0,1259.0,55289.0,2026-01-24 21:41:58.000,14.3.1,203.0,285.0,287.0,47,True,,rich,conda-forge/rich,,,260722878.0,528790.0,496376.0,https://pypi.org/project/rich,2026-01-24 21:40:42.000,32414.0,260461074.0,https://anaconda.org/conda-forge/rich,2026-01-25 00:58:49.951,17279070.0,1.0,3.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-01-29 09:23:17.173,2026-01-28 20:46:28,6478.0,71.0,1459.0,225.0,833.0,1544.0,11055.0,2026-01-28 18:14:57.000,7.2.2,104.0,228.0,359.0,47,True,,psutil,conda-forge/psutil,,,243934871.0,787806.0,768184.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,243083852.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,56167307.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-01-27 16:13:21.000,2026-01-27 16:13:18,2125.0,66.0,2707.0,233.0,2113.0,2471.0,41327.0,2026-01-18 04:50:09.000,26.1.0,70.0,497.0,332.0,46,True,,black,conda-forge/black,,139667.0,85423573.0,714311.0,662509.0,https://pypi.org/project/black,2026-01-18 04:50:09.000,51802.0,85152847.0,https://anaconda.org/conda-forge/black,2026-01-21 12:24:18.322,17755532.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-01-26 18:37:49.000,2026-01-26 17:30:35,15753.0,160.0,3170.0,317.0,6019.0,6737.0,10076.0,2025-05-02 15:13:59.000,25.1.1,153.0,869.0,1033.0,46,True,,pip,conda-forge/pip,,,405189081.0,252532.0,247066.0,https://pypi.org/project/pip,2025-10-25 00:55:39.000,5466.0,402328578.0,https://anaconda.org/conda-forge/pip,2025-11-10 12:14:15.799,194514236.0,1.0,,,,,,,,,,,,,,,,,,
