,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-17 22:33:53.000,2022-11-17 22:33:52,180.0,25.0,131.0,52.0,112.0,2.0,1736.0,2022-11-17 22:33:58.000,2022.11.17,65.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-11-17 18:21:00.000,2022-11-17 18:21:00,129.0,19.0,3.0,5.0,50.0,2.0,89.0,2022-11-17 18:21:46.000,2022.11.17,35.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-11-23 18:47:03.000,2022-11-23 17:46:00,14803.0,175.0,2201.0,194.0,4847.0,4341.0,9531.0,2022-10-25 07:58:53.000,7.2.0,156.0,838.0,47,True,797.0,pytest,conda-forge/pytest,['pytest'],625097.0,625097.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,49711676.0,49933990.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,16895920.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-11-23 21:59:06.000,2022-11-21 01:39:21,13435.0,149.0,2751.0,307.0,5038.0,5646.0,8373.0,2022-11-05 15:58:21.647,22.3.1,126.0,701.0,46,True,990.0,pip,conda-forge/pip,,115715.0,105033.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,135782224.0,136549308.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,58298437.0,1.0,10682.0,,,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-11-18 12:50:09.000,2022-11-14 11:18:35,5859.0,61.0,1276.0,237.0,590.0,1369.0,8879.0,2022-11-07 18:47:02.742,5.9.4,88.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,240921.0,224964.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,73782296.0,73997607.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,17009574.0,1.0,15957.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-11-24 04:57:38.000,2022-11-24 04:57:16,13445.0,229.0,962.0,88.0,1316.0,1676.0,1861.0,2022-11-24 06:09:37.000,65.6.3,524.0,549.0,45,True,540.0,setuptools,conda-forge/setuptools,,264933.0,228374.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,212365026.0,213170478.0,https://anaconda.org/conda-forge/setuptools,2022-11-22 16:31:54.783,61214399.0,1.0,36559.0,,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-11-24 05:59:54.000,2022-11-23 17:45:05,8098.0,445.0,1793.0,364.0,1610.0,3610.0,23469.0,2022-11-23 13:08:02.000,2022.11.23,342.0,449.0,44,True,235.0,pipenv,conda-forge/pipenv,,48476.0,47235.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6684650.0,6686770.0,https://anaconda.org/conda-forge/pipenv,2022-11-23 22:13:29.639,78463.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-11-24 13:25:59.000,2022-11-24 11:22:10,10787.0,241.0,2351.0,221.0,5726.0,6218.0,14175.0,,,98.0,616.0,44,True,2312.0,mypy,conda-forge/mypy,,110518.0,104240.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,12772193.0,12812445.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2415179.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-11-22 14:51:17.000,2022-11-12 16:55:18,3520.0,130.0,1382.0,542.0,851.0,893.0,40816.0,2022-10-02 16:29:13.235,12.6.0,170.0,199.0,42,True,72.0,rich,conda-forge/rich,,41849.0,39724.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,15191831.0,15277051.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,2386170.0,1.0,2125.0,,,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-11-23 21:05:58.000,2022-11-21 16:24:46,1457.0,64.0,1937.0,225.0,1267.0,1769.0,30275.0,2022-10-06 22:46:02.996,22.10.0,42.0,348.0,42,True,359.0,black,conda-forge/black,,7852.0,,https://pypi.org/project/black,2022-06-28 00:39:54.000,16654506.0,16757292.0,https://anaconda.org/conda-forge/black,2022-10-27 20:13:05.568,5519076.0,1.0,7852.0,25571.0,,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-11-23 22:35:19.000,2022-09-03 10:56:22,1928.0,4.0,1168.0,206.0,494.0,560.0,23388.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,371776.0,349347.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,46730133.0,46930046.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,15379421.0,1.0,22429.0,10342.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4055.0,,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-11-18 16:15:31.000,2022-11-06 23:57:33,1821.0,104.0,2107.0,233.0,1093.0,1634.0,15367.0,2022-11-01 18:34:14.000,1.4.2,55.0,225.0,42,True,116.0,mkdocs,conda-forge/mkdocs,['mkdocs'],31263.0,27513.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,1212715.0,1215413.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,213152.0,1.0,3750.0,,,,,,,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-11-24 13:25:54.000,2022-11-24 13:24:09,4650.0,200.0,2589.0,112.0,2089.0,1610.0,11778.0,2022-11-11 17:52:00.720,8.5.10,285.0,169.0,42,True,10.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],18807.0,18807.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,1787205.0,1791466.0,https://anaconda.org/conda-forge/mkdocs-material,2022-11-24 01:23:20.917,178984.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-11-23 13:11:18.000,2022-11-22 11:02:24,8556.0,97.0,1841.0,232.0,2067.0,4441.0,9772.0,2022-10-31 17:46:11.000,5.6.2,46.0,442.0,42,True,272.0,pyinstaller,conda-forge/pyinstaller,,32422.0,32233.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,904782.0,916379.0,https://anaconda.org/conda-forge/pyinstaller,2022-11-09 22:22:41.109,374970.0,1.0,189.0,733101.0,,,,,,,,,,,,,,,,,,,
16,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-11-22 16:27:48.875,2022-11-21 22:23:46,8322.0,48.0,479.0,114.0,564.0,1281.0,5282.0,2022-11-21 22:34:01.796,0.18.2,32.0,156.0,42,True,44.0,jedi,conda-forge/jedi,,252054.0,243746.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,16578647.0,16751934.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,12649993.0,1.0,8308.0,,,,,,,1.0,,,,,,,,,,,,,
