,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-05-18 17:59:18.000,2023-05-18 17:59:16,231.0,25.0,145.0,53.0,141.0,1.0,2.0,1902.0,2023-05-18 17:59:25.000,2023.05.18,90.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/best-of-mkdocs,https://github.com/mkdocs/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-05-24 15:39:11.000,2023-05-24 15:39:11,166.0,23.0,10.0,10.0,84.0,2.0,2.0,253.0,2023-05-18 19:46:03.000,2023.05.18,61.0,6.0,0,True,mkdocs/best-of-mkdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-05-24 23:49:20.000,2023-05-24 18:44:03,15001.0,124.0,2272.0,193.0,5062.0,798.0,4484.0,10206.0,2023-04-14 18:11:59.000,7.3.1,106.0,872.0,47,True,,pytest,conda-forge/pytest,['pytest'],918210.0,918210.0,https://pypi.org/project/pytest,59912445.0,60160935.0,https://anaconda.org/conda-forge/pytest,2023-04-14 23:00:04.667,20376186.0,1.0,,,,,,,,,,,,,,,,,
5,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-05-23 06:24:07.000,2023-05-21 10:52:27,8321.0,82.0,1756.0,364.0,1702.0,186.0,3750.0,23867.0,2023-05-19 22:49:19.000,2023.5.19,70.0,466.0,45,True,,pipenv,conda-forge/pipenv,,83042.0,83042.0,https://pypi.org/project/pipenv,6609680.0,6612123.0,https://anaconda.org/conda-forge/pipenv,2023-05-19 23:43:11.859,105085.0,1.0,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-05-25 01:56:18.000,2023-05-23 01:47:40,13822.0,206.0,2737.0,308.0,5207.0,902.0,5888.0,8755.0,,,63.0,732.0,45,True,,pip,conda-forge/pip,,137406.0,137406.0,https://pypi.org/project/pip,165695199.0,166647866.0,https://anaconda.org/conda-forge/pip,2023-04-26 11:16:14.578,78118755.0,1.0,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-05-25 01:05:09.000,2023-05-20 12:56:02,13857.0,148.0,1006.0,91.0,1392.0,561.0,1753.0,2036.0,2023-05-19 19:41:05.692,67.8.0,546.0,570.0,45,True,,setuptools,conda-forge/setuptools,,367864.0,329384.0,https://pypi.org/project/setuptools,255833392.0,256819249.0,https://anaconda.org/conda-forge/setuptools,2023-04-24 18:49:33.341,80840277.0,1.0,2023-01-28 19:02:44.046,38480.0,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-05-25 04:06:42.000,2023-05-25 04:06:08,1560.0,42.0,1975.0,229.0,1391.0,363.0,1910.0,32447.0,2023-03-29 01:00:11.000,23.3.0,29.0,372.0,44,True,,black,conda-forge/black,,375321.0,375321.0,https://pypi.org/project/black,20026734.0,20147548.0,https://anaconda.org/conda-forge/black,2023-04-26 07:05:32.069,7214630.0,1.0,,,28598.0,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-05-25 14:00:44.000,2023-05-09 07:55:58,3760.0,66.0,1557.0,541.0,965.0,135.0,982.0,43369.0,2023-04-27 16:00:07.000,13.3.5,181.0,221.0,43,True,,rich,conda-forge/rich,,95036.0,90758.0,https://pypi.org/project/rich,22278428.0,22391010.0,https://anaconda.org/conda-forge/rich,2023-04-27 19:38:00.684,3827794.0,1.0,2023-01-28 10:19:14.092,4278.0,,,,,,,,,,,,,,,
