,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-05-21 02:32:54.000,2023-03-03 21:07:28,1940.0,12.0,1219.0,213.0,514.0,344.0,569.0,24874.0,2023-03-03 21:28:29.000,4.65.0,104.0,112.0,43,True,,tqdm,conda-forge/tqdm,,473277.0,473277.0,https://pypi.org/project/tqdm,51311011.0,51553942.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,20148411.0,1.0,,,11139.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-03-18 01:39:51.172447,2.0,4096.0,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-05-09 10:03:08.000,2023-05-09 10:03:08,5936.0,64.0,1327.0,238.0,626.0,264.0,1389.0,9322.0,,,37.0,195.0,43,True,,psutil,conda-forge/psutil,,314862.0,314862.0,https://pypi.org/project/psutil,67331555.0,67592600.0,https://anaconda.org/conda-forge/psutil,2023-04-17 23:58:50.059,22188888.0,1.0,,,,,,,,,,,,,,,,,
12,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-05-25 12:18:19.000,2023-05-24 20:44:20,16332.0,119.0,1370.0,198.0,3619.0,766.0,8335.0,5458.0,2023-05-22 19:00:30.000,23.5.0,100.0,426.0,43,True,,conda,conda-forge/conda,,41514.0,40418.0,https://pypi.org/project/conda,154518.0,684518.0,https://anaconda.org/conda-forge/conda,2023-03-30 15:12:14.391,42930062.0,1.0,2016-09-16 15:07:21.000,1096.0,,,,,,,,,,,,,,,
13,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-05-23 20:32:31.000,2023-05-23 05:39:40,8650.0,265.0,972.0,75.0,3752.0,710.0,4245.0,4673.0,2023-05-06 16:33:40.000,2.17.4,74.0,524.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,362876.0,362876.0,https://pypi.org/project/pylint,13386206.0,13437006.0,https://anaconda.org/conda-forge/pylint,2023-05-06 18:27:40.178,4114815.0,1.0,,,,,,,,,,,,,,,,,
14,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-05-25 13:45:39.000,2023-05-25 06:09:55,11216.0,212.0,2446.0,232.0,6221.0,2406.0,6600.0,15401.0,,,49.0,656.0,42,False,,mypy,conda-forge/mypy,,187710.0,187710.0,https://pypi.org/project/mypy,13581156.0,13626844.0,https://anaconda.org/conda-forge/mypy,2023-05-12 19:54:15.023,3015425.0,1.0,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-05-23 15:47:22.000,2023-05-23 15:42:25,5289.0,241.0,2860.0,114.0,2358.0,19.0,1867.0,13962.0,2023-05-20 08:44:43.000,9.1.14,157.0,214.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],32566.0,32566.0,https://pypi.org/project/mkdocs-material,2412495.0,2417717.0,https://anaconda.org/conda-forge/mkdocs-material,2023-05-20 17:33:38.031,250685.0,1.0,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-05-19 15:54:54.000,2023-05-17 23:15:56,2536.0,63.0,646.0,90.0,1089.0,17.0,1756.0,10396.0,2023-05-17 23:01:40.000,3.3.2,99.0,149.0,42,True,,pre-commit,conda-forge/pre-commit,,130824.0,130824.0,https://pypi.org/project/pre-commit,10506962.0,10581847.0,https://anaconda.org/conda-forge/pre-commit,2023-05-18 01:01:46.548,3078519.0,1.0,,,440288.0,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-05-25 08:41:51.000,2023-05-25 08:41:50,8754.0,91.0,1753.0,235.0,2157.0,275.0,4598.0,10307.0,2023-05-13 12:02:40.000,5.11.0,52.0,450.0,42,True,,pyinstaller,conda-forge/pyinstaller,,43803.0,43803.0,https://pypi.org/project/pyinstaller,1136775.0,1148510.0,https://anaconda.org/conda-forge/pyinstaller,2023-05-13 14:15:58.829,440345.0,1.0,,,738345.0,,,,,,,,,,,,,,
18,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-05-25 04:57:25.000,2023-05-24 22:12:46,14057.0,191.0,2130.0,479.0,658.0,299.0,3856.0,8059.0,2023-01-09 21:14:31.299,6.0.2,99.0,183.0,42,True,,robotframework,conda-forge/robotframework,,8831.0,7728.0,https://pypi.org/project/robotframework,1688508.0,1690516.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,128241.0,1.0,2023-01-09 21:14:31.299,1103.0,545.0,,,,,,,,,,,,,,
19,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-05-25 09:50:45.000,2023-05-22 13:41:07,12962.0,191.0,551.0,70.0,2253.0,59.0,1342.0,6715.0,2023-05-14 01:19:12.461,6.75.3,1044.0,311.0,42,True,,hypothesis,conda-forge/hypothesis,,23120.0,20864.0,https://pypi.org/project/hypothesis,5497195.0,5590258.0,https://anaconda.org/conda-forge/hypothesis,2023-05-14 02:41:41.339,7631238.0,1.0,2023-01-27 10:10:58.628,2256.0,,,,,,,4.0,,,,,,,,
20,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-05-24 14:50:36.000,2023-05-15 09:43:55,20121.0,204.0,1819.0,146.0,4929.0,1153.0,5317.0,5427.0,2023-05-12 21:51:49.000,7.0.1,99.0,783.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],305591.0,305591.0,https://pypi.org/project/sphinx,9091623.0,9185409.0,https://anaconda.org/conda-forge/sphinx,2023-05-12 22:37:46.449,7596711.0,1.0,,,,,,,,,,,,,,,,,
21,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-05-23 06:40:19.000,2023-05-18 16:44:44,1855.0,34.0,2177.0,232.0,1132.0,121.0,1685.0,16467.0,2023-05-02 21:19:16.000,1.4.3,25.0,238.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],44273.0,44273.0,https://pypi.org/project/mkdocs,1716190.0,1719179.0,https://anaconda.org/conda-forge/mkdocs,2023-05-03 16:41:13.115,254109.0,1.0,,,,,,,,,,,,,,,,,
22,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-05-23 20:53:24.000,2023-05-23 20:53:15,4084.0,13.0,510.0,48.0,927.0,142.0,1062.0,5813.0,2023-01-30 09:41:30.000,5.11.5,100.0,283.0,41,True,,isort,conda-forge/isort,,387465.0,387465.0,https://pypi.org/project/isort,25289858.0,25348148.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4779836.0,2.0,,,,,,,,,,,,,,,,,
23,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-05-25 13:24:38.000,2023-05-24 16:25:35,2880.0,126.0,1966.0,187.0,2405.0,653.0,4441.0,25142.0,2023-05-19 12:29:01.193,1.5.0,161.0,460.0,40,True,,poetry,conda-forge/poetry,,260.0,,https://pypi.org/project/poetry,11881279.0,12149350.0,https://anaconda.org/conda-forge/poetry,2023-05-19 15:10:50.938,874126.0,2.0,2023-01-10 18:28:25.700,260.0,15113090.0,,,,,,4.0,,,,,,,,
24,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/charliermarsh/ruff,https://github.com/charliermarsh/ruff,MIT,2022-08-09 17:17:44.000,2023-05-25 14:10:14.000,2023-05-25 12:05:28,3419.0,759.0,437.0,66.0,2788.0,291.0,1519.0,14955.0,2023-05-24 19:37:14.000,0.0.270,100.0,202.0,40,True,,ruff,conda-forge/ruff,,6519.0,6519.0,https://pypi.org/project/ruff,2150155.0,2184064.0,https://anaconda.org/conda-forge/ruff,2023-05-25 03:18:58.581,187536.0,1.0,,,13269.0,,,,,,,,,,,,,,
25,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-04-21 21:55:14.000,2023-04-21 21:55:14,8352.0,11.0,497.0,114.0,577.0,53.0,1298.0,5424.0,2022-11-21 22:34:01.796,0.18.2,32.0,163.0,40,True,,jedi,conda-forge/jedi,,315140.0,306726.0,https://pypi.org/project/jedi,19437254.0,19643886.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,16323940.0,1.0,2022-11-21 22:34:01.796,8414.0,,,,,,,,,,,,,,,
26,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-05-19 16:50:16.000,2023-05-19 16:50:15,682.0,39.0,926.0,165.0,1261.0,79.0,1205.0,4466.0,2023-04-27 23:37:32.000,20.23.0,57.0,100.0,40,True,,virtualenv,conda-forge/virtualenv,,266743.0,266743.0,https://pypi.org/project/virtualenv,62862558.0,62922324.0,https://anaconda.org/conda-forge/virtualenv,2023-04-28 09:34:05.273,4422690.0,2.0,,,,,,,,,,,,,,,,,
27,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-05-16 13:44:34.000,2023-05-16 13:36:39,2376.0,14.0,278.0,37.0,315.0,25.0,1486.0,2834.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,40,True,,flake8,conda-forge/flake8,,503684.0,458525.0,https://pypi.org/project/flake8,21486337.0,21560656.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,6168542.0,1.0,2022-11-23 19:29:25.198,45159.0,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-05-13 17:54:07.000,2023-05-08 14:06:23,589.0,36.0,473.0,42.0,1301.0,80.0,1518.0,3272.0,2023-04-26 16:35:23.126,4.5.1,193.0,277.0,39,True,,tox,conda-forge/tox,['pytest'],121394.0,99113.0,https://pypi.org/project/tox,13655571.0,13665813.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,696463.0,1.0,2023-02-21 17:41:11.947,22281.0,,,,,,,,,,,,,,,
29,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-05-25 14:05:07.000,2023-05-25 13:58:48,1765.0,116.0,384.0,68.0,1194.0,219.0,726.0,1538.0,2023-05-23 09:45:42.950,1.24.0,187.0,172.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,44223.0,43822.0,https://pypi.org/project/sentry-sdk,20897920.0,20906399.0,https://anaconda.org/conda-forge/sentry-sdk,2023-04-28 21:06:11.878,453577.0,1.0,2023-03-16 15:54:02.489,401.0,3463.0,,,,,,,,,,,,,,
30,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-05-23 19:19:50.000,2023-05-23 19:19:49,1261.0,37.0,855.0,220.0,302.0,376.0,405.0,13240.0,,,25.0,147.0,38,True,,yapf,conda-forge/yapf,,76951.0,76951.0,https://pypi.org/project/yapf,3821307.0,3838620.0,https://anaconda.org/conda-forge/yapf,2023-05-01 01:43:30.917,1437005.0,2.0,,,,,,,,,,,,,,,,,
31,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-05-25 07:29:33.000,2023-05-25 07:27:01,10854.0,373.0,470.0,129.0,305.0,240.0,1612.0,8816.0,2023-05-17 03:49:00.895,1.5.8,251.0,140.0,38,True,,nuitka,conda-forge/nuitka,,1289.0,1239.0,https://pypi.org/project/nuitka,67160.0,73097.0,https://anaconda.org/conda-forge/nuitka,2023-05-17 07:22:04.708,504698.0,1.0,2023-01-31 18:21:01.683,50.0,,,,,,,,,,,,,,,
32,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-05-25 11:10:13.000,2023-05-15 18:01:58,1899.0,35.0,501.0,105.0,902.0,124.0,814.0,6867.0,2023-04-07 16:47:19.000,6.13.0,62.0,189.0,38,True,,pip-tools,conda-forge/pip-tools,,20275.0,20275.0,https://pypi.org/project/pip-tools,8028071.0,8030467.0,https://anaconda.org/conda-forge/pip-tools,2023-05-22 11:53:09.615,88681.0,2.0,,,,,,,,,,,,,,,,,
33,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-05-05 19:14:19.000,2023-05-05 15:48:32,714.0,21.0,604.0,128.0,114.0,96.0,668.0,14955.0,2023-04-10 09:14:19.000,0.7.0,19.0,42.0,37,True,,loguru,conda-forge/loguru,,55655.0,53166.0,https://pypi.org/project/loguru,9846680.0,9870630.0,https://anaconda.org/conda-forge/loguru,2023-04-10 11:59:26.560,1221474.0,2.0,2020-09-20 07:54:28.000,2489.0,,,,,,,,,,,,,,,
34,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-05-25 04:35:19.000,2023-05-25 04:35:10,6168.0,378.0,997.0,103.0,573.0,13.0,4049.0,10384.0,2023-05-24 00:21:08.000,1.1.310,100.0,93.0,37,True,,,,,513.0,513.0,,,540110.0,,,,2.0,,,361.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,540088.0,,,,,
35,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-05-24 18:05:38.000,2023-05-22 16:17:44,1308.0,16.0,517.0,67.0,379.0,161.0,447.0,5203.0,2023-03-10 01:02:04.000,1.7.5,12.0,167.0,37,True,,bandit,conda-forge/bandit,,41642.0,41642.0,https://pypi.org/project/bandit,3136039.0,3140934.0,https://anaconda.org/conda-forge/bandit,2023-03-11 07:26:25.891,234461.0,1.0,,,677.0,,,,,,,,,,,,,,
36,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2023-05-09 12:33:44.000,2023-05-09 12:33:43,1357.0,4.0,703.0,120.0,453.0,114.0,594.0,4842.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,37,True,,pycodestyle,conda-forge/pycodestyle,,351926.0,340387.0,https://pypi.org/project/pycodestyle,28613002.0,28689876.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,6380563.0,1.0,2022-11-23 18:29:05.901,11539.0,,,,,,,,,,,,,,,
37,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-03-19 12:06:00.000,2023-03-19 12:05:58,2819.0,9.0,281.0,73.0,219.0,110.0,354.0,4356.0,2023-03-03 09:22:25.000,2.0.2,23.0,57.0,37,True,,autopep8,conda-forge/autopep8,,178617.0,178617.0,https://pypi.org/project/autopep8,3367210.0,3380987.0,https://anaconda.org/conda-forge/autopep8,2023-03-03 12:11:53.143,1143563.0,3.0,,,,,,,,,,,,,,,,,
38,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-05-23 15:52:38.000,2023-05-23 15:52:36,3692.0,36.0,349.0,96.0,241.0,367.0,397.0,3956.0,2023-05-15 22:16:03.391,2.1.2,63.0,59.0,37,True,,invoke,conda-forge/invoke,,23363.0,20595.0,https://pypi.org/project/invoke,4862436.0,4873028.0,https://anaconda.org/conda-forge/invoke,2023-05-16 01:20:34.857,900326.0,1.0,2023-01-16 22:26:01.797,2768.0,,,,,,,,,,,,,,,
39,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,,2011-12-04 08:49:15.000,2023-05-24 19:20:41.000,2023-05-20 14:52:01,5004.0,302.0,1355.0,499.0,683.0,196.0,1461.0,22860.0,2023-05-18 15:52:21.000,3.4.0.2,34.0,173.0,36,False,,glances,conda-forge/glances,,661.0,661.0,https://pypi.org/project/glances,291575.0,293843.0,https://anaconda.org/conda-forge/glances,2023-05-18 22:16:45.132,194015.0,1.0,,,1287.0,,,,,,,,,,,,,,
40,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-05-24 20:19:51.000,2023-05-24 20:11:12,405.0,3.0,1065.0,183.0,148.0,449.0,223.0,8118.0,2023-05-24 20:13:07.561,0.9.54,51.0,51.0,36,True,,pyautogui,conda-forge/pyautogui,,24454.0,23695.0,https://pypi.org/project/pyautogui,600004.0,602920.0,https://anaconda.org/conda-forge/pyautogui,2022-09-10 02:31:57.039,192494.0,1.0,2021-07-07 17:05:04.000,759.0,,,,,,,,,,,,,,,
41,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2023-05-23 04:40:55.000,2023-05-15 19:52:10,23661.0,239.0,1467.0,202.0,5346.0,675.0,799.0,5042.0,2023-04-17 01:18:25.000,3.8.0,58.0,838.0,36,True,,buildbot,conda-forge/buildbot,,325.0,325.0,https://pypi.org/project/buildbot,31132.0,33388.0,https://anaconda.org/conda-forge/buildbot,2023-04-17 03:32:51.191,80230.0,2.0,,,30336.0,,,,,,,,,,,,,,
42,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-05-25 06:45:47.000,2023-05-06 14:40:18,1079.0,3.0,294.0,36.0,531.0,46.0,414.0,1421.0,2022-12-01 01:51:31.000,4.0.2,52.0,116.0,36,True,,twine,conda-forge/twine,,104570.0,89837.0,https://pypi.org/project/twine,3883199.0,3892594.0,https://anaconda.org/conda-forge/twine,2022-12-01 12:45:16.522,761044.0,2.0,2022-12-01 01:49:17.129,14733.0,,,,,,,,,,,,,,,
