,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
38,setuptools_scm,pypa/setuptools_scm,build-tools,the blessed package to manage your versions by scm tags.,,https://github.com/pypa/setuptools-scm,https://github.com/pypa/setuptools-scm,MIT,2015-07-01 17:57:56.000,2025-09-22 18:42:45.000,2025-09-18 16:18:34,2053.0,184.0,227.0,28.0,585.0,601.0,924.0,2025-08-16 12:56:37.000,9.2.0,97.0,149.0,39,True,,37.0,setuptools_scm,conda-forge/setuptools_scm,34049.0,31899.0,https://pypi.org/project/setuptools_scm,2025-08-16 12:56:37.000,2150.0,89767582.0,89851354.0,https://anaconda.org/conda-forge/setuptools_scm,2025-08-16 21:13:36.839,5361464.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
39,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2025-09-13 00:28:11.000,2025-09-13 00:28:11,772.0,13.0,273.0,32.0,525.0,321.0,677.0,2025-04-19 11:49:36.000,25.0,47.0,126.0,39,True,,108.0,packaging,conda-forge/packaging,1799019.0,1785238.0,https://pypi.org/project/packaging,2025-04-19 11:48:57.000,13781.0,679680302.0,680880110.0,https://anaconda.org/conda-forge/packaging,2025-04-22 18:15:05.471,76786951.0,1.0,,922.0,,,,,,,,,,,,,,,,,,
40,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2025-09-13 11:34:16.000,2025-09-13 11:33:34,975.0,32.0,741.0,140.0,263.0,894.0,22760.0,2024-12-06 11:25:42.000,0.7.3,22.0,68.0,38,True,,232.0,loguru,conda-forge/loguru,153263.0,142609.0,https://pypi.org/project/loguru,2024-12-06 11:20:54.000,10654.0,41538189.0,41595146.0,https://anaconda.org/conda-forge/loguru,2025-05-07 16:22:25.668,3645303.0,2.0,,,,,,,,,,,,,,,,,,,,
41,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2025-09-25 01:18:31.000,2025-09-25 01:18:30,3145.0,50.0,451.0,41.0,1288.0,1872.0,8467.0,2025-08-22 10:28:14.000,2.25.9,238.0,229.0,38,True,,44.0,pdm,conda-forge/pdm,718.0,515.0,https://pypi.org/project/pdm,2025-08-22 10:28:11.000,203.0,8518647.0,8550671.0,https://anaconda.org/conda-forge/pdm,2025-07-30 09:44:31.684,1536071.0,2.0,,772.0,,,,,,,,,,,,,,,,,,
42,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2025-09-22 22:25:15.000,2025-09-22 22:25:14,1469.0,12.0,686.0,70.0,564.0,510.0,7338.0,2025-07-06 03:10:49.000,1.8.6,47.0,188.0,38,True,,204.0,bandit,conda-forge/bandit,60742.0,58912.0,https://pypi.org/project/bandit,2025-07-06 03:10:49.000,1830.0,10022062.0,10030879.0,https://anaconda.org/conda-forge/bandit,2025-07-06 11:19:39.653,519631.0,1.0,,881.0,,,,,,,,,,,,,,,,,,
43,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2025-09-18 07:10:41.000,2025-09-18 07:10:39,1750.0,31.0,251.0,33.0,373.0,342.0,4250.0,2025-06-02 08:21:11.000,25.4.0,41.0,136.0,38,True,,39.0,structlog,conda-forge/structlog,26911.0,25436.0,https://pypi.org/project/structlog,2025-06-02 08:21:11.000,1475.0,35766638.0,35780985.0,https://anaconda.org/conda-forge/structlog,2025-06-02 14:06:59.579,803436.0,2.0,,,,,,,,,,,,,,,,,,,,
44,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2025-09-24 15:46:37.000,2025-09-24 15:46:37,9725.0,66.0,331.0,62.0,1259.0,2808.0,2287.0,2025-03-27 20:46:09.000,4.9.1,40.0,171.0,38,True,,655.0,scons,conda-forge/scons,4012.0,3960.0,https://pypi.org/project/scons,2025-03-27 20:42:16.000,52.0,863900.0,881074.0,https://anaconda.org/conda-forge/scons,2025-09-03 17:42:29.070,1046226.0,2.0,,1801.0,,,,,,,,,,,,,,,,,,
45,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2025-09-23 05:04:00.000,2025-09-23 05:03:58,742.0,28.0,150.0,37.0,372.0,154.0,1982.0,2025-09-16 16:40:09.000,3.15.1,66.0,81.0,38,True,,12.0,pytest-mock,conda-forge/pytest-mock,127312.0,117899.0,https://pypi.org/project/pytest-mock,2025-09-16 16:37:25.000,9413.0,49647279.0,49710157.0,https://anaconda.org/conda-forge/pytest-mock,2025-09-17 09:28:14.765,3961369.0,2.0,['pytest'],113.0,,,,,,,,,,,,,,,,,,
46,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2025-09-10 18:04:45.000,2025-09-10 18:04:44,1344.0,11.0,325.0,40.0,705.0,499.0,1726.0,2025-09-04 15:43:15.000,6.2.0,59.0,131.0,38,True,,55.0,twine,conda-forge/twine,148877.0,125954.0,https://pypi.org/project/twine,2025-09-04 15:43:15.000,22923.0,20054304.0,20076318.0,https://anaconda.org/conda-forge/twine,2025-09-04 19:22:15.675,1386832.0,2.0,,97.0,,,,,,,,,,,,,,,,,,
47,memray,bloomberg/memray,profiling,Memray is a memory profiler for Python.,,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11.000,2025-09-23 20:51:40.637,2025-09-11 13:28:51,1394.0,72.0,424.0,58.0,482.0,210.0,14410.0,2025-08-08 19:47:03.000,1.18.0,32.0,59.0,37,True,,42.0,memray,conda-forge/memray,1571.0,1473.0,https://pypi.org/project/memray,2025-08-08 19:47:03.000,98.0,5789560.0,5802031.0,https://anaconda.org/conda-forge/memray,2025-09-23 20:51:40.637,511344.0,2.0,,,,,,,,,,,,,,,,,,,,
