,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-20 22:34:34.000,2022-10-20 22:34:32,172.0,25.0,129.0,48.0,109.0,2.0,1703.0,2022-10-20 22:34:37.000,2022.10.20,61.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-10-20 21:23:39.000,2022-10-20 21:23:39,125.0,23.0,3.0,5.0,46.0,2.0,67.0,2022-10-20 21:23:47.000,2022.10.20,31.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-10-27 13:16:54.000,2022-10-25 17:47:16,14769.0,173.0,2192.0,195.0,4814.0,4312.0,9410.0,2022-10-25 08:00:15.131,7.2.0,156.0,832.0,47,True,782.0,pytest,conda-forge/pytest,['pytest'],687572.0,603981.0,https://pypi.org/project/pytest,2022-10-25 08:00:15.131,83591.0,49081494.0,49299044.0,https://anaconda.org/conda-forge/pytest,2022-10-26 17:39:17.365,16316321.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-10-27 14:19:15.000,2022-10-26 14:09:22,13371.0,167.0,2740.0,305.0,5020.0,5605.0,8321.0,2022-07-27 17:30:11.390,22.2.1,125.0,693.0,46,True,982.0,pip,conda-forge/pip,,112705.0,102023.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,120182453.0,120918917.0,https://anaconda.org/conda-forge/pip,2022-10-15 15:49:41.650,55234860.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-10-26 08:33:31.905,2022-10-21 18:34:55,5843.0,48.0,1270.0,235.0,588.0,1362.0,8800.0,2022-10-18 20:14:40.197,5.9.3,87.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,231284.0,215327.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,15957.0,66548155.0,66755097.0,https://anaconda.org/conda-forge/psutil,2022-10-26 08:33:31.905,16141545.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-10-27 10:40:15.000,2022-10-27 10:40:10,13320.0,511.0,956.0,87.0,1293.0,1660.0,1826.0,2022-10-14 12:36:38.682,65.5.0,519.0,542.0,45,True,536.0,setuptools,conda-forge/setuptools,,252272.0,215702.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36570.0,217114346.0,217892150.0,https://anaconda.org/conda-forge/setuptools,2022-10-25 19:10:05.161,58335326.0,1.0,,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-10-26 04:44:48.448,2022-10-26 02:20:35,7984.0,446.0,1785.0,366.0,1591.0,3551.0,23380.0,2022-10-26 03:12:05.680,2022.10.25,338.0,444.0,44,True,262.0,pipenv,conda-forge/pipenv,,43509.0,42267.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,1242.0,6671542.0,6673587.0,https://anaconda.org/conda-forge/pipenv,2022-10-26 04:44:48.448,73654.0,1.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-10-27 05:40:11.000,2022-10-26 11:27:18,10712.0,303.0,2333.0,223.0,5632.0,6111.0,14028.0,,,96.0,610.0,44,True,2268.0,mypy,conda-forge/mypy,,105873.0,99588.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,6285.0,13517741.0,13556968.0,https://anaconda.org/conda-forge/mypy,2022-10-05 00:25:54.532,2314419.0,1.0,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-10-27 01:58:28.000,2022-10-20 13:42:55,3519.0,161.0,1371.0,540.0,838.0,880.0,40452.0,2022-10-02 16:29:13.235,12.6.0,170.0,199.0,42,True,64.0,rich,conda-forge/rich,,37695.0,35570.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,13703076.0,13781860.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,2127184.0,1.0,,,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-10-27 09:04:39.000,2022-10-27 01:03:10,1445.0,68.0,1915.0,223.0,1246.0,1757.0,29959.0,2022-10-06 22:46:02.996,22.10.0,42.0,344.0,42,True,356.0,black,conda-forge/black,,7852.0,,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,16125781.0,16225464.0,https://anaconda.org/conda-forge/black,2022-10-26 08:56:13.865,5252293.0,1.0,,25154.0,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-10-23 02:54:03.000,2022-09-03 10:56:22,1928.0,4.0,1168.0,206.0,492.0,559.0,23200.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,361340.0,338911.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,22429.0,45869007.0,46063829.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,14792710.0,1.0,,10257.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-10-22 01:49:27.240039,2.0,4051.0,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-10-26 16:06:50.000,2022-10-25 19:59:30,1814.0,161.0,2096.0,234.0,1087.0,1625.0,15187.0,2022-10-15 19:19:40.000,1.4.1,54.0,222.0,42,True,109.0,mkdocs,conda-forge/mkdocs,['mkdocs'],30328.0,26578.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3750.0,1191602.0,1194262.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,207540.0,1.0,,,,,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-10-26 21:57:04.000,2022-10-26 19:23:26,8531.0,86.0,1841.0,233.0,2048.0,4411.0,9693.0,2022-10-25 14:45:50.000,5.6.1,45.0,441.0,42,True,280.0,pyinstaller,conda-forge/pyinstaller,,31609.0,31420.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,189.0,792277.0,803822.0,https://anaconda.org/conda-forge/pyinstaller,2022-05-21 21:16:21.534,362034.0,1.0,,732339.0,,,,,,,,,,,,,,,,,,
15,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-10-27 09:09:41.000,2022-10-27 08:53:56,19742.0,162.0,1775.0,140.0,4712.0,5197.0,4954.0,2022-10-17 21:45:48.000,6.0.0b2,175.0,757.0,42,True,1071.0,sphinx,conda-forge/sphinx,['sphinx'],287611.0,227650.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,8907821.0,8993123.0,https://anaconda.org/conda-forge/sphinx,2022-10-16 10:22:22.751,6312349.0,1.0,,,,,,,,,,,,,,,,,,,,
16,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-10-27 09:18:37.000,2022-10-27 09:17:10,4598.0,178.0,2554.0,108.0,2058.0,1575.0,11495.0,2022-10-22 02:55:34.817,8.5.7,127.0,166.0,41,True,17.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],17995.0,17995.0,https://pypi.org/project/mkdocs-material,2022-10-22 02:55:34.817,,1624942.0,1629029.0,https://anaconda.org/conda-forge/mkdocs-material,2022-09-18 18:35:12.577,167602.0,1.0,,,,,,,,,,,,,,,,,,,,
17,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-10-27 14:22:22.000,2022-10-27 14:22:20,2308.0,68.0,242.0,31.0,271.0,1421.0,2374.0,2022-08-03 23:23:36.795,5.0.4,86.0,170.0,41,True,31.0,flake8,conda-forge/flake8,,344503.0,302604.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,41899.0,18759491.0,18825247.0,https://anaconda.org/conda-forge/flake8,2022-08-04 20:32:50.634,4997524.0,1.0,,,,,,,,,,,,,,,,,,,,
18,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-10-27 11:41:54.000,2022-10-26 12:15:48,2633.0,208.0,1801.0,180.0,2108.0,3800.0,22389.0,2022-10-10 19:45:14.090,1.2.2,154.0,408.0,40,True,667.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-08-31 03:48:14.633,155.0,9793940.0,10073770.0,https://anaconda.org/conda-forge/poetry,2022-08-31 12:09:56.826,666418.0,1.0,,14345206.0,,,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-10-20 16:52:47.000,2022-10-20 16:51:57,13759.0,151.0,2033.0,482.0,602.0,3711.0,7468.0,2022-10-19 10:31:50.000,6.0,95.0,172.0,40,True,242.0,robotframework,conda-forge/robotframework,,7073.0,6025.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1048.0,1540210.0,1541932.0,https://anaconda.org/conda-forge/robotframework,2022-10-19 12:29:04.598,97880.0,1.0,,539.0,,,,,,,,,,,,,,,,,,
