,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-29 17:09:02.000,2022-09-29 17:09:02,166.0,25.0,128.0,48.0,106.0,2.0,1682.0,2022-09-29 17:09:07.000,2022.09.29,58.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-09-29 18:27:31.000,2022-09-29 18:27:31,122.0,26.0,3.0,4.0,43.0,2.0,58.0,2022-09-29 18:27:40.000,2022.09.29,28.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-10-06 09:45:16.000,2022-10-02 10:59:16,14663.0,95.0,2149.0,192.0,4768.0,4283.0,9303.0,2022-09-02 11:15:53.605,7.1.3,155.0,818.0,47,True,797.0,pytest,conda-forge/pytest,['pytest'],671360.0,587769.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,48454538.0,48665800.0,https://anaconda.org/conda-forge/pytest,2022-09-02 18:18:41.232,15844676.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-10-06 13:31:18.000,2022-10-06 13:31:16,13329.0,274.0,2721.0,304.0,4990.0,5550.0,8278.0,2022-07-27 17:30:11.390,22.2.1,124.0,692.0,47,True,1000.0,pip,conda-forge/pip,,110620.0,99938.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,112071481.0,112779648.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,53112564.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-10-06 00:32:43.000,2022-10-05 21:29:10,13283.0,502.0,944.0,87.0,1281.0,1654.0,1812.0,2022-09-30 01:12:41.608,65.4.1,518.0,536.0,45,True,532.0,setuptools,conda-forge/setuptools,,243263.0,206693.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36570.0,208538155.0,209286303.0,https://anaconda.org/conda-forge/setuptools,2022-10-03 11:30:16.770,56111141.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-10-06 06:13:30.000,2022-10-06 06:13:29,7850.0,361.0,1771.0,365.0,1570.0,3529.0,23336.0,2022-10-05 01:41:22.604,2022.10.4,332.0,436.0,44,True,260.0,pipenv,conda-forge/pipenv,,40145.0,38903.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,1242.0,6580095.0,6582047.0,https://anaconda.org/conda-forge/pipenv,2022-10-05 06:40:18.561,70289.0,1.0,,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-10-06 13:47:20.000,2022-10-04 21:31:14,10665.0,342.0,2316.0,220.0,5581.0,6064.0,13890.0,,,96.0,609.0,44,True,2237.0,mypy,conda-forge/mypy,,101564.0,95279.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,12239863.0,12277844.0,https://anaconda.org/conda-forge/mypy,2022-10-05 00:25:54.532,2240927.0,1.0,,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-10-06 06:45:58.000,2022-10-05 21:15:37,5820.0,30.0,1263.0,235.0,581.0,1357.0,8745.0,2022-09-04 20:17:41.866,5.9.2,86.0,186.0,44,True,241.0,psutil,conda-forge/psutil,,223896.0,207939.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,67084773.0,67282935.0,https://anaconda.org/conda-forge/psutil,2022-09-05 05:46:25.026,15456657.0,1.0,,,,,,,,,,,,,,,,,,,,
10,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-10-05 18:11:19.000,2022-10-05 13:47:16,19658.0,198.0,1766.0,138.0,4696.0,5184.0,4917.0,2022-09-30 15:14:42.882,5.2.3,172.0,755.0,44,True,1068.0,sphinx,conda-forge/sphinx,['sphinx'],283229.0,223268.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,8034505.0,8117628.0,https://anaconda.org/conda-forge/sphinx,2022-09-30 18:13:44.569,6151162.0,1.0,,,,,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-10-04 10:33:02.000,2022-10-04 09:57:25,3479.0,172.0,1371.0,536.0,817.0,865.0,40045.0,2022-10-02 16:29:13.235,12.6.0,170.0,197.0,42,True,64.0,rich,conda-forge/rich,,34557.0,32432.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,12571040.0,12641352.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,1898434.0,1.0,,,,,,,,,,,,,,,,,,,,
12,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-10-06 02:59:42.000,2022-10-04 20:10:11,1431.0,73.0,1868.0,224.0,1226.0,1734.0,29437.0,2022-08-31 22:49:55.134,22.8.0,41.0,340.0,42,True,345.0,black,conda-forge/black,,7852.0,,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,15245629.0,15341381.0,https://anaconda.org/conda-forge/black,2022-09-15 18:06:36.919,5044362.0,1.0,24800.0,,,,,,,,,,,,,,,,,,,
