,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-08-26 14:18:36.000000,2021-07-16 21:43:54.000000,86.0,2.0,1310.0,2021-07-16 21:44:03.000000,2021.07.15,21.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-08-25 21:54:47.000000,2021-08-22 17:22:45.000000,1525.0,4726.0,4095.0,2021-07-14 17:22:46.000000,4.1.1,155.0,670.0,810.0,['sphinx'],conda-forge/sphinx,sphinx,18082.0,259575.0,155039.0,https://pypi.org/project/sphinx,2021-07-26 17:14:02.000000,104536.0,3874821.0,3937949.0,https://anaconda.org/conda-forge/sphinx,2021-07-26 20:39:24.675000,3787723.0,1.0,,,,,,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-08-18 01:56:09.000000,2021-08-18 01:56:09.000000,1645.0,2898.0,22214.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,386.0,560.0,,conda-forge/pipenv,pipenv,7107.0,23301.0,21027.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3274818.0,3276744.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,42379.0,1.0,,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-08-25 16:42:22.000000,2021-08-22 21:32:48.000000,994.0,529.0,19228.0,2021-08-23 15:04:14.000000,4.62.2,123.0,107.0,296.0,,conda-forge/tqdm,tqdm,1872.0,226636.0,200398.0,https://pypi.org/project/tqdm,2021-08-23 12:32:48.000000,26238.0,28395890.0,28514766.0,https://anaconda.org/conda-forge/tqdm,2021-08-23 18:18:14.554000,7359564.0,1.0,tqdm/tqdm,7769.0,https://hub.docker.com/r/tqdm/tqdm,2021-08-23 12:36:28.677309,1.0,3823.0,,,,,,,,,
6,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-08-20 07:55:57.000000,2021-08-20 07:55:56.000000,1127.0,1291.0,7601.0,2020-12-19 01:19:27.000000,5.8.0,83.0,163.0,193.0,,conda-forge/psutil,psutil,5691.0,127092.0,102426.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,26724138.0,26845231.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,7749968.0,1.0,,,,,,,2.0,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-08-23 17:50:25.000000,2021-08-23 17:50:25.000000,1786.0,1459.0,12682.0,2021-07-18 19:32:00.000000,1.2.2,47.0,196.0,100.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1572.0,20227.0,14285.0,https://pypi.org/project/mkdocs,2021-07-18 19:20:49.000000,5942.0,645672.0,647972.0,https://anaconda.org/conda-forge/mkdocs,2021-07-18 21:27:59.884000,147235.0,1.0,,,,,,,1.0,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-08-25 23:24:59.000000,2021-08-25 16:49:31.000000,1822.0,4780.0,11180.0,,,83.0,487.0,1843.0,,conda-forge/mypy,mypy,9700.0,48473.0,42389.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6793002.0,6818881.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1164575.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-08-26 14:08:11.000000,2021-08-26 13:14:27.000000,1761.0,3938.0,7680.0,2021-05-04 16:22:25.000000,6.2.4,147.0,740.0,696.0,['pytest'],conda-forge/pytest,pytest,,493071.0,362487.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000000,130584.0,30500969.0,30649267.0,https://anaconda.org/conda-forge/pytest,2021-06-29 11:51:51.458000,9046206.0,1.0,,,,,,,,,,,,,,,
10,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-08-25 11:08:45.000000,2021-08-24 07:18:25.000000,382.0,1100.0,2362.0,2021-08-21 15:06:30.000000,3.24.3,122.0,250.0,127.0,['pytest'],conda-forge/tox,tox,2038.0,83946.0,47546.0,https://pypi.org/project/tox,2021-08-21 15:06:30.000000,36400.0,4187037.0,4194242.0,https://anaconda.org/conda-forge/tox,2021-08-24 16:28:03.475000,338660.0,1.0,,,,,,,,,,,,,,,
11,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-08-23 20:18:06.000000,2021-08-23 20:18:06.000000,183.0,1255.0,1439.0,2021-03-14 23:32:11.000000,3.9.0,79.0,156.0,37.0,,conda-forge/flake8,flake8,1991.0,259506.0,188216.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000000,71290.0,11279974.0,11326040.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968000,2856108.0,1.0,,,,,,,,,,,,,,,
12,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-08-26 05:34:44.000000,2021-07-25 18:02:38.000000,441.0,1220.0,4949.0,2020-12-25 10:34:25.000000,0.18.0,30.0,144.0,29.0,,conda-forge/jedi,jedi,8222.0,163558.0,147652.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,16971827.0,17072678.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,5849409.0,1.0,,,,,,,,,,,,,,,
13,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-08-26 01:32:27.000000,2021-08-26 01:32:27.000000,1393.0,1320.0,22108.0,2021-07-16 14:44:04.000000,21.7b0,31.0,267.0,298.0,,conda-forge/black,black,,83455.0,77227.0,https://pypi.org/project/black,2021-07-16 14:44:33.000000,6228.0,7659052.0,7710116.0,https://anaconda.org/conda-forge/black,2021-07-16 20:48:05.128000,1970830.0,1.0,,15398.0,,,,,,,,,,,,,
14,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,34,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-08-26 06:29:48.000000,2021-08-22 18:07:33.000000,2389.0,4932.0,7365.0,2021-08-12 14:54:57.000000,21.2.4,111.0,630.0,1020.0,,conda-forge/pip,pip,,76363.0,57697.0,https://pypi.org/project/pip,2021-08-12 14:54:57.000000,18666.0,108866069.0,109252516.0,https://anaconda.org/conda-forge/pip,2021-08-12 18:29:31.614000,23573295.0,1.0,,,,,,,,,,,,,,,
15,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,34,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000000,2021-08-04 18:52:30.000000,2021-05-06 22:18:19.000000,599.0,537.0,4373.0,2021-03-14 18:44:02.000000,2.7.0,12.0,125.0,113.0,,conda-forge/pycodestyle,pycodestyle,1222.0,176616.0,155386.0,https://pypi.org/project/pycodestyle,2021-03-14 18:44:02.000000,21230.0,15925535.0,15974070.0,https://anaconda.org/conda-forge/pycodestyle,2021-03-15 18:43:23.361000,3009225.0,1.0,,,,,,,,,,,,,,,
16,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2021-08-15 12:15:32.000000,2021-08-15 12:15:32.000000,244.0,335.0,3869.0,2021-04-30 06:09:29.000000,1.5.7,67.0,51.0,88.0,,conda-forge/autopep8,autopep8,2717.0,96832.0,86648.0,https://pypi.org/project/autopep8,2021-04-30 06:04:42.000000,10184.0,2136351.0,2144693.0,https://anaconda.org/conda-forge/autopep8,2021-04-30 08:34:16.877000,517239.0,1.0,,,,,,,,,,,,,,,
17,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-08-26 09:00:29.000000,2021-07-21 22:46:41.000000,749.0,1244.0,1409.0,2021-07-19 01:20:27.000000,57.4.0,434.0,453.0,562.0,,conda-forge/setuptools,setuptools,,171344.0,113414.0,https://pypi.org/project/setuptools,2021-07-19 01:20:16.000000,57930.0,119893236.0,120299511.0,https://anaconda.org/conda-forge/setuptools,2021-08-16 14:05:02.503000,24782773.0,1.0,,110.0,,,,,,,,,,,,,
18,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-08-24 09:12:09.000000,2021-08-20 12:48:48.000000,848.0,494.0,28347.0,2021-08-05 20:19:04.000000,10.7.0,131.0,107.0,6.0,,conda-forge/rich,rich,2192.0,6260.0,6260.0,https://pypi.org/project/rich,2021-08-05 20:17:41.000000,0.0,2011440.0,2038109.0,https://anaconda.org/conda-forge/rich,2021-08-06 13:03:39.043000,346698.0,1.0,,,,,,,,,,,,,,,
19,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,33,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-08-25 10:51:13.989000,2021-08-25 06:49:25.000000,1750.0,1092.0,7304.0,2021-08-25 06:29:47.000000,7.2.5,211.0,126.0,10.0,['mkdocs'],conda-forge/mkdocs-material,mkdocs-material,3516.0,9677.0,8175.0,https://pypi.org/project/mkdocs-material,2021-08-25 06:29:47.000000,1502.0,489805.0,491984.0,https://anaconda.org/conda-forge/mkdocs-material,2021-08-25 10:51:13.989000,58852.0,1.0,,,,,,,,,,,,,,,
20,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,33,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-08-25 04:05:08.000000,2021-08-16 23:00:54.000000,1728.0,3422.0,6221.0,2021-07-19 10:40:50.000000,4.1,64.0,146.0,194.0,,conda-forge/robotframework,robotframework,12994.0,5512.0,4104.0,https://pypi.org/project/robotframework,2021-07-19 10:31:38.000000,1408.0,819936.0,821314.0,https://anaconda.org/conda-forge/robotframework,2021-07-19 12:30:18.399000,59034.0,1.0,,513.0,,,,,,,,,,,,,
21,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2021-08-26 13:46:08.000000,2021-08-22 01:07:46.000000,466.0,1078.0,5347.0,2021-08-22 01:08:07.000000,hypothesis-python-6.15.0,861.0,248.0,65.0,,conda-forge/hypothesis,hypothesis,10891.0,12245.0,9629.0,https://pypi.org/project/hypothesis,2021-08-22 01:07:51.000000,2616.0,1855798.0,1931495.0,https://anaconda.org/conda-forge/hypothesis,2021-08-22 10:47:39.232000,4617535.0,1.0,,,,,,,,,,,,,,,
22,pip-tools,https://github.com/jazzband/pip-tools,,A set of tools to keep your pinned Python dependencies fresh.,dependency-managers,33,True,jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000000,2021-08-24 09:24:13.000000,2021-08-24 09:24:01.000000,455.0,628.0,5150.0,2021-06-22 09:33:33.000000,6.2.0,93.0,157.0,127.0,,conda-forge/pip-tools,pip-tools,1618.0,3252.0,,https://pypi.org/project/pip-tools,2021-06-22 09:33:33.000000,3252.0,6730283.0,6731176.0,https://anaconda.org/conda-forge/pip-tools,2021-06-22 11:23:39.836000,14297.0,2.0,,,,,,,,,,,,,,,
23,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,33,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000000,2021-08-18 06:23:10.000000,2021-08-18 06:23:09.000000,414.0,972.0,4097.0,2021-07-29 06:41:35.000000,5.9.3,130.0,245.0,24.0,,conda-forge/isort,isort,,213790.0,189572.0,https://pypi.org/project/isort,2021-07-29 06:40:41.000000,24218.0,17498700.0,17535271.0,https://anaconda.org/conda-forge/isort,2021-07-29 08:58:06.550000,2230858.0,2.0,,,,,,,,,,,,,,,
24,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000000,2021-08-25 15:42:44.000000,2021-08-23 19:08:43.000000,1592.0,522.0,3800.0,2018-10-05 13:20:49.000000,0.4.2,23.0,108.0,180.0,['sphinx'],conda-forge/sphinx_rtd_theme,sphinx_rtd_theme,1330.0,23490.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000000,23474.0,1832708.0,1859660.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-04-06 20:57:24.009000,1617124.0,1.0,,,,,,,,,,,,,,,
