,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,new_addition,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads
14,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,34,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-01-12 19:26:00.000,2021-01-12 09:19:40.000,2017.0,2021-01-08 18:07:44.000,3.21.0,105.0,conda-forge/tox,['pytest'],tox,331.0,147.0,929.0,1941.0,76353.0,39953.0,234.0,https://pypi.org/project/tox,2021-01-08 18:54:05.000,36400.0,1668306.0,1673388.0,https://anaconda.org/conda-forge/tox,2021-01-09 19:34:46.462,203309.0,1.0,,,,,,,,,
15,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2021-01-09 03:56:38.000,2021-01-09 03:56:36.000,1278.0,2021-01-09 02:03:22.000,51.1.2,412.0,conda-forge/setuptools,,setuptools,681.0,535.0,1170.0,,144164.0,86234.0,407.0,https://pypi.org/project/setuptools,2021-01-09 02:03:18.000,57930.0,71574691.0,71902510.0,https://anaconda.org/conda-forge/setuptools,2021-01-08 05:42:17.824,17702213.0,1.0,101.0,,,,,,,,
16,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,34,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-01-07 23:32:13.000,2021-01-07 23:32:08.000,1054.0,2020-10-02 23:34:01.000,3.8.4,76.0,conda-forge/flake8,,flake8,183.0,7.0,,1876.0,213355.0,142065.0,148.0,https://pypi.org/project/flake8,2020-10-02 23:34:01.000,71290.0,4396976.0,4430364.0,https://anaconda.org/conda-forge/flake8,2020-10-05 05:07:54.333,1836376.0,1.0,,,,,,,,,
17,yapf,https://github.com/google/yapf,,A formatter for Python files.,formatters,33,True,google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2020-12-21 02:00:08.000,2020-12-21 02:00:07.000,11374.0,2020-04-23 19:07:36.000,0.30.0,67.0,conda-forge/yapf,,yapf,755.0,291.0,364.0,1113.0,19395.0,15989.0,123.0,https://pypi.org/project/yapf,2020-04-23 19:07:36.000,3406.0,442647.0,451485.0,https://anaconda.org/conda-forge/yapf,2020-07-28 15:36:35.387,486096.0,2.0,,,,,,,,,
18,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-01-12 13:42:12.000,2020-12-27 20:14:43.000,11363.0,2020-05-14 15:18:01.000,1.1.2,44.0,conda-forge/mkdocs,['mkdocs'],mkdocs,1598.0,133.0,1328.0,1491.0,16020.0,10078.0,180.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,219434.0,221417.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,113043.0,1.0,,,,,,,,,
19,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,33,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2021-01-12 19:16:30.000,2021-01-11 17:30:09.000,5429.0,2020-09-01 18:21:46.000,3.2.2,51.0,conda-forge/robotframework,,robotframework,1549.0,188.0,3240.0,12690.0,4694.0,3286.0,131.0,https://pypi.org/project/robotframework,2020-11-30 19:27:10.000,1408.0,420382.0,421353.0,https://anaconda.org/conda-forge/robotframework,2020-09-03 11:47:40.885,34745.0,1.0,487.0,,,,,,,,
20,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2021-01-12 00:03:56.000,2021-01-12 00:03:48.000,4880.0,2021-01-08 22:46:03.000,hypothesis-python-6.0.0,793.0,conda-forge/hypothesis,,hypothesis,447.0,56.0,981.0,10416.0,9999.0,7383.0,241.0,https://pypi.org/project/hypothesis,2021-01-07 03:41:10.000,2616.0,693891.0,755650.0,https://anaconda.org/conda-forge/hypothesis,2021-01-09 00:46:02.561,3335000.0,1.0,,,,,,,,,
21,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,33,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2021-01-08 01:29:21.000,2021-01-07 18:35:38.000,4222.0,2020-05-11 20:02:52.000,2.6.0,11.0,conda-forge/pycodestyle,,pycodestyle,592.0,112.0,522.0,1199.0,135493.0,114263.0,124.0,https://pypi.org/project/pycodestyle,2020-05-11 20:02:52.000,21230.0,6401180.0,6436870.0,https://anaconda.org/conda-forge/pycodestyle,2020-05-12 17:42:46.576,1962978.0,1.0,,,,,,,,,
22,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,33,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2020-12-28 06:47:45.000,2020-12-28 06:47:37.000,3669.0,2020-08-02 04:28:37.000,1.5.4,64.0,conda-forge/autopep8,,autopep8,228.0,85.0,329.0,2672.0,71879.0,61695.0,47.0,https://pypi.org/project/autopep8,2020-08-02 04:28:37.000,10184.0,926885.0,933753.0,https://anaconda.org/conda-forge/autopep8,2020-08-02 05:22:52.912,377751.0,2.0,,,,,,,,,
23,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2021-01-12 02:01:55.000,2021-01-12 02:01:54.000,3578.0,2018-10-05 13:20:49.000,0.4.2,23.0,conda-forge/sphinx_rtd_theme,['sphinx'],sphinx_rtd_theme,1477.0,158.0,448.0,1187.0,23490.0,16.0,103.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000,23474.0,903269.0,920481.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-01-05 13:49:54.682,912258.0,1.0,,,,,,,,,
