,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-18 17:08:05.000,2024-04-18 17:08:04,332.0,29.0,162.0,54.0,197.0,3.0,2166.0,2024-04-18 17:08:10.000,2024.04.18,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-04-24 21:58:40.000,2024-04-19 20:05:27,279.0,27.0,44.0,14.0,190.0,15.0,815.0,2023-06-29 18:48:34.000,2023.06.29,68.0,30.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-04-25 11:11:51.000,2024-04-23 14:59:12,15863.0,274.0,2499.0,192.0,5682.0,4895.0,11364.0,2024-03-09 11:51:50.000,8.1.1,173.0,957.0,48,True,,854.0,pytest,conda-forge/pytest,['pytest'],109.0,121525171.0,1231948.0,1206044.0,https://pypi.org/project/pytest,2024-03-09 11:51:04.000,25904.0,120928080.0,https://anaconda.org/conda-forge/pytest,2024-03-09 13:59:25.744,25077819.0,1.0,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-04-25 03:37:04.000,2024-04-23 06:37:23,14505.0,225.0,2948.0,321.0,5441.0,6211.0,9274.0,2023-12-17 13:05:02.000,23.3.2,138.0,781.0,48,True,,1099.0,pip,conda-forge/pip,,,349673622.0,193307.0,181349.0,https://pypi.org/project/pip,2024-02-03 09:53:09.000,11958.0,347402782.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,106729519.0,1.0,1.0,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-04-25 14:05:46.000,2024-04-25 13:17:14,14795.0,367.0,1133.0,95.0,1567.0,1860.0,2307.0,2024-04-13 22:28:28.000,69.4.2,566.0,599.0,47,True,,615.0,setuptools,conda-forge/setuptools,,,392779949.0,539335.0,498538.0,https://pypi.org/project/setuptools,2024-04-13 22:28:16.000,40797.0,390523690.0,https://anaconda.org/conda-forge/setuptools,2024-04-14 11:43:37.916,106044209.0,1.0,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-04-25 08:10:28.484,2024-04-25 06:11:31,1859.0,66.0,2368.0,232.0,1724.0,2216.0,37378.0,2024-04-24 15:17:55.000,24.4.1,61.0,445.0,46,True,,376.0,black,conda-forge/black,,86968.0,35988661.0,500698.0,485351.0,https://pypi.org/project/black,2024-04-24 15:17:55.000,15347.0,35768313.0,https://anaconda.org/conda-forge/black,2024-04-25 08:10:28.484,9851572.0,1.0,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-04-25 06:03:16.000,2024-04-24 15:17:59,11801.0,108.0,2697.0,235.0,6915.0,7577.0,17541.0,2024-04-24 13:52:35.000,1.10.0,115.0,709.0,46,True,,2795.0,mypy,conda-forge/mypy,,,24679062.0,247455.0,236380.0,https://pypi.org/project/mypy,2024-04-24 13:52:35.000,11075.0,24594930.0,https://anaconda.org/conda-forge/mypy,2024-04-25 00:02:59.037,3870098.0,1.0,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2024-04-25 14:30:55.000,2024-04-25 14:30:55,20832.0,226.0,1980.0,150.0,5381.0,5750.0,6032.0,2024-04-19 04:44:43.000,7.3.7,206.0,820.0,46,True,,1238.0,sphinx,conda-forge/sphinx,['sphinx'],,13359948.0,438107.0,373207.0,https://pypi.org/project/sphinx,2024-04-19 04:44:43.000,64900.0,13168431.0,https://anaconda.org/conda-forge/sphinx,2024-04-19 19:30:59.768,9001323.0,1.0,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-04-18 16:10:32.000,2024-04-18 16:10:27,6060.0,36.0,1354.0,234.0,686.0,1435.0,9925.0,2024-01-19 20:47:14.000,5.9.8,93.0,206.0,45,True,,312.0,psutil,conda-forge/psutil,,,101692538.0,492440.0,473997.0,https://pypi.org/project/psutil,2024-01-19 20:47:14.000,18443.0,101026394.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,29976495.0,1.0,,,,,,,,,,,,,,,,,,
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-04-25 11:30:20.000,2024-04-24 01:21:04,8750.0,34.0,1842.0,359.0,1872.0,3933.0,24598.0,2024-02-05 01:04:03.000,2023.12.1,386.0,504.0,44,True,,246.0,pipenv,conda-forge/pipenv,,,11179324.0,135134.0,133871.0,https://pypi.org/project/pipenv,2024-02-05 01:04:03.000,1263.0,11176145.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,149419.0,1.0,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-04-25 13:36:40.000,2024-02-10 18:11:50,1979.0,15.0,1398.0,208.0,546.0,579.0,27444.0,2024-02-10 19:02:52.000,4.66.2,136.0,115.0,43,True,,490.0,tqdm,conda-forge/tqdm,,12101.0,95468829.0,735689.0,704824.0,https://pypi.org/project/tqdm,2024-02-10 18:19:53.000,30865.0,94905111.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,25922743.0,1.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-04-20 01:33:25.069976,2.0,4472.0,,,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-04-25 14:09:33.000,2024-04-25 14:09:32,16829.0,135.0,1483.0,197.0,4233.0,8940.0,6087.0,2024-03-18 13:27:19.000,24.3.0,100.0,452.0,43,True,,723.0,conda,conda-forge/conda,,329.0,1225079.0,47806.0,46707.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1099.0,152551.0,https://anaconda.org/conda-forge/conda,2024-03-26 09:53:43.987,50408647.0,1.0,,,,,,,,,,,,,,,,,,
14,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-04-25 14:10:44.000,2024-04-16 15:08:25,3879.0,9.0,1664.0,540.0,1092.0,1073.0,47086.0,2024-02-28 14:52:38.000,13.7.1,191.0,237.0,42,True,,267.0,rich,conda-forge/rich,,,53990753.0,202086.0,195042.0,https://pypi.org/project/rich,2024-02-28 14:51:14.000,7044.0,53843787.0,https://anaconda.org/conda-forge/rich,2024-02-28 20:06:23.063,6613497.0,1.0,,,,,,,,,,,,,,,,,,
15,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-04-24 21:01:04.000,2024-04-17 23:10:30,3264.0,202.0,2198.0,188.0,2822.0,5077.0,29489.0,2024-03-02 15:26:38.000,1.8.2,169.0,553.0,42,True,,635.0,poetry,conda-forge/poetry,,15434556.0,34967496.0,398.0,,https://pypi.org/project/poetry,2024-03-02 15:26:38.000,398.0,34711613.0,https://anaconda.org/conda-forge/poetry,2024-03-03 16:09:33.641,1173797.0,2.0,,,,,,,,,,,,,,,,,,
16,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-04-25 13:59:13.000,2024-04-25 02:38:54,6794.0,651.0,845.0,74.0,6619.0,3510.0,26533.0,2024-04-19 12:32:43.000,0.4.1,295.0,413.0,42,True,astral-sh/ruff,766.0,ruff,conda-forge/ruff,,367168.0,15810720.0,45287.0,42484.0,https://pypi.org/project/ruff,2024-04-19 12:27:04.000,2803.0,15747378.0,https://anaconda.org/conda-forge/ruff,2024-04-19 16:43:54.224,660707.0,1.0,,,,,,,,,,,,,,,,,,
17,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-04-25 08:48:44.000,2024-04-22 16:09:57,2073.0,31.0,2346.0,234.0,1274.0,1904.0,18277.0,2024-04-20 17:55:42.000,1.6.0,61.0,248.0,42,True,,68.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,3401967.0,65344.0,60372.0,https://pypi.org/project/mkdocs,2024-04-20 17:55:42.000,4972.0,3392275.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,329539.0,1.0,1.0,,,,,,,,,,,,,,,,,
18,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-04-25 12:41:14.000,2024-04-25 04:27:10,6208.0,179.0,3316.0,127.0,2854.0,2262.0,18261.0,2024-04-25 04:10:04.000,9.5.19,379.0,268.0,42,True,,40.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,4269976.0,48010.0,46613.0,https://pypi.org/project/mkdocs-material,2024-04-25 04:10:04.000,1397.0,4262106.0,https://anaconda.org/conda-forge/mkdocs-material,2024-04-16 14:41:41.558,369904.0,1.0,,,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-04-22 21:13:17.000,2024-04-22 21:13:17,9208.0,87.0,1913.0,233.0,2364.0,4981.0,11288.0,2024-04-13 09:56:42.000,6.6.0,63.0,467.0,42,True,,275.0,pyinstaller,conda-forge/pyinstaller,,745063.0,2241427.0,57950.0,57482.0,https://pypi.org/project/pyinstaller,2024-04-13 09:54:20.000,468.0,2221494.0,https://anaconda.org/conda-forge/pyinstaller,2024-04-14 00:04:38.297,548638.0,1.0,,,,,,,,,,,,,,,,,,
20,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-04-25 13:44:07.000,2024-04-08 20:05:45,14309.0,396.0,565.0,74.0,2431.0,1481.0,7275.0,2024-04-08 20:05:50.000,6.100.1,1165.0,329.0,42,True,,37.0,hypothesis,conda-forge/hypothesis,,,7618892.0,28825.0,26346.0,https://pypi.org/project/hypothesis,2024-04-08 20:05:50.000,2479.0,7435911.0,https://anaconda.org/conda-forge/hypothesis,2024-04-08 22:51:21.076,8600125.0,1.0,,,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-04-24 20:53:44.000,2024-04-17 11:39:02,9110.0,55.0,1078.0,79.0,4144.0,4512.0,5110.0,2024-02-25 16:48:26.000,3.1.0,185.0,560.0,42,True,pylint-dev/pylint,900.0,pylint,conda-forge/pylint,,,22159297.0,441887.0,418256.0,https://pypi.org/project/pylint,2024-02-25 16:48:26.000,23631.0,22052717.0,https://anaconda.org/conda-forge/pylint,2024-02-25 19:42:33.200,4902725.0,1.0,,,,,,,,,,,,,,,,,,
22,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-04-24 03:49:08.338,2024-04-23 16:47:29,783.0,24.0,1005.0,168.0,1358.0,1292.0,4712.0,2024-04-23 16:49:06.000,20.26.0,218.0,272.0,42,True,,23.0,virtualenv,conda-forge/virtualenv,,,118279182.0,395273.0,377177.0,https://pypi.org/project/virtualenv,2024-04-23 16:48:06.000,18096.0,118123787.0,https://anaconda.org/conda-forge/virtualenv,2024-04-24 03:49:08.338,6526618.0,2.0,,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-04-25 12:47:32.000,2024-04-10 15:20:08,2650.0,21.0,760.0,86.0,1177.0,1959.0,12046.0,2024-03-24 17:41:43.000,3.7.0,191.0,157.0,41,True,,25.0,pre-commit,conda-forge/pre-commit,,1275946.0,19681171.0,193050.0,185409.0,https://pypi.org/project/pre-commit,2024-03-24 17:37:45.000,7641.0,19555460.0,https://anaconda.org/conda-forge/pre-commit,2024-03-26 19:14:48.920,4374141.0,1.0,,,,,,,,,,,,,,,,,,
24,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2024-04-25 09:11:24.000,2024-04-25 09:11:24,8414.0,3.0,502.0,113.0,595.0,1330.0,5665.0,2023-10-02 09:20:35.000,0.19.1,34.0,169.0,41,True,,58.0,jedi,conda-forge/jedi,,,39958822.0,429825.0,421248.0,https://pypi.org/project/jedi,2023-10-02 09:20:35.000,8577.0,39489830.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,21573645.0,1.0,,,,,,,,,,,,,,,,,,
25,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2024-04-15 23:21:33.000,2024-04-15 21:41:33,2453.0,7.0,298.0,38.0,363.0,1542.0,3257.0,2024-01-05 00:41:49.000,7.0.0,89.0,176.0,41,True,,24.0,flake8,conda-forge/flake8,,,30236746.0,591897.0,544832.0,https://pypi.org/project/flake8,2024-01-05 00:41:49.000,47065.0,30083047.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7223895.0,1.0,,,,,,,,,,,,,,,,,,
26,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-04-24 00:54:05.000,2024-04-24 00:54:00,14552.0,20.0,2235.0,477.0,721.0,4117.0,9066.0,2024-01-11 16:01:12.000,7.0,127.0,198.0,40,True,,316.0,robotframework,conda-forge/robotframework,,554.0,2571367.0,11421.0,10249.0,https://pypi.org/project/robotframework,2024-01-11 16:17:42.000,1172.0,2566642.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,174687.0,1.0,,,,,,,,,,,,,,,,,,
27,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-04-14 22:38:35.000,2024-01-15 05:16:11,4162.0,,561.0,46.0,979.0,1075.0,6314.0,2023-12-13 20:37:31.000,5.13.2,146.0,294.0,40,True,,225.0,isort,conda-forge/isort,,,37718262.0,481887.0,462692.0,https://pypi.org/project/isort,2023-12-13 20:37:23.000,19195.0,37589725.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5784173.0,2.0,,,,,,,,,,,,,,,,,,
28,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-04-22 04:57:36.000,2024-04-01 20:13:38,1346.0,9.0,882.0,211.0,373.0,463.0,13651.0,2023-09-22 18:40:43.000,0.40.2,74.0,154.0,39,True,,380.0,yapf,conda-forge/yapf,,,4985736.0,94890.0,92506.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2384.0,4936752.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1763459.0,2.0,-1.0,,,,,,,,,,,,,,,,,
29,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-04-25 08:26:39.000,2024-04-25 08:16:38,12281.0,362.0,579.0,136.0,384.0,2089.0,10826.0,2024-04-19 13:35:12.000,2.1.6,298.0,170.0,39,True,,116.0,nuitka,conda-forge/nuitka,,,146485.0,2030.0,1955.0,https://pypi.org/project/nuitka,2024-04-19 13:35:12.000,75.0,132631.0,https://anaconda.org/conda-forge/nuitka,2024-04-19 16:51:14.818,651180.0,1.0,-1.0,,,,,,,,,,,,,,,,,
30,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2024-03-23 23:49:32.000,2024-03-23 23:49:31,2889.0,43.0,291.0,72.0,251.0,374.0,4517.0,2024-03-17 10:44:22.000,2.1.0,76.0,63.0,39,True,,128.0,autopep8,conda-forge/autopep8,,,4610808.0,212572.0,206569.0,https://pypi.org/project/autopep8,2024-03-17 10:44:22.000,6003.0,4579002.0,https://anaconda.org/conda-forge/autopep8,2024-03-17 12:14:23.844,1463079.0,2.0,,,,,,,,,,,,,,,,,,
31,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-04-25 14:04:32.000,2024-04-23 16:59:20,731.0,33.0,493.0,42.0,1428.0,1610.0,3520.0,2024-03-22 15:44:43.000,4.14.2,215.0,300.0,39,True,,94.0,tox,conda-forge/tox,['pytest'],,14065552.0,136780.0,113733.0,https://pypi.org/project/tox,2024-03-22 15:44:43.000,23047.0,14046292.0,https://anaconda.org/conda-forge/tox,2024-03-23 13:31:23.756,905238.0,1.0,,,,,,,,,,,,,,,,,,
