,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-30 23:14:33.000,2022-06-30 23:14:32,139.0,23.0,118.0,47.0,91.0,2.0,1574.0,2022-06-30 23:14:00.000,2022.06.30,45.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-06-30 18:12:10.000,2022-06-30 18:12:10,94.0,94.0,,1.0,28.0,,27.0,2022-07-01 18:50:29.000,2022.06.30,15.0,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-07-07 12:39:58.000,2022-07-06 11:05:08,14563.0,146.0,2034.0,195.0,4665.0,4231.0,8955.0,2022-04-23 14:36:35.000,7.1.2,154.0,801.0,773.0,47,True,pytest,conda-forge/pytest,['pytest'],611503.0,528480.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83023.0,42213476.0,42408483.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14040505.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-07-05 08:40:20.000,2022-07-01 06:01:51,13037.0,202.0,2622.0,295.0,4885.0,5423.0,8086.0,2022-05-31 11:19:58.000,22.1.2,122.0,680.0,976.0,46,True,pip,conda-forge/pip,,98219.0,87583.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10636.0,120487526.0,121090261.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,43396960.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-07-07 09:58:04.000,2022-07-04 16:43:26,12664.0,389.0,898.0,84.0,1202.0,1595.0,1718.0,2022-07-04 02:26:04.000,63.1.0,499.0,514.0,502.0,45,True,setuptools,conda-forge/setuptools,,214263.0,177712.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36551.0,217885186.0,218522536.0,https://anaconda.org/conda-forge/setuptools,2022-07-04 09:07:38.889,45889209.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-07-06 19:48:25.000,2022-07-06 17:33:07,1358.0,44.0,1785.0,220.0,1142.0,1649.0,28421.0,2022-06-28 00:39:54.000,22.6.0,40.0,326.0,357.0,44,True,black,conda-forge/black,,171052.0,163269.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7783.0,14531011.0,14617774.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4309334.0,1.0,23115.0,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-07-02 09:45:47.000,2022-06-24 13:06:30,5787.0,25.0,1245.0,233.0,568.0,1332.0,8508.0,2022-05-20 20:09:47.000,5.9.1,85.0,179.0,246.0,44,True,psutil,conda-forge/psutil,,196311.0,180482.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15829.0,55279999.0,55452985.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,12973990.0,1.0,,,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-07-07 10:55:22.000,2022-07-06 18:18:10,19458.0,412.0,1700.0,138.0,4575.0,5106.0,4706.0,2022-06-16 18:11:01.000,5.0.0,165.0,739.0,997.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],269175.0,209331.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59844.0,12166726.0,12244697.0,https://anaconda.org/conda-forge/sphinx,2022-06-17 07:52:19.904,5535953.0,1.0,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-07-06 08:36:58.000,2022-07-06 08:36:56,3290.0,224.0,1246.0,527.0,749.0,796.0,38395.0,2022-05-24 06:41:38.000,12.4.4,165.0,175.0,61.0,43,True,rich,conda-forge/rich,,23853.0,21926.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,1927.0,10390330.0,10439205.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,1173016.0,1.0,,,,,,,,,,,,,,,,,,,,
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-07-07 13:22:16.000,2022-07-06 05:00:49,7480.0,100.0,1750.0,366.0,1443.0,3283.0,23090.0,2022-07-04 21:30:18.000,2022.7.4,315.0,420.0,450.0,43,True,pipenv,conda-forge/pipenv,,29487.0,28245.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1242.0,5211738.0,5213419.0,https://anaconda.org/conda-forge/pipenv,2022-07-05 18:16:11.395,55492.0,1.0,,,,,,,,,,,,,,,,,,,,
12,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-07-06 20:45:34.000,2022-07-06 14:05:03,10314.0,137.0,2148.0,217.0,5177.0,5734.0,13377.0,,,93.0,577.0,2160.0,43,True,mypy,conda-forge/mypy,,86609.0,80489.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6120.0,13797933.0,13832781.0,https://anaconda.org/conda-forge/mypy,2022-06-07 00:24:49.112,1951536.0,1.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-07-03 03:11:46.000,2022-04-04 01:25:49,1924.0,,1123.0,203.0,475.0,553.0,22372.0,2022-04-04 17:56:45.000,4.64.0,129.0,112.0,345.0,41,True,tqdm,conda-forge/tqdm,,323914.0,301932.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,21982.0,43810422.0,43982244.0,https://anaconda.org/conda-forge/tqdm,2022-04-04 05:55:15.707,12530333.0,1.0,9197.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-06-18 01:52:47.163030,2.0,4031.0,-1.0,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-07-07 07:16:45.000,2022-07-07 07:15:15,4388.0,197.0,2338.0,95.0,1930.0,1442.0,10233.0,2022-07-04 11:29:51.000,8.3.9,268.0,158.0,8.0,41,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],16072.0,14808.0,https://pypi.org/project/mkdocs-material,2022-07-04 11:30:27.000,1264.0,1093449.0,1096511.0,https://anaconda.org/conda-forge/mkdocs-material,2022-07-04 17:42:43.758,116375.0,1.0,,,,,,,,,,,,,,,,,,,,
15,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-07-06 20:53:02.000,2022-07-06 20:52:59,13563.0,116.0,1971.0,473.0,562.0,3641.0,7091.0,2022-05-16 07:55:33.000,5.0.1,88.0,164.0,231.0,41,True,robotframework,conda-forge/robotframework,,6577.0,5538.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1039.0,1220079.0,1221636.0,https://anaconda.org/conda-forge/robotframework,2022-05-17 12:50:09.371,83817.0,1.0,539.0,,,,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-07-07 13:24:08.000,2022-07-07 13:24:08,7583.0,864.0,874.0,71.0,2838.0,3705.0,4076.0,2022-06-29 13:48:28.000,2.14.4,148.0,463.0,739.0,41,True,pylint,conda-forge/pylint,,21262.0,,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,21262.0,12008451.0,12049786.0,https://anaconda.org/conda-forge/pylint,2022-06-29 17:59:12.855,2934853.0,1.0,,,,,,,,,,,,,,,,,,,,
17,poetry,python-poetry/poetry,dependency-managers,Python dependency management and packaging made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-07-07 12:00:58.000,2022-07-06 16:01:12,2394.0,296.0,1632.0,171.0,1771.0,2994.0,20436.0,2022-02-10 21:34:42.000,1.1.13,145.0,372.0,1258.0,40,True,poetry,conda-forge/poetry,,152.0,,https://pypi.org/project/poetry,2022-06-06 21:41:00.000,152.0,7136923.0,7394341.0,https://anaconda.org/conda-forge/poetry,2022-06-29 13:12:46.401,500759.0,1.0,12793982.0,,,,,,,,,,,,,,,,,,,
18,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-07-07 13:26:27.000,2022-07-05 13:25:28,15959.0,65.0,1181.0,194.0,3107.0,7327.0,4746.0,2022-05-19 16:57:03.000,4.13.0,100.0,387.0,1423.0,40,True,conda,conda-forge/conda,,1090.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,1090.0,132144.0,537993.0,https://anaconda.org/conda-forge/conda,2022-05-31 19:06:17.033,28815318.0,1.0,,,,,,,,,,,,,,,,,,,,
19,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2022-07-06 02:24:26.000,2022-07-06 02:24:21,557.0,31.0,942.0,156.0,1127.0,1155.0,4192.0,2022-06-25 19:07:26.000,20.15.0,186.0,224.0,74.0,40,True,virtualenv,conda-forge/virtualenv,,17754.0,,https://pypi.org/project/virtualenv,2022-06-25 18:48:33.000,17754.0,28813552.0,28847020.0,https://anaconda.org/conda-forge/virtualenv,2022-06-29 11:25:08.233,2142004.0,2.0,,,,,,,,,,,,,,,,,,,,
20,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-07-06 07:11:42.000,2022-07-06 07:11:35,2094.0,24.0,423.0,40.0,1027.0,1292.0,2860.0,2022-06-29 23:25:56.000,3.25.1,130.0,262.0,60.0,40,True,tox,conda-forge/tox,['pytest'],81006.0,60142.0,https://pypi.org/project/tox,2022-06-29 23:24:55.000,20864.0,5123407.0,5131684.0,https://anaconda.org/conda-forge/tox,2022-06-30 13:54:22.394,480083.0,1.0,,,,,,,,,,,,,,,,,,,,
21,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-06-08 16:02:26.000,2022-05-17 22:22:08,1647.0,2.0,2013.0,229.0,1017.0,1569.0,14449.0,2022-03-26 19:55:09.000,1.3.0,51.0,217.0,135.0,39,True,mkdocs,conda-forge/mkdocs,['mkdocs'],26521.0,22817.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3704.0,918900.0,921379.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,185950.0,1.0,,,,,,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-07-04 22:33:57.000,2022-07-04 22:33:56,2242.0,42.0,613.0,76.0,913.0,1482.0,8406.0,2022-05-05 13:57:04.000,2.19.0,168.0,139.0,19.0,39,True,pre-commit,conda-forge/pre-commit,,57248.0,53801.0,https://pypi.org/project/pre-commit,2022-05-05 13:55:13.000,3447.0,5776625.0,5820039.0,https://anaconda.org/conda-forge/pre-commit,2022-05-05 15:59:45.040,1470903.0,1.0,80566.0,,,,,,-1.0,,,,,,,,,,,,,
23,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-07-05 07:16:48.974,2022-07-05 05:13:20,12275.0,427.0,490.0,67.0,2114.0,1235.0,6057.0,2022-07-05 05:13:41.000,hypothesis-python-6.49.1,976.0,283.0,51.0,39,True,hypothesis,conda-forge/hypothesis,,15188.0,13214.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,1974.0,2955522.0,3037327.0,https://anaconda.org/conda-forge/hypothesis,2022-07-05 07:16:48.974,5889984.0,1.0,,,,,,,,,,,,,,,,,,,,
24,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-07-03 01:42:47.000,2022-05-13 10:31:54,8266.0,4.0,460.0,113.0,556.0,1259.0,5176.0,2021-11-17 00:47:47.000,0.18.1,31.0,150.0,42.0,39,True,jedi,conda-forge/jedi,,217074.0,208815.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8259.0,17053088.0,17197710.0,https://anaconda.org/conda-forge/jedi,2022-04-04 10:29:34.532,9978964.0,1.0,,,,,,,,,,,,,,,,,,,,
25,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-07-05 00:26:21.000,2022-07-05 00:26:20,2232.0,25.0,205.0,30.0,224.0,1362.0,2134.0,2021-10-11 12:42:47.000,4.0.1,81.0,162.0,39.0,39,True,flake8,conda-forge/flake8,,309512.0,268994.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,40518.0,16062609.0,16122537.0,https://anaconda.org/conda-forge/flake8,2022-03-08 23:13:25.220,4374793.0,1.0,,,,,,,,,,,,,,,,,,,,
26,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-07-03 04:43:41.000,2022-05-20 06:58:02,3909.0,24.0,459.0,39.0,849.0,1017.0,4989.0,2021-11-09 05:43:22.000,5.10.1,132.0,262.0,81.0,38,True,isort,conda-forge/isort,,268090.0,253222.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,14868.0,21076458.0,21122267.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3298256.0,2.0,,,,,,,,,,,,,,,,,,,,
27,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-07-07 12:21:19.000,2022-07-01 13:12:58,1426.0,43.0,292.0,53.0,820.0,527.0,1274.0,2022-06-22 08:27:23.000,1.6.0,149.0,132.0,154.0,38,True,sentry-sdk,conda-forge/sentry-sdk,,23194.0,22183.0,https://pypi.org/project/sentry-sdk,2022-06-22 08:27:10.000,1011.0,15922716.0,15927167.0,https://anaconda.org/conda-forge/sentry-sdk,2022-06-22 13:51:23.186,191034.0,1.0,4735.0,,,,,,,,,,,,,,,,,,,
28,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-07-05 21:35:47.000,2022-07-05 08:51:36,4319.0,66.0,1295.0,494.0,534.0,1274.0,20771.0,2022-05-24 10:11:57.000,3.2.6,84.0,157.0,226.0,37,True,glances,conda-forge/glances,,519.0,469.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,50.0,163911.0,166027.0,https://anaconda.org/conda-forge/glances,2022-05-26 17:35:10.923,160173.0,1.0,787.0,,,,,,,,,,,,,,,,,,,
29,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2022-07-06 18:48:02.000,2022-07-01 09:59:27,640.0,49.0,523.0,120.0,66.0,555.0,12215.0,2022-01-29 13:50:01.000,0.6.0,18.0,36.0,121.0,37,True,loguru,conda-forge/loguru,,21716.0,20239.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,1477.0,3657020.0,3670334.0,https://anaconda.org/conda-forge/loguru,2022-04-08 18:48:43.959,545883.0,2.0,,,,,,,-1.0,,,,,,,,,,,,,
30,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-07-03 16:11:19.000,2022-07-03 16:11:19,8409.0,87.0,1798.0,232.0,1980.0,4287.0,9301.0,2022-05-17 18:40:31.000,5.1,38.0,433.0,314.0,37,True,pyinstaller,conda-forge/pyinstaller,,168.0,,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,168.0,825654.0,837053.0,https://anaconda.org/conda-forge/pyinstaller,2022-05-21 21:16:21.534,325765.0,1.0,728795.0,,,,,,,,,,,,,,,,,,,
31,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-07-05 00:26:17.000,2022-07-05 00:26:17,1297.0,18.0,614.0,122.0,417.0,567.0,4634.0,2021-10-11 00:56:25.000,2.8.0,13.0,131.0,113.0,37,True,pycodestyle,conda-forge/pycodestyle,,240521.0,229283.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,11238.0,24101407.0,24163430.0,https://anaconda.org/conda-forge/pycodestyle,2021-10-11 20:03:59.620,4527727.0,1.0,,,,,,,,,,,,,,,,,,,,
32,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,BSD-3-Clause,2013-07-24 16:23:39.000,2022-07-07 12:43:19.000,2022-07-07 12:43:19,518.0,39.0,6885.0,36.0,238.0,118.0,20455.0,2022-06-09 21:26:00.000,1.4.0,21.0,71.0,64.0,36,True,numpydoc,conda-forge/numpydoc,['sphinx'],36933.0,32558.0,https://pypi.org/project/numpydoc,2022-06-09 21:27:11.000,4375.0,2089654.0,2107168.0,https://anaconda.org/conda-forge/numpydoc,2022-06-10 00:33:18.406,1155972.0,2.0,,,,,,,,,,,,,,,,,,,,
33,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2022-07-07 03:13:48.000,2022-07-07 03:13:43,5161.0,335.0,462.0,76.0,407.0,2953.0,8157.0,2022-07-03 02:11:35.000,1.1.257,336.0,78.0,14.0,36,True,,,,304.0,301.0,,,,,430528.0,,,,1.0,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2022-07-03 02:07:16.560,3.0,430528.0,,,,,,,,
34,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2022-07-07 08:48:01.000,2022-07-07 07:14:18,9562.0,472.0,399.0,121.0,241.0,1202.0,7042.0,2022-06-30 07:52:49.000,0.9.2,196.0,120.0,203.0,36,True,nuitka,conda-forge/nuitka,,619.0,582.0,https://pypi.org/project/nuitka,2022-06-30 07:52:49.000,37.0,61032.0,65784.0,https://anaconda.org/conda-forge/nuitka,2022-07-03 20:45:14.282,356428.0,1.0,,,,,,,,,,,,,,,,,,,,
