,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
14,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2022-01-19 07:06:42.000,2021-12-25 13:08:44,8262.0,31.0,460.0,113.0,553.0,1247.0,5070.0,2021-11-17 00:47:47.000,0.18.1,31.0,149.0,29.0,41,True,jedi,conda-forge/jedi,,185592.0,177333.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8259.0,19128207.0,19247452.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897,7631710.0,1.0,,,,,,,,,,,,,,,,,,,
15,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2022-02-06 06:47:55.979,2022-02-05 21:17:52,511.0,49.0,930.0,156.0,1085.0,1140.0,4053.0,2022-02-05 21:07:26.000,20.13.1,180.0,224.0,64.0,41,True,virtualenv,conda-forge/virtualenv,,17664.0,,https://pypi.org/project/virtualenv,2022-02-05 21:07:26.000,17664.0,25266443.0,25291532.0,https://anaconda.org/conda-forge/virtualenv,2022-02-06 06:47:55.979,1480259.0,2.0,,,,,,,,,,,,,,,,,,,
16,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-02-10 09:33:48.000,2022-02-06 16:39:46,2185.0,143.0,192.0,29.0,198.0,1327.0,1802.0,2021-10-11 12:42:47.000,4.0.1,81.0,160.0,39.0,41,True,flake8,conda-forge/flake8,,266489.0,225971.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,40518.0,15137671.0,15191039.0,https://anaconda.org/conda-forge/flake8,2021-11-02 21:24:52.298,3629085.0,1.0,,,,,,,,,,,,,,,,,,,
17,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-02-06 06:15:52.000,2021-09-20 16:15:31,1889.0,,1073.0,200.0,457.0,541.0,21126.0,2021-09-20 15:24:06.000,4.62.3,125.0,107.0,338.0,40,True,tqdm,conda-forge/tqdm,,268455.0,247455.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695,21000.0,32102619.0,32244714.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361,9651017.0,1.0,8280.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3968.0,,,,,,,,,,,,
18,mkdocs-material,squidfunk/mkdocs-material,documentation,Technical documentation that just works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-02-09 17:09:11.000,2022-02-09 17:07:43,4042.0,317.0,2020.0,84.0,1758.0,1271.0,8715.0,2022-02-06 09:58:09.000,8.1.10,240.0,144.0,9.0,40,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],12288.0,11181.0,https://pypi.org/project/mkdocs-material,2022-02-06 09:58:09.000,1107.0,955309.0,957744.0,https://anaconda.org/conda-forge/mkdocs-material,2022-02-06 13:51:04.376,80385.0,1.0,,,,,,,,,,,,,,,,,,,
19,conda,conda/conda,dependency-managers,"OS-agnostic, system-level binary package manager and ecosystem.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2022-02-10 14:02:15.000,2022-02-03 11:09:35,15823.0,50.0,1100.0,196.0,2945.0,6443.0,4497.0,2021-11-22 18:47:32.000,4.11.0,100.0,377.0,1847.0,40,True,conda,conda-forge/conda,,1087.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000,1087.0,72988.0,444922.0,https://anaconda.org/conda-forge/conda,2021-11-23 11:16:29.692,24547686.0,2.0,,,,,,,,,,,,,,,,,,,
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-02-10 08:40:39.000,2022-02-08 22:17:58,6350.0,306.0,802.0,73.0,1859.0,3192.0,3795.0,2021-12-03 17:31:36.000,2.12.2,132.0,436.0,771.0,40,True,pylint,conda-forge/pylint,,20833.0,,https://pypi.org/project/pylint,2021-12-03 17:31:36.000,20833.0,9868824.0,9907376.0,https://anaconda.org/conda-forge/pylint,2021-12-03 20:37:10.043,2544456.0,1.0,,,,,,,,,,,,,,,,,,,
21,poetry,python-poetry/poetry,dependency-managers,Python dependency management and packaging made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-02-10 12:55:49.000,2022-02-09 05:58:25,2037.0,129.0,1501.0,166.0,1459.0,2392.0,18242.0,2021-11-28 06:15:58.000,1.1.12,142.0,328.0,1252.0,39,True,poetry,conda-forge/poetry,,113.0,,https://pypi.org/project/poetry,2021-11-28 06:15:58.000,113.0,5259635.0,5487045.0,https://anaconda.org/conda-forge/poetry,2022-01-27 03:30:39.413,359958.0,2.0,10254538.0,,,,,,,,,,,,,,,,,,
22,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-01-31 11:18:05.600,2022-01-31 08:57:48,11343.0,275.0,483.0,65.0,2014.0,1152.0,5661.0,2022-01-31 08:52:45.000,hypothesis-python-6.36.1,922.0,256.0,56.0,39,True,hypothesis,conda-forge/hypothesis,,13158.0,11286.0,https://pypi.org/project/hypothesis,2022-01-31 08:52:30.000,1872.0,2221295.0,2299108.0,https://anaconda.org/conda-forge/hypothesis,2022-01-31 11:18:05.600,5213485.0,1.0,,,,,,,,,,,,,,,,,,,
23,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-02-03 13:30:10.000,2022-01-07 06:54:33,3876.0,35.0,432.0,38.0,838.0,1007.0,4539.0,2021-11-09 05:43:22.000,5.10.1,132.0,254.0,45.0,39,True,isort,conda-forge/isort,,232641.0,218335.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,14306.0,17044702.0,17086128.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,2775544.0,2.0,,-1.0,,,,,,,,,,,,,,,,,
24,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-02-08 09:41:27.000,2022-01-26 11:13:29,2062.0,10.0,399.0,39.0,986.0,1264.0,2604.0,2022-01-10 16:56:12.000,4.0.0a10,127.0,255.0,39.0,38,True,tox,conda-forge/tox,['pytest'],74373.0,53907.0,https://pypi.org/project/tox,2022-02-06 10:28:03.000,20466.0,4319985.0,4327677.0,https://anaconda.org/conda-forge/tox,2021-12-29 15:02:18.880,407696.0,1.0,,,,,,,,,,,,,,,,,,,
25,sentry-sdk,getsentry/sentry-python,logging,The new Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-02-10 12:19:30.000,2022-02-09 14:14:16,1350.0,46.0,266.0,44.0,735.0,435.0,1141.0,2022-01-25 14:06:24.000,1.5.4,140.0,118.0,190.0,38,True,sentry-sdk,conda-forge/sentry-sdk,,18648.0,17702.0,https://pypi.org/project/sentry-sdk,2022-01-25 14:06:21.000,946.0,12314369.0,12317692.0,https://anaconda.org/conda-forge/sentry-sdk,2022-01-25 17:46:49.917,125192.0,1.0,4535.0,,,,,,,,,,,,,,,,,,
26,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2022-02-08 19:27:53.000,2022-02-08 19:27:53,1186.0,29.0,840.0,212.0,255.0,392.0,12306.0,2020-04-23 19:07:36.000,0.30.0,68.0,135.0,342.0,37,True,yapf,conda-forge/yapf,,30462.0,28373.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000,2089.0,1772803.0,1786471.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,929440.0,2.0,,-1.0,,,,,,,,,,,,,,,,,
27,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-02-09 21:21:19.000,2022-02-09 20:58:58,8279.0,79.0,1760.0,230.0,1874.0,4103.0,8833.0,2022-02-04 09:10:39.000,4.9,35.0,420.0,313.0,37,True,pyinstaller,conda-forge/pyinstaller,,137.0,,https://pypi.org/project/pyinstaller,2022-02-04 09:08:33.000,137.0,765401.0,776900.0,https://anaconda.org/conda-forge/pyinstaller,2022-02-04 18:13:27.708,290188.0,1.0,724050.0,,,,,,,,,,,,,,,,,,
28,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-02-09 23:20:58.000,2022-01-31 21:25:02,2158.0,56.0,545.0,79.0,866.0,1329.0,7392.0,2022-01-18 18:42:21.000,2.17.0,165.0,129.0,21.0,37,True,pre-commit,conda-forge/pre-commit,,2778.0,,https://pypi.org/project/pre-commit,2022-01-18 18:38:17.000,2778.0,4376644.0,4410199.0,https://anaconda.org/conda-forge/pre-commit,2022-01-19 10:50:51.993,989448.0,1.0,30440.0,,,,,,,,,,,,,,,,,,
29,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-01-31 23:40:03.000,2022-01-31 23:39:49,1275.0,22.0,614.0,122.0,403.0,557.0,4500.0,2021-10-11 00:56:25.000,2.8.0,13.0,131.0,113.0,37,True,pycodestyle,conda-forge/pycodestyle,,201657.0,190419.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,11238.0,20641592.0,20697385.0,https://anaconda.org/conda-forge/pycodestyle,2021-10-11 20:03:59.620,3793957.0,1.0,,,,,,,,,,,,,,,,,,,
30,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-01-23 14:32:27.000,2022-01-23 14:32:19,4228.0,60.0,1265.0,495.0,521.0,1234.0,19926.0,2021-11-29 13:01:08.000,3.2.4.2,78.0,153.0,210.0,36,True,glances,conda-forge/glances,,433.0,383.0,https://pypi.org/project/glances,2021-11-22 10:55:51.000,50.0,147089.0,149219.0,https://anaconda.org/conda-forge/glances,2021-11-20 23:54:35.274,150708.0,1.0,710.0,,,,,,,,,,,,,,,,,,
31,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2022-02-10 04:55:30.000,2022-02-08 08:46:34,1692.0,22.0,492.0,97.0,749.0,673.0,5636.0,2022-02-08 10:11:33.000,6.5.1,99.0,164.0,142.0,36,True,pip-tools,conda-forge/pip-tools,,1799.0,,https://pypi.org/project/pip-tools,2022-02-08 10:13:24.000,1799.0,3898506.0,3899592.0,https://anaconda.org/conda-forge/pip-tools,2022-02-08 14:16:40.284,23908.0,2.0,,,,,,,,,,,,,,,,,,,
32,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2022-02-10 09:09:46.000,2022-02-10 09:07:55,22525.0,147.0,1567.0,201.0,4954.0,759.0,4760.0,2022-02-10 09:09:46.000,3.4.1,117.0,811.0,633.0,36,True,buildbot,conda-forge/buildbot,,725.0,268.0,https://pypi.org/project/buildbot,2022-02-10 09:09:46.000,457.0,58028.0,60054.0,https://anaconda.org/conda-forge/buildbot,2021-10-16 13:45:45.804,49203.0,1.0,18914.0,,,,,,,,,,,,,,,,,,
