,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
185,data-science-types,predictive-analytics-lab/data-science-types,linters,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",,https://github.com/wearepal/data-science-types,https://github.com/wearepal/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2023-06-16 19:24:01.290,2021-02-16 17:29:00,446.0,,52.0,10.0,171.0,33.0,23.0,197.0,2021-02-16 16:47:31.000,0.2.23,26.0,44.0,25,False,wearepal/data-science-types,data-science-types,conda-forge/data-science-types,,1153.0,1107.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000,46.0,64229.0,64512.0,https://anaconda.org/conda-forge/data-science-types,2023-06-16 19:24:01.290,9913.0,3.0,,,,,,,,,,,,,,,,,,,
186,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/PyCQA/eradicate,https://github.com/PyCQA/eradicate,Saxpath,2012-12-23 04:39:48.000,2023-06-12 14:15:35.396,2023-06-12 09:19:41,183.0,,24.0,5.0,25.0,7.0,16.0,191.0,2023-06-09 06:33:02.577,2.3.0,19.0,13.0,25,False,PyCQA/eradicate,eradicate,conda-forge/eradicate,,14886.0,14792.0,https://pypi.org/project/eradicate,2023-06-09 06:33:02.577,94.0,666011.0,666334.0,https://anaconda.org/conda-forge/eradicate,2023-06-12 14:15:35.396,10042.0,2.0,,,,,,,,,,,,,,,,,,,
187,asteval,newville/asteval,ast,minimalistic evaluator of python expression using ast module.,,https://github.com/newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2023-11-06 14:59:15.000,2023-11-06 14:59:10,539.0,4.0,39.0,10.0,58.0,4.0,61.0,165.0,2023-07-16 18:33:22.000,0.9.31,32.0,24.0,25,True,,asteval,conda-forge/asteval,,182.0,,https://pypi.org/project/asteval,2023-07-16 18:25:02.803,182.0,277677.0,288104.0,https://anaconda.org/conda-forge/asteval,2023-07-16 20:56:29.139,344101.0,3.0,,,,,,,,,,,,,,,,,,,
188,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2023-11-07 13:52:29.000,2023-11-07 13:52:10,172.0,5.0,11.0,2.0,54.0,6.0,23.0,163.0,2022-12-20 09:31:01.407,0.3.6,20.0,10.0,25,True,,flake8-black,conda-forge/flake8-black,['flake8'],7642.0,7385.0,https://pypi.org/project/flake8-black,2022-12-20 09:31:01.407,257.0,824954.0,833608.0,https://anaconda.org/conda-forge/flake8-black,2023-06-16 16:15:31.454,458691.0,3.0,,,,,,,,,,,,,,,,,,,
189,flake8-commas,PyCQA/flake8-commas,linters,Flake8 extension for enforcing trailing commas in python.,,https://github.com/PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2021-10-13 19:25:52.000,2021-10-13 19:25:45,176.0,,28.0,4.0,38.0,5.0,26.0,127.0,2021-10-13 19:25:39.000,2.1.0,20.0,12.0,25,False,,flake8-commas,,['flake8'],17202.0,16806.0,https://pypi.org/project/flake8-commas,2021-10-13 19:25:39.000,396.0,378967.0,378967.0,,,,3.0,,,,,,,,,,,,,,,,,,,
190,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2023-03-23 11:09:43.000,2023-01-05 00:12:47,102.0,,207.0,70.0,56.0,32.0,46.0,4481.0,2021-01-29 16:48:55.000,0.3.3,16.0,17.0,24,True,,better-exceptions,,,90.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,90.0,114070.0,114070.0,,,,3.0,,,,,,,,,,,,,,,,,,,
191,shiv,linkedin/shiv,packaging,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",,https://github.com/linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2023-10-20 14:34:56.000,2023-09-07 16:41:57,207.0,2.0,89.0,28.0,119.0,43.0,77.0,1640.0,2023-09-07 16:49:17.000,1.0.4,61.0,39.0,24,True,,shiv,,,13.0,,https://pypi.org/project/shiv,2023-09-07 16:47:11.000,13.0,24050.0,24061.0,,,,3.0,610.0,,,,,,,,,,,,,,,,,,
192,Fixit,Instagram/Fixit,linters,Advanced Python linting framework with auto-fixes and hierarchical configuration that makes it easy to write custom..,,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,,2020-02-20 19:09:01.000,2023-11-15 22:32:55.000,2023-11-15 22:32:55,324.0,19.0,57.0,28.0,303.0,27.0,82.0,608.0,2023-10-26 02:37:12.000,2.1.0,11.0,41.0,24,False,,fixit,,,53.0,50.0,https://pypi.org/project/fixit,2023-10-26 02:37:12.000,3.0,47779.0,47779.0,,,,3.0,,,,,,,,,,,,,,,,,,,
193,mkdocs-awesome-pages-plugin,lukasgeiter/mkdocs-awesome-pages-plugin,documentation,An MkDocs plugin that simplifies configuring page titles and their order.,,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24.000,2023-11-26 08:01:46.000,2023-11-11 20:57:26,97.0,1.0,31.0,7.0,18.0,16.0,59.0,385.0,2023-08-19 21:31:54.000,2.9.2,24.0,7.0,24,True,,mkdocs-awesome-pages-plugin,,['mkdocs'],3598.0,3489.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,2023-08-19 21:30:31.000,109.0,174867.0,174867.0,,,,3.0,,,,,,,,,,,,,,,,,,,
194,baron,PyCQA/baron,refactoring,"IDE allow you to refactor code, Baron allows you to write refactoring code.",,https://github.com/PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-12-09 03:34:37.000,2021-12-09 03:33:22,1505.0,,52.0,15.0,100.0,46.0,30.0,282.0,2021-12-09 03:33:32.000,0.10.1,21.0,33.0,24,False,,baron,,,392.0,333.0,https://pypi.org/project/baron,2021-12-09 03:33:32.000,59.0,60229.0,60229.0,,,,3.0,,,,,,,,,,,,,,,,,,,
