,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-08-07 14:01:33.000,2025-08-07 11:04:22,6263.0,40.0,1421.0,231.0,780.0,358.0,1506.0,10764.0,2025-02-13 21:54:12.000,7.0.0,97.0,221.0,42,True,,psutil,conda-forge/psutil,,,798747.0,763633.0,747785.0,https://pypi.org/project/psutil,2025-02-13 21:54:12.000,15848.0,https://anaconda.org/conda-forge/psutil,2025-04-22 14:56:22.590,48723605.0,1.0,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2025-08-06 17:26:50.000,2025-08-06 10:10:59,22173.0,193.0,2218.0,165.0,6310.0,1238.0,6098.0,7282.0,2025-03-02 22:31:56.000,8.2.3,229.0,883.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],,187237.0,486337.0,458981.0,https://pypi.org/project/sphinx,2025-03-02 22:31:56.000,27356.0,https://anaconda.org/conda-forge/sphinx,2025-04-22 14:56:26.059,11795956.0,1.0,,,,,,,,,,,,,,,,,,
12,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-08-04 12:24:49.000,2025-08-04 12:24:49,2010.0,28.0,2616.0,234.0,1946.0,359.0,2392.0,40770.0,2025-01-29 04:15:38.000,25.1.0,65.0,469.0,41,True,,black,conda-forge/black,,125867.0,270817.0,671069.0,635895.0,https://pypi.org/project/black,2025-01-29 04:15:38.000,35174.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,16420190.0,1.0,,,,,,,,,,,,,,,,,,
13,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,55.0,1876.0,361.0,2014.0,232.0,4088.0,25082.0,2025-07-07 21:45:44.000,2025.0.4,401.0,529.0,41,True,,pipenv,conda-forge/pipenv,,,4429.0,174184.0,173937.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,247.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,279055.0,1.0,,,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-08-06 22:07:22.000,2025-08-06 22:07:21,9793.0,78.0,1992.0,230.0,2591.0,284.0,5264.0,12540.0,2025-08-03 18:34:44.000,6.15.0,75.0,480.0,41,True,,pyinstaller,conda-forge/pyinstaller,,751305.0,28511.0,85202.0,83975.0,https://pypi.org/project/pyinstaller,2025-08-03 18:31:52.000,1227.0,https://anaconda.org/conda-forge/pyinstaller,2025-08-03 23:51:43.456,1279204.0,1.0,,,,,,,,,,,,,,,,,,
15,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-08-07 14:13:55.000,2025-08-07 14:13:52,9666.0,70.0,1176.0,77.0,4668.0,1013.0,4786.0,5531.0,2025-05-04 17:07:48.000,3.3.7,203.0,611.0,41,True,pylint-dev/pylint,pylint,conda-forge/pylint,,222.0,104737.0,489957.0,479804.0,https://pypi.org/project/pylint,2025-05-04 17:07:48.000,10153.0,https://anaconda.org/conda-forge/pylint,2025-05-04 19:46:25.805,6493491.0,1.0,,,,,,,,,,,,,,,,,,
16,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2025-08-06 10:05:10.000,2025-08-06 10:05:06,6620.0,44.0,3824.0,144.0,3270.0,6.0,2605.0,24118.0,2025-07-26 15:53:44.000,9.6.16,427.0,322.0,40,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,11797.0,76941.0,72028.0,https://pypi.org/project/mkdocs-material,2025-07-26 15:53:44.000,4913.0,https://anaconda.org/conda-forge/mkdocs-material,2025-07-27 01:27:25.461,743240.0,1.0,,,,,,,,,,,,,,,,,,
17,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2025-08-05 18:43:41.469,2025-08-05 16:10:24,981.0,49.0,1062.0,170.0,1525.0,28.0,1355.0,4957.0,2025-08-05 16:10:52.000,20.33.1,240.0,295.0,40,True,,virtualenv,conda-forge/virtualenv,,,235339.0,487908.0,486019.0,https://pypi.org/project/virtualenv,2025-08-05 16:10:52.000,1889.0,https://anaconda.org/conda-forge/virtualenv,2025-08-05 18:43:41.469,13649688.0,2.0,,,,,,,,,,,,,,,,,,
18,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2025-08-06 17:13:34.000,2025-07-08 23:31:39,8344.0,48.0,1716.0,133.0,2235.0,97.0,7003.0,14630.0,2025-07-08 21:05:46.332,1.1.403,487.0,125.0,39,True,,,,,5223.0,1590925.0,1422.0,1395.0,,,,,,,2.0,pyright,https://www.npmjs.com/package/pyright,2025-07-08 21:05:46.332,27.0,1590739.0,,,,,,,,,,,,,
19,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2025-08-04 22:09:20.000,2025-08-04 22:09:19,2761.0,14.0,877.0,91.0,1266.0,30.0,2174.0,14150.0,2025-03-18 21:42:20.000,4.2.0,197.0,163.0,39,True,,pre-commit,conda-forge/pre-commit,,3245548.0,169897.0,264626.0,248660.0,https://pypi.org/project/pre-commit,2025-03-18 21:35:19.000,15966.0,https://anaconda.org/conda-forge/pre-commit,2025-04-22 14:57:10.434,7517029.0,1.0,,,,,,,,,,,,,,,,,,
