,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-02 18:06:51.000,2025-10-02 18:06:49,371.0,25.0,188.0,56.0,217.0,4.0,2614.0,2025-09-28 18:52:23.000,2025.09.25,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-10-05 23:19:19.000,2025-10-05 23:19:19,415.0,18.0,108.0,15.0,325.0,35.0,1541.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-10-09 14:11:06.000,2025-10-09 14:11:05,12927.0,238.0,3009.0,238.0,8405.0,8833.0,19872.0,2025-09-19 00:09:39.000,1.18.2,131.0,814.0,49,True,,3013.0,mypy,conda-forge/mypy,355657.0,325369.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,74189413.0,74284110.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,6060649.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-10-08 05:57:49.000,2025-10-08 05:57:49,16842.0,130.0,2885.0,192.0,6545.0,5303.0,13145.0,2025-09-04 14:35:52.000,8.4.2,186.0,1059.0,49,True,,941.0,pytest,conda-forge/pytest,1755152.0,1666542.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,252426406.0,253104513.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,40666200.0,1.0,['pytest'],24993.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-10-07 13:48:19.000,2025-10-07 13:48:04,6326.0,86.0,1429.0,229.0,797.0,1521.0,10846.0,2025-09-17 20:14:56.000,7.1.0,98.0,224.0,47,True,,349.0,psutil,conda-forge/psutil,771537.0,754336.0,https://pypi.org/project/psutil,2025-09-17 20:14:56.000,17201.0,217803745.0,218623153.0,https://anaconda.org/conda-forge/psutil,2025-09-18 04:31:25.649,51622707.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-10-06 23:19:46.000,2025-10-06 23:19:46,15454.0,128.0,3149.0,322.0,5919.0,6653.0,9958.0,2025-05-02 15:13:59.000,25.1.1,151.0,846.0,47,True,,1084.0,pip,conda-forge/pip,249118.0,243708.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5410.0,386459868.0,389150313.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,174878986.0,1.0,,,,,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-10-09 15:33:25.000,2025-10-09 15:33:24,4293.0,14.0,1901.0,532.0,1297.0,1228.0,53991.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,46,True,,304.0,rich,conda-forge/rich,503417.0,477794.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,218629088.0,218873203.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,15379289.0,1.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-10-06 21:50:26.000,2025-10-06 19:30:20,2037.0,36.0,2633.0,232.0,1989.0,2413.0,41025.0,2025-09-19 00:27:35.000,25.9.0,66.0,477.0,45,True,,357.0,black,conda-forge/black,685202.0,644306.0,https://pypi.org/project/black,2025-09-19 00:27:35.000,40896.0,81695564.0,81967448.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,17024595.0,1.0,,130610.0,,,,,,,,,,,,,,,,,,
10,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-10-08 17:45:16.000,2025-10-08 17:45:16,9847.0,88.0,2006.0,229.0,2617.0,5287.0,12646.0,2025-09-13 20:08:08.000,6.16.0,76.0,481.0,44,True,,287.0,pyinstaller,conda-forge/pyinstaller,85911.0,84562.0,https://pypi.org/project/pyinstaller,2025-09-13 20:05:59.000,1349.0,4762101.0,4791628.0,https://anaconda.org/conda-forge/pyinstaller,2025-09-18 11:56:25.637,1387596.0,1.0,,751779.0,,,,,,,,,,,,,,,,,,
11,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-10-09 12:18:42.000,2025-10-09 12:18:42,9797.0,137.0,1187.0,76.0,4784.0,4823.0,5573.0,2025-10-05 18:41:41.000,3.3.9,205.0,617.0,44,True,pylint-dev/pylint,1005.0,pylint,conda-forge/pylint,492961.0,481743.0,https://pypi.org/project/pylint,2025-10-05 18:41:41.000,11218.0,33488178.0,33594396.0,https://anaconda.org/conda-forge/pylint,2025-10-05 23:43:16.735,6797680.0,1.0,,308.0,,,,,,,,,,,,,,,,,,
12,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2025-10-08 22:33:14.558,2025-10-08 20:27:05,1004.0,67.0,1065.0,167.0,1546.0,1364.0,4973.0,2025-10-08 20:27:50.000,20.35.0,242.0,295.0,44,True,,19.0,virtualenv,conda-forge/virtualenv,489790.0,487818.0,https://pypi.org/project/virtualenv,2025-10-08 20:27:50.000,1972.0,246765562.0,247041246.0,https://anaconda.org/conda-forge/virtualenv,2025-10-08 22:33:14.558,16541077.0,1.0,,,,,,,,,,,,,,,,,,,,
