,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-02 00:49:44.000,2023-06-02 00:49:44,237.0,26.0,146.0,53.0,144.0,1.0,2.0,1923.0,2023-06-01 17:23:48.000,2023.06.01,92.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-06-06 23:25:20.000,2023-06-06 23:25:19,174.0,29.0,10.0,10.0,91.0,1.0,4.0,279.0,2023-06-04 08:56:57.000,2023.06.04,64.0,6.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-06-07 14:05:55.000,2023-06-07 06:02:06,15038.0,139.0,2288.0,195.0,5088.0,797.0,4502.0,10284.0,2023-04-14 18:11:59.000,7.3.1,106.0,876.0,47,True,,pytest,conda-forge/pytest,['pytest'],931718.0,931718.0,https://pypi.org/project/pytest,61653150.0,61901712.0,https://anaconda.org/conda-forge/pytest,2023-04-14 23:00:04.667,20630706.0,1.0,,,,,,,,,,,,,,,,,
5,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-06-06 14:09:47.000,2023-06-02 10:21:46,8332.0,81.0,1845.0,365.0,1706.0,201.0,3756.0,23892.0,2023-06-02 10:23:00.590,2023.6.2,356.0,466.0,45,True,,pipenv,conda-forge/pipenv,,87338.0,86087.0,https://pypi.org/project/pipenv,6620534.0,6622985.0,https://anaconda.org/conda-forge/pipenv,2023-06-02 12:18:52.973,107848.0,1.0,2022-07-04 21:30:18.000,1251.0,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-06-08 11:05:06.000,2023-06-08 11:05:06,5937.0,63.0,1334.0,239.0,630.0,273.0,1391.0,9347.0,2023-04-17 18:27:02.245,5.9.5,89.0,195.0,45,True,,psutil,conda-forge/psutil,,338188.0,321474.0,https://pypi.org/project/psutil,66482481.0,66745328.0,https://anaconda.org/conda-forge/psutil,2023-04-17 23:58:50.059,22604874.0,1.0,2017-10-12 07:26:59.000,16714.0,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-06-08 13:23:11.000,2023-06-08 13:20:19,13840.0,220.0,2743.0,310.0,5217.0,907.0,5899.0,8782.0,,,63.0,733.0,45,True,,pip,conda-forge/pip,,139720.0,139720.0,https://pypi.org/project/pip,153365113.0,154323353.0,https://anaconda.org/conda-forge/pip,2023-04-26 11:16:14.578,79533923.0,1.0,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-06-06 19:56:47.000,2023-05-15 09:43:55,20121.0,177.0,1942.0,149.0,4935.0,1268.0,5321.0,5464.0,2023-05-12 21:53:56.928,7.0.1,188.0,783.0,45,True,,sphinx,conda-forge/sphinx,['sphinx'],369949.0,308782.0,https://pypi.org/project/sphinx,9360113.0,9453764.0,https://anaconda.org/conda-forge/sphinx,2023-05-12 22:37:46.449,7679443.0,1.0,2022-06-02 18:12:32.000,61167.0,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-06-07 02:41:18.000,2023-06-02 01:37:08,1563.0,42.0,2095.0,229.0,1395.0,405.0,1915.0,32564.0,2023-03-29 01:06:04.625,23.3.0,46.0,373.0,44,True,,black,conda-forge/black,,391015.0,380731.0,https://pypi.org/project/black,20346476.0,20467100.0,https://anaconda.org/conda-forge/black,2023-04-26 07:05:32.069,7320047.0,1.0,2018-09-26 20:08:48.000,10284.0,31824.0,,,,,,,,,,,,,,
