,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
117,pytest-sugar,Teemu/pytest-sugar,testing,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",,https://github.com/Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2025-05-09 06:16:42.000,2025-05-09 06:16:42,448.0,2.0,75.0,18.0,167.0,94.0,1453.0,2024-02-01 18:30:29.000,1.0.0,30.0,54.0,30,True,,28.0,pytest-sugar,conda-forge/pytest-sugar,['pytest'],41.0,3578737.0,29346.0,28184.0,https://pypi.org/project/pytest-sugar,2024-02-01 18:30:29.000,1162.0,3573300.0,https://anaconda.org/conda-forge/pytest-sugar,2025-04-22 14:56:39.433,315300.0,3.0,,,,,,,,,,,,,,,,,,
118,flake8-bugbear,PyCQA/flake8-bugbear,linters,A plugin for Flake8 finding likely bugs and design problems in your program. Contains warnings that dont belong in..,,https://github.com/PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,MIT,2016-03-15 20:54:43.000,2025-06-23 22:35:22.000,2025-06-23 22:35:20,423.0,6.0,109.0,8.0,280.0,178.0,1095.0,2024-12-12 16:49:23.000,24.12.12,73.0,89.0,30,True,,60.0,flake8-bugbear,conda-forge/flake8-bugbear,['flake8'],,2922143.0,42562.0,41324.0,https://pypi.org/project/flake8-bugbear,2024-12-12 16:49:23.000,1238.0,2906801.0,https://anaconda.org/conda-forge/flake8-bugbear,2025-04-22 14:57:10.503,859172.0,2.0,,,,,,,,,,,,,,,,,,
119,asv,airspeed-velocity/asv,testing,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,,https://github.com/airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2025-06-01 17:18:34.000,2025-06-01 17:18:34,2603.0,38.0,185.0,18.0,863.0,499.0,936.0,2024-08-12 22:58:12.000,0.6.4,23.0,92.0,30,True,,164.0,asv,conda-forge/asv,,1633.0,203316.0,1491.0,1384.0,https://pypi.org/project/asv,2024-08-12 22:58:12.000,107.0,185164.0,https://anaconda.org/conda-forge/asv,2025-04-22 14:56:30.847,1124525.0,3.0,,,,,,,,,,,,,,,,,,
120,progressbar2,WoLpH/python-progressbar,logging,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,,https://github.com/wolph/python-progressbar,https://github.com/wolph/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2025-04-22 14:56:28.563,2024-12-06 14:57:38,1142.0,,102.0,20.0,73.0,221.0,880.0,2024-08-28 22:50:15.000,4.5.0,111.0,47.0,30,True,,6.0,progressbar2,conda-forge/progressbar2,,3103.0,26617740.0,934.0,,https://pypi.org/project/progressbar2,2024-08-28 22:50:10.000,934.0,26567214.0,https://anaconda.org/conda-forge/progressbar2,2025-04-22 14:56:28.563,3080155.0,3.0,,,,,,,,,,,,,,,,,,
121,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2025-07-18 19:17:10.000,2025-07-18 19:13:21,1999.0,49.0,174.0,49.0,325.0,273.0,591.0,2025-06-11 15:54:50.000,4.1.12,145.0,100.0,30,False,,144.0,zc.buildout,conda-forge/zc.buildout,,,73118.0,117.0,,https://pypi.org/project/zc.buildout,2025-07-17 15:03:36.000,117.0,71484.0,https://anaconda.org/conda-forge/zc.buildout,2025-04-22 14:58:01.521,75174.0,3.0,,,,,,,,,,,,,,,,,,
122,python-coloredlogs,xolox/python-coloredlogs,logging,Colored terminal output for Pythons logging module.,,https://github.com/xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2025-04-22 15:32:23.858,2021-06-11 10:22:09,273.0,,45.0,10.0,38.0,52.0,553.0,2021-06-11 10:24:04.382,15.0.1,63.0,17.0,30,False,,36.0,coloredlogs,anaconda/coloredlogs,,,24787421.0,81365.0,79436.0,https://pypi.org/project/coloredlogs,2021-06-11 10:24:04.382,1929.0,24787216.0,https://anaconda.org/anaconda/coloredlogs,2025-04-22 15:32:23.858,19297.0,3.0,,,,,,,,,,,,,,,,,,
123,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,,2013-07-24 16:23:39.000,2025-07-21 15:27:56.000,2025-07-21 15:27:55,682.0,11.0,170.0,31.0,387.0,153.0,334.0,2025-06-24 12:28:53.000,1.9.0,34.0,90.0,30,False,,120.0,numpydoc,conda-forge/numpydoc,['sphinx'],,1314453.0,3177.0,,https://pypi.org/project/numpydoc,2025-06-24 12:22:53.000,3177.0,1258355.0,https://anaconda.org/conda-forge/numpydoc,2025-06-25 14:22:41.569,3478077.0,2.0,,,,,,,,,,,,,,,,,,
124,Bpytop,aristocratos/bpytop,profiling,Linux/OSX/FreeBSD resource monitor.,,https://github.com/aristocratos/bpytop,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2025-06-01 20:57:08.000,2025-06-01 20:57:08,409.0,1.0,418.0,159.0,79.0,231.0,10704.0,2021-12-22 19:23:21.000,1.0.68,53.0,36.0,29,True,,88.0,bpytop,conda-forge/bpytop,,,21874.0,230.0,229.0,https://pypi.org/project/bpytop,2021-12-22 19:23:21.000,1.0,21419.0,https://anaconda.org/conda-forge/bpytop,2025-04-22 14:57:45.970,24123.0,3.0,,,,,,,,,,,,,,,,,,
125,memory-profiler,pythonprofilers/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000,2025-04-22 14:56:23.864,2024-04-16 15:33:52,719.0,,380.0,82.0,166.0,117.0,4503.0,2022-11-15 17:59:01.069,0.61.0,59.0,105.0,29,False,,136.0,memory_profiler,conda-forge/memory_profiler,,,4888687.0,464.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,464.0,4826955.0,https://anaconda.org/conda-forge/memory_profiler,2025-04-22 14:56:23.864,3518731.0,3.0,,,,,,,,,,,,,,,,,,
126,detect-secrets,Yelp/detect-secrets,security,An enterprise friendly way of detecting and preventing secrets in code.,,https://github.com/Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000,2025-03-13 15:39:41.000,2025-01-06 20:58:21,1449.0,,476.0,48.0,595.0,245.0,4186.0,2024-05-06 18:05:06.000,1.5.0,38.0,85.0,29,True,,115.0,detect-secrets,,,,1265907.0,95.0,,https://pypi.org/project/detect-secrets,2024-05-06 17:46:16.000,95.0,1265907.0,,,,3.0,,,,,,,,,,,,,,,,,,
127,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2025-04-22 14:56:42.827,2024-10-20 09:52:52,549.0,,123.0,33.0,97.0,146.0,1866.0,2023-03-26 06:25:00.948,6.0.1,56.0,60.0,29,True,,34.0,radon,conda-forge/radon,,,1368918.0,6963.0,6746.0,https://pypi.org/project/radon,2023-03-26 06:25:00.948,217.0,1367221.0,https://anaconda.org/conda-forge/radon,2025-04-22 14:56:42.827,100163.0,2.0,,,,,,,,,,,,,,,,,,
128,pytest-benchmark,ionelmc/pytest-benchmark,testing,pytest fixture for benchmarking code.,,https://github.com/ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2025-04-22 14:56:21.335,2025-04-08 13:10:23,1054.0,,120.0,19.0,85.0,91.0,1359.0,2024-10-30 11:51:45.000,5.1.0,46.0,48.0,29,True,,114.0,pytest-benchmark,conda-forge/pytest-benchmark,['pytest'],,4194511.0,13279.0,12364.0,https://pypi.org/project/pytest-benchmark,2024-10-30 11:51:45.000,915.0,4144213.0,https://anaconda.org/conda-forge/pytest-benchmark,2025-04-22 14:56:21.335,2565246.0,3.0,,,,,,,,,,,,,,,,,,
129,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2025-07-12 01:03:17.000,2025-07-12 01:03:05,644.0,9.0,147.0,8.0,130.0,235.0,1177.0,2025-03-20 22:53:51.000,0.11.6,41.0,68.0,29,True,,101.0,pdoc3,anaconda/pdoc3,,,290888.0,5406.0,4917.0,https://pypi.org/project/pdoc3,2025-03-20 22:53:51.000,489.0,290858.0,https://anaconda.org/anaconda/pdoc3,2025-04-22 15:32:29.630,2071.0,3.0,,,,,,,,,,,,,,,,,,
130,py2exe,py2exe/py2exe,packaging,Create standalone Windows programs from Python code.,,https://github.com/py2exe/py2exe,https://github.com/py2exe/py2exe,MIT,2019-03-11 13:16:35.000,2025-07-21 21:47:21.000,2025-07-15 21:35:24,1113.0,8.0,104.0,27.0,39.0,160.0,950.0,2025-07-15 22:01:38.000,0.14.0.0,30.0,24.0,29,True,,24.0,py2exe,,,22537.0,90851.0,2225.0,2214.0,https://pypi.org/project/py2exe,2025-07-16 08:41:54.000,11.0,90555.0,,,,3.0,,,,,,,,,,,,,,,,,,
131,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2025-07-30 23:02:37.000,2025-07-30 23:02:30,699.0,12.0,33.0,4.0,610.0,58.0,671.0,2024-10-25 15:45:32.000,3.16.0,34.0,20.0,29,True,,13.0,pytest-randomly,conda-forge/pytest-randomly,,,3389485.0,11239.0,10695.0,https://pypi.org/project/pytest-randomly,2024-10-25 15:45:32.000,544.0,3382173.0,https://anaconda.org/conda-forge/pytest-randomly,2025-04-22 14:58:02.951,329073.0,3.0,,,,,,,,,,,,,,,,,,
132,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a hot-reload web server.,,https://github.com/sphinx-doc/sphinx-autobuild,https://github.com/sphinx-doc/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2025-05-28 10:38:14.000,2025-05-28 10:38:14,393.0,2.0,82.0,18.0,88.0,90.0,579.0,2024-10-02 23:15:28.000,2024.10.3,24.0,34.0,29,True,sphinx-doc/sphinx-autobuild,21.0,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],,3516172.0,30433.0,28781.0,https://pypi.org/project/sphinx-autobuild,2024-10-02 23:15:28.000,1652.0,3509342.0,https://anaconda.org/conda-forge/sphinx-autobuild,2025-04-22 14:56:34.708,375701.0,3.0,,,,,,,,,,,,,,,,,,
133,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2025-05-06 21:53:54.000,2025-05-06 21:53:53,286.0,2.0,242.0,14.0,146.0,83.0,521.0,2025-05-05 20:43:43.000,0.15.1,31.0,37.0,29,False,,21.0,pep8-naming,conda-forge/pep8-naming,,,2120420.0,59103.0,58267.0,https://pypi.org/project/pep8-naming,2025-05-05 20:43:11.000,836.0,2112726.0,https://anaconda.org/conda-forge/pep8-naming,2025-05-06 21:46:36.863,461667.0,2.0,,,,,,,,,,,,,,,,,,
134,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2025-07-14 13:02:17.000,2025-07-14 13:02:16,661.0,11.0,23.0,7.0,561.0,56.0,469.0,2024-10-27 21:51:16.000,3.16.0,41.0,16.0,29,True,,5.0,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],,1154569.0,29847.0,29143.0,https://pypi.org/project/flake8-comprehensions,2024-10-27 21:51:16.000,704.0,1140281.0,https://anaconda.org/conda-forge/flake8-comprehensions,2025-04-22 14:56:29.814,871590.0,2.0,,,,,,,,,,,,,,,,,,
135,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2024-06-29 14:21:40.000,2023-11-01 17:50:44,3337.0,,600.0,87.0,534.0,170.0,1757.0,2016-11-25 22:13:29.000,4.0.515,36.0,388.0,28,False,,135.0,diamond,,,,5828.0,212.0,206.0,https://pypi.org/project/diamond,2016-11-25 22:13:29.000,6.0,5828.0,,,,3.0,,,,,,,,,,,,,,,,,,
136,Yappi,sumerc/yappi,profiling,"Yet Another Python Profiler, but this time multithreading, asyncio and gevent aware.",,https://github.com/sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000,2025-05-06 00:54:42.372,2024-11-12 11:10:14,787.0,,75.0,15.0,105.0,64.0,1627.0,2024-11-12 11:23:25.000,1.6.10,26.0,31.0,28,True,,21.0,yappi,conda-forge/yappi,,,1045570.0,1563.0,1500.0,https://pypi.org/project/yappi,2024-11-12 11:23:25.000,63.0,1040559.0,https://anaconda.org/conda-forge/yappi,2025-05-06 00:54:42.372,285636.0,3.0,,,,,,,,,,,,,,,,,,
137,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2025-07-18 23:31:22.750,2022-07-14 18:31:38,706.0,,70.0,17.0,324.0,127.0,1404.0,2025-07-18 09:36:01.000,0.11.7,29.0,41.0,28,False,,104.0,pdbpp,conda-forge/pdbpp,,,700326.0,592.0,,https://pypi.org/project/pdbpp,2025-07-18 09:36:01.000,592.0,696468.0,https://anaconda.org/conda-forge/pdbpp,2025-07-18 23:31:22.750,185212.0,3.0,,,,,,,,,,,,,,,,,,
138,pylint-django,PyCQA/pylint-django,linters,Pylint plugin for improving code analysis for when using Django.,,https://github.com/pylint-dev/pylint-django,https://github.com/pylint-dev/pylint-django,GPL-3.0,2013-10-01 06:35:15.000,2025-07-28 20:40:31.000,2025-06-24 06:36:11,694.0,2.0,117.0,14.0,224.0,173.0,614.0,2024-10-10 14:46:36.000,2.6.1,57.0,71.0,28,True,pylint-dev/pylint-django,67.0,pylint-django,conda-forge/pylint-django,['pylint'],419.0,1525673.0,32021.0,31896.0,https://pypi.org/project/pylint-django,2024-10-10 14:46:36.000,125.0,1520950.0,https://anaconda.org/conda-forge/pylint-django,2025-04-22 14:56:27.135,264159.0,2.0,,,,,,,,,,,,,,,,,,
139,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2025-04-22 14:57:12.196,2021-10-18 03:34:23,504.0,,42.0,6.0,61.0,95.0,484.0,2021-10-18 03:40:35.000,1.8.1,49.0,22.0,28,False,,71.0,darglint,conda-forge/darglint,,,618616.0,22678.0,22388.0,https://pypi.org/project/darglint,2021-10-18 03:40:35.000,290.0,616819.0,https://anaconda.org/conda-forge/darglint,2025-04-22 14:57:12.196,109668.0,2.0,,,,,,,,,,,,,,,,,,
140,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2025-04-22 14:56:37.697,2019-12-22 18:11:19,86.0,,53.0,9.0,37.0,22.0,228.0,2019-12-22 18:12:11.000,1.6.3,11.0,11.0,28,False,,25.0,astunparse,conda-forge/astunparse,,,11992377.0,167262.0,166579.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,683.0,11936559.0,https://anaconda.org/conda-forge/astunparse,2025-04-22 14:56:37.697,3014215.0,2.0,,,,,,,,,,,,,,,,,,
141,flake8-isort,gforcada/flake8-isort,linters,flake8 plugin that integrates isort.,,https://github.com/gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2025-04-22 14:57:15.498,2025-01-29 12:29:32,387.0,,185.0,8.0,96.0,57.0,180.0,2025-01-29 12:29:23.000,6.1.2,44.0,40.0,28,True,,1.0,flake8-isort,conda-forge/flake8-isort,['flake8'],,1291207.0,28879.0,28295.0,https://pypi.org/project/flake8-isort,2025-01-29 12:29:23.000,584.0,1289800.0,https://anaconda.org/conda-forge/flake8-isort,2025-04-22 14:57:15.498,84475.0,2.0,,,,,,,,,,,,,,,,,,
142,gdbgui,cs01/gdbgui,debugging,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",,https://github.com/cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2025-06-29 22:40:49.000,2025-06-29 22:34:16,438.0,1.0,513.0,167.0,167.0,174.0,10130.0,2025-06-29 22:40:49.000,0.15.3.0,96.0,45.0,27,True,,169.0,gdbgui,,,19654.0,6351.0,498.0,496.0,https://pypi.org/project/gdbgui,2025-06-29 22:39:12.000,2.0,6024.0,,,,3.0,,,,,,,,,,,,,,,,,,
143,PyOxidizer,indygreg/PyOxidizer,packaging,A modern Python application packaging and distribution tool.,,https://github.com/indygreg/PyOxidizer,https://github.com/indygreg/PyOxidizer,MPL-2.0,2018-12-18 23:32:13.000,2024-12-24 01:04:30.000,2024-11-03 22:09:40,6749.0,,245.0,64.0,137.0,236.0,5911.0,2023-01-02 16:18:55.910,0.24.0,22.0,54.0,27,True,,334.0,pyoxidizer,,,23740.0,50535.0,157.0,155.0,https://pypi.org/project/pyoxidizer,2023-01-02 16:18:55.910,2.0,50176.0,,,,3.0,,,,,,,,,,,,,,,,,,
144,memory_profiler,fabianp/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2018-06-28 14:01:33.000,2025-04-22 14:56:23.864,2018-06-28 13:35:12,500.0,,380.0,4.0,1.0,,4386.0,2022-11-15 17:59:01.069,0.61.0,59.0,62.0,27,False,,,memory_profiler,conda-forge/memory_profiler,,,4888687.0,464.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,464.0,4826955.0,https://anaconda.org/conda-forge/memory_profiler,2025-04-22 14:56:23.864,3518764.0,3.0,,,,,,,,,,,,,,,,,,
145,coala,coala/coala,linters,"coala provides a unified command-line interface for linting and fixing all your code, regardless of the programming..",,https://github.com/coala/coala,https://github.com/coala/coala,AGPL-3.0,2014-05-15 11:35:34.000,2024-02-05 04:33:35.000,2021-06-11 17:11:55,4487.0,,1356.0,100.0,3155.0,2374.0,3569.0,2017-05-30 10:07:57.000,0.11.1,731.0,484.0,27,False,,835.0,coala-bears,,,236.0,3656.0,19.0,13.0,https://pypi.org/project/coala-bears,2023-12-02 01:06:08.134,6.0,3655.0,,,,2.0,,,,,,,,,,,,,,,,,,
