,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-11-17 18:43:58.000000,2021-11-17 18:43:57.000000,93.0,2.0,1366.0,2021-11-17 18:45:05.000000,2021.11.17,23.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-11-18 11:27:32.000000,2021-11-17 16:00:02.000000,1592.0,4817.0,4250.0,2021-11-10 17:23:23.000000,4.3.0,159.0,692.0,924.0,['sphinx'],conda-forge/sphinx,sphinx,18429.0,271989.0,167453.0,https://pypi.org/project/sphinx,2021-11-10 17:23:23.000000,104536.0,4028027.0,4097234.0,https://anaconda.org/conda-forge/sphinx,2021-11-10 20:31:12.931000,4360062.0,1.0,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-11-16 10:09:57.000000,2021-09-20 16:15:31.000000,1034.0,537.0,20066.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,329.0,,conda-forge/tqdm,tqdm,1889.0,250061.0,223823.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,28253207.0,28387237.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8700792.0,1.0,tqdm/tqdm,8027.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3938.0,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-11-15 19:40:09.000000,2021-11-14 18:03:48.000000,1163.0,1312.0,7854.0,2020-12-19 01:19:27.000000,5.8.0,83.0,172.0,199.0,,conda-forge/psutil,psutil,5725.0,143733.0,119067.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,35809385.0,35943662.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,8996585.0,1.0,,,,,,,,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-11-17 19:12:02.897000,2021-11-17 12:44:08.000000,460.0,1241.0,5007.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,,conda-forge/jedi,jedi,8256.0,178130.0,162224.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,18437472.0,18550692.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,6906464.0,1.0,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-11-16 23:55:42.000000,2021-11-16 21:07:44.000000,1835.0,1501.0,13181.0,2021-10-12 21:59:03.000000,1.2.3,48.0,207.0,111.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1608.0,22279.0,16337.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,779216.0,781565.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,157383.0,1.0,,,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-11-18 06:03:15.000000,2021-11-18 03:18:12.000000,1912.0,4998.0,11833.0,,,83.0,508.0,1956.0,,conda-forge/mypy,mypy,9883.0,56348.0,50264.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,8035056.0,8065505.0,https://anaconda.org/conda-forge/mypy,2021-11-09 21:16:30.936000,1461574.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-11-17 15:07:35.000000,2021-11-13 13:57:37.000000,1862.0,4013.0,7948.0,2021-08-30 17:39:28.000000,6.2.5,148.0,754.0,726.0,['pytest'],conda-forge/pytest,pytest,,531839.0,401255.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,33670227.0,33832112.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10360679.0,1.0,,,,,,,,,,,,,,,
10,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-11-18 11:43:48.000000,2021-11-12 17:47:16.000000,2436.0,5109.0,7538.0,2021-10-22 15:57:09.000000,21.3.1,113.0,644.0,911.0,,conda-forge/pip,pip,,83227.0,64561.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000000,18666.0,94851823.0,95279272.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098000,27356780.0,1.0,,,,,,,,,,,,,,,
11,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,35,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-11-18 04:05:16.000000,2021-11-16 11:01:32.000000,1796.0,3473.0,6456.0,2021-10-15 08:56:42.000000,4.1.2,69.0,150.0,227.0,,conda-forge/robotframework,robotframework,13106.0,5896.0,4488.0,https://pypi.org/project/robotframework,2021-10-15 08:57:24.000000,1408.0,813060.0,814530.0,https://anaconda.org/conda-forge/robotframework,2021-10-15 13:26:14.612000,67385.0,1.0,,514.0,,,,,,,,,,,,,
