,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-06-10 14:21:34.000,2021-06-05 15:46:18.000,80.0,2.0,1240.0,2021-06-05 15:46:28.000,2021.06.03,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-06-10 03:56:08.000,2021-06-08 15:56:52.000,1485.0,4644.0,3971.0,2021-05-20 12:58:02.000,4.0.2,151.0,645.0,['sphinx'],conda-forge/sphinx,sphinx,786.0,17633.0,249231.0,144695.0,https://pypi.org/project/sphinx,2021-05-20 12:58:02.000,104536.0,4404514.0,4462167.0,https://anaconda.org/conda-forge/sphinx,2021-05-25 19:47:42.185,3343914.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-06-08 18:28:27.000,2021-05-29 03:05:47.000,1623.0,2883.0,21963.0,2021-05-29 03:10:16.000,2021.5.29,298.0,383.0,,conda-forge/pipenv,pipenv,536.0,7058.0,21534.0,19260.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000,2274.0,3333702.0,3335693.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,39823.0,1.0,1.0,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-06-07 14:59:17.000,2021-05-24 11:33:23.000,947.0,511.0,18542.0,2021-05-24 19:55:34.000,4.61.0,118.0,100.0,,conda-forge/tqdm,tqdm,282.0,1833.0,206499.0,180261.0,https://pypi.org/project/tqdm,2021-05-24 19:47:43.000,26238.0,21091245.0,21198979.0,https://anaconda.org/conda-forge/tqdm,2021-05-24 21:12:31.593,6456686.0,1.0,,7911.0,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-06-10 14:07:49.000,2021-06-10 12:52:52.000,1755.0,4654.0,10847.0,,,81.0,469.0,,conda-forge/mypy,mypy,1752.0,9549.0,41574.0,35490.0,https://pypi.org/project/mypy,2021-06-08 22:29:47.000,6084.0,6792792.0,6815169.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,962211.0,1.0,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-06-10 08:01:46.000,2021-06-09 22:54:23.000,1728.0,3870.0,7402.0,2021-05-04 16:22:25.000,6.2.4,147.0,725.0,['pytest'],conda-forge/pytest,pytest,653.0,,458524.0,327940.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000,130584.0,27972817.0,28109445.0,https://anaconda.org/conda-forge/pytest,2021-05-27 13:10:24.043,8061094.0,1.0,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-06-08 01:01:40.000,2021-06-08 01:01:40.000,366.0,1059.0,2248.0,2021-05-10 12:09:53.000,3.23.1,116.0,243.0,['pytest'],conda-forge/tox,tox,141.0,2001.0,81278.0,44878.0,https://pypi.org/project/tox,2021-05-05 16:42:34.000,36400.0,4219019.0,4225477.0,https://anaconda.org/conda-forge/tox,2021-05-05 22:48:33.555,290635.0,1.0,,,,,,,,,,
9,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-06-08 02:36:56.000,2021-06-08 02:36:55.000,183.0,1243.0,1305.0,2021-03-14 23:32:11.000,3.9.0,79.0,155.0,,conda-forge/flake8,flake8,36.0,1964.0,242864.0,171574.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000,71290.0,12197556.0,12239432.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968,2512569.0,1.0,,,,,,,,,,
10,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,35,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-06-09 17:24:35.000,2021-06-09 17:20:07.000,1750.0,1406.0,12287.0,2020-05-14 15:18:01.000,1.1.2,46.0,192.0,['mkdocs'],conda-forge/mkdocs,mkdocs,132.0,1544.0,18623.0,12681.0,https://pypi.org/project/mkdocs,2021-06-09 17:22:11.000,5942.0,585977.0,588153.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,134969.0,1.0,,,,,,,,,,
11,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,35,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-06-07 12:39:02.000,2021-06-06 12:41:42.000,1094.0,1288.0,7383.0,2020-12-19 01:19:27.000,5.8.0,83.0,159.0,,conda-forge/psutil,psutil,176.0,5686.0,113997.0,89331.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,22985789.0,23097561.0,https://anaconda.org/conda-forge/psutil,2021-04-19 20:30:13.823,6929889.0,1.0,,,,,,,,,,
12,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-05-26 14:15:06.000,2021-05-05 22:38:19.000,441.0,1210.0,4879.0,2020-12-25 10:34:25.000,0.18.0,30.0,144.0,,conda-forge/jedi,jedi,27.0,8204.0,150740.0,134834.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,12927591.0,13018747.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,5104785.0,1.0,,,,,,,,,,
13,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,packaging,34,True,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2021-06-10 11:49:56.000,2021-06-06 21:14:52.000,1663.0,3809.0,8148.0,2021-04-17 05:02:21.000,4.3,28.0,399.0,,conda-forge/pyinstaller,pyinstaller,345.0,7773.0,17697.0,17697.0,https://pypi.org/project/pyinstaller,2021-04-17 04:46:48.000,0.0,586994.0,598502.0,https://anaconda.org/conda-forge/pyinstaller,2021-04-21 15:08:29.384,232603.0,1.0,,703657.0,,,,,,,,
14,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,34,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-06-09 08:25:52.000,2021-06-07 21:11:10.000,2251.0,4785.0,7200.0,2021-05-23 09:52:07.000,21.1.2,105.0,612.0,,conda-forge/pip,pip,983.0,,70199.0,51533.0,https://pypi.org/project/pip,2021-05-23 09:52:07.000,18666.0,87658029.0,88009680.0,https://anaconda.org/conda-forge/pip,2021-05-23 11:54:56.735,20747412.0,1.0,,,,,,,,,,
15,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,34,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2021-06-10 10:13:35.000,2021-06-07 10:15:02.000,1689.0,3371.0,5968.0,2021-05-25 11:27:33.000,4.0.3,62.0,140.0,,conda-forge/robotframework,robotframework,203.0,12918.0,5258.0,3850.0,https://pypi.org/project/robotframework,2021-05-25 11:28:06.000,1408.0,716681.0,717911.0,https://anaconda.org/conda-forge/robotframework,2021-05-25 13:52:36.408,50195.0,1.0,,505.0,,,,,,,,
16,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,34,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2021-05-26 09:46:52.000,2021-05-06 22:18:19.000,599.0,531.0,4325.0,2021-03-14 18:44:02.000,2.7.0,12.0,125.0,,conda-forge/pycodestyle,pycodestyle,113.0,1222.0,163665.0,142435.0,https://pypi.org/project/pycodestyle,2021-03-14 18:44:02.000,21230.0,16327391.0,16371561.0,https://anaconda.org/conda-forge/pycodestyle,2021-03-15 18:43:23.361,2650210.0,1.0,,,,,,,,,,
17,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2021-04-30 08:34:16.877,2021-04-30 06:04:29.000,244.0,333.0,3789.0,2021-04-30 06:09:29.000,1.5.7,67.0,50.0,,conda-forge/autopep8,autopep8,86.0,2702.0,88354.0,78170.0,https://pypi.org/project/autopep8,2021-04-30 06:04:42.000,10184.0,2072143.0,2079912.0,https://anaconda.org/conda-forge/autopep8,2021-04-30 08:34:16.877,466147.0,1.0,,,,,,,,,,
18,pylint,https://github.com/PyCQA/pylint,,It's not just a linter that annoys you!.,linters,34,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2021-06-10 12:49:26.000,2021-06-10 10:49:20.000,716.0,2725.0,3382.0,2021-05-31 19:04:53.000,2.8.3,105.0,392.0,,conda-forge/pylint,pylint,705.0,5498.0,37734.0,,https://pypi.org/project/pylint,2021-05-31 19:00:03.000,37734.0,10259555.0,10292201.0,https://anaconda.org/conda-forge/pylint,2021-03-03 00:06:43.039,1893468.0,1.0,,,,,,,,,,
