,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-23 05:29:26.000,2024-02-23 05:29:25,313.0,25.0,158.0,54.0,184.0,3.0,2129.0,2024-02-23 05:29:32.000,2024.02.22,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-02-22 19:45:42.000,2024-02-22 19:45:41,260.0,27.0,40.0,12.0,175.0,14.0,712.0,2023-06-29 18:48:34.000,2023.06.29,68.0,26.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-02-29 07:27:04.000,2024-02-28 07:28:15,15728.0,292.0,2446.0,190.0,5580.0,4825.0,11162.0,2024-02-24 22:22:07.000,8.0.2,171.0,946.0,48,True,,839.0,pytest,conda-forge/pytest,['pytest'],31.0,105558870.0,1186495.0,1162594.0,https://pypi.org/project/pytest,2024-02-24 22:21:27.000,23901.0,104951369.0,https://anaconda.org/conda-forge/pytest,2024-02-25 00:43:08.885,24300075.0,1.0,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-02-28 21:20:47.000,2024-02-28 21:20:46,1823.0,77.0,2288.0,232.0,1690.0,2178.0,36896.0,2024-02-12 20:20:40.000,24.2.0,39.0,437.0,46,True,,350.0,black,conda-forge/black,,56780.0,34547764.0,468458.0,468458.0,https://pypi.org/project/black,,,34329727.0,https://anaconda.org/conda-forge/black,2024-02-18 10:27:18.547,9334228.0,1.0,,,,,,,,,,,,,,,,,,
6,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-02-29 14:07:09.000,2024-02-28 18:01:10,11743.0,92.0,2781.0,234.0,6853.0,7523.0,17253.0,2023-12-21 16:28:31.000,1.8.0,113.0,697.0,45,True,,2692.0,mypy,conda-forge/mypy,,,22911215.0,238431.0,227925.0,https://pypi.org/project/mypy,2023-12-21 16:28:31.000,10506.0,22826506.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3727200.0,1.0,4.0,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-02-27 15:20:10.000,2024-02-26 10:50:06,14325.0,112.0,2858.0,317.0,5393.0,6123.0,9173.0,,,69.0,765.0,45,True,,964.0,pip,conda-forge/pip,,,359915734.0,173232.0,173232.0,https://pypi.org/project/pip,,,357645343.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,102167615.0,1.0,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-02-28 06:10:31.000,2024-02-23 11:04:20,14485.0,172.0,1024.0,94.0,1522.0,1845.0,2255.0,2024-02-23 11:26:53.000,69.1.1,558.0,592.0,45,True,,608.0,setuptools,conda-forge/setuptools,,,353740243.0,510610.0,470489.0,https://pypi.org/project/setuptools,2024-02-23 11:26:34.000,40121.0,351471370.0,https://anaconda.org/conda-forge/setuptools,2024-02-23 15:34:46.410,102099316.0,1.0,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-22 21:10:38.000,2024-02-05 11:48:25,8727.0,38.0,1944.0,357.0,1857.0,3924.0,24484.0,2024-02-05 01:04:03.000,2023.12.1,386.0,499.0,44,True,,231.0,pipenv,conda-forge/pipenv,,,10624319.0,131890.0,130627.0,https://pypi.org/project/pipenv,2024-02-05 01:04:03.000,1263.0,10621145.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,142871.0,1.0,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-02-27 15:06:01.000,2024-02-26 23:40:40,6035.0,51.0,1325.0,235.0,671.0,1423.0,9828.0,,,40.0,204.0,44,True,,268.0,psutil,conda-forge/psutil,,,95597738.0,444130.0,444130.0,https://pypi.org/project/psutil,,,94933020.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,28582885.0,1.0,,,,,,,,,,,,,,,,,,
