,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
111,setuptools_scm,https://github.com/pypa/setuptools_scm,,the blessed package to manage your versions by scm tags.,build-tools,26,True,pypa/setuptools_scm,https://github.com/pypa/setuptools_scm,MIT,2015-07-01 17:57:56.000,2021-05-10 22:20:13.000,2021-05-10 22:20:13.000,135.0,259.0,456.0,2020-12-13 22:17:40.000,5.0.1,47.0,84.0,,conda-forge/setuptools_scm,setuptools_scm,68.0,,694.0,,https://pypi.org/project/setuptools_scm,2018-08-09 06:35:57.000,694.0,13512730.0,13523035.0,https://anaconda.org/conda-forge/setuptools_scm,2021-03-17 16:05:30.451,638917.0,3.0,,,,,,,,,,
112,python-coloredlogs,https://github.com/xolox/python-coloredlogs,,Colored terminal output for Python's logging module.,logging,26,True,xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2020-12-10 13:10:51.000,2020-12-10 13:09:55.000,36.0,49.0,413.0,2018-04-29 22:06:15.000,9.3.1,62.0,16.0,,,coloredlogs,23.0,271.0,9715.0,7619.0,https://pypi.org/project/coloredlogs,2020-12-10 13:10:51.000,2096.0,1636210.0,1636210.0,,,,3.0,,,,,,,,,,
113,autoflake,https://github.com/myint/autoflake,,Removes unused imports and unused variables as reported by pyflakes.,refactoring,26,True,myint/autoflake,https://github.com/myint/autoflake,MIT,2012-12-27 03:40:17.000,2021-04-27 14:08:55.000,2020-12-27 17:36:40.000,41.0,33.0,381.0,2019-08-04 15:14:24.000,1.3.1,36.0,17.0,,conda-forge/autoflake,autoflake,23.0,439.0,2743.0,2163.0,https://pypi.org/project/autoflake,2019-08-04 15:14:24.000,580.0,946130.0,950401.0,https://anaconda.org/conda-forge/autoflake,2019-04-25 16:08:45.978,106778.0,2.0,,,,,,,,,,
114,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,26,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2021-04-17 15:28:26.000,2021-04-15 00:19:06.000,65.0,70.0,334.0,2020-10-12 20:37:53.000,1.11.1,28.0,29.0,['sphinx'],conda-forge/sphinx-autodoc-typehints,sphinx-autodoc-typehints,44.0,174.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,323435.0,327476.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2021-04-15 04:06:00.666,169737.0,2.0,,,,,,,,,,
115,darglint,https://github.com/terrencepreilly/darglint,,A python documentation linter which checks that the docstring description matches the definition.,linters,26,True,terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2021-04-20 18:35:00.000,2021-04-04 23:02:21.000,23.0,90.0,305.0,2021-02-22 05:24:56.000,1.7.0,47.0,21.0,,conda-forge/darglint,darglint,37.0,495.0,420.0,400.0,https://pypi.org/project/darglint,2021-02-22 05:24:56.000,20.0,169091.0,169678.0,https://anaconda.org/conda-forge/darglint,2021-04-05 00:44:14.308,11744.0,2.0,,,,,,,,,,
116,pytest-mypy,https://github.com/dbader/pytest-mypy,,Mypy static type checker plugin for Pytest.,testing,26,True,dbader/pytest-mypy,https://github.com/dbader/pytest-mypy,MIT,2016-09-29 14:39:23.000,2021-03-21 15:51:09.000,2021-03-21 15:48:31.000,31.0,34.0,187.0,2021-03-21 15:51:09.000,0.8.1,17.0,15.0,['pytest'],conda-forge/pytest-mypy,pytest-mypy,9.0,216.0,1306.0,1040.0,https://pypi.org/project/pytest-mypy,2021-03-21 15:51:09.000,266.0,314840.0,315442.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,9040.0,3.0,,,,,,,,,,
117,gast,https://github.com/serge-sans-paille/gast,,Python AST that abstracts the underlying Python version.,ast,26,True,serge-sans-paille/gast,https://github.com/serge-sans-paille/gast,BSD-3-Clause,2016-07-18 10:39:07.000,2021-01-20 06:24:52.000,2020-11-26 20:24:53.000,22.0,21.0,108.0,2020-08-07 21:45:21.000,0.4.0,16.0,10.0,,conda-forge/gast,gast,4.0,80.0,58400.0,55012.0,https://pypi.org/project/gast,2020-08-07 21:45:21.000,3388.0,8019639.0,8049659.0,https://anaconda.org/conda-forge/gast,2020-08-07 22:36:47.303,1080746.0,3.0,,,,,,,,,,
118,gdbgui,https://github.com/cs01/gdbgui,,"Browser-based frontend to gdb (gnu debugger). Add breakpoints, view the stack, visualize data structures, and more in..",debugging,25,True,cs01/gdbgui,https://github.com/cs01/gdbgui,GPL-3.0,2016-10-27 03:19:25.000,2021-05-09 23:17:11.000,2020-12-21 02:51:39.000,457.0,155.0,7938.0,2020-12-21 03:07:33.000,0.14.0.2,90.0,35.0,,,gdbgui,111.0,420.0,90.0,88.0,https://pypi.org/project/gdbgui,2020-12-21 02:53:00.000,2.0,85384.0,85729.0,,,,3.0,,3459.0,,,,,,,,
119,mamba,https://github.com/mamba-org/mamba,,The Fast Cross-Platform Package Manager.,dependency-managers,25,True,mamba-org/mamba,https://github.com/mamba-org/mamba,BSD-3-Clause,2019-03-05 13:05:10.000,2021-05-12 22:31:43.620,2021-05-12 19:09:21.000,87.0,310.0,1560.0,,,71.0,49.0,,conda-forge/mamba,,134.0,1251.0,313.0,313.0,,,,,30058.0,https://anaconda.org/conda-forge/mamba,2021-05-12 22:31:43.620,781509.0,3.0,,,,,,,,,,
120,pyarmor,https://github.com/dashingsoft/pyarmor,,"A tool used to obfuscate python scripts, bind obfuscated scripts to fixed machine or expire obfuscated scripts.",security,25,False,dashingsoft/pyarmor,https://github.com/dashingsoft/pyarmor,SGI-B-2.0,2017-08-26 04:11:53.000,2021-05-06 02:08:14.000,2021-05-06 02:08:08.000,131.0,482.0,940.0,2021-04-28 07:53:46.000,6.7.0,220.0,14.0,,,pyarmor,6.0,3088.0,202.0,192.0,https://pypi.org/project/pyarmor,2021-04-28 07:53:45.000,10.0,90067.0,90067.0,,,,3.0,,18.0,,,,,,,,
