,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-06-25 13:51:39.000,2023-06-09 13:37:14,5941.0,53.0,1297.0,239.0,633.0,238.0,1391.0,9399.0,,,37.0,195.0,43,True,,psutil,conda-forge/psutil,,333552.0,333552.0,https://pypi.org/project/psutil,64205146.0,64474059.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,23395468.0,1.0,,,,,,,,,,,,,,,,,,,
11,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-07-05 22:50:16.000,2023-07-05 18:15:22,16387.0,106.0,1373.0,197.0,3685.0,773.0,8396.0,5549.0,2023-05-22 19:00:30.000,23.5.0,100.0,432.0,43,True,,conda,conda-forge/conda,,42646.0,41554.0,https://pypi.org/project/conda,75262.0,607332.0,https://anaconda.org/conda-forge/conda,2023-06-16 13:24:13.724,44161887.0,1.0,2016-09-16 15:07:21.000,1092.0,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-07-05 14:07:48.000,2023-03-03 21:07:28,1940.0,,1278.0,216.0,515.0,446.0,569.0,25173.0,2023-03-03 21:28:29.000,4.65.0,131.0,112.0,42,True,,tqdm,conda-forge/tqdm,,527535.0,501630.0,https://pypi.org/project/tqdm,56124779.0,56374355.0,https://anaconda.org/conda-forge/tqdm,2023-06-16 13:21:11.775,21198553.0,1.0,2019-01-11 22:13:30.000,25905.0,11685.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-06-10 01:47:30.999281,2.0,4105.0,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-07-06 12:13:17.000,2023-07-02 16:04:50,1915.0,94.0,2192.0,230.0,1151.0,105.0,1716.0,16684.0,2023-05-02 21:19:16.000,1.4.3,25.0,239.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],46164.0,46164.0,https://pypi.org/project/mkdocs,1774015.0,1777095.0,https://anaconda.org/conda-forge/mkdocs,2023-06-16 13:17:08.336,268009.0,1.0,,,,,,,,,,,,,,,,,,,
14,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-07-06 11:07:36.000,2023-07-06 08:07:13,11343.0,238.0,2472.0,236.0,6369.0,2454.0,6701.0,15709.0,,,51.0,661.0,42,False,,mypy,conda-forge/mypy,,194308.0,194308.0,https://pypi.org/project/mypy,14266882.0,14352600.0,https://anaconda.org/conda-forge/mypy,2023-06-26 23:33:15.146,3171571.0,1.0,,,,,,,,,-4.0,,,,,,,,,,
15,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-07-01 21:33:30.000,2023-07-01 21:33:28,2555.0,54.0,727.0,89.0,1098.0,23.0,1770.0,10585.0,2023-06-13 23:12:35.000,3.3.3,185.0,150.0,42,True,,pre-commit,conda-forge/pre-commit,,142771.0,138232.0,https://pypi.org/project/pre-commit,9966329.0,10080384.0,https://anaconda.org/conda-forge/pre-commit,2023-06-14 13:24:44.334,3314668.0,1.0,2023-01-29 23:39:18.572,4539.0,499189.0,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-07-02 16:41:30.000,2023-07-02 16:41:29,8843.0,144.0,1884.0,234.0,2185.0,285.0,4655.0,10422.0,2023-06-24 23:23:25.000,5.13.0,54.0,454.0,42,True,,pyinstaller,conda-forge/pyinstaller,,45769.0,45480.0,https://pypi.org/project/pyinstaller,1245554.0,1267171.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-26 15:53:40.337,460499.0,1.0,2022-05-17 18:32:22.000,289.0,739677.0,,,,,,,,,,,,,,,,
17,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-07-06 13:41:05.000,2023-07-04 12:16:02,8703.0,153.0,981.0,77.0,3810.0,725.0,4285.0,4735.0,2023-05-06 16:33:40.000,2.17.4,74.0,530.0,42,True,pylint-dev/pylint,pylint,conda-forge/pylint,,370316.0,370316.0,https://pypi.org/project/pylint,13537144.0,13588546.0,https://anaconda.org/conda-forge/pylint,2023-06-16 13:23:56.946,4266433.0,1.0,,,,,,,,,,,,,,,,,,,
18,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-07-06 14:12:11.000,2023-07-06 14:07:47,3983.0,954.0,493.0,65.0,3395.0,319.0,1766.0,16068.0,2023-07-06 02:44:00.000,0.0.277,251.0,224.0,41,True,astral-sh/ruff,ruff,conda-forge/ruff,,10647.0,10002.0,https://pypi.org/project/ruff,2778237.0,2813567.0,https://anaconda.org/conda-forge/ruff,2023-07-04 02:43:28.686,246559.0,1.0,2023-07-04 21:54:02.610,645.0,31582.0,,,,,,,,,,,,,,,,
19,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-07-06 14:05:27.000,2023-07-03 10:28:04,5342.0,178.0,3021.0,117.0,2411.0,27.0,1893.0,14393.0,2023-07-03 10:30:05.391,9.1.18,325.0,218.0,41,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],34786.0,34104.0,https://pypi.org/project/mkdocs-material,2579767.0,2587033.0,https://anaconda.org/conda-forge/mkdocs-material,2023-07-03 14:23:38.883,276130.0,1.0,2022-11-08 14:44:39.000,682.0,,,,,,,,,,,,,,,,,
