,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
143,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2023-01-22 23:24:48.000,2022-08-08 11:25:05,700.0,,99.0,19.0,95.0,95.0,976.0,2022-08-08 11:29:01.059,8.4.1,116.0,48.0,27,True,48.0,pylama,,,6259.0,5651.0,https://pypi.org/project/pylama,2022-08-08 11:29:01.059,608.0,184983.0,184983.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
144,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2022-12-31 03:02:53.000,2022-12-31 03:02:53,264.0,1.0,95.0,25.0,109.0,77.0,706.0,2019-12-10 01:50:33.000,0.8.1,14.0,33.0,27,True,38.0,astor,conda-forge/astor,,2133.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,2133.0,6691031.0,6717896.0,https://anaconda.org/conda-forge/astor,2020-07-01 13:36:26.971,1907460.0,3.0,,,,,,,,,,,,,,,,,,,,
145,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,,https://github.com/executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2023-02-09 10:55:49.000,2023-02-09 08:53:43,295.0,9.0,58.0,18.0,59.0,53.0,449.0,2022-04-20 19:59:44.000,2021.03.14,15.0,24.0,27,True,21.0,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],19632.0,16965.0,https://pypi.org/project/sphinx-autobuild,2021-03-14 13:46:47.000,2667.0,400322.0,402572.0,https://anaconda.org/conda-forge/sphinx-autobuild,2021-03-14 17:15:24.297,159802.0,2.0,,,,,,,,,,,,,,,,,,,,
146,ddt,datadriventests/ddt,testing,Data-Driven Tests for Python Unittest.,,https://github.com/datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2022-11-16 17:18:02.000,2022-08-10 16:41:28,230.0,,107.0,21.0,61.0,41.0,427.0,2022-08-10 16:47:16.981,1.6.0,31.0,37.0,27,True,12.0,ddt,conda-forge/ddt,,6236.0,4913.0,https://pypi.org/project/ddt,2022-08-10 16:47:16.981,1323.0,331321.0,332439.0,https://anaconda.org/conda-forge/ddt,2022-09-22 12:35:17.572,80515.0,3.0,,,,,,,,,,,,,,,,,,,,
147,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2021-12-05 16:31:05.000,2019-12-22 18:11:19,86.0,,44.0,8.0,33.0,21.0,194.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,27,False,18.0,astunparse,conda-forge/astunparse,,67089.0,66806.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,283.0,7962468.0,7982027.0,https://anaconda.org/conda-forge/astunparse,2021-01-15 07:40:29.426,1349576.0,3.0,,,,,,,,,,,,,,,,,,,,
148,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2022-12-20 11:05:53.269,2022-12-19 16:44:44,108.0,2.0,36.0,4.0,65.0,43.0,162.0,2022-12-19 16:50:01.696,3.3.2,41.0,32.0,27,True,6.0,flake8-quotes,conda-forge/flake8-quotes,['flake8'],18199.0,17337.0,https://pypi.org/project/flake8-quotes,2022-12-19 16:50:01.696,862.0,649286.0,657895.0,https://anaconda.org/conda-forge/flake8-quotes,2022-12-20 11:05:53.269,671512.0,3.0,,,,,,,,,,,,,,,,,,,,
149,icecream,gruns/icecream,debugging,Never use print() to debug again.,,https://github.com/gruns/icecream,https://github.com/gruns/icecream,MIT,2018-02-13 18:56:12.000,2023-02-28 01:38:58.000,2022-12-04 22:09:17,262.0,,137.0,51.0,41.0,69.0,6627.0,2022-07-21 09:20:01.329,2.1.3,17.0,21.0,26,True,38.0,icecream,conda-forge/icecream,,91.0,,https://pypi.org/project/icecream,2022-07-21 09:20:01.329,91.0,252867.0,253381.0,https://anaconda.org/conda-forge/icecream,2022-07-21 16:51:26.595,11840.0,3.0,,,,,,,,,,,,,,,,,,,,
150,rebound,shobrook/rebound,logging,Command-line tool that instantly fetches Stack Overflow results when an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,MIT,2017-05-29 17:11:25.872,2023-03-01 17:01:55.758,2022-02-16 05:16:40,168.0,,383.0,77.0,41.0,38.0,3999.0,2023-03-09 14:13:09.056,3.24.0,195.0,16.0,26,False,24.0,rebound,conda-forge/rebound,,43.0,24.0,https://pypi.org/project/rebound,2022-04-25 14:15:09.000,19.0,7188.0,10756.0,https://anaconda.org/conda-forge/rebound,2023-03-01 17:01:55.758,249568.0,3.0,216.0,,,,,,,,,,,,,,,,,,,
151,memory_profiler,fabianp/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632,2022-11-16 08:09:24.242,2018-06-28 13:35:12,500.0,,362.0,5.0,1.0,,3749.0,2022-11-15 17:59:01.069,0.61.0,59.0,62.0,26,False,,memory_profiler,conda-forge/memory_profiler,,179.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,179.0,711818.0,715296.0,https://anaconda.org/conda-forge/memory_profiler,2022-11-16 08:09:24.242,285260.0,3.0,,,,,,,,,,,,,,,,,,,,
152,line_profiler,pyutils/line_profiler,profiling,Line-by-line profiling for Python.,,https://github.com/pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2023-03-06 21:28:54.000,2023-03-06 21:28:54,298.0,8.0,97.0,16.0,129.0,46.0,1691.0,2023-03-04 00:35:51.589,4.0.3,27.0,39.0,26,True,36.0,line_profiler,conda-forge/line_profiler,,60.0,,https://pypi.org/project/line_profiler,2022-12-09 15:21:59.908,60.0,319418.0,323408.0,https://anaconda.org/conda-forge/line_profiler,2022-12-09 23:55:22.319,327257.0,3.0,,,,,,,,,,,,,,,,,,,,
