,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-17 16:23:52.000,2023-08-17 16:23:51,259.0,25.0,149.0,51.0,155.0,1.0,2.0,1989.0,2023-08-17 16:23:56.000,2023.08.17,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-08-21 20:47:15.000,2023-08-21 20:47:15,197.0,30.0,19.0,11.0,112.0,2.0,8.0,402.0,2023-06-29 18:48:34.000,2023.06.29,68.0,13.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-08-24 00:26:45.000,2023-08-23 09:21:17,15269.0,235.0,2394.0,193.0,5202.0,832.0,4602.0,10520.0,2023-06-23 11:19:30.453,7.4.0,162.0,897.0,48,True,,pytest,conda-forge/pytest,['pytest'],1017526.0,1001007.0,https://pypi.org/project/pytest,2023-06-23 11:19:30.453,16519.0,71680391.0,72329236.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,22060746.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-08-22 19:40:10.000,2023-08-22 19:40:10,1626.0,66.0,2019.0,230.0,1463.0,340.0,2008.0,33340.0,2023-07-11 00:20:37.000,23.7.0,30.0,390.0,46,True,,black,conda-forge/black,,406328.0,406328.0,https://pypi.org/project/black,,,25819373.0,26033606.0,https://anaconda.org/conda-forge/black,2023-07-11 16:38:59.698,7893006.0,1.0,48189.0,,,,,,,,,,,,,,,,,,
6,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-08-24 10:40:35.000,2023-08-24 07:29:00,11443.0,224.0,2630.0,234.0,6500.0,2496.0,7097.0,16139.0,2023-08-16 16:53:18.000,1.5.1,108.0,668.0,46,True,,mypy,conda-forge/mypy,,210746.0,201850.0,https://pypi.org/project/mypy,2023-08-16 16:53:18.000,8896.0,17166688.0,17254441.0,https://anaconda.org/conda-forge/mypy,2023-08-16 20:06:43.683,3334619.0,1.0,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-08-23 18:31:42.000,2023-08-23 11:08:29,14075.0,208.0,1044.0,91.0,1428.0,570.0,1791.0,2123.0,2023-08-18 12:08:32.000,68.1.2,549.0,581.0,46,True,,setuptools,conda-forge/setuptools,,416324.0,378074.0,https://pypi.org/project/setuptools,2023-08-18 12:08:13.000,38250.0,302757730.0,305044570.0,https://anaconda.org/conda-forge/setuptools,2023-08-18 18:33:06.882,89186784.0,1.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-08-24 03:16:43.000,2023-08-23 01:18:47,8501.0,179.0,1776.0,362.0,1767.0,193.0,3821.0,24043.0,2023-08-23 01:17:43.000,2023.8.23,86.0,476.0,45,True,,pipenv,conda-forge/pipenv,,104058.0,104058.0,https://pypi.org/project/pipenv,,,10162411.0,10165575.0,https://anaconda.org/conda-forge/pipenv,2023-08-23 03:15:13.642,123426.0,1.0,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-08-24 13:12:03.000,2023-08-23 03:33:47,14003.0,179.0,2782.0,310.0,5268.0,930.0,5982.0,8909.0,,,65.0,741.0,45,True,,pip,conda-forge/pip,,149172.0,149172.0,https://pypi.org/project/pip,,,183631102.0,185869099.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,87281900.0,1.0,,,,,,,,,,,,,,,,,,,
