,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
156,wily,tonybaloney/wily,code-metrics,"A Python application for tracking, reporting on timing and complexity in Python code.",,https://github.com/tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000,2023-03-13 06:57:40.000,2023-03-13 01:30:13,821.0,17.0,56.0,26.0,88.0,30.0,59.0,1059.0,2023-02-22 04:00:16.000,1.24.1,50.0,23.0,26,True,wily,,,182.0,172.0,https://pypi.org/project/wily,2022-10-20 05:13:01.074,10.0,11705.0,11705.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
157,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2023-01-22 23:24:48.000,2022-08-08 11:25:05,700.0,,99.0,20.0,95.0,48.0,95.0,980.0,2022-08-08 11:29:01.059,8.4.1,116.0,48.0,26,True,pylama,,,6329.0,5721.0,https://pypi.org/project/pylama,2022-08-08 11:29:01.059,608.0,169226.0,169226.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
158,green,CleanCut/green,testing,"Green is a clean, colorful, fast python test runner.",,https://github.com/CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2022-10-30 14:19:59.665,2022-09-20 23:55:51,1073.0,,78.0,24.0,74.0,5.0,173.0,759.0,2022-09-21 00:00:55.818,3.4.3,145.0,38.0,26,True,green,conda-forge/green,,1197.0,986.0,https://pypi.org/project/green,2022-09-21 00:00:55.818,211.0,13843.0,15606.0,https://anaconda.org/conda-forge/green,2022-10-30 14:19:59.665,118145.0,3.0,,,,,,,,,,,,,,,,,,,,
159,sphinx-bootstrap-theme,ryan-roemer/sphinx-bootstrap-theme,documentation,Sphinx Bootstrap Theme.,,https://github.com/ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2022-02-28 16:14:56.000,2022-02-03 20:25:55,403.0,,207.0,24.0,95.0,54.0,83.0,587.0,2022-02-03 20:27:24.000,0.8.1,58.0,39.0,26,False,sphinx-bootstrap-theme,,['sphinx'],600.0,,https://pypi.org/project/sphinx-bootstrap-theme,2022-02-03 20:27:24.000,600.0,227263.0,227263.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
160,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2023-04-12 07:21:26.000,2023-04-12 07:21:26,550.0,29.0,26.0,5.0,484.0,6.0,51.0,499.0,2022-05-11 17:35:06.000,3.12.0,30.0,19.0,26,True,pytest-randomly,conda-forge/pytest-randomly,,239.0,,https://pypi.org/project/pytest-randomly,2022-05-11 17:35:06.000,239.0,719694.0,726339.0,https://anaconda.org/conda-forge/pytest-randomly,2022-05-12 01:12:32.731,119625.0,3.0,,,,,,,,,,,,,,,,,,,,
161,interrogate,econchick/interrogate,documentation,Explain yourself! Interrogate a codebase for docstring coverage.,,https://github.com/econchick/interrogate,https://github.com/econchick/interrogate,MIT,2020-04-24 02:33:25.000,2023-03-19 22:56:32.000,2022-07-29 16:12:10,178.0,,35.0,5.0,102.0,23.0,27.0,477.0,2021-09-10 23:05:20.000,1.5.0,14.0,12.0,26,True,interrogate,,,4051.0,3962.0,https://pypi.org/project/interrogate,2021-09-10 23:05:20.000,89.0,197278.0,197278.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
162,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,,https://github.com/executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2023-02-09 10:55:49.000,2023-02-09 08:53:43,295.0,1.0,58.0,19.0,59.0,21.0,53.0,456.0,2022-04-20 19:59:44.000,2021.03.14,15.0,24.0,26,True,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],20030.0,17363.0,https://pypi.org/project/sphinx-autobuild,2021-03-14 13:46:47.000,2667.0,398413.0,400757.0,https://anaconda.org/conda-forge/sphinx-autobuild,2021-03-14 17:15:24.297,168769.0,3.0,,,,,,,,,,,,,,,,,,,,
163,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2023-04-13 09:27:38.000,2023-04-13 09:27:27,521.0,34.0,20.0,7.0,446.0,2.0,51.0,418.0,2023-04-13 09:29:03.639,3.12.0,37.0,15.0,26,True,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],688.0,,https://pypi.org/project/flake8-comprehensions,2022-10-29 23:12:51.523,688.0,962346.0,971469.0,https://anaconda.org/conda-forge/flake8-comprehensions,2023-03-21 16:01:34.955,702494.0,3.0,,,,,,,,,,,,,,,,,,,,
164,mkdocs-awesome-pages-plugin,lukasgeiter/mkdocs-awesome-pages-plugin,documentation,An MkDocs plugin that simplifies configuring page titles and their order.,,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24.000,2023-04-11 20:30:35.000,2023-04-11 20:24:54,89.0,17.0,30.0,7.0,15.0,10.0,46.0,308.0,2023-04-11 20:33:48.000,2.9.0,22.0,6.0,26,True,mkdocs-awesome-pages-plugin,,['mkdocs'],2537.0,2434.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,2022-07-24 17:45:31.955,103.0,94563.0,94563.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,
165,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2023-04-10 03:02:08.000,2022-12-27 20:44:55,370.0,,11.0,5.0,251.0,16.0,30.0,298.0,2022-09-20 20:07:10.434,1.4.0,15.0,16.0,26,True,flake8-eradicate,conda-forge/flake8-eradicate,['flake8'],15994.0,15901.0,https://pypi.org/project/flake8-eradicate,2022-09-20 20:07:10.434,93.0,545229.0,545544.0,https://anaconda.org/conda-forge/flake8-eradicate,2022-09-26 17:26:04.280,7569.0,3.0,,,,,,,,,,,,,,,,,,,,
