,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
102,pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,,py.test fixture for benchmarking code.,testing,26,True,ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2020-11-02 10:37:20.000,2020-11-02 10:37:12.000,62.0,697.0,2020-01-10 10:25:10.000,3.2.3,39.0,29.0,conda-forge/pytest-benchmark,['pytest'],pytest-benchmark,62.0,74.0,953.0,2232.0,1502.0,https://pypi.org/project/pytest-benchmark,2020-01-10 10:25:10.000,730.0,110856.0,116615.0,https://anaconda.org/conda-forge/pytest-benchmark,2020-03-24 11:45:49.727,334076.0,3.0,,,,,,,,,,,
103,green,https://github.com/CleanCut/green,,"Green is a clean, colorful, fast python test runner.",testing,26,True,CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2020-12-14 17:20:18.000,2020-12-14 17:20:18.000,73.0,683.0,2020-11-23 18:43:18.000,3.2.5,139.0,37.0,conda-forge/green,,green,12.0,158.0,1036.0,906.0,548.0,https://pypi.org/project/green,2020-11-23 18:43:18.000,358.0,7844.0,9430.0,https://anaconda.org/conda-forge/green,2020-11-12 18:09:27.157,63440.0,3.0,,,,,,,,,,,
104,pytest-sugar,https://github.com/Teemu/pytest-sugar,,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",testing,26,True,Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2020-10-24 19:01:48.000,2020-10-24 18:04:51.000,48.0,663.0,2020-04-26 13:34:09.000,0.9.3,24.0,38.0,conda-forge/pytest-sugar,['pytest'],pytest-sugar,35.0,68.0,344.0,11191.0,6611.0,https://pypi.org/project/pytest-sugar,2020-04-26 13:34:09.000,4580.0,200419.0,202535.0,https://anaconda.org/conda-forge/pytest-sugar,2020-09-18 13:41:24.029,86758.0,3.0,,,,,,,,,,,
105,pdbpp,https://github.com/pdbpp/pdbpp,,"pdb++, a drop-in replacement for pdb (the Python debugger).",debugging,26,True,pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2020-12-30 21:40:44.000,2020-11-22 13:22:19.000,36.0,654.0,2019-04-18 20:10:18.000,0.10.2,25.0,39.0,conda-forge/pdbpp,,pdbpp,50.0,105.0,682.0,2810.0,1854.0,https://pypi.org/project/pdbpp,2019-10-04 12:04:09.000,956.0,65179.0,66378.0,https://anaconda.org/conda-forge/pdbpp,2019-05-07 20:32:36.208,49161.0,2.0,,,,,,,,,,,
106,sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,,Sphinx Bootstrap Theme.,documentation,26,False,ryan-roemer/sphinx-bootstrap-theme,https://github.com/ryan-roemer/sphinx-bootstrap-theme,MIT,2011-12-07 14:53:00.000,2021-01-13 12:56:13.000,2019-09-25 19:17:09.000,180.0,575.0,2019-03-29 17:36:17.000,0.7.0,55.0,37.0,,['sphinx'],sphinx-bootstrap-theme,47.0,78.0,393.0,2648.0,1876.0,https://pypi.org/project/sphinx-bootstrap-theme,2019-03-29 17:36:17.000,772.0,22113.0,22113.0,,,,2.0,,1.0,,,,,,,,,
107,PyHamcrest,https://github.com/hamcrest/PyHamcrest,,Hamcrest matchers for Python.,testing,26,True,hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000,2020-10-30 10:46:27.000,2020-10-23 23:38:43.000,79.0,516.0,2020-03-02 14:42:32.000,2.0.2,22.0,34.0,conda-forge/pyhamcrest,,pyhamcrest,10.0,40.0,531.0,3392.0,,https://pypi.org/project/pyhamcrest,2020-03-02 14:42:32.000,3392.0,1402502.0,1408132.0,https://anaconda.org/conda-forge/pyhamcrest,2020-03-02 15:36:14.195,315284.0,3.0,,,,,,,,,,,
108,buildout,https://github.com/buildout/buildout,,Buildout is a deployment automation tool written in and extended with Python.,build-tools,26,False,buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2020-10-13 15:54:16.000,2020-10-13 15:54:13.000,170.0,501.0,2020-02-11 15:14:12.000,2.13.3,100.0,87.0,,,zc.buildout,138.0,184.0,1574.0,1974.0,,https://pypi.org/project/zc.buildout,2020-05-25 08:46:02.000,1974.0,85938.0,85938.0,,,,3.0,,,,,,,,,,,
109,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,26,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000,2021-01-06 20:13:32.270,2021-01-01 01:11:36.000,80.0,473.0,2021-01-01 01:16:23.000,2020.12.31,18.0,47.0,conda-forge/nox,['pytest'],nox,50.0,139.0,340.0,477.0,421.0,https://pypi.org/project/nox,2021-01-01 01:16:23.000,56.0,210900.0,211485.0,https://anaconda.org/conda-forge/nox,2021-01-06 20:13:32.270,15802.0,3.0,,,,,,,,,,,
110,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,26,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2020-12-21 10:53:12.000,2020-10-12 20:32:13.000,60.0,299.0,2020-06-21 06:33:28.000,1.11.1,28.0,27.0,conda-forge/sphinx-autodoc-typehints,['sphinx'],sphinx-autodoc-typehints,39.0,66.0,157.0,1380.0,,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,80999.0,84151.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2020-10-12 21:34:27.077,119800.0,2.0,,,,,,,,,,,
111,sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,documentation,26,True,executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2020-12-18 12:21:01.000,2020-11-05 11:21:34.000,48.0,298.0,2017-07-05 10:52:34.000,0.7.1,13.0,17.0,conda-forge/sphinx-autobuild,['sphinx'],sphinx-autobuild,10.0,44.0,276.0,4682.0,,https://pypi.org/project/sphinx-autobuild,2017-07-05 10:52:34.000,4682.0,105085.0,105901.0,https://anaconda.org/conda-forge/sphinx-autobuild,2020-12-16 17:57:16.464,36734.0,2.0,,,,,,,,,,,
