,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-01-26 15:50:30.000,2023-01-26 15:50:30,5872.0,29.0,1302.0,240.0,598.0,1372.0,9046.0,2022-11-07 18:47:02.742,5.9.4,88.0,192.0,44,True,246.0,psutil,conda-forge/psutil,,268002.0,251973.0,https://pypi.org/project/psutil,2022-11-07 18:47:02.742,16029.0,62609343.0,62838202.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,18766477.0,1.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-02-01 12:46:18.000,2023-01-31 22:10:48,19891.0,147.0,1840.0,142.0,4806.0,5256.0,5164.0,2023-01-10 18:23:33.461,6.1.3,181.0,769.0,43,True,1148.0,sphinx,conda-forge/sphinx,['sphinx'],309025.0,249076.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59949.0,11616211.0,11704765.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,6907284.0,1.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-01-30 20:55:36.000,2023-01-28 10:18:54,3667.0,98.0,1485.0,541.0,897.0,947.0,41859.0,2023-01-28 10:20:56.000,13.3.1,177.0,207.0,42,True,100.0,rich,conda-forge/rich,,52674.0,50415.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2259.0,19076706.0,19169012.0,https://anaconda.org/conda-forge/rich,2023-01-28 15:47:15.799,2861504.0,1.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-02-01 23:49:58.000,2022-09-03 10:56:22,1928.0,,1216.0,208.0,500.0,560.0,23899.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,411.0,tqdm,conda-forge/tqdm,,407805.0,385106.0,https://pypi.org/project/tqdm,2022-09-03 11:12:53.661,22699.0,48044793.0,48255963.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,16879479.0,1.0,10576.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4066.0,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-02-02 13:14:21.000,2023-02-02 13:11:03,4971.0,347.0,2770.0,109.0,2178.0,1711.0,12610.0,2023-02-02 13:14:01.520,9.0.10,301.0,188.0,42,True,21.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],21327.0,21265.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,62.0,1892938.0,1897402.0,https://anaconda.org/conda-forge/mkdocs-material,2023-01-31 05:25:20.211,200922.0,1.0,,,,,,,,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-02-01 20:52:38.000,2023-01-29 18:54:04,8650.0,112.0,1856.0,234.0,2104.0,4495.0,9989.0,2022-12-04 15:08:42.000,5.7.0,47.0,446.0,42,True,274.0,pyinstaller,conda-forge/pyinstaller,,35273.0,35080.0,https://pypi.org/project/pyinstaller,2022-12-04 15:03:02.559,193.0,915481.0,927001.0,https://anaconda.org/conda-forge/pyinstaller,2022-12-13 12:32:51.658,396294.0,1.0,734963.0,,,,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-02-02 14:04:03.000,2023-02-02 14:04:03,8276.0,308.0,964.0,74.0,3425.0,4077.0,4466.0,2023-02-01 11:48:17.408,2.16.0,164.0,510.0,42,True,698.0,pylint,conda-forge/pylint,,326384.0,305019.0,https://pypi.org/project/pylint,2023-01-22 14:41:49.833,21365.0,13141927.0,13188644.0,https://anaconda.org/conda-forge/pylint,2023-01-09 20:11:48.899,3643953.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
17,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-02-02 11:59:25.632,2023-02-01 23:21:18,2427.0,128.0,701.0,87.0,1029.0,1660.0,9665.0,2023-02-01 23:27:22.000,3.0.3,175.0,147.0,41,True,25.0,pre-commit,conda-forge/pre-commit,,77398.0,73801.0,https://pypi.org/project/pre-commit,2023-01-29 23:39:18.572,3597.0,8133194.0,8195028.0,https://anaconda.org/conda-forge/pre-commit,2023-02-02 11:59:25.632,2411014.0,1.0,287913.0,,,,,,1.0,,,,,,,,,,,,,
18,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-02-01 17:53:40.000,2023-01-18 17:34:13,13820.0,50.0,2070.0,477.0,620.0,3767.0,7736.0,2023-01-09 21:14:31.299,6.0.2,97.0,172.0,41,True,284.0,robotframework,conda-forge/robotframework,,7766.0,6718.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1048.0,1560079.0,1561888.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,110058.0,1.0,539.0,,,,,,,,,,,,,,,,,,,
19,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-02-02 13:09:03.094,2023-02-02 11:20:08,12693.0,188.0,547.0,67.0,2205.0,1309.0,6495.0,2023-02-02 11:22:06.362,6.66.0,1019.0,301.0,41,True,52.0,hypothesis,conda-forge/hypothesis,,17900.0,15914.0,https://pypi.org/project/hypothesis,2023-01-27 10:10:58.628,1986.0,4263754.0,4353508.0,https://anaconda.org/conda-forge/hypothesis,2023-02-02 13:09:03.094,7090634.0,1.0,,,,,,,,,,,,,,,,,,,,
