,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-27 15:57:42.000,2023-02-27 15:57:40,207.0,23.0,138.0,51.0,128.0,2.0,1818.0,2023-02-27 15:57:53.000,2023.02.23,78.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-02-24 10:38:52.000,2023-02-24 10:38:52,143.0,12.0,6.0,5.0,64.0,2.0,147.0,2023-02-24 10:39:00.000,2023.02.23,49.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-03-01 14:05:48.000,2023-02-28 15:42:33,14883.0,70.0,2252.0,194.0,4943.0,4396.0,9851.0,2023-01-14 12:19:00.550,7.2.1,157.0,857.0,47,True,839.0,pytest,conda-forge/pytest,['pytest'],845316.0,834770.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,10546.0,58349697.0,58583123.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,18674097.0,1.0,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-03-02 13:26:31.000,2023-03-02 12:22:58,11019.0,207.0,2444.0,228.0,6002.0,6420.0,14932.0,2023-02-17 15:56:18.931,1.0.1,100.0,632.0,46,True,2429.0,mypy,conda-forge/mypy,,181577.0,173847.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,7730.0,14206600.0,14248674.0,https://anaconda.org/conda-forge/mypy,2023-02-17 23:18:52.061,2692740.0,1.0,,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-02-28 14:24:03.000,2023-02-28 00:33:06,13598.0,146.0,2849.0,308.0,5114.0,5784.0,8581.0,2023-02-17 18:32:12.376,23.0.1,129.0,717.0,46,True,984.0,pip,conda-forge/pip,,135412.0,124525.0,https://pypi.org/project/pip,2023-01-30 23:12:06.885,10887.0,159485877.0,160338642.0,https://anaconda.org/conda-forge/pip,2023-02-17 21:52:31.556,68221272.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-03-01 05:12:29.000,2023-02-27 14:38:02,1519.0,62.0,1995.0,229.0,1343.0,1854.0,31503.0,2023-02-01 02:55:25.167,23.1.0,45.0,360.0,45,True,364.0,black,conda-forge/black,,351037.0,342878.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,8159.0,19801907.0,19912651.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6390500.0,1.0,27058.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-02-27 20:53:29.000,2023-02-23 00:20:11,13691.0,226.0,990.0,90.0,1361.0,1721.0,1955.0,2023-02-21 19:51:49.147,67.4.0,538.0,560.0,45,True,552.0,setuptools,conda-forge/setuptools,,322009.0,284071.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37938.0,275425251.0,276311633.0,https://anaconda.org/conda-forge/setuptools,2023-02-22 13:45:34.982,70910560.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-03-01 13:34:40.000,2023-03-01 09:26:36,8243.0,119.0,1813.0,361.0,1656.0,3713.0,23653.0,2023-02-18 22:13:37.000,2023.2.18,350.0,459.0,44,True,242.0,pipenv,conda-forge/pipenv,,67033.0,65782.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1251.0,6439864.0,6442071.0,https://anaconda.org/conda-forge/pipenv,2023-02-19 01:01:30.542,90499.0,1.0,,,,,,,,,,,,,,,,,,,,
