,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-04 14:23:16.000,2021-01-28 16:44:42.000,58.0,2.0,989.0,2021-01-28 16:45:07.000,2021.01.28,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-02-04 13:02:03.000,2021-02-04 13:02:02.000,1615.0,3770.0,6985.0,2021-01-25 14:52:06.000,6.2.2,145.0,694.0,conda-forge/pytest,['pytest'],pytest,615.0,13380.0,411050.0,280466.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,9598132.0,9714905.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,6422562.0,1.0,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-02-04 11:26:36.000,2021-02-04 11:26:35.000,2169.0,4548.0,6896.0,2021-01-30 12:54:11.000,21.0.1,102.0,581.0,conda-forge/pip,,pip,945.0,11319.0,60867.0,42201.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,39747368.0,40055588.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,16952101.0,1.0,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-02-04 13:35:57.000,2021-02-04 13:35:29.000,1410.0,4459.0,3776.0,2021-01-07 16:17:19.000,3.4.3,141.0,614.0,conda-forge/sphinx,['sphinx'],sphinx,738.0,16914.0,231824.0,127288.0,https://pypi.org/project/sphinx,2021-01-07 16:17:19.000,104536.0,1711334.0,1760311.0,https://anaconda.org/conda-forge/sphinx,2021-01-07 17:29:49.988,2644765.0,1.0,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-02-04 14:18:15.000,2021-02-04 14:18:14.000,1583.0,2853.0,21511.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,,pipenv,484.0,7035.0,18572.0,16298.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1234447.0,1236688.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,35870.0,1.0,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-01-31 02:44:58.000,2021-01-11 00:53:22.000,891.0,491.0,17304.0,2021-01-11 01:27:55.000,4.56.0,111.0,94.0,conda-forge/tqdm,,tqdm,279.0,1733.0,171648.0,145410.0,https://pypi.org/project/tqdm,2021-01-11 00:58:53.000,26238.0,7184377.0,7273508.0,https://anaconda.org/conda-forge/tqdm,2021-01-12 02:41:41.554,4984746.0,1.0,7468.0,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-01-15 17:44:38.000,2021-01-08 18:10:08.000,1082.0,1269.0,7028.0,2020-12-19 01:19:27.000,5.8.0,83.0,156.0,conda-forge/psutil,,psutil,164.0,5672.0,97525.0,72859.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,12159504.0,12256412.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5620674.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-31 23:41:41.000,2021-01-31 23:41:40.000,424.0,1191.0,4746.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,,jedi,16.0,8198.0,128979.0,113073.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,6888681.0,6964272.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,3930770.0,1.0,,,,,,,,,,
