,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
124,memory-profiler,pythonprofilers/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000,2025-04-22 14:56:23.864,2024-04-16 15:33:52,719.0,,380.0,82.0,166.0,117.0,4536.0,2022-11-15 17:59:01.069,0.61.0,59.0,105.0,136.0,29,False,,memory_profiler,conda-forge/memory_profiler,464.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,464.0,5320335.0,5385730.0,https://anaconda.org/conda-forge/memory_profiler,2025-04-22 14:56:23.864,3923717.0,3.0,,,,,,,,,,,,,,,,,,,,
125,detect-secrets,Yelp/detect-secrets,security,An enterprise friendly way of detecting and preventing secrets in code.,,https://github.com/Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000,2025-03-13 15:39:41.000,2025-01-06 20:58:21,1449.0,,514.0,47.0,596.0,246.0,4274.0,2024-05-06 18:05:06.000,1.5.0,38.0,85.0,125.0,29,True,,detect-secrets,,95.0,,https://pypi.org/project/detect-secrets,2024-05-06 17:46:16.000,95.0,1602609.0,1602609.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
126,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2025-10-13 17:32:55.000,2025-08-05 11:29:51,546.0,1.0,107.0,29.0,370.0,69.0,2722.0,2025-05-17 15:59:40.000,1.3.6,34.0,27.0,39.0,29,True,,notifiers,conda-forge/notifiers,1413.0,1376.0,https://pypi.org/project/notifiers,2025-05-17 15:58:56.000,37.0,536143.0,537177.0,https://anaconda.org/conda-forge/notifiers,2025-05-20 18:12:25.759,59991.0,3.0,,,,,,,,,,,,,,,,,,,,
127,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2025-04-22 14:56:42.827,2024-10-20 09:52:52,549.0,,127.0,33.0,99.0,146.0,1891.0,2023-03-26 06:25:00.948,6.0.1,56.0,60.0,41.0,29,True,,radon,conda-forge/radon,7143.0,6926.0,https://pypi.org/project/radon,2023-03-26 06:25:00.948,217.0,2210733.0,2212427.0,https://anaconda.org/conda-forge/radon,2025-04-22 14:56:42.827,105042.0,2.0,,,,,,,,,,,,,,,,,,,,
128,pytest-benchmark,ionelmc/pytest-benchmark,testing,pytest fixture for benchmarking code.,,https://github.com/ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2025-08-05 15:09:18.000,2025-08-05 15:09:09,1059.0,5.0,120.0,18.0,86.0,91.0,1381.0,2024-10-30 11:51:45.000,5.1.0,46.0,49.0,114.0,29,True,,pytest-benchmark,conda-forge/pytest-benchmark,915.0,,https://pypi.org/project/pytest-benchmark,2024-10-30 11:51:45.000,915.0,4839094.0,4888467.0,https://anaconda.org/conda-forge/pytest-benchmark,2025-04-22 14:56:21.335,2666153.0,3.0,['pytest'],,,,,,,,,,,,,,,,,,,
129,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2025-10-07 10:08:09.000,2025-10-07 10:08:08,715.0,17.0,33.0,2.0,623.0,66.0,679.0,2025-09-12 15:22:58.000,4.0.1,36.0,20.0,8.0,29,True,,pytest-randomly,conda-forge/pytest-randomly,11648.0,10879.0,https://pypi.org/project/pytest-randomly,2025-09-12 15:22:58.000,769.0,4007245.0,4014403.0,https://anaconda.org/conda-forge/pytest-randomly,2025-04-22 14:58:02.951,343613.0,3.0,,,-1.0,,,,,,,,,,,,,,,,,
130,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2025-09-24 17:00:06.000,2025-09-24 17:00:00,2038.0,38.0,176.0,49.0,328.0,275.0,594.0,2025-06-11 15:54:50.000,4.1.12,148.0,100.0,120.0,29,False,,zc.buildout,conda-forge/zc.buildout,119.0,,https://pypi.org/project/zc.buildout,2025-09-24 16:59:53.000,119.0,65147.0,66778.0,https://anaconda.org/conda-forge/zc.buildout,2025-04-22 14:58:01.521,79953.0,3.0,,,,,,,,,,,,,,,,,,,,
131,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2025-05-06 21:53:54.000,2025-05-06 21:53:53,286.0,,253.0,13.0,146.0,83.0,525.0,2025-05-05 20:43:43.000,0.15.1,31.0,37.0,21.0,29,False,,pep8-naming,conda-forge/pep8-naming,59298.0,58462.0,https://pypi.org/project/pep8-naming,2025-05-05 20:43:11.000,836.0,2148344.0,2156246.0,https://anaconda.org/conda-forge/pep8-naming,2025-05-06 21:46:36.863,497847.0,2.0,,,,,,,,,,,,,,,,,,,,
132,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,,2013-07-24 16:23:39.000,2025-10-10 15:47:02.000,2025-10-10 15:47:02,687.0,6.0,167.0,30.0,393.0,154.0,336.0,2025-06-24 12:28:53.000,1.9.0,34.0,91.0,127.0,29,False,,numpydoc,conda-forge/numpydoc,3177.0,,https://pypi.org/project/numpydoc,2025-06-24 12:22:53.000,3177.0,1344288.0,1402117.0,https://anaconda.org/conda-forge/numpydoc,2025-06-25 14:22:41.569,3758916.0,3.0,['sphinx'],,,,,,,,,,,,,,,,,,,
133,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2024-06-29 14:21:40.000,2023-11-01 17:50:44,3337.0,,599.0,86.0,534.0,170.0,1761.0,2016-11-25 22:13:29.000,4.0.515,36.0,388.0,123.0,28,False,,diamond,,214.0,208.0,https://pypi.org/project/diamond,2016-11-25 22:13:29.000,6.0,5387.0,5387.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
