,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,dockerhub_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-28 14:19:32.000000,2021-09-01 14:02:18.000000,91.0,2.0,1354.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-10-24 02:25:40.000000,2021-09-20 16:15:31.000000,1021.0,531.0,19867.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,314.0,tqdm,conda-forge/tqdm,tqdm/tqdm,1889.0,7928.0,27091202.0,243904.0,217666.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,26961428.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8294549.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-23 01:43:43.844124,2.0,3930.0,1.0,,,,,,,,,,
4,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-10-28 01:55:03.000000,2021-10-26 18:40:25.000000,1835.0,1488.0,13056.0,2021-10-12 21:59:03.000000,1.2.3,48.0,201.0,111.0,mkdocs,conda-forge/mkdocs,,1599.0,,797640.0,21769.0,15827.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,795291.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,155093.0,,,,,1.0,['mkdocs'],,,,,,,,,
5,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-10-28 08:55:12.000000,2021-10-28 08:31:52.000000,1818.0,3984.0,7877.0,2021-08-30 17:39:28.000000,6.2.5,148.0,752.0,714.0,pytest,conda-forge/pytest,,,,32034914.0,521705.0,391121.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,31876529.0,https://anaconda.org/conda-forge/pytest,2021-08-31 02:25:39.479000,9978302.0,,,,,1.0,['pytest'],,,,,,,,,
6,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,36,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-10-28 13:09:33.000000,2021-10-27 16:59:49.000000,1571.0,4789.0,4205.0,2021-09-12 07:53:38.000000,4.2.0,156.0,687.0,877.0,sphinx,conda-forge/sphinx,,18341.0,,67515.0,268458.0,163922.0,https://pypi.org/project/sphinx,2021-09-12 07:53:38.000000,104536.0,,https://anaconda.org/conda-forge/sphinx,2021-09-12 10:18:31.683000,4185986.0,,,,,1.0,['sphinx'],,,,,,,,,
7,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-10-09 13:20:59.000000,2021-10-09 13:20:59.000000,441.0,1225.0,4996.0,2020-12-25 10:34:25.000000,0.18.0,30.0,146.0,35.0,jedi,conda-forge/jedi,,8227.0,,23410910.0,173938.0,158032.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,23301222.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,6581289.0,,,,,1.0,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-10-18 13:58:26.000000,2021-10-11 16:52:26.000000,385.0,1132.0,2458.0,2021-10-07 07:28:06.000000,4.0.0a9,124.0,251.0,134.0,tox,conda-forge/tox,,2052.0,,3926183.0,86376.0,49976.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,3918630.0,https://anaconda.org/conda-forge/tox,2021-09-17 16:40:15.484000,370135.0,,,,,1.0,['pytest'],,,,,,,,,
9,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,34,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-10-26 21:26:52.000000,2021-10-25 23:04:48.000000,1149.0,1304.0,7772.0,2020-12-19 01:19:27.000000,5.8.0,83.0,170.0,203.0,psutil,conda-forge/psutil,,5721.0,,129912.0,139847.0,115181.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,8574235.0,,,,,1.0,,,,,,,,,,
