,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
89,flake8-bugbear,PyCQA/flake8-bugbear,linters,A plugin for Flake8 finding likely bugs and design problems in your program. Contains warnings that dont belong in..,,https://github.com/PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,MIT,2016-03-15 20:54:43.000,2022-05-02 13:57:53.000,2022-05-02 13:57:53,214.0,20.0,60.0,8.0,124.0,94.0,728.0,2022-04-25 14:31:59.000,22.4.25,42.0,54.0,40.0,30,True,flake8-bugbear,conda-forge/flake8-bugbear,['flake8'],9038.0,8121.0,https://pypi.org/project/flake8-bugbear,2022-04-25 14:31:59.000,917.0,1391974.0,1409109.0,https://anaconda.org/conda-forge/flake8-bugbear,2022-04-26 19:18:58.597,565465.0,2.0,,,,,,,,,,,,,,,,,,,,
90,alabaster,bitprophet/alabaster,documentation,"Lightweight, configurable Sphinx theme. Now the Sphinx default!.",,https://github.com/bitprophet/alabaster,https://github.com/bitprophet/alabaster,BSD-3-Clause,2013-12-07 00:03:15.000,2022-01-20 22:19:06.000,2021-09-24 20:53:41,351.0,,177.0,20.0,78.0,54.0,640.0,2018-10-03 01:39:17.000,0.7.12,25.0,28.0,85.0,30,True,alabaster,conda-forge/alabaster,['sphinx'],70790.0,63127.0,https://pypi.org/project/alabaster,2018-10-03 01:39:17.000,7663.0,4822473.0,4878252.0,https://anaconda.org/conda-forge/alabaster,2018-10-03 15:29:30.017,3904599.0,2.0,,,,,,,,,,,,,,,,,,,,
91,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000,2022-04-11 22:50:14.000,2022-03-28 20:52:15,582.0,10.0,93.0,21.0,135.0,51.0,622.0,2021-12-12 20:12:38.000,2.0.3,23.0,38.0,19.0,30,True,pyhamcrest,conda-forge/pyhamcrest,,1812.0,,https://pypi.org/project/pyhamcrest,2021-12-12 20:12:38.000,1812.0,1077031.0,1082466.0,https://anaconda.org/conda-forge/pyhamcrest,2021-12-13 10:31:09.148,391325.0,2.0,,,,,,,,,,,,,,,,,,,,
92,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2022-04-07 19:19:38.000,2022-04-07 19:13:16,1669.0,19.0,172.0,54.0,264.0,221.0,534.0,2021-11-25 21:08:56.000,2.13.6,119.0,90.0,134.0,30,False,zc.buildout,conda-forge/zc.buildout,,1067.0,,https://pypi.org/project/zc.buildout,2022-04-07 19:12:49.000,1067.0,90849.0,91511.0,https://anaconda.org/conda-forge/zc.buildout,2022-03-31 09:12:41.632,5300.0,3.0,,,,,,,,,,,,,,,,,,,,
93,parso,davidhalter/parso,linters,A Python Parser.,,https://github.com/davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000,2022-02-14 23:25:40.000,2022-02-14 23:25:40,1098.0,2.0,83.0,19.0,100.0,97.0,492.0,2021-11-30 21:05:47.000,0.8.3,26.0,44.0,7.0,30,True,parso,conda-forge/parso,,200344.0,194441.0,https://pypi.org/project/parso,2021-11-30 21:05:47.000,5903.0,14280909.0,14419229.0,https://anaconda.org/conda-forge/parso,2021-12-01 05:04:36.494,7330968.0,2.0,,,,,,,,,,,,-2.0,,,,,,,,
94,pytest-html,pytest-dev/pytest-html,testing,Plugin for generating HTML reports for pytest results.,,https://github.com/pytest-dev/pytest-html,https://github.com/pytest-dev/pytest-html,MPL-2.0,2015-04-14 19:22:42.000,2022-05-02 20:47:28.000,2022-04-21 23:06:03,384.0,2.0,181.0,20.0,231.0,185.0,487.0,2020-12-13 15:24:58.000,3.1.1,44.0,43.0,103.0,30,True,pytest-html,conda-forge/pytest-html,['pytest'],20997.0,20326.0,https://pypi.org/project/pytest-html,2020-12-13 15:24:58.000,671.0,2014703.0,2018460.0,https://anaconda.org/conda-forge/pytest-html,2020-12-13 19:43:13.698,225477.0,2.0,,,,,,,,,,,,,,,,,,,,
95,mccabe,PyCQA/mccabe,code-metrics,McCabe complexity checker for Python.,,https://github.com/PyCQA/mccabe,https://github.com/PyCQA/mccabe,Saxpath,2013-02-20 22:19:04.000,2022-03-20 10:23:22.000,2022-01-24 01:11:19,143.0,,44.0,15.0,54.0,36.0,476.0,2022-01-24 01:14:49.000,0.7.0,13.0,21.0,8.0,30,True,mccabe,conda-forge/mccabe,,281054.0,265214.0,https://pypi.org/project/mccabe,2022-01-24 01:14:49.000,15840.0,21910278.0,21971915.0,https://anaconda.org/conda-forge/mccabe,2022-01-24 18:42:20.668,4376283.0,2.0,,,,,,,,,,,,,,,,,,,,
96,coveralls-python,TheKevJames/coveralls-python,testing,Show coverage stats online via coveralls.io.,,https://github.com/TheKevJames/coveralls-python,https://github.com/TheKevJames/coveralls-python,MIT,2013-02-06 20:48:39.000,2022-03-15 15:18:24.000,2022-03-15 15:18:23,447.0,3.0,185.0,6.0,194.0,144.0,468.0,2021-11-11 21:00:03.000,3.3.1,42.0,63.0,6.0,30,True,coveralls,conda-forge/coveralls,['pytest'],30706.0,21554.0,https://pypi.org/project/coveralls,2021-11-11 21:00:03.000,9152.0,584559.0,594882.0,https://anaconda.org/conda-forge/coveralls,2021-11-12 20:59:06.844,660674.0,2.0,,,,,,,,,,,,,,,,,,,,
97,typed_ast,python/typed_ast,ast,Modified fork of CPythons ast module that parses `# type:` comments.,,https://github.com/python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2022-04-30 05:49:00.000,2022-04-30 05:49:00,197.0,3.0,52.0,18.0,100.0,84.0,208.0,2022-04-16 00:30:25.000,1.5.3,33.0,25.0,3.0,30,True,typed_ast,conda-forge/typed-ast,,5483.0,,https://pypi.org/project/typed_ast,2022-04-16 00:30:25.000,5483.0,12386987.0,12465697.0,https://anaconda.org/conda-forge/typed-ast,2022-04-17 18:24:59.999,4329077.0,1.0,,,,,,,,,,,,1.0,,,,,,,,
98,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2022-05-05 10:48:27.000,2022-05-03 00:25:18,438.0,3.0,306.0,105.0,244.0,167.0,8423.0,2021-11-13 01:56:30.544,0.3.11,35.0,29.0,83.0,29,True,py-spy,conda-forge/py-spy,,39.0,,https://pypi.org/project/py-spy,2022-05-03 04:24:35.000,38.0,762667.0,773644.3333333334,https://anaconda.org/conda-forge/py-spy,2021-12-18 07:06:29.610,304631.0,2.0,8488.0,,,,,,,,,,,,py-spy,https://crates.io/crates/py-spy,2021-11-13 01:56:30.544,1.0,902.3333333333334,398219.0,,
99,line_profiler,pyutils/line_profiler,profiling,Line-by-line profiling for Python.,,https://github.com/pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2022-04-28 15:52:46.000,2022-04-15 14:41:46,206.0,25.0,250.0,13.0,87.0,31.0,3527.0,2022-04-01 07:23:08.000,3.5.1,9.0,31.0,26.0,29,True,line_profiler,conda-forge/line_profiler,,353.0,,https://pypi.org/project/line_profiler,2017-12-20 02:30:37.000,353.0,127213.0,130525.0,https://anaconda.org/conda-forge/line_profiler,2022-03-22 11:06:35.902,238525.0,2.0,,,,,,,,,,,,,,,,,,,,
100,alive-progress,rsalmei/alive-progress,logging,"A new kind of Progress Bar, with real-time throughput, ETA, and very cool animations!.",,https://github.com/rsalmei/alive-progress,https://github.com/rsalmei/alive-progress,MIT,2019-08-05 05:54:30.000,2022-04-01 20:03:22.000,2022-04-01 19:55:29,587.0,58.0,139.0,40.0,36.0,106.0,3390.0,2022-04-01 19:56:01.000,2.4.1,26.0,5.0,19.0,29,True,alive-progress,conda-forge/alive-progress,,895.0,814.0,https://pypi.org/project/alive-progress,2022-04-01 19:56:01.000,81.0,56007.0,56512.0,https://anaconda.org/conda-forge/alive-progress,2021-01-08 03:33:35.990,13637.0,3.0,,,,,,,,,,,,,,,,,,,,
