,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2023-01-19 13:19:00.000,2023-01-19 12:50:56,1612.0,61.0,339.0,59.0,1031.0,625.0,1408.0,2023-01-12 15:40:00.668,1.13.0,171.0,159.0,39,True,202.0,sentry-sdk,conda-forge/sentry-sdk,,28031.0,28031.0,https://pypi.org/project/sentry-sdk,2022-10-21 14:39:28.000,16362650.0,16369134.0,https://anaconda.org/conda-forge/sentry-sdk,2023-01-12 19:57:04.311,319835.0,1.0,,3794.0,,,,,,,,,,,,,,,,,,,
29,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2023-01-05 10:21:31.000,2022-12-13 06:27:57,1353.0,26.0,671.0,119.0,449.0,591.0,4753.0,2022-11-23 18:29:05.901,2.10.0,16.0,131.0,38,True,116.0,pycodestyle,conda-forge/pycodestyle,,303352.0,291991.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,25800260.0,25871418.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,5621536.0,1.0,11361.0,,,,,,,,,,,,,,,,,,,,
30,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-01-18 21:19:17.000,2023-01-18 19:14:31,1442.0,20.0,1701.0,161.0,653.0,582.0,4279.0,2022-11-04 19:24:09.941,1.1.1,40.0,113.0,38,True,218.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],6054.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2022-10-13 20:24:36.386,3697265.0,3736877.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2022-12-12 17:56:57.173,3050163.0,2.0,6038.0,,,,,,,,,,,,,,,,,,,,
31,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2023-01-19 11:11:14.000,2023-01-17 21:48:25,631.0,49.0,212.0,25.0,365.0,239.0,455.0,2023-01-08 18:19:14.000,23.0,41.0,85.0,38,True,73.0,packaging,conda-forge/packaging,,582565.0,565063.0,https://pypi.org/project/packaging,2021-11-18 00:39:10.000,129904714.0,130218696.0,https://anaconda.org/conda-forge/packaging,2023-01-12 00:11:49.688,24803330.0,1.0,17502.0,656.0,,,,,,,,,,,,,,,,,,,
32,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2023-01-17 20:09:23.663,2023-01-17 07:12:51,4566.0,111.0,1354.0,493.0,584.0,1355.0,22112.0,2023-01-14 15:00:47.000,3.3.1,92.0,168.0,37,True,244.0,glances,conda-forge/glances,,621.0,571.0,https://pypi.org/project/glances,2022-05-26 08:29:00.000,253505.0,255726.0,https://anaconda.org/conda-forge/glances,2023-01-17 20:09:23.663,181399.0,1.0,50.0,850.0,,,,,,,,,,,,,,,,,,,
33,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-01-19 13:37:26.542,2023-01-18 18:14:02,10368.0,399.0,437.0,131.0,282.0,1454.0,8133.0,2023-01-11 11:08:03.758,1.3.7,233.0,129.0,37,True,227.0,nuitka,conda-forge/nuitka,,862.0,825.0,https://pypi.org/project/nuitka,2022-06-30 07:52:49.000,52188.0,57593.0,https://anaconda.org/conda-forge/nuitka,2023-01-19 13:37:26.542,437848.0,2.0,37.0,,2.0,,,,,,,,,,,,,,,,,,
34,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-01-19 14:19:53.000,2022-12-28 17:10:08,1858.0,69.0,557.0,104.0,870.0,787.0,6557.0,2022-12-17 18:13:03.703,6.12.1,109.0,187.0,37,True,124.0,pip-tools,conda-forge/pip-tools,,1867.0,,https://pypi.org/project/pip-tools,2022-06-30 09:26:49.000,7596070.0,7598140.0,https://anaconda.org/conda-forge/pip-tools,2022-12-19 17:41:20.916,68322.0,2.0,1867.0,,,,,,,,,,,,,,,,,,,,
35,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-12-16 10:58:26.000,2022-12-15 14:53:41,2808.0,31.0,279.0,66.0,216.0,349.0,4242.0,2022-12-15 15:08:07.499,2.0.1,72.0,57.0,37,True,104.0,autopep8,conda-forge/autopep8,,157633.0,151948.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,2547729.0,2559897.0,https://anaconda.org/conda-forge/autopep8,2022-12-15 20:52:01.166,961302.0,2.0,5685.0,,,,,,,,,,,,,,,,,,,,
36,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2023-01-16 22:31:48.000,2023-01-16 22:23:52,3609.0,41.0,338.0,97.0,227.0,387.0,3803.0,2023-01-16 22:26:01.797,2.0.0,59.0,58.0,37,True,345.0,invoke,conda-forge/invoke,,17737.0,15108.0,https://pypi.org/project/invoke,2022-05-11 16:04:49.000,3671519.0,3682267.0,https://anaconda.org/conda-forge/invoke,2022-10-06 14:51:40.510,870609.0,1.0,2629.0,,,,,,,,,,,,,,,,,,,,
37,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2023-01-18 05:40:38.000,2023-01-18 05:40:38,3107.0,438.0,165.0,25.0,325.0,212.0,1511.0,2023-01-17 02:39:01.107,1.7.0,80.0,78.0,37,True,76.0,rope,conda-forge/rope,,49578.0,47976.0,https://pypi.org/project/rope,2022-06-22 07:57:01.000,538881.0,553081.0,https://anaconda.org/conda-forge/rope,2022-12-15 18:15:14.516,979843.0,1.0,1602.0,,,,,,,,,,,,,,,,,,,,
