,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-08-28 17:06:20.000,2025-08-28 17:06:18,361.0,15.0,187.0,57.0,212.0,4.0,2587.0,2025-08-28 17:06:25.000,2025.08.28,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-09-01 13:33:52.000,2025-09-01 13:33:52,409.0,19.0,104.0,16.0,318.0,34.0,1492.0,2023-06-29 18:48:34.000,2023.06.29,68.0,62.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-09-03 15:58:13.000,2025-09-03 15:58:12,12847.0,255.0,2977.0,240.0,8256.0,8781.0,19729.0,2025-07-31 07:53:03.000,1.17.1,129.0,810.0,49,True,,2962.0,mypy,conda-forge/mypy,347435.0,321385.0,https://pypi.org/project/mypy,2025-07-31 07:53:03.000,26050.0,66413321.0,66506327.0,https://anaconda.org/conda-forge/mypy,2025-09-02 22:13:22.299,5859402.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-09-03 14:00:09.000,2025-09-02 19:39:38,16757.0,88.0,2857.0,191.0,6478.0,5285.0,13049.0,2025-06-18 05:48:45.000,8.4.1,185.0,1052.0,49,True,,932.0,pytest,conda-forge/pytest,1732619.0,1656792.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,240147837.0,240817578.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,39495884.0,1.0,['pytest'],23394.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,66.0,1859.0,535.0,1284.0,1225.0,53565.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,47,True,,280.0,rich,conda-forge/rich,495789.0,473679.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,192183246.0,192419203.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,14629347.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-09-02 22:52:29.000,2025-09-02 22:52:28,15393.0,118.0,3129.0,321.0,5896.0,6629.0,9921.0,2025-05-02 15:13:59.000,25.1.1,151.0,839.0,47,True,,1080.0,pip,conda-forge/pip,248307.0,243024.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5283.0,419772058.0,422407016.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,168637355.0,1.0,,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-09-04 12:30:42.000,2025-09-04 12:30:42,6314.0,84.0,1422.0,230.0,790.0,1513.0,10799.0,2025-02-13 21:54:12.000,7.0.0,97.0,223.0,46,True,,352.0,psutil,conda-forge/psutil,766851.0,750775.0,https://pypi.org/project/psutil,2025-02-13 21:54:12.000,16076.0,198014886.0,198821286.0,https://anaconda.org/conda-forge/psutil,2025-08-22 08:38:32.463,49996838.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,33.0,1875.0,358.0,2016.0,4088.0,25091.0,2025-07-07 21:45:44.000,2025.0.4,401.0,530.0,45,True,,232.0,pipenv,conda-forge/pipenv,174232.0,173985.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,247.0,27857744.0,27862170.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,283279.0,1.0,,,,,,,,,,,,,,,,,,,,
