,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-30 16:29:34.000,2023-11-30 16:29:33,288.0,23.0,154.0,52.0,172.0,1.0,2.0,2073.0,2023-11-30 16:29:39.000,2023.11.30,100.0,13.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-12-07 11:53:43.000,2023-12-07 11:53:43,237.0,36.0,32.0,11.0,153.0,3.0,13.0,567.0,2023-06-29 18:48:34.000,2023.06.29,68.0,21.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-12-07 10:14:53.000,2023-12-07 07:40:52,15446.0,129.0,2454.0,192.0,5374.0,860.0,4696.0,10858.0,2023-10-24 19:37:45.000,7.4.3,165.0,925.0,47,True,,pytest,conda-forge/pytest,['pytest'],1119584.0,1098963.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,20621.0,90860814.0,91484814.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23712005.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-12-04 18:23:11.000,2023-11-28 07:08:29,14202.0,101.0,3068.0,314.0,5342.0,1095.0,6056.0,9039.0,2023-10-21 11:10:25.000,23.3.1,136.0,756.0,47,True,,pip,conda-forge/pip,,173839.0,162630.0,https://pypi.org/project/pip,2023-10-21 11:10:25.000,11209.0,196611094.0,198880089.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,97566795.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-12-06 15:17:33.000,2023-12-06 15:17:33,1750.0,118.0,2339.0,231.0,1606.0,380.0,2095.0,35616.0,2023-11-08 05:41:28.000,23.11.0,52.0,425.0,46,True,,black,conda-forge/black,,456835.0,443258.0,https://pypi.org/project/black,2023-11-08 05:41:28.000,13577.0,30489336.0,30708421.0,https://anaconda.org/conda-forge/black,2023-11-30 09:26:46.278,8944984.0,1.0,52186.0,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-12-06 07:58:24.000,2023-12-06 07:58:23,8696.0,122.0,1928.0,358.0,1844.0,198.0,3916.0,24293.0,2023-11-15 23:32:56.000,2023.11.15,383.0,492.0,45,True,,pipenv,conda-forge/pipenv,,126008.0,124750.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1258.0,11516457.0,11519643.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,137007.0,1.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-12-07 13:54:18.000,2023-12-07 13:37:31,11657.0,169.0,2732.0,233.0,6746.0,2520.0,7430.0,16858.0,2023-11-23 17:58:45.000,1.7.1,112.0,680.0,45,True,,mypy,conda-forge/mypy,,226330.0,216581.0,https://pypi.org/project/mypy,2023-11-23 17:58:45.000,9749.0,20195596.0,20281790.0,https://anaconda.org/conda-forge/mypy,2023-11-23 21:26:49.740,3620186.0,1.0,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-29 08:06:41.000,2023-11-29 08:06:41,5984.0,22.0,1401.0,235.0,658.0,289.0,1411.0,9677.0,2023-10-15 09:08:50.000,5.9.6,91.0,199.0,45,True,,psutil,conda-forge/psutil,,421415.0,403695.0,https://pypi.org/project/psutil,2023-10-15 09:08:50.000,17720.0,86458191.0,87129014.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,27503765.0,1.0,,,,,,,,,,,,,,,,,,,
