,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
10,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-12-14 19:13:57.000000,2021-12-14 19:13:57.000000,2436.0,5138.0,7603.0,2021-10-22 15:57:09.000000,21.3.1,113.0,648.0,911.0,,conda-forge/pip,pip,,85836.0,67170.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000000,18666.0,80716847.0,81152967.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098000,28347810.0,1.0,,,,,,,,,,,,,,,
11,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,35,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-12-15 22:28:24.922000,2021-12-15 20:19:14.000000,1833.0,3490.0,6529.0,2021-12-15 19:00:16.000000,4.1.3,81.0,153.0,221.0,,conda-forge/robotframework,robotframework,13175.0,6106.0,4698.0,https://pypi.org/project/robotframework,2021-12-15 18:57:24.000000,1408.0,876299.0,877772.0,https://anaconda.org/conda-forge/robotframework,2021-12-15 22:28:24.922000,69025.0,1.0,,514.0,,,,,,,,,,,,,
12,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-12-11 09:51:04.000000,2021-12-03 18:30:47.000000,385.0,1141.0,2520.0,2021-10-07 07:28:06.000000,4.0.0a9,124.0,252.0,138.0,['pytest'],conda-forge/tox,tox,2053.0,88159.0,51759.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,3635304.0,3642979.0,https://anaconda.org/conda-forge/tox,2021-11-29 13:25:37.578000,391463.0,1.0,,,,,,,,,,,,,,,
13,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,35,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-12-14 18:57:00.863000,2021-12-12 18:33:41.000000,797.0,1346.0,1503.0,2021-12-12 20:46:36.000000,59.6.0,456.0,470.0,544.0,,conda-forge/setuptools,setuptools,,187573.0,129643.0,https://pypi.org/project/setuptools,2021-12-12 20:46:28.000000,57930.0,219096264.0,219564855.0,https://anaconda.org/conda-forge/setuptools,2021-12-14 18:57:00.863000,30458411.0,1.0,,113.0,,,,,,,,,,,,,
14,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-12-16 03:35:01.000000,2021-12-16 03:35:01.000000,1537.0,1422.0,23929.0,2021-12-05 22:41:43.000000,21.12b0,37.0,289.0,350.0,,conda-forge/black,black,,108266.0,102038.0,https://pypi.org/project/black,2021-12-05 22:42:08.000000,6228.0,10066237.0,10127957.0,https://anaconda.org/conda-forge/black,2021-12-13 14:19:25.118000,2629251.0,1.0,,18976.0,,,,,,,,,,,,,
15,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,34,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-11-25 14:34:20.000000,2021-11-25 14:34:14.000000,1685.0,2963.0,22532.0,2021-11-23 15:27:39.000000,2021.11.23,303.0,396.0,583.0,,conda-forge/pipenv,pipenv,,25972.0,23698.0,https://pypi.org/project/pipenv,2021-11-23 15:27:39.000000,2274.0,4110547.0,4112301.0,https://anaconda.org/conda-forge/pipenv,2021-11-24 15:21:31.977000,45610.0,1.0,,,,,,,,,,,,,,,
16,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,34,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-12-15 12:34:27.069000,2021-12-15 09:17:32.000000,1918.0,1221.0,8245.0,2021-12-15 09:19:12.000000,8.1.2,232.0,139.0,7.0,['mkdocs'],conda-forge/mkdocs-material,mkdocs-material,3889.0,11648.0,10146.0,https://pypi.org/project/mkdocs-material,2021-12-15 09:19:12.000000,1502.0,749548.0,751994.0,https://anaconda.org/conda-forge/mkdocs-material,2021-12-15 12:34:27.069000,75826.0,1.0,,,,,,,,,,,,,,,
17,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2021-11-03 13:22:29.000000,2021-10-30 04:18:06.000000,253.0,340.0,3965.0,2021-10-24 07:01:21.000000,1.6.0,68.0,51.0,92.0,,conda-forge/autopep8,autopep8,2730.0,109785.0,99601.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000000,10184.0,2554106.0,2562879.0,https://anaconda.org/conda-forge/autopep8,2021-10-26 17:07:50.178000,579077.0,1.0,,,,,,,,,,,,,,,
18,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,34,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2021-12-12 21:55:05.000000,2021-10-10 09:31:18.000000,155.0,203.0,1156.0,2021-10-04 01:48:57.000000,3.0.0,43.0,72.0,106.0,['pytest'],conda-forge/pytest-cov,pytest-cov,860.0,151123.0,107729.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,43394.0,11069022.0,11130569.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,4246751.0,1.0,,,,,,,,,,,,,,,
19,sentry-sdk,https://github.com/getsentry/sentry-python,,The new Python SDK for Sentry.io.,logging,34,True,getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000000,2021-12-14 22:03:45.000000,2021-12-13 14:18:47.000000,254.0,413.0,1102.0,2021-12-13 14:18:31.000000,1.5.1,137.0,112.0,209.0,,conda-forge/sentry-sdk,sentry-sdk,1323.0,17274.0,16288.0,https://pypi.org/project/sentry-sdk,2021-12-13 14:18:29.000000,986.0,11668232.0,11671558.0,https://anaconda.org/conda-forge/sentry-sdk,2021-12-13 17:53:01.825000,118714.0,1.0,,4494.0,,,,,,,,,,,,,
20,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-12-16 14:04:52.000000,2021-12-15 21:08:41.000000,1026.0,592.0,31507.0,2021-12-15 09:34:17.000000,10.16.1,149.0,138.0,35.0,,conda-forge/rich,rich,2504.0,9422.0,9422.0,https://pypi.org/project/rich,2021-12-15 09:32:57.000000,0.0,2881673.0,2913395.0,https://anaconda.org/conda-forge/rich,2021-12-15 15:27:57.415000,539286.0,1.0,,,,,,,,,,,,,,,
