,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending
25,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,A Material Design theme for MkDocs.,documentation,32,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2021-01-12 16:16:32.000,2021-01-12 16:14:50.000,5350.0,2021-01-09 12:46:07.000,6.2.4,178.0,conda-forge/mkdocs-material,['mkdocs'],mkdocs-material,1338.0,10.0,883.0,2943.0,6498.0,4996.0,97.0,https://pypi.org/project/mkdocs-material,2020-12-27 10:44:37.000,1502.0,217063.0,218225.0,https://anaconda.org/conda-forge/mkdocs-material,2021-01-09 20:54:19.407,23251.0,2.0,,,,,,,,,
26,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,32,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2021-01-09 11:33:05.000,2021-01-07 16:16:50.000,3971.0,2020-11-12 17:08:48.000,4.9.2,100.0,conda-forge/conda,,conda,980.0,1761.0,5968.0,15584.0,2104.0,,346.0,https://pypi.org/project/conda,2017-04-22 23:38:35.000,2104.0,20448.0,307346.0,https://anaconda.org/conda-forge/conda,2020-11-12 21:09:02.264,15205633.0,2.0,,,,,,,,,
27,virtualenv,https://github.com/pypa/virtualenv,,Virtual Python Environment builder.,virtual-envs,32,True,pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2021-01-13 09:14:46.145,2021-01-13 07:22:49.000,3793.0,2021-01-13 07:14:31.000,20.3.1,154.0,conda-forge/virtualenv,,virtualenv,880.0,51.0,1053.0,,34422.0,,171.0,https://pypi.org/project/virtualenv,2021-01-13 07:14:31.000,34422.0,7426341.0,7438494.0,https://anaconda.org/conda-forge/virtualenv,2021-01-13 09:14:46.145,559044.0,2.0,,,,,,,,,
28,invoke,https://github.com/pyinvoke/invoke,,Pythonic task management & command execution.,build-tools,32,True,pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2021-01-06 14:58:41.830,2020-12-31 16:25:35.000,3131.0,2020-12-31 02:43:43.000,1.5.0,50.0,conda-forge/invoke,,invoke,278.0,299.0,354.0,3499.0,11320.0,6718.0,54.0,https://pypi.org/project/invoke,2020-12-31 02:43:43.000,4602.0,656305.0,660197.0,https://anaconda.org/conda-forge/invoke,2021-01-06 14:58:41.830,221873.0,1.0,,,,,,,,,
29,bandit,https://github.com/PyCQA/bandit,,Bandit is a tool designed to find common security issues in Python code.,security,32,True,PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2021-01-13 14:13:31.000,2020-12-27 05:15:35.000,2908.0,2020-12-13 02:48:28.000,1.7.0,31.0,conda-forge/bandit,,bandit,299.0,162.0,362.0,1165.0,7959.0,5605.0,130.0,https://pypi.org/project/bandit,2020-12-13 02:48:28.000,2354.0,537726.0,539752.0,https://anaconda.org/conda-forge/bandit,2020-10-11 11:23:21.028,40524.0,1.0,6.0,,,,,,,,
30,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,32,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2021-01-12 13:58:08.000,2021-01-12 13:58:03.000,943.0,2020-08-14 17:21:19.000,2.10.1,38.0,conda-forge/pytest-cov,['pytest'],pytest-cov,134.0,91.0,186.0,791.0,119038.0,75644.0,62.0,https://pypi.org/project/pytest-cov,2020-08-14 17:21:19.000,43394.0,3870490.0,3904670.0,https://anaconda.org/conda-forge/pytest-cov,2020-08-14 18:57:30.679,1982473.0,2.0,,,,,,,,,
31,parso,https://github.com/davidhalter/parso,,A Python Parser.,linters,32,True,davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000,2021-01-03 20:12:01.000,2021-01-03 20:12:00.000,367.0,2020-12-10 15:10:14.000,0.8.1,24.0,conda-forge/parso,,parso,62.0,7.0,79.0,1063.0,114930.0,103566.0,36.0,https://pypi.org/project/parso,2020-12-10 15:10:14.000,11364.0,9997129.0,10077440.0,https://anaconda.org/conda-forge/parso,2020-12-10 16:40:55.258,2971526.0,1.0,,,,,,,,,
32,wheel,https://github.com/pypa/wheel,,The official binary distribution format for Python.,build-tools,32,True,pypa/wheel,https://github.com/pypa/wheel,MIT,2016-07-16 23:19:28.580,2021-01-04 19:45:07.000,2021-01-04 19:44:54.000,225.0,2020-12-13 18:09:07.000,0.36.2,64.0,conda-forge/wheel,,wheel,84.0,20.0,286.0,727.0,62544.0,,60.0,https://pypi.org/project/wheel,2020-12-13 18:09:07.000,62544.0,46527808.0,46794612.0,https://anaconda.org/conda-forge/wheel,2020-12-13 19:48:16.429,14407464.0,1.0,,,,,,,,,
33,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,31,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2021-01-09 19:55:25.000,2021-01-06 13:10:09.000,13488.0,2020-10-23 20:54:00.000,1.1.4,132.0,conda-forge/poetry,,poetry,1057.0,972.0,1691.0,1667.0,64.0,,248.0,https://pypi.org/project/poetry,2020-10-23 20:54:00.000,64.0,855430.0,996369.0,https://anaconda.org/conda-forge/poetry,2020-12-14 11:33:01.818,156085.0,2.0,4587852.0,,,,,,,,
34,loguru,https://github.com/Delgan/loguru,,Python logging made (stupidly) simple.,logging,31,True,Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2020-12-31 08:04:34.000,2020-12-19 16:17:53.000,7879.0,2020-09-20 07:56:32.000,0.5.3,17.0,conda-forge/loguru,,loguru,353.0,33.0,300.0,545.0,5158.0,4816.0,28.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,342.0,564955.0,568750.0,https://anaconda.org/conda-forge/loguru,2020-10-10 00:51:36.057,87299.0,1.0,,,,,,,,,
35,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,packaging,31,True,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2021-01-14 13:39:27.905,2021-01-14 04:20:59.000,7570.0,2021-01-13 13:13:08.000,4.2,27.0,conda-forge/pyinstaller,,pyinstaller,1586.0,428.0,3496.0,7682.0,13711.0,13711.0,388.0,https://pypi.org/project/pyinstaller,2021-01-13 13:12:03.000,0.0,271835.0,282827.0,https://anaconda.org/conda-forge/pyinstaller,2021-01-14 13:39:27.905,186143.0,1.0,663971.0,,,,,,,,
36,pre-commit,https://github.com/pre-commit/pre-commit,,A framework for managing and maintaining multi-language pre-commit hooks.,others,31,True,pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2021-01-11 11:49:49.321,2021-01-04 17:19:50.000,5333.0,2020-12-07 23:08:20.000,2.9.3,153.0,conda-forge/pre-commit,,pre-commit,403.0,24.0,992.0,1922.0,2136.0,,113.0,https://pypi.org/project/pre-commit,2020-11-26 02:40:52.000,2136.0,1135850.0,1154049.0,https://anaconda.org/conda-forge/pre-commit,2021-01-11 11:49:49.321,308852.0,1.0,1282.0,,,,,,,,
37,pip-tools,https://github.com/jazzband/pip-tools,,A set of tools to keep your pinned Python dependencies fresh.,dependency-managers,31,True,jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2021-01-11 21:58:47.000,2021-01-03 05:42:27.000,4683.0,2020-12-30 17:05:11.000,5.5.0,90.0,conda-forge/pip-tools,,pip-tools,406.0,118.0,581.0,1459.0,3252.0,,138.0,https://pypi.org/project/pip-tools,2020-12-30 17:05:11.000,3252.0,723212.0,723954.0,https://anaconda.org/conda-forge/pip-tools,2020-12-30 18:26:40.157,6682.0,2.0,,,,,,,,,
38,freezegun,https://github.com/spulec/freezegun,,Let your Python tests travel through time.,testing,31,True,spulec/freezegun,https://github.com/spulec/freezegun,Apache-2.0,2012-12-11 05:11:00.000,2020-11-19 07:00:57.000,2020-11-19 07:00:56.000,2720.0,2020-09-05 16:30:35.000,1.0.0,55.0,conda-forge/freezegun,,freezegun,185.0,55.0,165.0,519.0,15339.0,6987.0,94.0,https://pypi.org/project/freezegun,2020-09-05 16:30:35.000,8352.0,1073359.0,1076247.0,https://anaconda.org/conda-forge/freezegun,2020-09-05 20:09:13.257,167515.0,2.0,,,,,,,,,
39,ipdb,https://github.com/gotcha/ipdb,,Integration of IPython pdb.,debugging,31,True,gotcha/ipdb,https://github.com/gotcha/ipdb,BSD-3-Clause,2011-01-15 17:51:47.000,2021-01-11 16:16:21.000,2020-10-21 09:03:20.000,1326.0,2020-10-01 14:13:50.000,0.13.4,37.0,conda-forge/ipdb,,ipdb,123.0,50.0,102.0,312.0,41067.0,24169.0,44.0,https://pypi.org/project/ipdb,2020-10-01 14:13:50.000,16898.0,772748.0,775213.0,https://anaconda.org/conda-forge/ipdb,2020-11-21 18:57:03.677,133133.0,1.0,,,,,,,,,
40,twine,https://github.com/pypa/twine,,Utilities for interacting with PyPI.,build-tools,31,True,pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2020-12-24 15:31:28.323,2020-12-23 14:13:30.000,1075.0,2020-12-24 11:05:10.000,3.3.0,41.0,conda-forge/twine,,twine,233.0,39.0,301.0,941.0,49966.0,32462.0,98.0,https://pypi.org/project/twine,2020-12-24 11:05:10.000,17504.0,793658.0,797307.0,https://anaconda.org/conda-forge/twine,2020-12-24 15:31:28.323,193435.0,2.0,,,,,,,,,
41,pyflakes,https://github.com/PyCQA/pyflakes,,A simple program which checks Python source files for errors.,linters,31,True,PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2021-01-14 10:08:03.000,2021-01-05 16:04:38.000,976.0,2020-04-10 03:52:17.000,2.2.0,28.0,conda-forge/pyflakes,,pyflakes,135.0,92.0,318.0,504.0,101580.0,75082.0,74.0,https://pypi.org/project/pyflakes,2020-04-10 03:52:17.000,26498.0,4586478.0,4621055.0,https://anaconda.org/conda-forge/pyflakes,2020-04-10 13:58:22.845,1901788.0,2.0,,,,,,,,,
42,sentry-sdk,https://github.com/getsentry/sentry-python,,The new Python SDK for Sentry.io.,logging,31,True,getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2021-01-14 11:35:55.000,2021-01-14 11:35:53.000,831.0,2020-12-10 11:11:11.000,0.19.5,121.0,conda-forge/sentry-sdk,,sentry-sdk,172.0,113.0,345.0,1162.0,9483.0,8497.0,78.0,https://pypi.org/project/sentry-sdk,2020-11-19 16:41:33.000,986.0,2612126.0,2614445.0,https://anaconda.org/conda-forge/sentry-sdk,2020-12-10 12:35:18.064,56534.0,1.0,4081.0,,,,,,,,
43,packaging,https://github.com/pypa/packaging,,Core utilities for Python packages.,packaging,31,True,pypa/packaging,https://github.com/pypa/packaging,BSD-2-Clause,2014-05-15 22:49:43.000,2021-01-05 03:16:01.000,2021-01-04 20:58:43.000,261.0,2020-12-12 04:41:59.000,20.8,34.0,conda-forge/packaging,,packaging,129.0,46.0,125.0,475.0,191015.0,161815.0,59.0,https://pypi.org/project/packaging,2020-12-12 04:36:49.000,29200.0,16759964.0,16856656.0,https://anaconda.org/conda-forge/packaging,2020-12-12 15:04:34.863,5317956.0,1.0,39.0,,,,,,,,
44,pyautogui,https://github.com/asweigart/pyautogui,,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,testing,30,True,asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2020-12-26 11:58:36.000,2020-10-04 08:13:41.000,4692.0,2020-10-06 22:15:19.000,0.9.52,49.0,conda-forge/pyautogui,,pyautogui,640.0,270.0,161.0,361.0,6179.0,5571.0,42.0,https://pypi.org/project/pyautogui,2020-10-06 22:15:19.000,608.0,237438.0,240147.0,https://anaconda.org/conda-forge/pyautogui,2020-10-13 12:17:23.308,102978.0,2.0,,,,,,,,,
45,buildbot,https://github.com/buildbot/buildbot,,Python-based continuous integration testing framework; your pull requests are more than welcome!.,build-tools,30,True,buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2021-01-13 03:30:12.000,2021-01-11 16:25:05.000,4530.0,2021-01-02 21:47:28.000,2.10.0,100.0,conda-forge/buildbot,,buildbot,1505.0,640.0,625.0,21457.0,1126.0,234.0,776.0,https://pypi.org/project/buildbot,2021-01-02 21:50:22.000,892.0,3378.0,5139.0,https://anaconda.org/conda-forge/buildbot,2021-01-02 23:03:46.115,23738.0,2.0,13159.0,,,,,,,,
46,factory_boy,https://github.com/FactoryBoy/factory_boy,,A test fixtures replacement for Python.,testing,30,True,FactoryBoy/factory_boy,https://github.com/FactoryBoy/factory_boy,MIT,2011-05-11 08:26:59.000,2021-01-09 11:18:54.000,2020-12-28 08:48:43.000,2369.0,2018-05-05 15:05:40.000,2.11.1,36.0,conda-forge/factory_boy,,factory_boy,309.0,135.0,331.0,866.0,4256.0,,109.0,https://pypi.org/project/factory_boy,2018-05-05 15:05:40.000,4256.0,1069562.0,1070559.0,https://anaconda.org/conda-forge/factory_boy,2020-10-05 10:08:00.894,51886.0,2.0,,,,,,,,,
47,structlog,https://github.com/hynek/structlog,,Structured Logging for Python.,logging,30,True,hynek/structlog,https://github.com/hynek/structlog,MIT,2013-08-13 15:55:58.000,2021-01-08 07:50:39.000,2021-01-08 07:50:03.000,1405.0,2020-12-31 11:39:01.000,20.2.0,22.0,conda-forge/structlog,,structlog,130.0,31.0,136.0,777.0,4050.0,2844.0,69.0,https://pypi.org/project/structlog,2020-12-31 11:28:04.000,1206.0,481580.0,483130.0,https://anaconda.org/conda-forge/structlog,2021-01-04 12:27:27.303,83700.0,2.0,,,,,,,,,
48,logbook,https://github.com/getlogbook/logbook,,A cool logging replacement for Python.,logging,30,False,getlogbook/logbook,https://github.com/getlogbook/logbook,BSD-3-Clause,2010-07-22 10:13:12.000,2021-01-11 05:40:29.145,2019-10-16 17:48:40.000,1396.0,2019-01-16 20:35:25.000,1.4.3,36.0,conda-forge/logbook,,logbook,155.0,54.0,125.0,1194.0,4362.0,2396.0,76.0,https://pypi.org/project/logbook,2019-01-16 20:35:25.000,1966.0,170676.0,171905.0,https://anaconda.org/conda-forge/logbook,2021-01-11 05:40:29.145,26977.0,2.0,244.0,,,,,,,,
49,nose,https://github.com/nose-devs/nose,,nose is nicer testing for python.,testing,30,False,nose-devs/nose,https://github.com/nose-devs/nose,LGPL-2.1+,2011-12-13 19:36:32.000,2020-10-11 16:52:20.277,2016-03-04 01:16:26.000,1325.0,2015-06-02 09:12:36.000,1.3.7,14.0,conda-forge/nose,,nose,358.0,447.0,460.0,1004.0,187804.0,101330.0,95.0,https://pypi.org/project/nose,2015-06-02 09:12:36.000,86474.0,2135194.0,2163797.0,https://anaconda.org/conda-forge/nose,2020-10-11 16:52:20.277,1601801.0,2.0,,,,,,,,,
50,pytest-mock,https://github.com/pytest-dev/pytest-mock,,Thin-wrapper around the mock package for easier use with pytest.,testing,30,True,pytest-dev/pytest-mock,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2021-01-13 19:44:16.000,2021-01-13 19:44:13.000,961.0,2021-01-10 22:17:10.000,3.5.1,50.0,conda-forge/pytest-mock,['pytest'],pytest-mock,88.0,11.0,84.0,389.0,19864.0,13684.0,50.0,https://pypi.org/project/pytest-mock,2021-01-10 22:17:10.000,6180.0,1528590.0,1540969.0,https://anaconda.org/conda-forge/pytest-mock,2021-01-11 11:41:18.792,668479.0,2.0,,,,,,,,,
51,tabulate,https://github.com/astanin/python-tabulate,,"Pretty-print tabular data in Python, a library and a command-line utility. Repository migrated from..",logging,30,True,astanin/python-tabulate,https://github.com/astanin/python-tabulate,MIT,2016-05-01 20:47:06.376,2020-12-30 00:48:21.000,2020-04-07 07:38:20.000,667.0,2020-03-22 17:02:41.000,0.8.7,23.0,conda-forge/tabulate,,tabulate,55.0,40.0,32.0,437.0,42837.0,34735.0,50.0,https://pypi.org/project/tabulate,2020-03-22 17:02:41.000,8102.0,8224667.0,8237155.0,https://anaconda.org/conda-forge/tabulate,2020-03-22 20:02:25.689,699360.0,2.0,,,,,,,,,
52,pytest-xdist,https://github.com/pytest-dev/pytest-xdist,,pytest plugin for distributed testing and loop-on-failures testing modes.,testing,30,True,pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2020-12-15 12:07:15.000,2020-12-15 12:07:13.000,646.0,2020-12-14 12:15:22.000,2.2.0,54.0,conda-forge/pytest-xdist,['pytest'],pytest-xdist,139.0,173.0,220.0,836.0,20759.0,13417.0,70.0,https://pypi.org/project/pytest-xdist,2020-12-14 12:15:22.000,7342.0,1988770.0,2005985.0,https://anaconda.org/conda-forge/pytest-xdist,2020-12-14 15:51:37.434,929652.0,2.0,,,,,,,,,
53,coveralls-python,https://github.com/TheKevJames/coveralls-python,,Show coverage stats online via coveralls.io.,testing,30,True,coveralls-clients/coveralls-python,https://github.com/TheKevJames/coveralls-python,MIT,2013-02-06 20:48:39.000,2021-01-13 22:20:00.000,2021-01-13 22:19:35.000,450.0,2021-01-12 01:39:43.000,3.0.0,37.0,,['pytest'],coveralls,163.0,3.0,132.0,370.0,33125.0,16117.0,54.0,https://pypi.org/project/coveralls,2021-01-12 01:39:43.000,17008.0,266367.0,266367.0,,,,2.0,,TheKevJames/coveralls-python,,,,,,,
54,pytest-html,https://github.com/pytest-dev/pytest-html,,Plugin for generating HTML reports for pytest results.,testing,30,True,pytest-dev/pytest-html,https://github.com/pytest-dev/pytest-html,MPL-2.0,2015-04-14 19:22:42.000,2021-01-06 11:33:39.000,2020-12-21 00:51:36.000,384.0,2020-12-13 15:24:58.000,3.1.1,44.0,conda-forge/pytest-html,['pytest'],pytest-html,156.0,72.0,175.0,375.0,7587.0,6603.0,43.0,https://pypi.org/project/pytest-html,2020-12-13 15:24:58.000,984.0,885024.0,887058.0,https://anaconda.org/conda-forge/pytest-html,2020-12-13 19:43:13.698,89531.0,2.0,,,,,,,,,
55,Glances,https://github.com/nicolargo/glances,,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",profiling,29,True,nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2021-01-11 17:19:32.000,2021-01-11 17:19:32.000,17501.0,2020-08-20 08:36:13.000,3.1.5,50.0,conda-forge/glances,,glances,1145.0,193.0,1111.0,3736.0,314.0,264.0,135.0,https://pypi.org/project/glances,2020-08-19 08:51:13.000,50.0,34704.0,36768.0,https://anaconda.org/conda-forge/glances,2020-03-10 23:31:03.583,119389.0,1.0,414.0,,,,,,,,
56,pudb,https://github.com/inducer/pudb,,Full-screen console debugger for Python.,debugging,29,True,inducer/pudb,https://github.com/inducer/pudb,MIT,2011-05-13 23:44:30.000,2021-01-11 03:59:27.000,2021-01-10 23:09:09.000,1941.0,2017-09-02 18:52:28.000,2017.1.4,68.0,conda-forge/pudb,,pudb,167.0,138.0,122.0,905.0,3574.0,2148.0,68.0,https://pypi.org/project/pudb,2020-12-21 04:20:59.000,1426.0,760890.0,762522.0,https://anaconda.org/conda-forge/pudb,2020-04-15 19:25:06.154,88151.0,1.0,,,,,,,,,
57,rope,https://github.com/python-rope/rope,,a python refactoring library.,refactoring,29,True,python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2021-01-11 13:32:45.000,2021-01-11 13:32:44.000,1068.0,2020-10-07 16:08:59.000,0.18.0,19.0,conda-forge/rope,,rope,118.0,75.0,104.0,1868.0,27578.0,24646.0,60.0,https://pypi.org/project/rope,2020-10-07 16:08:59.000,2932.0,133332.0,143695.0,https://anaconda.org/conda-forge/rope,2020-10-07 18:16:45.645,466362.0,1.0,,,,,,,,,
58,pydocstyle,https://github.com/PyCQA/pydocstyle,,docstring style checker.,linters,29,True,PyCQA/pydocstyle,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2020-09-21 00:19:01.000,2020-09-19 00:07:00.000,737.0,2020-08-29 20:58:00.000,5.1.1,14.0,conda-forge/pydocstyle,,pydocstyle,144.0,65.0,186.0,693.0,17700.0,13780.0,71.0,https://pypi.org/project/pydocstyle,2020-08-29 20:56:43.000,3920.0,602422.0,607551.0,https://anaconda.org/conda-forge/pydocstyle,2020-08-30 00:38:13.707,277002.0,2.0,51.0,,,,,,,,
59,colorlog,https://github.com/borntyping/python-colorlog,,A colored formatter for the python logging module.,logging,29,True,borntyping/python-colorlog,https://github.com/borntyping/python-colorlog,MIT,2012-09-05 17:57:21.000,2021-01-14 12:46:38.000,2021-01-14 12:46:28.000,660.0,2020-11-08 10:28:00.000,4.5.0,48.0,conda-forge/colorlog,,colorlog,68.0,12.0,49.0,175.0,12086.0,8420.0,29.0,https://pypi.org/project/colorlog,2020-11-09 09:28:57.000,3666.0,2768172.0,2773350.0,https://anaconda.org/conda-forge/colorlog,2021-01-09 09:32:45.756,295180.0,2.0,,,,,,,,,
60,alabaster,https://github.com/bitprophet/alabaster,,"Lightweight, configurable Sphinx theme. Now the Sphinx default!.",documentation,29,True,bitprophet/alabaster,https://github.com/bitprophet/alabaster,BSD-3-Clause,2013-12-07 00:03:15.000,2020-07-22 08:04:58.000,2020-01-10 23:50:18.000,586.0,2018-10-03 01:39:17.000,0.7.12,24.0,conda-forge/alabaster,['sphinx'],alabaster,151.0,75.0,50.0,350.0,53385.0,38487.0,28.0,https://pypi.org/project/alabaster,2018-10-03 01:39:17.000,14898.0,1843620.0,1876526.0,https://anaconda.org/conda-forge/alabaster,2018-10-03 15:29:30.017,1776965.0,2.0,,,,,,,,,
61,typed_ast,https://github.com/python/typed_ast,,Modified fork of CPython's ast module that parses `# type:` comments.,ast,29,True,python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2020-12-30 23:50:52.000,2020-12-30 23:50:51.000,172.0,2020-12-30 23:17:52.000,1.4.2,28.0,,,typed_ast,43.0,4.0,72.0,167.0,10362.0,,19.0,https://pypi.org/project/typed_ast,2020-12-30 23:17:52.000,10362.0,5616812.0,5616812.0,,,,1.0,,,,,,,,,
62,PySnooper,https://github.com/cool-RR/PySnooper,,Never use print for debugging again.,debugging,28,True,cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,MIT,2019-04-18 13:55:43.000,2020-12-28 18:13:10.000,2020-12-28 18:13:09.000,14138.0,2020-09-14 09:47:00.000,0.4.2,53.0,conda-forge/pysnooper,,pysnooper,876.0,17.0,89.0,288.0,380.0,334.0,25.0,https://pypi.org/project/pysnooper,2020-09-14 09:47:00.000,46.0,19301.0,20817.0,https://anaconda.org/conda-forge/pysnooper,2020-09-14 13:44:42.361,30326.0,2.0,,,,,,,,,
63,pipreqs,https://github.com/bndr/pipreqs,,pipreqs - Generate pip requirements.txt file based on imports of any project. Looking for maintainers to move this..,dependency-managers,28,True,bndr/pipreqs,https://github.com/bndr/pipreqs,Apache-2.0,2015-04-22 16:38:14.000,2020-12-10 09:04:42.000,2020-05-18 23:46:19.000,3131.0,2019-11-14 11:06:56.000,0.4.10,38.0,conda-forge/pipreqs,,pipreqs,200.0,93.0,63.0,260.0,4459.0,3931.0,36.0,https://pypi.org/project/pipreqs,2019-11-14 11:00:54.000,528.0,33906.0,34273.0,https://anaconda.org/conda-forge/pipreqs,2019-11-14 14:53:43.131,19121.0,3.0,,,,,,,,,
64,pex,https://github.com/pantsbuild/pex,,A library and tool for generating .pex (Python EXecutable) files.,packaging,28,True,pantsbuild/pex,https://github.com/pantsbuild/pex,Apache-2.0,2014-07-21 17:06:12.000,2021-01-13 04:32:42.000,2021-01-13 01:40:57.000,1788.0,2020-12-16 00:15:53.000,2.1.24,113.0,,,pex,188.0,138.0,492.0,809.0,230.0,,95.0,https://pypi.org/project/pex,2020-12-16 00:11:35.000,230.0,57182.0,60657.0,,,,2.0,229372.0,,,,,,,,
65,radon,https://github.com/rubik/radon,,Various code metrics for Python code.,code-metrics,28,True,rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2020-12-30 20:02:44.000,2020-09-28 16:15:09.000,1173.0,2020-09-18 13:15:32.000,4.3.2,45.0,conda-forge/radon,,radon,84.0,20.0,124.0,501.0,2652.0,1554.0,41.0,https://pypi.org/project/radon,2020-09-18 13:15:32.000,1098.0,96434.0,97060.0,https://anaconda.org/conda-forge/radon,2020-09-18 20:13:31.841,24426.0,1.0,,,,,,,,,
66,python-json-logger,https://github.com/madzak/python-json-logger,,Json Formatter for the standard python logger.,logging,28,True,madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2020-10-14 13:54:16.000,2020-10-12 16:12:03.000,890.0,2020-10-12 16:26:53.000,2.0.1,19.0,conda-forge/python-json-logger,,python-json-logger,134.0,15.0,44.0,179.0,12443.0,11525.0,43.0,https://pypi.org/project/python-json-logger,2020-10-12 16:26:53.000,918.0,1235171.0,1244872.0,https://anaconda.org/conda-forge/python-json-logger,2020-10-12 23:31:31.855,436560.0,3.0,,,,,,,,,
67,progressbar2,https://github.com/WoLpH/python-progressbar,,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,logging,28,True,WoLpH/python-progressbar,https://github.com/WoLpH/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2020-09-09 14:31:33.844,2020-09-09 13:26:11.000,668.0,2020-09-09 13:36:59.000,3.53.1,94.0,conda-forge/progressbar2,,progressbar2,89.0,8.0,175.0,867.0,9617.0,7421.0,38.0,https://pypi.org/project/progressbar2,2020-09-09 13:28:47.000,2196.0,510106.0,514259.0,https://anaconda.org/conda-forge/progressbar2,2020-09-09 14:31:33.844,209905.0,3.0,1561.0,,,,,,,,
68,pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,,Pytest support for asyncio.,testing,28,True,pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2021-01-13 14:01:21.000,2020-12-01 01:03:15.000,658.0,2020-06-23 22:10:28.000,0.14.0,18.0,conda-forge/pytest-asyncio,['pytest'],pytest-asyncio,74.0,59.0,91.0,157.0,10243.0,8215.0,26.0,https://pypi.org/project/pytest-asyncio,2020-06-23 22:10:28.000,2028.0,527220.0,533379.0,https://anaconda.org/conda-forge/pytest-asyncio,2020-10-30 17:49:56.641,271036.0,2.0,,,,,,,,,
