,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-23 16:49:09.000,2024-05-23 16:49:08,342.0,27.0,162.0,56.0,202.0,3.0,2206.0,2024-05-23 16:49:13.000,2024.05.23,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-05-25 10:41:39.000,2024-05-25 10:41:38,292.0,31.0,47.0,15.0,202.0,19.0,862.0,2023-06-29 18:48:34.000,2023.06.29,68.0,32.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-05-30 12:53:31.000,2024-05-29 13:07:04,15952.0,219.0,2546.0,191.0,5776.0,4935.0,11486.0,2024-05-19 19:08:47.000,8.2.1,176.0,967.0,48,True,,868.0,pytest,conda-forge/pytest,['pytest'],1030.0,126819487.0,1276357.0,1232458.0,https://pypi.org/project/pytest,2024-05-19 19:07:58.000,43899.0,126212710.0,https://anaconda.org/conda-forge/pytest,2024-05-20 16:10:58.418,26090662.0,1.0,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-05-30 14:03:12.000,2024-05-28 21:02:30,14613.0,246.0,2957.0,321.0,5484.0,6269.0,9318.0,2023-12-17 13:05:02.000,23.3.2,139.0,789.0,48,True,,1055.0,pip,conda-forge/pip,,,379619409.0,190445.0,186373.0,https://pypi.org/project/pip,2024-05-06 20:49:04.000,4072.0,377317443.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,110494369.0,1.0,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-05-30 10:05:05.000,2024-05-24 16:09:50,14955.0,416.0,1145.0,96.0,1615.0,1883.0,2344.0,2024-05-21 10:28:25.000,70.0.0,567.0,601.0,47,True,,623.0,setuptools,conda-forge/setuptools,,,381349171.0,537744.0,517850.0,https://pypi.org/project/setuptools,2024-05-21 10:28:12.000,19894.0,379069791.0,https://anaconda.org/conda-forge/setuptools,2024-05-22 08:56:28.732,109410269.0,1.0,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-05-27 06:54:20.000,2024-05-16 00:32:27,1876.0,52.0,2380.0,231.0,1744.0,2232.0,37580.0,2024-04-26 00:32:12.000,24.4.2,62.0,446.0,46,True,,382.0,black,conda-forge/black,,88964.0,39134241.0,516225.0,495485.0,https://pypi.org/project/black,2024-04-26 00:32:12.000,20740.0,38909154.0,https://anaconda.org/conda-forge/black,2024-04-26 08:33:17.672,10288038.0,1.0,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-05-29 13:58:37.000,2024-05-28 01:07:49,11836.0,86.0,2709.0,236.0,6964.0,7619.0,17678.0,2024-04-24 13:52:35.000,1.10.0,115.0,715.0,46,True,,2821.0,mypy,conda-forge/mypy,,,26369730.0,255222.0,241553.0,https://pypi.org/project/mypy,2024-04-24 13:52:35.000,13669.0,26284794.0,https://anaconda.org/conda-forge/mypy,2024-04-25 00:02:59.037,3992029.0,1.0,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2024-05-30 12:05:22.000,2024-05-29 10:32:26,20863.0,236.0,2006.0,149.0,5422.0,5768.0,6109.0,2024-04-19 04:44:43.000,7.3.7,206.0,826.0,46,True,,1223.0,sphinx,conda-forge/sphinx,['sphinx'],,15012618.0,402383.0,380068.0,https://pypi.org/project/sphinx,2024-04-19 04:44:43.000,22315.0,14821048.0,https://anaconda.org/conda-forge/sphinx,2024-04-19 19:30:59.768,9195405.0,1.0,,,,,,,,,,,,,,,,,,
