,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-11 17:22:10.000,2022-11-11 17:22:09,178.0,25.0,130.0,50.0,111.0,2.0,1727.0,2022-11-11 17:22:17.000,2022.11.10,64.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-11-11 12:35:47.000,2022-11-11 12:35:47,128.0,20.0,3.0,5.0,49.0,2.0,82.0,2022-11-11 12:36:01.000,2022.11.10,34.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-11-17 05:30:52.000,2022-11-17 05:30:51,14798.0,174.0,2198.0,195.0,4841.0,4330.0,9511.0,2022-10-25 07:58:53.000,7.2.0,156.0,837.0,47,True,800.0,pytest,conda-forge/pytest,['pytest'],619462.0,619462.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,49505305.0,49725776.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,16755827.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-11-17 12:58:16.000,2022-11-16 21:55:47,13428.0,144.0,2751.0,306.0,5035.0,5633.0,8362.0,2022-11-05 15:58:21.647,22.3.1,126.0,699.0,46,True,990.0,pip,conda-forge/pip,,114860.0,104178.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,134780640.0,135537715.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,57537707.0,1.0,10682.0,,,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-11-14 11:18:38.000,2022-11-14 11:18:35,5859.0,61.0,1276.0,238.0,590.0,1368.0,8856.0,2022-11-07 18:47:02.742,5.9.4,88.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,238527.0,222570.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,73601813.0,73814607.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,16810799.0,1.0,15957.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-11-17 14:02:35.000,2022-11-13 19:07:08,13362.0,192.0,962.0,87.0,1305.0,1670.0,1848.0,2022-11-04 19:22:53.148,65.5.1,520.0,545.0,45,True,540.0,setuptools,conda-forge/setuptools,,261381.0,224811.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,215399805.0,216196098.0,https://anaconda.org/conda-forge/setuptools,2022-11-09 10:13:18.783,60518275.0,1.0,36570.0,,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-11-16 22:22:44.000,2022-11-13 09:28:35,8039.0,393.0,1793.0,364.0,1601.0,3599.0,23442.0,2022-11-11 16:23:00.949,2022.11.11,341.0,446.0,44,True,235.0,pipenv,conda-forge/pipenv,,47055.0,45814.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6470387.0,6472474.0,https://anaconda.org/conda-forge/pipenv,2022-11-15 13:27:24.111,77245.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-11-17 12:31:11.000,2022-11-16 21:39:45,10761.0,266.0,2351.0,221.0,5693.0,6189.0,14137.0,,,98.0,614.0,44,True,2312.0,mypy,conda-forge/mypy,,109169.0,102891.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,13609813.0,13649643.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2389835.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
