,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,conda_forge
221,flake8-mypy,ambv/flake8-mypy,linters,A plugin for flake8 integrating Mypy.,,https://github.com/ambv/flake8-mypy,https://github.com/ambv/flake8-mypy,MIT,2017-02-26 02:27:33.000,2020-06-19 16:51:36.000,2020-06-19 16:51:00,50.0,,15.0,4.0,13.0,3.0,103.0,2017-08-31 23:17:01.000,17.8.0,6.0,8.0,19.0,19,False,flake8-mypy,,['flake8'],911.0,801.0,https://pypi.org/project/flake8-mypy,2017-08-31 23:17:01.000,110.0,38269.0,38269.0,,,,3.0,,,,,,,,,,,,,,,,,,
222,dlint,dlint-py/dlint,security,Dlint is a tool for encouraging best coding practices and helping ensure Python code is secure.,,https://github.com/dlint-py/dlint,https://github.com/dlint-py/dlint,BSD-3-Clause,2020-01-08 15:53:36.000,2021-11-09 20:19:38.085,2021-10-27 13:11:03,214.0,,6.0,2.0,4.0,14.0,80.0,2021-10-27 13:15:42.000,0.12.0,14.0,8.0,20.0,19,True,dlint,conda-forge/dlint,,29.0,,https://pypi.org/project/dlint,2021-10-27 13:15:42.000,29.0,79581.0,79629.0,https://anaconda.org/conda-forge/dlint,2021-11-09 20:19:38.085,97.0,3.0,,,,,,,,,,,,,,,,,,
223,unify,myint/unify,refactoring,Modifies strings to all use the same quote where possible.,,https://github.com/myint/unify,https://github.com/myint/unify,MIT,2013-03-24 18:02:19.000,2021-06-29 19:32:02.475,2019-08-07 13:44:00,69.0,,12.0,7.0,9.0,3.0,65.0,2013-06-22 15:34:37.000,0.1.5,10.0,5.0,10.0,19,False,unify,conda-forge/unify,,399.0,363.0,https://pypi.org/project/unify,2019-08-07 13:46:09.000,36.0,63049.0,63094.0,https://anaconda.org/conda-forge/unify,2021-06-29 19:32:02.475,316.0,3.0,,,,,,,,,,,,,,,,,,
224,pip-run,jaraco/pip-run,dependency-managers,pip-run - dynamic dependency loader for Python.,,https://github.com/jaraco/pip-run,https://github.com/jaraco/pip-run,MIT,2016-01-25 01:59:13.000,2022-01-23 01:44:53.000,2022-01-23 01:14:42,557.0,14.0,10.0,5.0,13.0,40.0,64.0,2022-01-23 01:45:05.000,8.8.0,29.0,11.0,3.0,19,True,pip-run,,,2.0,,https://pypi.org/project/pip-run,2022-01-23 01:44:53.000,2.0,9838.0,9838.0,,,,3.0,,,,,,,,,,,,,,,,,,
225,pylint-flask,jschaf/pylint-flask,linters,A Pylint plugin to analyze Flask applications.,,https://github.com/jschaf/pylint-flask,https://github.com/jschaf/pylint-flask,GPL-2.0,2015-06-27 20:11:12.000,2021-03-10 19:35:23.000,2021-03-10 19:35:23,40.0,,9.0,5.0,8.0,5.0,59.0,,,5.0,7.0,5.0,19,True,pylint-flask,conda-forge/pylint-flask,['pylint'],6016.0,5661.0,https://pypi.org/project/pylint-flask,2019-01-30 19:26:02.000,355.0,197492.0,198318.0,https://anaconda.org/conda-forge/pylint-flask,2019-02-02 18:28:49.934,53717.0,3.0,,,,,,,,,,,,,,,,,,
226,mkdocs-print-site-plugin,timvink/mkdocs-print-site-plugin,documentation,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33.000,2022-01-18 21:23:50.000,2022-01-18 21:21:14,205.0,20.0,6.0,1.0,3.0,60.0,32.0,2022-01-18 21:23:44.000,2.2.5,34.0,1.0,3.0,19,False,mkdocs-print-site-plugin,,['mkdocs'],66.0,63.0,https://pypi.org/project/mkdocs-print-site-plugin,2022-01-18 21:23:44.000,3.0,4361.0,4361.0,,,,3.0,,,,,,,,,,,,,,,,,,
227,pytest-docker,avast/pytest-docker,testing,Docker-based integration tests.,,https://github.com/avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2021-10-20 17:40:15.000,2021-06-14 12:23:20,60.0,,42.0,8.0,40.0,16.0,261.0,2021-06-14 12:12:56.000,0.10.3,15.0,11.0,17.0,18,True,pytest-docker,,['pytest'],23.0,,https://pypi.org/project/pytest-docker,2021-06-14 12:09:30.000,23.0,57525.0,57528.0,,,,3.0,84.0,,,,,,,,,,,,,,,,,
228,imhotep,justinabrahms/imhotep,linters,A static-analysis bot for Github.,,https://github.com/justinabrahms/imhotep,https://github.com/justinabrahms/imhotep,MIT,2012-12-17 01:26:32.000,2021-12-14 22:36:10.000,2021-10-01 21:06:26,358.0,,37.0,6.0,63.0,23.0,217.0,2016-09-18 21:57:32.000,1.1.0,9.0,16.0,23.0,18,True,imhotep,,,14.0,9.0,https://pypi.org/project/imhotep,2016-09-18 21:57:32.000,5.0,45.0,45.0,,,,3.0,,,,,,,,,,,,,,,,,,
229,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/myint/eradicate,https://github.com/myint/eradicate,Saxpath,2012-12-23 04:39:48.000,2021-07-26 20:00:21.000,2020-10-01 09:23:01,164.0,,20.0,3.0,12.0,13.0,119.0,2020-10-01 09:33:03.000,2.0.0,16.0,7.0,6.0,18,False,eradicate,conda-forge/eradicate,,89.0,,https://pypi.org/project/eradicate,2020-10-01 09:33:03.000,89.0,263469.0,263529.0,https://anaconda.org/conda-forge/eradicate,2021-04-19 20:24:58.341,543.0,3.0,,,,,,,,,,,,,,,,,,
230,flake8-bandit,tylerwince/flake8-bandit,linters,Automated security testing using bandit and flake8.,,https://github.com/tylerwince/flake8-bandit,https://github.com/tylerwince/flake8-bandit,MIT,2017-10-28 23:19:09.000,2020-12-29 20:50:06.000,2020-08-29 05:51:08,44.0,,16.0,4.0,8.0,8.0,65.0,2019-10-08 03:58:31.000,2.1.2,11.0,5.0,4.0,18,False,flake8-bandit,,['flake8'],96.0,,https://pypi.org/project/flake8-bandit,2019-10-08 03:58:31.000,96.0,394442.0,394442.0,,,,3.0,,,,,,,,,,,,,,,,,,
231,mkdocs-git-revision-date-plugin,zhaoterryy/mkdocs-git-revision-date-plugin,documentation,MkDocs plugin for setting revision date from git per markdown file.,,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,https://github.com/zhaoterryy/mkdocs-git-revision-date-plugin,MIT,2018-12-03 04:29:33.000,2020-10-16 02:02:54.000,2020-10-16 01:58:36,24.0,,5.0,4.0,7.0,9.0,39.0,2020-10-16 02:02:42.000,0.3.1,8.0,6.0,2.0,18,False,mkdocs-git-revision-date-plugin,,['mkdocs'],445.0,431.0,https://pypi.org/project/mkdocs-git-revision-date-plugin,2020-10-16 02:02:18.000,14.0,22252.0,22252.0,,,,3.0,,,,,,,,,,,,,,,,,,
232,yala,cemsbr/yala,linters,Yet Another Linter Aggregator.,,https://github.com/cemsbr/yala,https://github.com/cemsbr/yala,MIT,2017-06-02 22:45:50.000,2021-11-15 05:53:09.000,2021-11-15 05:05:03,193.0,28.0,5.0,2.0,132.0,11.0,13.0,2021-11-15 05:07:43.000,3.1.0,28.0,4.0,1.0,18,False,yala,,"['flake8', 'pylint']",53.0,43.0,https://pypi.org/project/yala,2021-11-15 05:05:38.000,10.0,1261.0,1261.0,,,,3.0,,,,,,,,,,,,,,,,,,
233,pyheat,csurfer/pyheat,profiling,pprofile + matplotlib = Python program profiled as an awesome heatmap!.,,https://github.com/csurfer/pyheat,https://github.com/csurfer/pyheat,MIT,2017-02-04 22:56:02.000,2021-09-18 20:16:24.000,2021-09-18 20:16:24,55.0,,39.0,13.0,6.0,9.0,706.0,2018-12-06 03:59:34.000,0.0.6,6.0,5.0,5.0,17,True,py-heat,,,39.0,33.0,https://pypi.org/project/py-heat,2018-12-06 03:59:34.000,6.0,2569.0,2569.0,,,,3.0,,,,,,,,,,,,,,,,,,
234,pynt,rags/pynt,build-tools,A pynt of Python build.,,https://github.com/rags/pynt,https://github.com/rags/pynt,MIT,2012-11-17 13:12:49.000,2020-04-13 11:49:33.000,2019-10-04 19:05:46,128.0,,18.0,11.0,9.0,13.0,150.0,2018-06-24 06:23:48.000,0.8.2,7.0,9.0,5.0,17,False,pynt,,,104.0,76.0,https://pypi.org/project/pynt,2018-06-24 06:23:48.000,28.0,5149.0,5149.0,,,,3.0,,,,,,,,,,,,,,,,,,
235,pyformat,myint/pyformat,formatters,Formats Python code to follow a consistent style.,,https://github.com/myint/pyformat,https://github.com/myint/pyformat,Saxpath,2013-03-24 21:45:30.000,2021-10-29 14:54:42.000,2019-05-24 17:17:56,199.0,,7.0,7.0,6.0,3.0,84.0,2014-09-07 13:57:37.000,0.5.7,23.0,3.0,3.0,17,False,pyformat,,,153.0,128.0,https://pypi.org/project/pyformat,2017-01-04 02:31:11.000,25.0,16845.0,16845.0,,,,3.0,,,,,,,,,,,,,,,,,,
236,lazydocs,ml-tooling/lazydocs,documentation,Generate markdown API documentation from Google-style Python docstring. The lazy alternative to Sphinx.,,https://github.com/ml-tooling/lazydocs,https://github.com/ml-tooling/lazydocs,MIT,2020-11-10 00:31:46.000,2021-12-15 19:29:09.000,2021-08-20 18:28:32,147.0,,18.0,5.0,22.0,5.0,66.0,2021-07-27 09:00:22.000,0.4.8,18.0,7.0,6.0,17,True,lazydocs,,,69.0,57.0,https://pypi.org/project/lazydocs,2021-07-27 08:05:42.000,12.0,1753.0,1753.0,,,,3.0,,,,,,,,,,,,,,,,,,
237,pyenv-installer,pyenv/pyenv-installer,virtual-envs,This tool is used to install `pyenv` and friends.,,https://github.com/pyenv/pyenv-installer,https://github.com/pyenv/pyenv-installer,MIT,2013-06-01 03:48:07.000,2021-12-16 16:46:37.000,2021-08-27 04:13:02,138.0,,325.0,67.0,51.0,64.0,3039.0,,,,33.0,5.0,16,True,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
238,dh-virtualenv,spotify/dh-virtualenv,virtual-envs,Python virtualenvs in Debian packages.,,https://github.com/spotify/dh-virtualenv,https://github.com/spotify/dh-virtualenv,GPL-2.0,2013-10-09 19:03:43.000,2021-11-10 20:28:36.000,2021-11-10 20:28:36,414.0,1.0,163.0,41.0,149.0,170.0,1510.0,,,,58.0,24.0,16,True,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
239,pycycle,bndr/pycycle,linters,Tool for pinpointing circular imports in Python. Find cyclic imports in any project.,,https://github.com/bndr/pycycle,https://github.com/bndr/pycycle,MIT,2017-01-28 17:22:00.000,2022-01-15 20:44:01.000,2017-02-13 18:07:04,26.0,,16.0,5.0,6.0,1.0,297.0,2017-02-13 18:07:58.000,0.0.8,8.0,2.0,15.0,16,False,pycycle,,,55.0,48.0,https://pypi.org/project/pycycle,2017-02-13 18:07:58.000,7.0,1764.0,1764.0,,,,3.0,,,,,,,,,,,,,,,,,,
240,bellybutton,hchasestevens/bellybutton,linters,Custom Python linting through AST expressions.,,https://github.com/hchasestevens/bellybutton,https://github.com/hchasestevens/bellybutton,MIT,2018-02-17 06:31:44.000,2021-07-15 00:42:03.000,2021-07-15 00:42:02,33.0,,11.0,4.0,18.0,6.0,228.0,2020-11-27 21:20:22.000,0.3.1,11.0,5.0,8.0,16,True,bellybutton,,,17.0,16.0,https://pypi.org/project/bellybutton,2020-11-27 21:20:22.000,1.0,5009.0,5009.0,,,,3.0,,,,,,,,,,,,,,,,,,
241,retype,ambv/retype,refactoring,Re-apply type annotations from .pyi stubs to your codebase.,,https://github.com/ambv/retype,https://github.com/ambv/retype,MIT,2017-03-11 07:54:58.000,2021-12-29 14:35:22.999,2021-12-29 00:19:13,101.0,1.0,17.0,4.0,23.0,8.0,122.0,2021-12-29 00:30:49.000,21.12.0,11.0,8.0,7.0,16,True,retype,conda-forge/retype,,18.0,,https://pypi.org/project/retype,2021-12-29 00:30:49.000,18.0,1107.0,1431.0,https://anaconda.org/conda-forge/retype,2021-12-29 14:35:22.999,15582.0,3.0,,,,,,,,,,,,,,,,,,
242,com2ann,ilevkivskyi/com2ann,refactoring,Tool for translation type comments to type annotations in Python.,,https://github.com/ilevkivskyi/com2ann,https://github.com/ilevkivskyi/com2ann,MIT,2016-09-09 07:17:02.000,2021-08-21 14:47:42.000,2021-08-21 14:47:42,31.0,,7.0,7.0,21.0,15.0,103.0,2021-08-21 09:01:26.000,0.3.0,3.0,4.0,5.0,16,True,com2ann,,,9.0,8.0,https://pypi.org/project/com2ann,2021-08-21 09:01:26.000,1.0,32969.0,32969.0,,,,3.0,,,,,,,,,,,,,,,,,,
243,pytest-play,pytest-dev/pytest-play,testing,pytest plugin that let you automate actions and assertions with test metrics reporting executing plain YAML files.,,https://github.com/pytest-dev/pytest-play,https://github.com/pytest-dev/pytest-play,Apache-2.0,2017-12-14 09:08:26.000,2019-08-20 15:57:27.000,2019-06-12 11:57:28,382.0,,3.0,8.0,62.0,24.0,65.0,2019-06-12 11:59:29.000,2.3.1,23.0,3.0,5.0,16,False,pytest-play,,['pytest'],31.0,21.0,https://pypi.org/project/pytest-play,2019-06-12 11:59:29.000,10.0,257.0,257.0,,,,3.0,,,,,,,,,,,,,,,,,,
244,universal-build,ml-tooling/universal-build,build-tools,Universal build utilities for containerized build pipelines.,,https://github.com/ml-tooling/universal-build,https://github.com/ml-tooling/universal-build,MIT,2020-10-19 14:57:21.000,2021-11-17 17:00:05.000,2021-11-17 17:00:05,394.0,9.0,5.0,4.0,32.0,3.0,14.0,2021-11-17 16:59:34.000,0.6.18,40.0,4.0,,16,True,universal-build,,,12.0,7.0,https://pypi.org/project/universal-build,2020-12-12 13:21:08.000,5.0,471.0,472.0,,,,3.0,16.0,,,,,,,,,,,,,,,,,
245,tbvaccine,skorokithakis/tbvaccine,logging,A small utility to pretty-print Python tracebacks.,,https://github.com/skorokithakis/tbvaccine,https://github.com/skorokithakis/tbvaccine,MIT,2016-08-27 17:31:59.000,2020-03-01 19:24:46.000,2020-03-01 19:24:44,80.0,,12.0,4.0,18.0,13.0,364.0,2018-12-14 18:07:29.000,0.3.1,12.0,12.0,7.0,15,False,tbvaccine,,,9.0,9.0,https://pypi.org/project/tbvaccine,2018-12-14 18:07:29.000,,2166.0,2166.0,,,,3.0,,,,,,,,,,,,,,,,,,
246,pep8ify,spulec/pep8ify,refactoring,A library that modifies python source code to conform to pep8.,,https://github.com/spulec/pep8ify,https://github.com/spulec/pep8ify,Apache-2.0,2012-06-03 03:31:33.000,2019-03-08 03:06:14.000,2014-10-24 20:36:38,154.0,,12.0,5.0,7.0,12.0,116.0,2014-10-24 20:36:57.000,0.0.13,13.0,6.0,6.0,15,False,pep8ify,,,55.0,36.0,https://pypi.org/project/pep8ify,2014-10-24 20:36:57.000,19.0,134.0,134.0,,,,3.0,,,,,,,,,,,,,,,,,,
247,massedit,elmotec/massedit,refactoring,Programmatically edit text files with Python. Useful for source to source transformations.,,https://github.com/elmotec/massedit,https://github.com/elmotec/massedit,MIT,2012-03-11 16:18:30.000,2020-12-23 02:17:37.000,2020-12-23 02:11:17,178.0,,14.0,6.0,7.0,5.0,95.0,2020-12-23 02:19:02.000,0.69.1,15.0,6.0,3.0,15,False,massedit,,,6.0,,https://pypi.org/project/massedit,2020-12-23 02:12:33.000,6.0,1609.0,1609.0,,,,3.0,17.0,,,,,,,,,,,,,,,,,
248,subpar,google/subpar,packaging,Subpar is a utility for creating self-contained python executables. It is designed to work well with Bazel.,,https://github.com/google/subpar,https://github.com/google/subpar,Apache-2.0,2016-08-03 20:11:35.000,2021-11-29 00:52:40.000,2019-08-15 01:37:08,93.0,,62.0,20.0,72.0,30.0,509.0,2019-05-14 20:14:05.000,2.0.0,5.0,14.0,33.0,14,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
249,mkdocs-versioning,zayd62/mkdocs-versioning,documentation,A tool that allows for versioning sites built with mkdocs.,,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56.000,2021-08-01 15:51:53.000,2021-08-01 15:51:53,133.0,,7.0,4.0,39.0,22.0,39.0,2021-02-11 10:24:35.000,0.4.0,6.0,5.0,3.0,14,False,mkdocs-versioning,,['mkdocs'],,,https://pypi.org/project/mkdocs-versioning,2021-02-11 10:24:35.000,,3851.0,3851.0,,,,3.0,,,,,,,,,,,,,,,,,,
250,linty_fresh,lyft/linty_fresh,linters,Surface lint errors during code review.,,https://github.com/lyft/linty_fresh,https://github.com/lyft/linty_fresh,Apache-2.0,2015-12-19 02:37:26.000,2021-09-14 16:38:07.000,2020-11-30 22:18:53,53.0,,21.0,21.0,61.0,1.0,184.0,2018-12-12 19:47:05.000,0.7.0,10.0,17.0,8.0,13,False,linty-fresh,,"['flake8', 'mypy']",,,https://pypi.org/project/linty-fresh,2018-12-12 19:47:05.000,,45.0,45.0,,,,3.0,,,,,,,,,,,,,,,,,,
251,pipenv-pipes,gtalarico/pipenv-pipes,virtual-envs,A PipEnv Environment Switcher.,,https://github.com/gtalarico/pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,MIT,2018-05-02 03:56:41.000,2021-06-01 22:15:42.000,2019-06-27 03:42:48,285.0,,11.0,4.0,19.0,10.0,128.0,2018-11-08 03:05:43.000,0.7.1,25.0,5.0,7.0,13,False,pipenv-pipes,,,,,https://pypi.org/project/pipenv-pipes,2018-11-08 03:05:43.000,,182.0,182.0,,,,3.0,,,,,,,,,,,,,,,,,,
252,livepython,agermanidis/livepython,profiling,Visually trace Python code in real-time.,,https://github.com/agermanidis/livepython,https://github.com/agermanidis/livepython,MIT,2017-10-03 00:19:59.000,2019-01-22 17:39:55.000,2017-11-14 21:27:52,20.0,,165.0,77.0,4.0,15.0,2455.0,,,,3.0,10.0,12,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
253,cohesion,mschwager/cohesion,code-metrics,A tool for measuring Python class cohesion.,,https://github.com/mschwager/cohesion,https://github.com/mschwager/cohesion,GPL-3.0,2016-08-11 21:09:32.000,2021-11-09 19:51:22.570,2019-08-05 17:14:01,78.0,,2.0,8.0,1.0,11.0,147.0,2019-07-10 16:08:05.000,1.0.0,9.0,2.0,3.0,12,False,cohesion,conda-forge/cohesion,,7.0,,https://pypi.org/project/cohesion,2019-07-10 16:08:05.000,7.0,1450.0,1506.0,https://anaconda.org/conda-forge/cohesion,2021-11-09 19:51:22.570,112.0,3.0,,,,,,,,,,,,,,,,,,
254,pyship,jamesabel/pyship,packaging,pyship - ship Python desktop apps to end users.,,https://github.com/jamesabel/pyship,https://github.com/jamesabel/pyship,MIT,2020-04-23 04:45:03.000,2021-06-09 04:34:00.000,2021-06-09 04:33:22,279.0,,1.0,2.0,3.0,,15.0,2021-06-09 04:34:00.000,0.1.5,17.0,,4.0,9,False,pyship,,,,,https://pypi.org/project/pyship,2021-06-09 04:34:00.000,,102.0,102.0,,,,3.0,,,,,,,,,,,,,,,,,,
