,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
121,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2023-12-28 18:16:08.000,2023-09-06 00:31:07,265.0,,98.0,24.0,110.0,78.0,759.0,2019-12-10 01:50:33.000,0.8.1,14.0,33.0,29,True,,40.0,astor,conda-forge/astor,,2219.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,2219.0,4405888.0,4433700.0,https://anaconda.org/conda-forge/astor,2023-06-16 13:23:08.435,2252812.0,1.0,,,,,,,,,,,,,,,,,,,
122,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2024-01-08 20:43:25.000,2023-12-31 11:31:08,608.0,16.0,31.0,5.0,539.0,54.0,557.0,2023-08-15 18:04:57.000,3.15.0,33.0,20.0,29,True,,7.0,pytest-randomly,conda-forge/pytest-randomly,,8039.0,7743.0,https://pypi.org/project/pytest-randomly,2023-08-15 18:04:57.000,296.0,1261648.0,1268008.0,https://anaconda.org/conda-forge/pytest-randomly,2023-08-15 20:36:31.270,171721.0,3.0,,,,,,,,,,,,,,,,,,,
123,python-coloredlogs,xolox/python-coloredlogs,logging,Colored terminal output for Pythons logging module.,,https://github.com/xolox/python-coloredlogs,https://github.com/xolox/python-coloredlogs,MIT,2013-05-30 18:57:12.000,2023-11-13 14:46:14.052,2021-06-11 10:22:09,273.0,,41.0,10.0,36.0,52.0,520.0,2021-06-11 10:24:04.382,15.0.1,63.0,16.0,29,False,,31.0,coloredlogs,anaconda/coloredlogs,,35560.0,33451.0,https://pypi.org/project/coloredlogs,2021-06-11 10:24:04.382,2109.0,14292009.0,14292173.0,https://anaconda.org/anaconda/coloredlogs,2023-11-13 14:46:14.052,12465.0,3.0,,,,,,,,,,,,,,,,,,,
124,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,,https://github.com/executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2023-12-23 17:28:26.000,2023-12-21 21:19:44,305.0,10.0,67.0,21.0,65.0,53.0,495.0,2022-04-20 19:59:44.000,2021.03.14,4.0,26.0,29,True,,26.0,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],21379.0,21379.0,https://pypi.org/project/sphinx-autobuild,,,409285.0,412143.0,https://anaconda.org/conda-forge/sphinx-autobuild,2023-06-16 13:21:20.882,231501.0,2.0,,,,,,,,,,,,,,,,,,,
125,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2023-11-07 04:28:34.000,2023-11-07 04:28:34,266.0,8.0,152.0,16.0,130.0,79.0,479.0,2022-12-19 20:46:55.580,0.13.3,27.0,36.0,29,False,,18.0,pep8-naming,conda-forge/pep8-naming,,53288.0,51389.0,https://pypi.org/project/pep8-naming,2022-12-19 20:46:55.580,1899.0,1343199.0,1346985.0,https://anaconda.org/conda-forge/pep8-naming,2023-06-16 13:15:30.349,359745.0,2.0,,,,,,,,,,,,,,,,,,,
126,flake8-comprehensions,adamchainz/flake8-comprehensions,linters,A flake8 plugin to help you write better list/set/dict comprehensions.,,https://github.com/adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2024-01-08 18:18:43.000,2023-12-31 11:31:02,576.0,16.0,21.0,7.0,495.0,51.0,457.0,2023-07-10 12:46:08.000,3.14.0,39.0,15.0,29,True,,4.0,flake8-comprehensions,conda-forge/flake8-comprehensions,['flake8'],26645.0,25932.0,https://pypi.org/project/flake8-comprehensions,2023-07-10 12:46:08.000,713.0,805038.0,822939.0,https://anaconda.org/conda-forge/flake8-comprehensions,2023-07-17 21:11:54.892,769778.0,2.0,,,,,,,,,,,,,,,,,,,
127,executing,alexmojaki/executing,ast,"Get information about what a Python frame is currently doing, particularly the AST node being executed.",,https://github.com/alexmojaki/executing,https://github.com/alexmojaki/executing,MIT,2019-05-25 08:22:26.000,2023-11-06 14:59:28.000,2023-11-06 14:59:27,469.0,2.0,29.0,10.0,42.0,25.0,287.0,2020-12-27 11:10:13.000,0.5.4,19.0,10.0,29,True,,15.0,executing,conda-forge/executing,,139795.0,139795.0,https://pypi.org/project/executing,,,18155803.0,18416374.0,https://anaconda.org/conda-forge/executing,2023-10-29 11:48:33.889,10162286.0,1.0,,,,,,,,,,,,,,,,,,,
128,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,,2013-07-24 16:23:39.000,2024-01-09 15:18:40.000,2024-01-09 15:18:40,595.0,9.0,145.0,35.0,306.0,137.0,260.0,2023-09-26 00:24:32.000,1.6.0,27.0,81.0,29,False,,80.0,numpydoc,conda-forge/numpydoc,['sphinx'],46835.0,41967.0,https://pypi.org/project/numpydoc,2023-09-26 00:24:32.000,4868.0,438539.0,488913.0,https://anaconda.org/conda-forge/numpydoc,2023-12-08 17:48:59.802,2216493.0,2.0,,,,,,,,,,,,,,,,,,,
129,icecream,gruns/icecream,debugging,Never use print() to debug again.,,https://github.com/gruns/icecream,https://github.com/gruns/icecream,MIT,2018-02-13 18:56:12.000,2023-12-27 17:07:53.000,2022-12-04 22:09:17,262.0,,169.0,50.0,53.0,71.0,8092.0,2022-07-21 09:20:01.329,2.1.3,17.0,21.0,28,False,,49.0,icecream,conda-forge/icecream,,197.0,21.0,https://pypi.org/project/icecream,2022-07-21 09:20:01.329,176.0,251796.0,252691.0,https://anaconda.org/conda-forge/icecream,2023-06-16 19:25:30.341,29562.0,3.0,,,,,,,,,,,,,,,,,,,
130,xonsh,xonsh/xonsh,shell,"Python-powered, cross-platform, Unix-gazing shell.",,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh,,2015-01-21 22:05:27.000,2024-01-08 17:44:03.000,2023-12-31 15:08:28,10484.0,18.0,603.0,105.0,2595.0,2206.0,7467.0,2023-12-05 15:56:43.000,0.14.3,100.0,320.0,28,False,,280.0,xonsh,,,,,https://pypi.org/project/xonsh,,,19782.0,19877.0,,,,1.0,9560.0,,,,,,,,,,,,,,,,,,
