,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
115,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2023-10-14 06:39:48.000,2023-10-06 10:02:00,544.0,5.0,108.0,33.0,89.0,23.0,145.0,1543.0,2023-03-26 06:25:00.948,6.0.1,56.0,60.0,29,True,,radon,conda-forge/radon,,5098.0,4456.0,https://pypi.org/project/radon,2023-03-26 06:25:00.948,642.0,408682.0,409599.0,https://anaconda.org/conda-forge/radon,2023-06-16 13:24:51.939,66087.0,2.0,,,,,,,,,,,,,,,,,,,
116,pytest-sugar,Teemu/pytest-sugar,testing,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",,https://github.com/Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2023-08-12 17:17:17.000,2023-08-08 07:31:15,426.0,1.0,71.0,18.0,161.0,24.0,91.0,1145.0,2023-04-10 11:18:29.000,0.9.7,29.0,50.0,29,True,,pytest-sugar,conda-forge/pytest-sugar,['pytest'],26053.0,23252.0,https://pypi.org/project/pytest-sugar,2023-04-10 11:17:46.295,2801.0,1005383.0,1011294.0,https://anaconda.org/conda-forge/pytest-sugar,2023-07-02 12:36:24.393,218674.0,3.0,7.0,,,,,,,,,,,,,,,,,,
117,pytest-benchmark,ionelmc/pytest-benchmark,testing,py.test fixture for benchmarking code.,,https://github.com/ionelmc/pytest-benchmark,https://github.com/ionelmc/pytest-benchmark,BSD-2-Clause,2014-10-10 10:55:33.000,2023-09-15 21:30:51.000,2023-04-27 00:15:19,1004.0,,108.0,19.0,71.0,95.0,87.0,1131.0,2022-10-25 21:23:01.695,4.0.0,43.0,39.0,29,True,,pytest-benchmark,conda-forge/pytest-benchmark,['pytest'],8423.0,7700.0,https://pypi.org/project/pytest-benchmark,2022-10-25 21:23:01.695,723.0,746954.0,767897.0,https://anaconda.org/conda-forge/pytest-benchmark,2023-06-16 13:15:49.392,1905866.0,3.0,,,,,,,,,,,,,,,,,,,
118,PyHamcrest,hamcrest/PyHamcrest,testing,Hamcrest matchers for Python.,,https://github.com/hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,,2010-12-24 02:55:56.000,2023-10-23 21:48:09.000,2023-10-23 21:48:09,645.0,15.0,106.0,25.0,158.0,21.0,65.0,722.0,2023-10-22 15:51:05.000,V2.1.0,25.0,43.0,29,False,,pyhamcrest,conda-forge/pyhamcrest,,37517.0,35673.0,https://pypi.org/project/pyhamcrest,2023-10-22 15:47:25.000,1844.0,1191364.0,1196723.0,https://anaconda.org/conda-forge/pyhamcrest,2023-06-16 13:17:20.732,476956.0,3.0,,,,,,,,,,,,,,,,,,,
119,alabaster,bitprophet/alabaster,documentation,"Lightweight, configurable Sphinx theme.",,https://github.com/sphinx-doc/alabaster,https://github.com/sphinx-doc/alabaster,,2013-12-07 00:03:15.000,2023-10-19 23:30:15.000,2023-10-04 23:10:27,384.0,1.0,173.0,30.0,90.0,65.0,56.0,704.0,,,6.0,30.0,29,False,sphinx-doc/alabaster,alabaster,conda-forge/alabaster,['sphinx'],111841.0,111841.0,https://pypi.org/project/alabaster,,,6949358.0,7027141.0,https://anaconda.org/conda-forge/alabaster,2023-06-16 13:24:00.075,6767177.0,2.0,,,,,,,,,,,,,,,,,,,
120,coveralls-python,TheKevJames/coveralls-python,testing,Show coverage stats online via coveralls.io.,,https://github.com/TheKevJames/coveralls-python,https://github.com/TheKevJames/coveralls-python,MIT,2013-02-06 20:48:39.000,2023-10-19 11:51:11.000,2023-08-14 16:01:13,475.0,1.0,190.0,8.0,227.0,27.0,146.0,530.0,2021-11-11 21:00:03.000,3.3.1,42.0,64.0,29,True,,coveralls,conda-forge/coveralls,['pytest'],41870.0,32370.0,https://pypi.org/project/coveralls,2021-11-11 21:00:03.000,9500.0,531950.0,544669.0,https://anaconda.org/conda-forge/coveralls,2023-06-16 13:24:40.028,1030297.0,3.0,,,,,,,,,,,,,,,,,,,
121,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2023-08-18 23:41:57.000,2019-12-22 18:11:19,86.0,,50.0,9.0,37.0,25.0,22.0,208.0,2019-12-22 18:12:11.000,1.6.3,11.0,10.0,29,False,,astunparse,conda-forge/astunparse,,89598.0,89135.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,463.0,8779247.0,8805173.0,https://anaconda.org/conda-forge/astunparse,2023-06-16 13:24:50.388,1970428.0,2.0,,,,,,,,,,,,,,,,,,,
122,memory-profiler,pythonprofilers/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000,2023-10-23 14:35:37.000,2023-10-23 14:35:37,718.0,2.0,371.0,80.0,162.0,131.0,115.0,4043.0,2022-11-15 17:59:01.069,0.61.0,59.0,103.0,28,True,,memory_profiler,conda-forge/memory_profiler,,211.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,211.0,940297.0,944502.0,https://anaconda.org/conda-forge/memory_profiler,2023-06-16 13:17:34.885,374275.0,3.0,,,,,,,,,,,,,,,,,,,
123,detect-secrets,Yelp/detect-secrets,security,An enterprise friendly way of detecting and preventing secrets in code.,,https://github.com/Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Apache-2.0,2017-12-05 00:38:38.000,2023-10-26 04:52:47.000,2023-04-11 16:04:33,1217.0,,380.0,48.0,422.0,119.0,199.0,3226.0,2022-10-05 17:13:10.000,1.4.0,37.0,73.0,28,True,,detect-secrets,,,35.0,,https://pypi.org/project/detect-secrets,2020-07-26 03:40:27.000,35.0,407153.0,407153.0,,,,3.0,,,,,,,,,,,,,,,,,,,
124,pytest-testinfra,pytest-dev/pytest-testinfra,testing,Testinfra test your infrastructures.,,https://github.com/pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000,2023-10-24 19:42:06.000,2023-08-28 11:47:24,763.0,10.0,329.0,82.0,408.0,121.0,213.0,2255.0,2023-08-24 21:56:12.000,9.0.0,13.0,133.0,28,True,,pytest-testinfra,conda-forge/pytest-testinfra,['pytest'],,,https://pypi.org/project/pytest-testinfra,,,444571.0,444992.0,https://anaconda.org/conda-forge/pytest-testinfra,2023-08-25 02:18:30.063,13924.0,3.0,,,,,,,,,,,,,,,,,,,
