,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
182,rebound,shobrook/rebound,logging,Instant Stack Overflow results whenever an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,GPL-2.0+,2018-02-28 04:47:03.000,2026-02-01 19:34:11.000000,2022-02-16 05:16:40,168.0,,380.0,75.0,41.0,38.0,4136.0,2026-02-01 19:34:11.000,4.5.1,231.0,16.0,24.0,25,False,,rebound,conda-forge/rebound,,276.0,35325.0,53.0,,https://pypi.org/project/rebound,2026-02-01 19:34:11.000,53.0,19403.0,https://anaconda.org/conda-forge/rebound,2026-01-04 16:08:23.664,1098511.0,3.0,,,,,,,,,,,,,,,,,,
183,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2023-11-09 15:34:22.000000,2023-11-09 15:30:55,473.0,,65.0,22.0,87.0,52.0,538.0,2023-11-09 15:34:22.000,0.11.3,22.0,23.0,53.0,25,False,,mamba,,,,12820.0,1400.0,1371.0,https://pypi.org/project/mamba,2023-11-09 15:34:22.000,29.0,12820.0,,,,3.0,,,,,,,,,,,,,,,,,,
184,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2025-04-22 14:57:50.454000,2024-12-31 07:51:55,440.0,,13.0,2.0,332.0,32.0,316.0,2023-05-31 09:59:03.360,1.5.0,16.0,17.0,8.0,25,False,,flake8-eradicate,conda-forge/flake8-eradicate,['flake8'],,666038.0,20401.0,20228.0,https://pypi.org/project/flake8-eradicate,2023-05-31 09:59:03.360,173.0,665572.0,https://anaconda.org/conda-forge/flake8-eradicate,2025-04-22 14:57:50.454,27052.0,3.0,,,,,,,,,,,,,,,,,,
185,flake8-import-order,PyCQA/flake8-import-order,linters,Flake8 plugin that checks import order against various Python Style Guides.,,https://github.com/PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2026-01-22 22:44:36.000000,2026-01-19 23:51:32,333.0,8.0,73.0,8.0,142.0,98.0,278.0,2025-06-24 12:47:38.000,0.19.2,38.0,50.0,14.0,25,True,,flake8-import-order,conda-forge/flake8-import-order,['flake8'],10.0,1307084.0,654.0,,https://pypi.org/project/flake8-import-order,2025-06-24 12:47:38.000,654.0,1297036.0,https://anaconda.org/conda-forge/flake8-import-order,2025-06-26 20:28:26.571,391841.0,3.0,,,,,,,,,,,,,,,,,,
186,xdoctest,Erotemic/xdoctest,testing,A rewrite of Pythons builtin doctest module (with pytest plugin integration) with AST instead of RegEx.,,https://github.com/Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000,2026-02-03 16:22:30.000000,2025-11-13 17:57:11,935.0,7.0,18.0,5.0,131.0,35.0,218.0,2025-09-08 15:04:38.000,1.3.0,74.0,13.0,22.0,25,True,,xdoctest,conda-forge/xdoctest,,267.0,823646.0,238.0,,https://pypi.org/project/xdoctest,2025-09-08 15:02:43.000,238.0,819544.0,https://anaconda.org/conda-forge/xdoctest,2025-11-21 19:22:54.933,270500.0,3.0,,,,,,,,,,,,,,,,,,conda-forge/xdoctest
187,data-science-types,predictive-analytics-lab/data-science-types,linters,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",,https://github.com/wearepal/data-science-types,https://github.com/wearepal/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2025-04-22 14:57:41.763000,2021-02-16 17:29:00,446.0,,51.0,8.0,171.0,23.0,204.0,2021-02-16 16:47:31.000,0.2.23,26.0,43.0,33.0,25,False,wearepal/data-science-types,data-science-types,conda-forge/data-science-types,,,64947.0,2016.0,1922.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000,94.0,64634.0,https://anaconda.org/conda-forge/data-science-types,2025-04-22 14:57:41.763,19423.0,3.0,,,,,,,,,,,,,,,,,,
188,pyenv-virtualenv,pyenv/pyenv-virtualenv,virtual-envs,a pyenv plugin to manage virtualenv (a.k.a. python-virtualenv).,,https://github.com/pyenv/pyenv-virtualenv,https://github.com/pyenv/pyenv-virtualenv,MIT,2013-02-18 12:59:17.000,2025-12-18 00:52:22.000000,2025-12-18 00:52:21,537.0,11.0,427.0,71.0,153.0,263.0,6716.0,2025-12-14 15:43:00.000,1.2.6,14.0,67.0,99.0,24,True,,,,,,,21.0,21.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
189,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2025-10-22 12:49:05.000000,2025-10-22 12:17:56,111.0,,204.0,63.0,61.0,50.0,4720.0,2021-01-29 16:48:55.000,0.3.3,16.0,19.0,34.0,24,True,,better-exceptions,,,,374329.0,102.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,102.0,374329.0,,,,3.0,,,,,,,,,,,,,,,,,,
190,shiv,linkedin/shiv,packaging,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",,https://github.com/linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2026-01-10 12:19:00.000000,2026-01-10 12:19:00,219.0,1.0,107.0,27.0,137.0,82.0,1912.0,2024-11-01 19:48:43.000,1.0.8,65.0,44.0,65.0,24,True,,shiv,,,2481.0,101149.0,16.0,,https://pypi.org/project/shiv,2024-11-01 19:47:45.000,16.0,101118.0,,,,3.0,,,,,,,,,,,,,,,,,,
191,Fixit,Instagram/Fixit,linters,Advanced Python linting framework with auto-fixes and hierarchical configuration that makes it easy to write custom..,,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,,2020-02-20 19:09:01.000,2026-02-01 10:52:40.000000,2026-01-17 19:53:41,416.0,9.0,68.0,23.0,424.0,91.0,699.0,2025-11-12 22:19:10.000,2.2.1,13.0,50.0,44.0,24,False,,fixit,,,,123603.0,122.0,106.0,https://pypi.org/project/fixit,2025-11-12 22:19:10.000,16.0,123603.0,,,,3.0,,,,,,,,,,,,,,,,,,
